# _root_ Přesný počet osob zadržených při raziích , které policisté provádějí denně od 25 . srpna , nebyl sdělen .
#goldHeads=2,18,2,3,4,5,10,10,10,6,10,10,15,13,12,10,18,0,0,
#predictedHeads=2,18,2,3,4,5,10,10,10,6,10,10,15,13,12,10,18,0,0,
(0,1),-0.257384 # DEPENDENCYPART_ARC
(0,2),-0.653695 # DEPENDENCYPART_ARC
(0,3),-1.48108 # DEPENDENCYPART_ARC
(0,4),-1.88238 # DEPENDENCYPART_ARC
(0,5),-0.449148 # DEPENDENCYPART_ARC
(0,6),-1.76151 # DEPENDENCYPART_ARC
(0,7),-0.0398612 # DEPENDENCYPART_ARC
(0,8),-1.71871 # DEPENDENCYPART_ARC
(0,9),-2.57891 # DEPENDENCYPART_ARC
(0,10),0.308614 # DEPENDENCYPART_ARC
(0,11),-1.58751 # DEPENDENCYPART_ARC
(0,12),-2.50357 # DEPENDENCYPART_ARC
(0,13),-2.49817 # DEPENDENCYPART_ARC
(0,14),0.549583 # DEPENDENCYPART_ARC
(0,15),-2.24836 # DEPENDENCYPART_ARC
(0,16),-0.551165 # DEPENDENCYPART_ARC
(0,17),0.110433 # DEPENDENCYPART_ARC
(0,18),-0.407079 # DEPENDENCYPART_ARC
(0,19),3.85812 # DEPENDENCYPART_ARC
(1,2),-0.897407 # DEPENDENCYPART_ARC
(1,3),-1.01633 # DEPENDENCYPART_ARC
(1,4),-4.44823 # DEPENDENCYPART_ARC
(1,5),-0.911324 # DEPENDENCYPART_ARC
(1,6),-2.4233 # DEPENDENCYPART_ARC
(1,7),-0.693479 # DEPENDENCYPART_ARC
(1,8),-5.17969 # DEPENDENCYPART_ARC
(1,9),-4.56994 # DEPENDENCYPART_ARC
(1,10),-3.90531 # DEPENDENCYPART_ARC
(1,11),-1.90181 # DEPENDENCYPART_ARC
(1,12),-2.26235 # DEPENDENCYPART_ARC
(1,13),-2.11129 # DEPENDENCYPART_ARC
(1,14),-2.30334 # DEPENDENCYPART_ARC
(1,15),-5.4723 # DEPENDENCYPART_ARC
(1,16),-1.43266 # DEPENDENCYPART_ARC
(1,17),-3.99888 # DEPENDENCYPART_ARC
(1,18),-3.9877 # DEPENDENCYPART_ARC
(1,19),-4.31558 # DEPENDENCYPART_ARC
(2,1),5.06325 # DEPENDENCYPART_ARC
(2,3),3.22725 # DEPENDENCYPART_ARC
(2,4),-1.28498 # DEPENDENCYPART_ARC
(2,5),0.472177 # DEPENDENCYPART_ARC
(2,6),-0.31307 # DEPENDENCYPART_ARC
(2,7),0.0585221 # DEPENDENCYPART_ARC
(2,8),-3.50076 # DEPENDENCYPART_ARC
(2,9),-1.2253 # DEPENDENCYPART_ARC
(2,10),-0.3974 # DEPENDENCYPART_ARC
(2,11),-0.576444 # DEPENDENCYPART_ARC
(2,12),-1.34857 # DEPENDENCYPART_ARC
(2,13),-1.81958 # DEPENDENCYPART_ARC
(2,14),-2.51498 # DEPENDENCYPART_ARC
(2,15),-1.6521 # DEPENDENCYPART_ARC
(2,16),-0.468039 # DEPENDENCYPART_ARC
(2,17),-2.27677 # DEPENDENCYPART_ARC
(2,18),-1.16623 # DEPENDENCYPART_ARC
(2,19),-5.89595 # DEPENDENCYPART_ARC
(3,1),-2.75831 # DEPENDENCYPART_ARC
(3,2),-1.88383 # DEPENDENCYPART_ARC
(3,4),3.38468 # DEPENDENCYPART_ARC
(3,5),0.746451 # DEPENDENCYPART_ARC
(3,6),-0.794508 # DEPENDENCYPART_ARC
(3,7),-0.169808 # DEPENDENCYPART_ARC
(3,8),-2.1125 # DEPENDENCYPART_ARC
(3,9),-1.91898 # DEPENDENCYPART_ARC
(3,10),0.482253 # DEPENDENCYPART_ARC
(3,11),-0.46136 # DEPENDENCYPART_ARC
(3,12),-1.16432 # DEPENDENCYPART_ARC
(3,13),-0.936122 # DEPENDENCYPART_ARC
(3,14),-2.14148 # DEPENDENCYPART_ARC
(3,15),-1.38566 # DEPENDENCYPART_ARC
(3,16),-0.968935 # DEPENDENCYPART_ARC
(3,17),-2.05499 # DEPENDENCYPART_ARC
(3,18),-1.6497 # DEPENDENCYPART_ARC
(3,19),-5.58487 # DEPENDENCYPART_ARC
(4,1),-3.17545 # DEPENDENCYPART_ARC
(4,2),-1.11348 # DEPENDENCYPART_ARC
(4,3),-0.389469 # DEPENDENCYPART_ARC
(4,5),2.71186 # DEPENDENCYPART_ARC
(4,6),0.379659 # DEPENDENCYPART_ARC
(4,7),0.522204 # DEPENDENCYPART_ARC
(4,8),-2.35255 # DEPENDENCYPART_ARC
(4,9),-1.77087 # DEPENDENCYPART_ARC
(4,10),-1.21615 # DEPENDENCYPART_ARC
(4,11),0.0999001 # DEPENDENCYPART_ARC
(4,12),-0.258261 # DEPENDENCYPART_ARC
(4,13),-0.444558 # DEPENDENCYPART_ARC
(4,14),-0.251279 # DEPENDENCYPART_ARC
(4,15),-2.67483 # DEPENDENCYPART_ARC
(4,16),-0.147952 # DEPENDENCYPART_ARC
(4,17),-2.99205 # DEPENDENCYPART_ARC
(4,18),-3.49534 # DEPENDENCYPART_ARC
(4,19),-2.32803 # DEPENDENCYPART_ARC
(5,1),-2.1715 # DEPENDENCYPART_ARC
(5,2),-2.76586 # DEPENDENCYPART_ARC
(5,3),-2.1092 # DEPENDENCYPART_ARC
(5,4),-0.913847 # DEPENDENCYPART_ARC
(5,6),4.29325 # DEPENDENCYPART_ARC
(5,7),0.408702 # DEPENDENCYPART_ARC
(5,8),-2.16716 # DEPENDENCYPART_ARC
(5,9),-2.17633 # DEPENDENCYPART_ARC
(5,10),-1.2776 # DEPENDENCYPART_ARC
(5,11),-1.31035 # DEPENDENCYPART_ARC
(5,12),-1.38244 # DEPENDENCYPART_ARC
(5,13),-1.7674 # DEPENDENCYPART_ARC
(5,14),-0.292411 # DEPENDENCYPART_ARC
(5,15),-5.1737 # DEPENDENCYPART_ARC
(5,16),-0.750657 # DEPENDENCYPART_ARC
(5,17),-2.55089 # DEPENDENCYPART_ARC
(5,18),-2.43595 # DEPENDENCYPART_ARC
(5,19),-2.4325 # DEPENDENCYPART_ARC
(6,1),-4.54005 # DEPENDENCYPART_ARC
(6,2),-2.39084 # DEPENDENCYPART_ARC
(6,3),-1.2718 # DEPENDENCYPART_ARC
(6,4),-0.206748 # DEPENDENCYPART_ARC
(6,5),-0.130346 # DEPENDENCYPART_ARC
(6,7),0.237257 # DEPENDENCYPART_ARC
(6,8),-0.728782 # DEPENDENCYPART_ARC
(6,9),-1.10964 # DEPENDENCYPART_ARC
(6,10),2.55305 # DEPENDENCYPART_ARC
(6,11),-0.00458439 # DEPENDENCYPART_ARC
(6,12),0.136781 # DEPENDENCYPART_ARC
(6,13),-0.425605 # DEPENDENCYPART_ARC
(6,14),0.129241 # DEPENDENCYPART_ARC
(6,15),-0.640848 # DEPENDENCYPART_ARC
(6,16),0.107487 # DEPENDENCYPART_ARC
(6,17),-0.957893 # DEPENDENCYPART_ARC
(6,18),-0.190574 # DEPENDENCYPART_ARC
(6,19),-3.63542 # DEPENDENCYPART_ARC
(7,1),-1.6089 # DEPENDENCYPART_ARC
(7,2),-1.03349 # DEPENDENCYPART_ARC
(7,3),-1.15937 # DEPENDENCYPART_ARC
(7,4),-1.2621 # DEPENDENCYPART_ARC
(7,5),-1.17746 # DEPENDENCYPART_ARC
(7,6),-0.202728 # DEPENDENCYPART_ARC
(7,8),-0.731903 # DEPENDENCYPART_ARC
(7,9),-0.776902 # DEPENDENCYPART_ARC
(7,10),0.109275 # DEPENDENCYPART_ARC
(7,11),-1.16421 # DEPENDENCYPART_ARC
(7,12),-1.40326 # DEPENDENCYPART_ARC
(7,13),-1.74487 # DEPENDENCYPART_ARC
(7,14),-1.12584 # DEPENDENCYPART_ARC
(7,15),-1.47166 # DEPENDENCYPART_ARC
(7,16),-0.862692 # DEPENDENCYPART_ARC
(7,17),-1.68647 # DEPENDENCYPART_ARC
(7,18),-1.90936 # DEPENDENCYPART_ARC
(7,19),-1.40639 # DEPENDENCYPART_ARC
(8,1),-5.27936 # DEPENDENCYPART_ARC
(8,2),-3.24803 # DEPENDENCYPART_ARC
(8,3),-2.30641 # DEPENDENCYPART_ARC
(8,4),-2.79987 # DEPENDENCYPART_ARC
(8,5),-1.00829 # DEPENDENCYPART_ARC
(8,6),-1.54264 # DEPENDENCYPART_ARC
(8,7),-0.0704197 # DEPENDENCYPART_ARC
(8,9),-0.460733 # DEPENDENCYPART_ARC
(8,10),-1.23694 # DEPENDENCYPART_ARC
(8,11),-0.990902 # DEPENDENCYPART_ARC
(8,12),-0.659436 # DEPENDENCYPART_ARC
(8,13),-0.970644 # DEPENDENCYPART_ARC
(8,14),-0.614498 # DEPENDENCYPART_ARC
(8,15),-1.41685 # DEPENDENCYPART_ARC
(8,16),-0.836567 # DEPENDENCYPART_ARC
(8,17),-3.74717 # DEPENDENCYPART_ARC
(8,18),-2.55033 # DEPENDENCYPART_ARC
(8,19),-1.4565 # DEPENDENCYPART_ARC
(9,1),-2.5373 # DEPENDENCYPART_ARC
(9,2),-3.38667 # DEPENDENCYPART_ARC
(9,3),-6.12946 # DEPENDENCYPART_ARC
(9,4),-3.77472 # DEPENDENCYPART_ARC
(9,5),-1.24478 # DEPENDENCYPART_ARC
