# _root_ " Uniformovaná část bezpečnosti , to jest policie , je služba občanům .
#goldHeads=10,3,7,3,7,7,10,7,7,0,10,11,0,
#predictedHeads=10,3,7,3,7,7,0,7,7,0,10,10,0,
(0,1),-0.0671195 # DEPENDENCYPART_ARC
(0,2),-0.225268 # DEPENDENCYPART_ARC
(0,3),0.115032 # DEPENDENCYPART_ARC
(0,4),-0.8715 # DEPENDENCYPART_ARC
(0,5),0.154522 # DEPENDENCYPART_ARC
(0,6),-0.987267 # DEPENDENCYPART_ARC
(0,7),0.233104 # DEPENDENCYPART_ARC
(0,8),-1.59629 # DEPENDENCYPART_ARC
(0,9),-0.391076 # DEPENDENCYPART_ARC
(0,10),0.860221 # DEPENDENCYPART_ARC
(0,11),-2.44979 # DEPENDENCYPART_ARC
(0,12),-2.32931 # DEPENDENCYPART_ARC
(0,13),2.69656 # DEPENDENCYPART_ARC
(1,2),-1.33534 # DEPENDENCYPART_ARC
(1,3),-2.86688 # DEPENDENCYPART_ARC
(1,4),-3.06858 # DEPENDENCYPART_ARC
(1,5),-2.75256 # DEPENDENCYPART_ARC
(1,6),-3.15518 # DEPENDENCYPART_ARC
(1,7),-3.08197 # DEPENDENCYPART_ARC
(1,8),-4.50688 # DEPENDENCYPART_ARC
(1,9),-2.72899 # DEPENDENCYPART_ARC
(1,10),-3.75956 # DEPENDENCYPART_ARC
(1,11),-5.45105 # DEPENDENCYPART_ARC
(1,12),-5.30217 # DEPENDENCYPART_ARC
(1,13),-3.72056 # DEPENDENCYPART_ARC
(2,1),0.0190158 # DEPENDENCYPART_ARC
(2,3),-0.0401558 # DEPENDENCYPART_ARC
(2,4),-0.458695 # DEPENDENCYPART_ARC
(2,5),0.17039 # DEPENDENCYPART_ARC
(2,6),-2.05562 # DEPENDENCYPART_ARC
(2,7),-2.01686 # DEPENDENCYPART_ARC
(2,8),-3.80617 # DEPENDENCYPART_ARC
(2,9),-0.165526 # DEPENDENCYPART_ARC
(2,10),-2.83029 # DEPENDENCYPART_ARC
(2,11),-5.15004 # DEPENDENCYPART_ARC
(2,12),-3.32655 # DEPENDENCYPART_ARC
(2,13),-2.46816 # DEPENDENCYPART_ARC
(3,1),0.900118 # DEPENDENCYPART_ARC
(3,2),4.56047 # DEPENDENCYPART_ARC
(3,4),4.08571 # DEPENDENCYPART_ARC
(3,5),0.158854 # DEPENDENCYPART_ARC
(3,6),-0.368303 # DEPENDENCYPART_ARC
(3,7),0.334852 # DEPENDENCYPART_ARC
(3,8),-1.36415 # DEPENDENCYPART_ARC
(3,9),-0.0648208 # DEPENDENCYPART_ARC
(3,10),-1.37313 # DEPENDENCYPART_ARC
(3,11),-2.77974 # DEPENDENCYPART_ARC
(3,12),-3.14431 # DEPENDENCYPART_ARC
(3,13),-3.48912 # DEPENDENCYPART_ARC
(4,1),0.384087 # DEPENDENCYPART_ARC
(4,2),0.955472 # DEPENDENCYPART_ARC
(4,3),-0.175349 # DEPENDENCYPART_ARC
(4,5),-0.933125 # DEPENDENCYPART_ARC
(4,6),-2.94583 # DEPENDENCYPART_ARC
(4,7),-0.461502 # DEPENDENCYPART_ARC
(4,8),-2.68739 # DEPENDENCYPART_ARC
(4,9),-0.677952 # DEPENDENCYPART_ARC
(4,10),-1.94259 # DEPENDENCYPART_ARC
(4,11),-4.11917 # DEPENDENCYPART_ARC
(4,12),-4.78219 # DEPENDENCYPART_ARC
(4,13),-3.89406 # DEPENDENCYPART_ARC
(5,1),0.42514 # DEPENDENCYPART_ARC
(5,2),-0.289826 # DEPENDENCYPART_ARC
(5,3),-0.369205 # DEPENDENCYPART_ARC
(5,4),-0.313364 # DEPENDENCYPART_ARC
(5,6),0.609086 # DEPENDENCYPART_ARC
(5,7),0.826633 # DEPENDENCYPART_ARC
(5,8),-0.620846 # DEPENDENCYPART_ARC
(5,9),-0.189 # DEPENDENCYPART_ARC
(5,10),-0.479723 # DEPENDENCYPART_ARC
(5,11),-2.46084 # DEPENDENCYPART_ARC
(5,12),-1.98392 # DEPENDENCYPART_ARC
(5,13),-0.817654 # DEPENDENCYPART_ARC
(6,1),-1.15728 # DEPENDENCYPART_ARC
(6,2),-0.585239 # DEPENDENCYPART_ARC
(6,3),-0.362922 # DEPENDENCYPART_ARC
(6,4),-0.505559 # DEPENDENCYPART_ARC
(6,5),0.420952 # DEPENDENCYPART_ARC
(6,7),0.852337 # DEPENDENCYPART_ARC
(6,8),-0.00307107 # DEPENDENCYPART_ARC
(6,9),-0.00853893 # DEPENDENCYPART_ARC
(6,10),-1.22825 # DEPENDENCYPART_ARC
(6,11),-1.29398 # DEPENDENCYPART_ARC
(6,12),-1.5984 # DEPENDENCYPART_ARC
(6,13),-0.472794 # DEPENDENCYPART_ARC
(7,1),0.764455 # DEPENDENCYPART_ARC
(7,2),0.386683 # DEPENDENCYPART_ARC
(7,3),1.75317 # DEPENDENCYPART_ARC
(7,4),-2.72802 # DEPENDENCYPART_ARC
(7,5),2.51167 # DEPENDENCYPART_ARC
(7,6),4.45171 # DEPENDENCYPART_ARC
(7,8),3.26915 # DEPENDENCYPART_ARC
(7,9),1.61964 # DEPENDENCYPART_ARC
(7,10),-0.502686 # DEPENDENCYPART_ARC
(7,11),0.558374 # DEPENDENCYPART_ARC
(7,12),-1.14242 # DEPENDENCYPART_ARC
(7,13),-0.252616 # DEPENDENCYPART_ARC
(8,1),-1.13522 # DEPENDENCYPART_ARC
(8,2),0.538371 # DEPENDENCYPART_ARC
(8,3),-0.502334 # DEPENDENCYPART_ARC
(8,4),-3.38163 # DEPENDENCYPART_ARC
(8,5),-0.486424 # DEPENDENCYPART_ARC
(8,6),0.325017 # DEPENDENCYPART_ARC
(8,7),-0.235891 # DEPENDENCYPART_ARC
(8,9),-1.08625 # DEPENDENCYPART_ARC
(8,10),-1.09034 # DEPENDENCYPART_ARC
(8,11),-1.85567 # DEPENDENCYPART_ARC
(8,12),-2.37881 # DEPENDENCYPART_ARC
(8,13),-2.62549 # DEPENDENCYPART_ARC
(9,1),0.986595 # DEPENDENCYPART_ARC
(9,2),-0.682265 # DEPENDENCYPART_ARC
(9,3),0.043765 # DEPENDENCYPART_ARC
(9,4),-0.237703 # DEPENDENCYPART_ARC
(9,5),0.326774 # DEPENDENCYPART_ARC
(9,6),0.598168 # DEPENDENCYPART_ARC
(9,7),0.622815 # DEPENDENCYPART_ARC
(9,8),0.174625 # DEPENDENCYPART_ARC
(9,10),0.299032 # DEPENDENCYPART_ARC
(9,11),-0.708087 # DEPENDENCYPART_ARC
(9,12),-0.487182 # DEPENDENCYPART_ARC
(9,13),-0.354576 # DEPENDENCYPART_ARC
(10,1),1.25253 # DEPENDENCYPART_ARC
(10,2),-0.774012 # DEPENDENCYPART_ARC
(10,3),1.30441 # DEPENDENCYPART_ARC
(10,4),-2.34324 # DEPENDENCYPART_ARC
(10,5),0.475603 # DEPENDENCYPART_ARC
(10,6),2.18 # DEPENDENCYPART_ARC
(10,7),-0.215845 # DEPENDENCYPART_ARC
(10,8),1.08366 # DEPENDENCYPART_ARC
(10,9),0.0524263 # DEPENDENCYPART_ARC
(10,11),3.47347 # DEPENDENCYPART_ARC
(10,12),2.00468 # DEPENDENCYPART_ARC
(10,13),0.199783 # DEPENDENCYPART_ARC
(11,1),-3.08157 # DEPENDENCYPART_ARC
(11,2),-1.56342 # DEPENDENCYPART_ARC
(11,3),-3.1037 # DEPENDENCYPART_ARC
(11,4),-5.64562 # DEPENDENCYPART_ARC
(11,5),-2.25664 # DEPENDENCYPART_ARC
(11,6),-3.07519 # DEPENDENCYPART_ARC
(11,7),-2.53502 # DEPENDENCYPART_ARC
(11,8),-1.31019 # DEPENDENCYPART_ARC
(11,9),-1.2803 # DEPENDENCYPART_ARC
(11,10),-1.17453 # DEPENDENCYPART_ARC
(11,12),1.30349 # DEPENDENCYPART_ARC
(11,13),0.0391304 # DEPENDENCYPART_ARC
(12,1),-2.2394 # DEPENDENCYPART_ARC
(12,2),-6.47435 # DEPENDENCYPART_ARC
(12,3),-6.36729 # DEPENDENCYPART_ARC
(12,4),-6.54197 # DEPENDENCYPART_ARC
(12,5),-1.34548 # DEPENDENCYPART_ARC
(12,6),-3.56577 # DEPENDENCYPART_ARC
(12,7),-2.13157 # DEPENDENCYPART_ARC
(12,8),-5.20599 # DEPENDENCYPART_ARC
(12,9),-0.536653 # DEPENDENCYPART_ARC
(12,10),-1.14972 # DEPENDENCYPART_ARC
(12,11),-1.76428 # DEPENDENCYPART_ARC
(12,13),0.00331231 # DEPENDENCYPART_ARC
(13,1),-2.06558 # DEPENDENCYPART_ARC
(13,2),-4.06115 # DEPENDENCYPART_ARC
(13,3),-4.29577 # DEPENDENCYPART_ARC
(13,4),-3.83447 # DEPENDENCYPART_ARC
(13,5),-2.9577 # DEPENDENCYPART_ARC
(13,6),-3.24632 # DEPENDENCYPART_ARC
(13,7),-3.65105 # DEPENDENCYPART_ARC
(13,8),-2.97353 # DEPENDENCYPART_ARC
(13,9),-2.86402 # DEPENDENCYPART_ARC
(13,10),-2.9993 # DEPENDENCYPART_ARC
(13,11),-2.82713 # DEPENDENCYPART_ARC
(13,12),-2.80359 # DEPENDENCYPART_ARC
