# _root_ srovnání s citovaností našeho dobrého pracoviště , jako je Ústav Heyrovského , by nedopadlo nijak špatně ) .
#goldHeads=14,1,2,6,6,9,9,9,3,9,10,9,14,0,16,14,14,0,
#predictedHeads=9,1,2,6,6,3,8,0,8,9,10,8,14,12,16,14,14,0,
(0,1),-0.449099 # DEPENDENCYPART_ARC
(0,2),0.0339116 # DEPENDENCYPART_ARC
(0,3),-1.61146 # DEPENDENCYPART_ARC
(0,5),-1.77926 # DEPENDENCYPART_ARC
(0,6),-1.69753 # DEPENDENCYPART_ARC
(0,7),-0.547463 # DEPENDENCYPART_ARC
(0,8),-0.159758 # DEPENDENCYPART_ARC
(0,9),-0.565104 # DEPENDENCYPART_ARC
(0,10),-2.48276 # DEPENDENCYPART_ARC
(0,11),-2.59634 # DEPENDENCYPART_ARC
(0,12),-0.829511 # DEPENDENCYPART_ARC
(0,14),-0.432738 # DEPENDENCYPART_ARC
(0,15),-2.25729 # DEPENDENCYPART_ARC
(0,16),-2.41537 # DEPENDENCYPART_ARC
(0,17),-2.13233 # DEPENDENCYPART_ARC
(0,18),3.72831 # DEPENDENCYPART_ARC
(1,2),2.19979 # DEPENDENCYPART_ARC
(1,3),-0.124063 # DEPENDENCYPART_ARC
(1,4),-1.78795 # DEPENDENCYPART_ARC
(1,5),-0.300197 # DEPENDENCYPART_ARC
(1,6),-0.321514 # DEPENDENCYPART_ARC
(1,7),-0.158123 # DEPENDENCYPART_ARC
(1,8),-0.641231 # DEPENDENCYPART_ARC
(1,9),-1.29488 # DEPENDENCYPART_ARC
(1,10),-2.36224 # DEPENDENCYPART_ARC
(1,11),-1.23689 # DEPENDENCYPART_ARC
(1,12),-0.954194 # DEPENDENCYPART_ARC
(1,13),-3.76698 # DEPENDENCYPART_ARC
(1,14),-3.9755 # DEPENDENCYPART_ARC
(1,15),-1.43647 # DEPENDENCYPART_ARC
(1,16),-1.8798 # DEPENDENCYPART_ARC
(1,17),-1.69102 # DEPENDENCYPART_ARC
(1,18),-5.61231 # DEPENDENCYPART_ARC
(2,1),-0.521655 # DEPENDENCYPART_ARC
(2,3),3.78063 # DEPENDENCYPART_ARC
(2,4),-2.24007 # DEPENDENCYPART_ARC
(2,5),-2.40781 # DEPENDENCYPART_ARC
(2,6),-2.58529 # DEPENDENCYPART_ARC
(2,7),-0.539431 # DEPENDENCYPART_ARC
(2,8),-3.20596 # DEPENDENCYPART_ARC
(2,9),-1.64241 # DEPENDENCYPART_ARC
(2,10),-5.61122 # DEPENDENCYPART_ARC
(2,11),-4.5024 # DEPENDENCYPART_ARC
(2,12),-1.57961 # DEPENDENCYPART_ARC
(2,14),-3.20376 # DEPENDENCYPART_ARC
(2,15),-2.42912 # DEPENDENCYPART_ARC
(2,16),-2.55627 # DEPENDENCYPART_ARC
(2,17),-3.38501 # DEPENDENCYPART_ARC
(2,18),-4.33339 # DEPENDENCYPART_ARC
(3,1),-3.37527 # DEPENDENCYPART_ARC
(3,2),0.920688 # DEPENDENCYPART_ARC
(3,4),-0.731894 # DEPENDENCYPART_ARC
(3,5),-0.360755 # DEPENDENCYPART_ARC
(3,6),2.4849 # DEPENDENCYPART_ARC
(3,7),0.240967 # DEPENDENCYPART_ARC
(3,8),-0.113001 # DEPENDENCYPART_ARC
