# _root_ Poslanec FS Aleš Mucha ( LSU ) nevidí důvod , proč by stahoval svůj návrh kandidatury Jiřího Kotase na funkci prezidenta ČSFR , přestože se v minulých dnech LSU od kandidatury J . Kotase distancovala .
#goldHeads=4,1,4,8,4,4,4,0,8,13,13,13,9,15,13,15,18,16,16,19,20,21,24,8,35,35,28,26,35,35,30,34,32,31,24,0,
#predictedHeads=4,1,4,5,8,4,5,0,8,13,13,13,9,15,13,15,18,16,15,19,20,21,24,13,35,35,28,26,28,35,30,34,32,31,24,0,
(0,1),-0.0967371 # DEPENDENCYPART_ARC
(0,2),-0.0647263 # DEPENDENCYPART_ARC
(0,3),-0.077201 # DEPENDENCYPART_ARC
(0,4),0.25574 # DEPENDENCYPART_ARC
(0,5),-0.423054 # DEPENDENCYPART_ARC
(0,6),-1.06445 # DEPENDENCYPART_ARC
(0,7),0.127876 # DEPENDENCYPART_ARC
(0,8),1.94435 # DEPENDENCYPART_ARC
(0,9),-2.39446 # DEPENDENCYPART_ARC
(0,10),-0.476714 # DEPENDENCYPART_ARC
(0,11),-0.777509 # DEPENDENCYPART_ARC
(0,12),-0.581579 # DEPENDENCYPART_ARC
(0,13),-0.21956 # DEPENDENCYPART_ARC
(0,14),-1.39855 # DEPENDENCYPART_ARC
(0,15),-3.88925 # DEPENDENCYPART_ARC
(0,16),-4.04534 # DEPENDENCYPART_ARC
(0,17),-4.4657 # DEPENDENCYPART_ARC
(0,18),-4.40301 # DEPENDENCYPART_ARC
(0,19),-4.73074 # DEPENDENCYPART_ARC
(0,20),-4.65814 # DEPENDENCYPART_ARC
(0,21),-4.58823 # DEPENDENCYPART_ARC
(0,22),-3.63002 # DEPENDENCYPART_ARC
(0,23),-1.69811 # DEPENDENCYPART_ARC
(0,24),-2.81286 # DEPENDENCYPART_ARC
(0,25),-6.16783 # DEPENDENCYPART_ARC
(0,26),-4.24802 # DEPENDENCYPART_ARC
(0,27),-5.07573 # DEPENDENCYPART_ARC
(0,28),-5.89495 # DEPENDENCYPART_ARC
(0,29),-5.28142 # DEPENDENCYPART_ARC
(0,30),-6.37096 # DEPENDENCYPART_ARC
(0,31),-6.75796 # DEPENDENCYPART_ARC
(0,32),-5.69146 # DEPENDENCYPART_ARC
(0,33),0.873797 # DEPENDENCYPART_ARC
(0,34),-7.40386 # DEPENDENCYPART_ARC
(0,35),-1.36858 # DEPENDENCYPART_ARC
(0,36),3.71004 # DEPENDENCYPART_ARC
(1,2),2.86642 # DEPENDENCYPART_ARC
(1,3),0.0478962 # DEPENDENCYPART_ARC
(1,4),-1.21255 # DEPENDENCYPART_ARC
(1,5),0.120592 # DEPENDENCYPART_ARC
(1,6),-0.477286 # DEPENDENCYPART_ARC
(1,7),0.141405 # DEPENDENCYPART_ARC
(1,8),-1.77773 # DEPENDENCYPART_ARC
(1,9),-5.87333 # DEPENDENCYPART_ARC
(1,10),-0.721168 # DEPENDENCYPART_ARC
(1,11),-0.890706 # DEPENDENCYPART_ARC
(1,12),-2.72629 # DEPENDENCYPART_ARC
(1,13),-3.1144 # DEPENDENCYPART_ARC
(1,14),-3.8035 # DEPENDENCYPART_ARC
(1,15),-7.00072 # DEPENDENCYPART_ARC
(1,16),-3.10336 # DEPENDENCYPART_ARC
(1,17),-4.17142 # DEPENDENCYPART_ARC
(1,18),-4.2291 # DEPENDENCYPART_ARC
(1,19),-2.48094 # DEPENDENCYPART_ARC
(1,20),-8.84008 # DEPENDENCYPART_ARC
(1,21),-4.94596 # DEPENDENCYPART_ARC
(1,22),-4.52513 # DEPENDENCYPART_ARC
(1,23),-1.87351 # DEPENDENCYPART_ARC
(1,24),-3.50782 # DEPENDENCYPART_ARC
(1,25),-4.542 # DEPENDENCYPART_ARC
(1,26),-4.07361 # DEPENDENCYPART_ARC
(1,27),-5.55772 # DEPENDENCYPART_ARC
(1,28),-7.27746 # DEPENDENCYPART_ARC
(1,29),-5.82481 # DEPENDENCYPART_ARC
(1,30),-2.9225 # DEPENDENCYPART_ARC
