# _root_ Za karty bude chybět Novotný a o tom , zda nastoupí Chovanec , rozhodne lékař až po dnešním tréninku .
#goldHeads=4,1,4,6,4,0,14,7,10,8,10,11,10,6,14,19,14,19,17,0,
#predictedHeads=4,1,4,6,4,0,6,7,10,8,10,11,10,10,14,19,14,19,17,0,
(0,1),-0.691603 # DEPENDENCYPART_ARC
(0,2),-1.78197 # DEPENDENCYPART_ARC
(0,3),0.215945 # DEPENDENCYPART_ARC
(0,4),-0.175839 # DEPENDENCYPART_ARC
(0,5),-2.17001 # DEPENDENCYPART_ARC
(0,6),-0.426371 # DEPENDENCYPART_ARC
(0,7),-2.89754 # DEPENDENCYPART_ARC
(0,8),-2.04578 # DEPENDENCYPART_ARC
(0,9),-0.624224 # DEPENDENCYPART_ARC
(0,10),-1.88784 # DEPENDENCYPART_ARC
(0,11),-1.71291 # DEPENDENCYPART_ARC
(0,12),-3.43463 # DEPENDENCYPART_ARC
(0,13),-0.704712 # DEPENDENCYPART_ARC
(0,14),0.251947 # DEPENDENCYPART_ARC
(0,15),-4.41234 # DEPENDENCYPART_ARC
(0,16),-3.45361 # DEPENDENCYPART_ARC
(0,17),-5.4863 # DEPENDENCYPART_ARC
(0,18),-4.45981 # DEPENDENCYPART_ARC
(0,19),-4.87453 # DEPENDENCYPART_ARC
(0,20),4.56336 # DEPENDENCYPART_ARC
(1,2),4.84038 # DEPENDENCYPART_ARC
(1,3),-0.79803 # DEPENDENCYPART_ARC
(1,5),-3.78353 # DEPENDENCYPART_ARC
(1,6),-1.62381 # DEPENDENCYPART_ARC
(1,7),-1.66715 # DEPENDENCYPART_ARC
(1,8),-1.82848 # DEPENDENCYPART_ARC
(1,9),-1.502 # DEPENDENCYPART_ARC
(1,10),-2.61065 # DEPENDENCYPART_ARC
(1,11),-1.87348 # DEPENDENCYPART_ARC
(1,12),-8.82198 # DEPENDENCYPART_ARC
(1,13),-2.41028 # DEPENDENCYPART_ARC
(1,14),-2.35352 # DEPENDENCYPART_ARC
(1,15),-10.5772 # DEPENDENCYPART_ARC
(1,16),-1.35273 # DEPENDENCYPART_ARC
(1,17),-2.77834 # DEPENDENCYPART_ARC
(1,18),-2.94544 # DEPENDENCYPART_ARC
(1,19),-10.4558 # DEPENDENCYPART_ARC
(1,20),-4.00346 # DEPENDENCYPART_ARC
(2,1),0.187328 # DEPENDENCYPART_ARC
(2,3),-0.866077 # DEPENDENCYPART_ARC
(2,4),-0.489843 # DEPENDENCYPART_ARC
(2,5),-2.8767 # DEPENDENCYPART_ARC
(2,6),-0.198697 # DEPENDENCYPART_ARC
(2,7),-1.0028 # DEPENDENCYPART_ARC
(2,8),-1.95256 # DEPENDENCYPART_ARC
(2,9),-1.20647 # DEPENDENCYPART_ARC
(2,10),-1.09253 # DEPENDENCYPART_ARC
(2,11),-4.98585 # DEPENDENCYPART_ARC
(2,12),-5.75719 # DEPENDENCYPART_ARC
(2,13),-1.77962 # DEPENDENCYPART_ARC
(2,14),-6.83883 # DEPENDENCYPART_ARC
(2,15),-6.28759 # DEPENDENCYPART_ARC
(2,16),-1.72682 # DEPENDENCYPART_ARC
(2,17),-2.58194 # DEPENDENCYPART_ARC
(2,18),-6.83296 # DEPENDENCYPART_ARC
(2,19),-4.58204 # DEPENDENCYPART_ARC
(2,20),-6.60793 # DEPENDENCYPART_ARC
(3,1),1.4199 # DEPENDENCYPART_ARC
(3,2),-1.48339 # DEPENDENCYPART_ARC
(3,4),1.31366 # DEPENDENCYPART_ARC
(3,5),0.0324825 # DEPENDENCYPART_ARC
(3,6),-0.119456 # DEPENDENCYPART_ARC
(3,7),-1.5249 # DEPENDENCYPART_ARC
(3,8),-2.62946 # DEPENDENCYPART_ARC
