# _root_ Za to , co se stalo v Dublinu , nám před deseti roky Evropa uzavřela dveře .
#goldHeads=15,1,6,6,6,2,6,7,6,15,15,13,11,15,0,15,0,
#predictedHeads=15,1,15,6,6,2,6,7,15,15,15,13,11,15,0,15,0,
(0,1),-1.09825 # DEPENDENCYPART_ARC
(0,2),-0.994131 # DEPENDENCYPART_ARC
(0,3),-0.120372 # DEPENDENCYPART_ARC
(0,4),-0.498291 # DEPENDENCYPART_ARC
(0,5),-1.52854 # DEPENDENCYPART_ARC
(0,6),0.366479 # DEPENDENCYPART_ARC
(0,7),-1.83508 # DEPENDENCYPART_ARC
(0,8),-1.40381 # DEPENDENCYPART_ARC
(0,9),-0.640925 # DEPENDENCYPART_ARC
(0,10),-1.63372 # DEPENDENCYPART_ARC
(0,11),-2.65465 # DEPENDENCYPART_ARC
(0,12),-1.96463 # DEPENDENCYPART_ARC
(0,13),-1.05811 # DEPENDENCYPART_ARC
(0,14),-1.38478 # DEPENDENCYPART_ARC
(0,15),-0.0477175 # DEPENDENCYPART_ARC
(0,16),-3.22159 # DEPENDENCYPART_ARC
(0,17),4.08678 # DEPENDENCYPART_ARC
(1,2),3.92362 # DEPENDENCYPART_ARC
(1,3),0.123503 # DEPENDENCYPART_ARC
(1,4),-0.243578 # DEPENDENCYPART_ARC
(1,5),-0.0396695 # DEPENDENCYPART_ARC
(1,6),-1.42815 # DEPENDENCYPART_ARC
(1,7),-1.26231 # DEPENDENCYPART_ARC
(1,8),-2.92047 # DEPENDENCYPART_ARC
(1,9),-0.724109 # DEPENDENCYPART_ARC
(1,10),-1.49725 # DEPENDENCYPART_ARC
(1,11),-1.65863 # DEPENDENCYPART_ARC
(1,12),-1.54586 # DEPENDENCYPART_ARC
(1,13),-6.00815 # DEPENDENCYPART_ARC
(1,14),-7.54252 # DEPENDENCYPART_ARC
(1,15),-2.51889 # DEPENDENCYPART_ARC
(1,16),-6.89322 # DEPENDENCYPART_ARC
(1,17),-2.69865 # DEPENDENCYPART_ARC
(2,1),0.976317 # DEPENDENCYPART_ARC
(2,3),0.333791 # DEPENDENCYPART_ARC
(2,4),0.0942092 # DEPENDENCYPART_ARC
(2,5),-0.0535381 # DEPENDENCYPART_ARC
(2,6),3.07281 # DEPENDENCYPART_ARC
(2,7),-1.05439 # DEPENDENCYPART_ARC
(2,8),-0.502253 # DEPENDENCYPART_ARC
(2,9),0.877855 # DEPENDENCYPART_ARC
(2,10),-1.90722 # DEPENDENCYPART_ARC
(2,11),-1.24025 # DEPENDENCYPART_ARC
(2,12),-0.708861 # DEPENDENCYPART_ARC
(2,13),-1.87161 # DEPENDENCYPART_ARC
(2,14),-2.17187 # DEPENDENCYPART_ARC
(2,15),0.473891 # DEPENDENCYPART_ARC
(2,16),-1.87782 # DEPENDENCYPART_ARC
(2,17),-0.279859 # DEPENDENCYPART_ARC
(3,1),-0.350826 # DEPENDENCYPART_ARC
(3,2),0.656306 # DEPENDENCYPART_ARC
(3,4),0.290056 # DEPENDENCYPART_ARC
(3,5),0.102343 # DEPENDENCYPART_ARC
(3,6),1.11381 # DEPENDENCYPART_ARC
(3,7),-0.750045 # DEPENDENCYPART_ARC
(3,8),-0.853015 # DEPENDENCYPART_ARC
(3,9),0.12416 # DEPENDENCYPART_ARC
(3,10),-1.08383 # DEPENDENCYPART_ARC
(3,11),-1.44504 # DEPENDENCYPART_ARC
(3,12),-0.980186 # DEPENDENCYPART_ARC
(3,13),-1.63879 # DEPENDENCYPART_ARC
(3,14),-2.14724 # DEPENDENCYPART_ARC
(3,15),-0.504971 # DEPENDENCYPART_ARC
(3,16),-2.82074 # DEPENDENCYPART_ARC
(3,17),-0.687192 # DEPENDENCYPART_ARC
