# _root_ Ať už podnět ke změnám přišel zvenčí nebo ne , určitě vzbuzuje naději , že povede ke zchlazení výbušné atmosféry v zemi .
#goldHeads=8,1,6,3,4,1,6,10,8,0,12,10,12,15,13,15,16,17,20,18,20,21,0,
#predictedHeads=6,3,6,3,4,10,8,6,8,12,12,0,12,15,13,15,16,17,20,18,20,21,0,
(0,1),0.547822 # DEPENDENCYPART_ARC
(0,2),0.200834 # DEPENDENCYPART_ARC
(0,3),0.506969 # DEPENDENCYPART_ARC
(0,4),0.351391 # DEPENDENCYPART_ARC
(0,5),-0.804467 # DEPENDENCYPART_ARC
(0,6),0.833126 # DEPENDENCYPART_ARC
(0,7),-0.922451 # DEPENDENCYPART_ARC
(0,8),-0.288005 # DEPENDENCYPART_ARC
(0,9),-0.628801 # DEPENDENCYPART_ARC
(0,10),-0.00429624 # DEPENDENCYPART_ARC
(0,11),-1.36159 # DEPENDENCYPART_ARC
(0,12),0.453126 # DEPENDENCYPART_ARC
(0,13),-1.54095 # DEPENDENCYPART_ARC
(0,14),-0.545393 # DEPENDENCYPART_ARC
(0,15),-2.46079 # DEPENDENCYPART_ARC
(0,16),-0.7913 # DEPENDENCYPART_ARC
(0,17),-3.65554 # DEPENDENCYPART_ARC
(0,18),-2.67752 # DEPENDENCYPART_ARC
(0,19),-3.07563 # DEPENDENCYPART_ARC
(0,20),-3.6379 # DEPENDENCYPART_ARC
(0,21),-4.08561 # DEPENDENCYPART_ARC
(0,22),-3.33406 # DEPENDENCYPART_ARC
(0,23),4.39763 # DEPENDENCYPART_ARC
(1,2),0.607556 # DEPENDENCYPART_ARC
(1,3),-0.00745238 # DEPENDENCYPART_ARC
(1,4),-0.52374 # DEPENDENCYPART_ARC
(1,5),-0.615322 # DEPENDENCYPART_ARC
(1,6),0.015879 # DEPENDENCYPART_ARC
(1,7),-0.391071 # DEPENDENCYPART_ARC
(1,8),-0.135351 # DEPENDENCYPART_ARC
(1,9),-0.687159 # DEPENDENCYPART_ARC
(1,10),-0.0872257 # DEPENDENCYPART_ARC
(1,11),-0.592566 # DEPENDENCYPART_ARC
(1,12),-0.936494 # DEPENDENCYPART_ARC
(1,13),-1.21964 # DEPENDENCYPART_ARC
(1,14),-1.07937 # DEPENDENCYPART_ARC
(1,15),-0.409554 # DEPENDENCYPART_ARC
(1,16),-1.94743 # DEPENDENCYPART_ARC
(1,17),-1.78184 # DEPENDENCYPART_ARC
(1,18),-1.7845 # DEPENDENCYPART_ARC
(1,19),-2.52773 # DEPENDENCYPART_ARC
(1,20),-1.84014 # DEPENDENCYPART_ARC
(1,21),-2.11264 # DEPENDENCYPART_ARC
(1,22),-1.67636 # DEPENDENCYPART_ARC
(1,23),-3.03402 # DEPENDENCYPART_ARC
(2,1),0.396422 # DEPENDENCYPART_ARC
(2,3),0.056973 # DEPENDENCYPART_ARC
(2,4),-0.816776 # DEPENDENCYPART_ARC
(2,5),-1.2984 # DEPENDENCYPART_ARC
(2,6),-1.04786 # DEPENDENCYPART_ARC
(2,7),-1.18067 # DEPENDENCYPART_ARC
(2,8),-1.19879 # DEPENDENCYPART_ARC
(2,9),-1.51541 # DEPENDENCYPART_ARC
(2,10),-1.41639 # DEPENDENCYPART_ARC
(2,11),-1.42386 # DEPENDENCYPART_ARC
(2,12),-1.85198 # DEPENDENCYPART_ARC
(2,13),-3.1505 # DEPENDENCYPART_ARC
(2,14),-1.78281 # DEPENDENCYPART_ARC
(2,15),-2.65338 # DEPENDENCYPART_ARC
(2,16),-2.61607 # DEPENDENCYPART_ARC
(2,17),-2.54137 # DEPENDENCYPART_ARC
(2,18),-4.14625 # DEPENDENCYPART_ARC
(2,19),-2.60911 # DEPENDENCYPART_ARC
(2,20),-4.42578 # DEPENDENCYPART_ARC
(2,21),-2.76656 # DEPENDENCYPART_ARC
(2,22),-4.96193 # DEPENDENCYPART_ARC
(2,23),-4.35081 # DEPENDENCYPART_ARC
(3,1),0.618515 # DEPENDENCYPART_ARC
(3,2),1.30249 # DEPENDENCYPART_ARC
(3,4),2.75748 # DEPENDENCYPART_ARC
(3,5),-0.301222 # DEPENDENCYPART_ARC
(3,6),0.32975 # DEPENDENCYPART_ARC
(3,7),-0.0733319 # DEPENDENCYPART_ARC
(3,8),-0.354952 # DEPENDENCYPART_ARC
