# _root_ Hlavním bodem je turnaj ve streetballu , což je jakási uliční varianta basketbalu na jeden koš pro zpravidla tříčlenná družstva , která si našla do Evropy cestu z USA .
#goldHeads=2,3,7,3,4,5,0,9,7,12,12,9,12,13,16,14,13,19,20,17,24,24,24,12,24,25,24,24,28,0,
#predictedHeads=2,3,7,3,4,5,0,9,7,12,12,9,12,13,16,14,16,19,20,17,24,24,24,20,24,25,24,27,28,0,
(0,1),-0.57568 # DEPENDENCYPART_ARC
(0,2),-1.46713 # DEPENDENCYPART_ARC
(0,3),0.783737 # DEPENDENCYPART_ARC
(0,4),-1.33929 # DEPENDENCYPART_ARC
(0,5),-0.509257 # DEPENDENCYPART_ARC
(0,6),-2.03134 # DEPENDENCYPART_ARC
(0,7),0.0230692 # DEPENDENCYPART_ARC
(0,8),-1.03641 # DEPENDENCYPART_ARC
(0,9),-0.282773 # DEPENDENCYPART_ARC
(0,10),-1.47306 # DEPENDENCYPART_ARC
(0,11),-2.24632 # DEPENDENCYPART_ARC
(0,12),-2.85711 # DEPENDENCYPART_ARC
(0,13),-3.42274 # DEPENDENCYPART_ARC
(0,14),-2.99024 # DEPENDENCYPART_ARC
(0,15),-3.00302 # DEPENDENCYPART_ARC
(0,16),-3.30104 # DEPENDENCYPART_ARC
(0,17),-2.68876 # DEPENDENCYPART_ARC
(0,18),-2.71497 # DEPENDENCYPART_ARC
(0,19),-3.231 # DEPENDENCYPART_ARC
(0,20),-3.47118 # DEPENDENCYPART_ARC
(0,21),-0.571618 # DEPENDENCYPART_ARC
(0,22),-2.32884 # DEPENDENCYPART_ARC
(0,23),-2.52002 # DEPENDENCYPART_ARC
(0,24),-0.942244 # DEPENDENCYPART_ARC
(0,25),-4.47578 # DEPENDENCYPART_ARC
(0,26),-4.1844 # DEPENDENCYPART_ARC
(0,27),-4.49509 # DEPENDENCYPART_ARC
(0,28),-7.13474 # DEPENDENCYPART_ARC
(0,29),-4.11829 # DEPENDENCYPART_ARC
(0,30),4.2231 # DEPENDENCYPART_ARC
(1,2),0.0616422 # DEPENDENCYPART_ARC
(1,3),-1.96437 # DEPENDENCYPART_ARC
(1,4),-4.31408 # DEPENDENCYPART_ARC
(1,5),-0.792307 # DEPENDENCYPART_ARC
(1,6),-4.54777 # DEPENDENCYPART_ARC
(1,7),-1.04325 # DEPENDENCYPART_ARC
(1,8),-3.65264 # DEPENDENCYPART_ARC
(1,9),-3.09413 # DEPENDENCYPART_ARC
(1,10),-4.84541 # DEPENDENCYPART_ARC
(1,11),-5.44539 # DEPENDENCYPART_ARC
(1,12),-6.40841 # DEPENDENCYPART_ARC
(1,13),-6.91939 # DEPENDENCYPART_ARC
(1,14),-2.42718 # DEPENDENCYPART_ARC
(1,15),-3.03217 # DEPENDENCYPART_ARC
(1,16),-7.51892 # DEPENDENCYPART_ARC
(1,17),-2.23754 # DEPENDENCYPART_ARC
(1,18),-2.51746 # DEPENDENCYPART_ARC
(1,19),-6.76406 # DEPENDENCYPART_ARC
(1,20),-7.65141 # DEPENDENCYPART_ARC
(1,21),-1.62159 # DEPENDENCYPART_ARC
(1,22),-6.44168 # DEPENDENCYPART_ARC
(1,23),-3.70114 # DEPENDENCYPART_ARC
(1,24),-4.2894 # DEPENDENCYPART_ARC
(1,25),-3.41201 # DEPENDENCYPART_ARC
(1,26),-9.21987 # DEPENDENCYPART_ARC
(1,27),-10.1307 # DEPENDENCYPART_ARC
(1,28),-4.53053 # DEPENDENCYPART_ARC
(1,29),-10.0422 # DEPENDENCYPART_ARC
(1,30),-6.13895 # DEPENDENCYPART_ARC
(2,1),5.17268 # DEPENDENCYPART_ARC
(2,3),-0.90178 # DEPENDENCYPART_ARC
(2,4),-1.18806 # DEPENDENCYPART_ARC
(2,5),-0.0235824 # DEPENDENCYPART_ARC
(2,6),-1.74876 # DEPENDENCYPART_ARC
(2,7),-1.14181 # DEPENDENCYPART_ARC
(2,8),-3.48488 # DEPENDENCYPART_ARC
(2,9),-2.02638 # DEPENDENCYPART_ARC
(2,10),-2.49889 # DEPENDENCYPART_ARC
(2,11),-4.31622 # DEPENDENCYPART_ARC
(2,12),-4.17503 # DEPENDENCYPART_ARC
(2,13),-2.19628 # DEPENDENCYPART_ARC
(2,14),-1.86003 # DEPENDENCYPART_ARC
(2,15),-4.08342 # DEPENDENCYPART_ARC
(2,16),-6.14708 # DEPENDENCYPART_ARC
(2,17),-2.51413 # DEPENDENCYPART_ARC
(2,18),-1.28289 # DEPENDENCYPART_ARC
(2,19),-5.09924 # DEPENDENCYPART_ARC
(2,20),-7.07672 # DEPENDENCYPART_ARC
(2,21),-1.71347 # DEPENDENCYPART_ARC
(2,22),-5.21055 # DEPENDENCYPART_ARC
(2,23),-3.87467 # DEPENDENCYPART_ARC
(2,24),-3.14662 # DEPENDENCYPART_ARC
(2,25),-4.07078 # DEPENDENCYPART_ARC
(2,26),-5.95797 # DEPENDENCYPART_ARC
(2,27),-8.7575 # DEPENDENCYPART_ARC
