# _root_ Federální ministerstvo kontroly však svůj postoj nemění - ani v naléhavé otázce , kdo nahradí škody , pokud se stavba pankráckého hotelu neuskuteční .
#goldHeads=2,7,2,0,6,7,4,10,12,6,12,10,15,15,12,15,18,15,23,23,22,20,18,0,
#predictedHeads=2,7,2,0,6,7,4,9,12,7,12,10,15,15,12,15,18,15,23,23,22,20,18,0,
(0,1),-0.172608 # DEPENDENCYPART_ARC
(0,2),-0.624186 # DEPENDENCYPART_ARC
(0,3),-1.18929 # DEPENDENCYPART_ARC
(0,4),1.75859 # DEPENDENCYPART_ARC
(0,5),-1.27932 # DEPENDENCYPART_ARC
(0,6),-2.37575 # DEPENDENCYPART_ARC
(0,7),0.530045 # DEPENDENCYPART_ARC
(0,8),-0.183056 # DEPENDENCYPART_ARC
(0,9),-0.711516 # DEPENDENCYPART_ARC
(0,10),-1.39171 # DEPENDENCYPART_ARC
(0,11),-2.74341 # DEPENDENCYPART_ARC
(0,12),-2.4974 # DEPENDENCYPART_ARC
(0,13),-0.550307 # DEPENDENCYPART_ARC
(0,14),-1.74772 # DEPENDENCYPART_ARC
(0,15),-0.130355 # DEPENDENCYPART_ARC
(0,16),-3.4949 # DEPENDENCYPART_ARC
(0,17),-0.940402 # DEPENDENCYPART_ARC
(0,18),-3.71002 # DEPENDENCYPART_ARC
(0,19),-3.79536 # DEPENDENCYPART_ARC
(0,20),-4.4719 # DEPENDENCYPART_ARC
(0,21),-4.41718 # DEPENDENCYPART_ARC
(0,22),-5.6701 # DEPENDENCYPART_ARC
(0,23),-0.795494 # DEPENDENCYPART_ARC
(0,24),4.40945 # DEPENDENCYPART_ARC
(1,2),-1.25313 # DEPENDENCYPART_ARC
(1,3),-1.34998 # DEPENDENCYPART_ARC
(1,4),-0.0652549 # DEPENDENCYPART_ARC
(1,5),-3.1786 # DEPENDENCYPART_ARC
(1,6),-3.59904 # DEPENDENCYPART_ARC
(1,7),-3.29801 # DEPENDENCYPART_ARC
(1,8),-1.30497 # DEPENDENCYPART_ARC
(1,9),-0.945628 # DEPENDENCYPART_ARC
(1,10),-2.56577 # DEPENDENCYPART_ARC
(1,11),-4.05019 # DEPENDENCYPART_ARC
(1,12),-4.20971 # DEPENDENCYPART_ARC
(1,13),-1.29213 # DEPENDENCYPART_ARC
(1,14),-4.13582 # DEPENDENCYPART_ARC
(1,15),-3.8631 # DEPENDENCYPART_ARC
(1,16),-6.95941 # DEPENDENCYPART_ARC
(1,17),-1.84838 # DEPENDENCYPART_ARC
(1,18),-2.30487 # DEPENDENCYPART_ARC
(1,19),-4.00037 # DEPENDENCYPART_ARC
(1,20),-7.79561 # DEPENDENCYPART_ARC
(1,21),-5.83819 # DEPENDENCYPART_ARC
(1,22),-6.45465 # DEPENDENCYPART_ARC
(1,23),-5.2634 # DEPENDENCYPART_ARC
(1,24),-5.41383 # DEPENDENCYPART_ARC
(2,1),4.61658 # DEPENDENCYPART_ARC
(2,3),3.69364 # DEPENDENCYPART_ARC
(2,4),0.36681 # DEPENDENCYPART_ARC
(2,5),-1.44536 # DEPENDENCYPART_ARC
(2,6),-2.76903 # DEPENDENCYPART_ARC
(2,7),-1.14041 # DEPENDENCYPART_ARC
(2,8),-0.628544 # DEPENDENCYPART_ARC
(2,9),-1.20654 # DEPENDENCYPART_ARC
(2,10),-1.53993 # DEPENDENCYPART_ARC
(2,11),-2.94532 # DEPENDENCYPART_ARC
(2,12),-2.77204 # DEPENDENCYPART_ARC
(2,13),-1.03732 # DEPENDENCYPART_ARC
(2,14),-2.53141 # DEPENDENCYPART_ARC
(2,15),-1.71914 # DEPENDENCYPART_ARC
(2,16),-7.25414 # DEPENDENCYPART_ARC
(2,17),-1.07406 # DEPENDENCYPART_ARC
(2,18),-2.03389 # DEPENDENCYPART_ARC
(2,19),-2.61255 # DEPENDENCYPART_ARC
(2,20),-4.73976 # DEPENDENCYPART_ARC
(2,21),-4.11419 # DEPENDENCYPART_ARC
(2,22),-2.79119 # DEPENDENCYPART_ARC
(2,23),-4.83791 # DEPENDENCYPART_ARC
(2,24),-8.80633 # DEPENDENCYPART_ARC
(3,1),-1.95509 # DEPENDENCYPART_ARC
(3,2),-1.38844 # DEPENDENCYPART_ARC
(3,4),0.0203231 # DEPENDENCYPART_ARC
(3,5),-1.87194 # DEPENDENCYPART_ARC
(3,6),-2.83727 # DEPENDENCYPART_ARC
(3,7),-1.59045 # DEPENDENCYPART_ARC
(3,8),-0.562656 # DEPENDENCYPART_ARC
(3,9),-1.45817 # DEPENDENCYPART_ARC
(3,10),-1.03642 # DEPENDENCYPART_ARC
(3,11),-2.20163 # DEPENDENCYPART_ARC
(3,12),-3.06169 # DEPENDENCYPART_ARC
(3,13),-1.022 # DEPENDENCYPART_ARC
(3,14),-3.10527 # DEPENDENCYPART_ARC
(3,15),-2.18655 # DEPENDENCYPART_ARC
(3,16),-7.84661 # DEPENDENCYPART_ARC
(3,17),-1.19424 # DEPENDENCYPART_ARC
(3,18),-2.55688 # DEPENDENCYPART_ARC
(3,19),-3.69183 # DEPENDENCYPART_ARC
(3,20),-4.77014 # DEPENDENCYPART_ARC
(3,21),-3.93501 # DEPENDENCYPART_ARC
(3,22),-2.35856 # DEPENDENCYPART_ARC
(3,23),-5.23837 # DEPENDENCYPART_ARC
(3,24),-8.23725 # DEPENDENCYPART_ARC
(4,1),-0.694427 # DEPENDENCYPART_ARC
(4,2),-0.15476 # DEPENDENCYPART_ARC
(4,3),0.462813 # DEPENDENCYPART_ARC
(4,5),0.633038 # DEPENDENCYPART_ARC
(4,6),0.612828 # DEPENDENCYPART_ARC
(4,7),1.20992 # DEPENDENCYPART_ARC
(4,8),0.345457 # DEPENDENCYPART_ARC
(4,9),-0.640179 # DEPENDENCYPART_ARC
(4,10),-1.12605 # DEPENDENCYPART_ARC
(4,11),-2.45633 # DEPENDENCYPART_ARC
(4,12),-1.38608 # DEPENDENCYPART_ARC
(4,13),0.250456 # DEPENDENCYPART_ARC
(4,14),-1.89033 # DEPENDENCYPART_ARC
(4,15),-0.401444 # DEPENDENCYPART_ARC
(4,16),-3.19157 # DEPENDENCYPART_ARC
(4,17),-0.202472 # DEPENDENCYPART_ARC
(4,18),-0.492217 # DEPENDENCYPART_ARC
(4,19),-2.16094 # DEPENDENCYPART_ARC
(4,20),-4.22294 # DEPENDENCYPART_ARC
(4,21),-4.60058 # DEPENDENCYPART_ARC
(4,22),-4.18775 # DEPENDENCYPART_ARC
(4,23),-1.07696 # DEPENDENCYPART_ARC
(4,24),-0.510367 # DEPENDENCYPART_ARC
(5,1),-3.03039 # DEPENDENCYPART_ARC
(5,2),-1.4987 # DEPENDENCYPART_ARC
(5,3),-0.425127 # DEPENDENCYPART_ARC
(5,4),-0.00932603 # DEPENDENCYPART_ARC
(5,6),0.832769 # DEPENDENCYPART_ARC
(5,7),-2.47375 # DEPENDENCYPART_ARC
(5,8),-0.984386 # DEPENDENCYPART_ARC
(5,9),-1.23184 # DEPENDENCYPART_ARC
(5,10),-1.92961 # DEPENDENCYPART_ARC
(5,11),-3.27807 # DEPENDENCYPART_ARC
(5,12),-1.65915 # DEPENDENCYPART_ARC
(5,13),-1.35359 # DEPENDENCYPART_ARC
(5,14),-3.29059 # DEPENDENCYPART_ARC
(5,15),-3.80143 # DEPENDENCYPART_ARC
(5,16),-2.31796 # DEPENDENCYPART_ARC
(5,17),-1.62465 # DEPENDENCYPART_ARC
(5,18),-2.51018 # DEPENDENCYPART_ARC
(5,19),-4.27271 # DEPENDENCYPART_ARC
(5,20),-2.81506 # DEPENDENCYPART_ARC
(5,21),-4.09874 # DEPENDENCYPART_ARC
(5,22),-2.52099 # DEPENDENCYPART_ARC
(5,23),-7.36995 # DEPENDENCYPART_ARC
(5,24),-2.60564 # DEPENDENCYPART_ARC
(6,1),-2.88004 # DEPENDENCYPART_ARC
(6,2),-3.75949 # DEPENDENCYPART_ARC
(6,3),-3.84616 # DEPENDENCYPART_ARC
(6,4),-0.399919 # DEPENDENCYPART_ARC
(6,5),5.06406 # DEPENDENCYPART_ARC
(6,7),-1.17931 # DEPENDENCYPART_ARC
(6,8),-0.688635 # DEPENDENCYPART_ARC
(6,9),-0.672186 # DEPENDENCYPART_ARC
(6,10),-1.01271 # DEPENDENCYPART_ARC
(6,11),-3.002 # DEPENDENCYPART_ARC
(6,12),-1.71001 # DEPENDENCYPART_ARC
(6,13),-0.980092 # DEPENDENCYPART_ARC
(6,14),-3.21641 # DEPENDENCYPART_ARC
(6,15),-2.29193 # DEPENDENCYPART_ARC
(6,16),-5.3236 # DEPENDENCYPART_ARC
(6,17),-1.11449 # DEPENDENCYPART_ARC
(6,18),-1.95319 # DEPENDENCYPART_ARC
(6,19),-3.65818 # DEPENDENCYPART_ARC
(6,20),-4.42489 # DEPENDENCYPART_ARC
(6,21),-3.4009 # DEPENDENCYPART_ARC
(6,22),-2.25849 # DEPENDENCYPART_ARC
(6,23),-5.44898 # DEPENDENCYPART_ARC
(6,24),-6.89313 # DEPENDENCYPART_ARC
(7,1),-0.418331 # DEPENDENCYPART_ARC
(7,2),1.84307 # DEPENDENCYPART_ARC
(7,3),-0.93583 # DEPENDENCYPART_ARC
(7,4),1.37683 # DEPENDENCYPART_ARC
(7,5),2.44723 # DEPENDENCYPART_ARC
(7,6),3.52556 # DEPENDENCYPART_ARC
(7,8),0.741003 # DEPENDENCYPART_ARC
(7,9),1.05289 # DEPENDENCYPART_ARC
(7,10),0.148844 # DEPENDENCYPART_ARC
(7,11),-4.11633 # DEPENDENCYPART_ARC
(7,12),-0.211396 # DEPENDENCYPART_ARC
(7,13),0.0895199 # DEPENDENCYPART_ARC
(7,14),-1.17816 # DEPENDENCYPART_ARC
(7,15),-1.21853 # DEPENDENCYPART_ARC
(7,16),-1.6507 # DEPENDENCYPART_ARC
(7,17),-0.131691 # DEPENDENCYPART_ARC
(7,18),0.426813 # DEPENDENCYPART_ARC
(7,19),-3.06128 # DEPENDENCYPART_ARC
(7,20),-3.29347 # DEPENDENCYPART_ARC
(7,21),-6.34053 # DEPENDENCYPART_ARC
(7,22),-5.41968 # DEPENDENCYPART_ARC
(7,23),-3.76264 # DEPENDENCYPART_ARC
(7,24),-1.53266 # DEPENDENCYPART_ARC
(8,1),-1.11554 # DEPENDENCYPART_ARC
(8,2),0.0040044 # DEPENDENCYPART_ARC
(8,3),0.0520259 # DEPENDENCYPART_ARC
(8,4),0.271055 # DEPENDENCYPART_ARC
(8,5),0.220101 # DEPENDENCYPART_ARC
(8,6),0.416043 # DEPENDENCYPART_ARC
(8,7),-0.321849 # DEPENDENCYPART_ARC
(8,9),0.753689 # DEPENDENCYPART_ARC
(8,10),-0.473148 # DEPENDENCYPART_ARC
(8,11),0.534004 # DEPENDENCYPART_ARC
(8,12),0.129464 # DEPENDENCYPART_ARC
(8,13),-0.83315 # DEPENDENCYPART_ARC
(8,14),-0.859373 # DEPENDENCYPART_ARC
(8,15),-0.433772 # DEPENDENCYPART_ARC
(8,16),-1.35845 # DEPENDENCYPART_ARC
(8,17),-0.755767 # DEPENDENCYPART_ARC
(8,18),-0.61113 # DEPENDENCYPART_ARC
(8,19),-1.77255 # DEPENDENCYPART_ARC
(8,20),-2.53526 # DEPENDENCYPART_ARC
(8,21),-1.74832 # DEPENDENCYPART_ARC
(8,22),-3.0647 # DEPENDENCYPART_ARC
(8,23),-1.46465 # DEPENDENCYPART_ARC
(8,24),-1.04026 # DEPENDENCYPART_ARC
(9,1),-1.35206 # DEPENDENCYPART_ARC
(9,2),0.222369 # DEPENDENCYPART_ARC
(9,3),-0.43671 # DEPENDENCYPART_ARC
(9,4),0.737168 # DEPENDENCYPART_ARC
(9,5),0.560603 # DEPENDENCYPART_ARC
(9,6),0.926342 # DEPENDENCYPART_ARC
(9,7),1.12553 # DEPENDENCYPART_ARC
(9,8),1.22648 # DEPENDENCYPART_ARC
(9,10),0.508237 # DEPENDENCYPART_ARC
(9,11),0.457097 # DEPENDENCYPART_ARC
(9,12),0.402271 # DEPENDENCYPART_ARC
(9,13),-0.181934 # DEPENDENCYPART_ARC
(9,14),-1.07153 # DEPENDENCYPART_ARC
(9,15),-0.802022 # DEPENDENCYPART_ARC
(9,16),-1.53575 # DEPENDENCYPART_ARC
(9,17),-0.8161 # DEPENDENCYPART_ARC
(9,18),-0.347226 # DEPENDENCYPART_ARC
(9,19),-1.71009 # DEPENDENCYPART_ARC
(9,20),-2.74653 # DEPENDENCYPART_ARC
(9,21),-2.44575 # DEPENDENCYPART_ARC
(9,22),-3.12816 # DEPENDENCYPART_ARC
(9,23),-1.96703 # DEPENDENCYPART_ARC
(9,24),-2.17871 # DEPENDENCYPART_ARC
(10,1),-2.81929 # DEPENDENCYPART_ARC
(10,2),-3.54759 # DEPENDENCYPART_ARC
(10,3),-2.71101 # DEPENDENCYPART_ARC
(10,4),-1.56244 # DEPENDENCYPART_ARC
(10,5),-1.17409 # DEPENDENCYPART_ARC
(10,6),-2.06635 # DEPENDENCYPART_ARC
(10,7),-1.809 # DEPENDENCYPART_ARC
(10,8),1.11433 # DEPENDENCYPART_ARC
(10,9),0.112909 # DEPENDENCYPART_ARC
(10,11),0.90942 # DEPENDENCYPART_ARC
(10,12),4.05502 # DEPENDENCYPART_ARC
(10,13),-0.143353 # DEPENDENCYPART_ARC
(10,14),-1.6319 # DEPENDENCYPART_ARC
(10,15),-1.35972 # DEPENDENCYPART_ARC
(10,16),-3.6578 # DEPENDENCYPART_ARC
(10,17),-1.15091 # DEPENDENCYPART_ARC
(10,18),-1.58389 # DEPENDENCYPART_ARC
(10,19),-3.4824 # DEPENDENCYPART_ARC
(10,20),-6.20938 # DEPENDENCYPART_ARC
(10,21),-3.6632 # DEPENDENCYPART_ARC
(10,22),-5.20848 # DEPENDENCYPART_ARC
(10,23),-2.38719 # DEPENDENCYPART_ARC
(10,24),-3.50486 # DEPENDENCYPART_ARC
(11,1),-5.69623 # DEPENDENCYPART_ARC
(11,2),-4.11125 # DEPENDENCYPART_ARC
(11,3),-3.89905 # DEPENDENCYPART_ARC
(11,4),-2.02532 # DEPENDENCYPART_ARC
(11,5),-2.69545 # DEPENDENCYPART_ARC
(11,6),-2.46448 # DEPENDENCYPART_ARC
