# _root_ Přesto se zdá , že největší nadějí na zmírnění vlny je bouřlivé počasí , které meteorologové čekají ode dneška .
#goldHeads=3,3,0,5,3,7,11,7,8,9,5,13,11,17,17,17,13,17,18,0,
#predictedHeads=3,3,0,5,3,7,11,7,8,9,5,13,11,17,17,17,5,17,18,0,
(0,1),0.704146 # DEPENDENCYPART_ARC
(0,3),-0.0999126 # DEPENDENCYPART_ARC
(0,4),-0.505185 # DEPENDENCYPART_ARC
(0,5),-2.15102 # DEPENDENCYPART_ARC
(0,6),-2.14847 # DEPENDENCYPART_ARC
(0,7),-2.68517 # DEPENDENCYPART_ARC
(0,8),-1.56554 # DEPENDENCYPART_ARC
(0,9),-2.90393 # DEPENDENCYPART_ARC
(0,10),-3.9014 # DEPENDENCYPART_ARC
(0,11),-0.462139 # DEPENDENCYPART_ARC
(0,12),-3.02543 # DEPENDENCYPART_ARC
(0,13),-3.31955 # DEPENDENCYPART_ARC
(0,14),-0.808048 # DEPENDENCYPART_ARC
(0,15),-2.0889 # DEPENDENCYPART_ARC
(0,16),-4.66914 # DEPENDENCYPART_ARC
(0,17),-0.958624 # DEPENDENCYPART_ARC
(0,18),-4.95144 # DEPENDENCYPART_ARC
(0,19),-5.17019 # DEPENDENCYPART_ARC
(0,20),3.91047 # DEPENDENCYPART_ARC
(1,3),0.837753 # DEPENDENCYPART_ARC
(1,4),0.299201 # DEPENDENCYPART_ARC
(1,5),-0.663347 # DEPENDENCYPART_ARC
(1,6),-1.25136 # DEPENDENCYPART_ARC
(1,7),-2.20878 # DEPENDENCYPART_ARC
(1,8),-1.09618 # DEPENDENCYPART_ARC
(1,9),-2.12199 # DEPENDENCYPART_ARC
(1,10),-1.52699 # DEPENDENCYPART_ARC
(1,11),-0.620516 # DEPENDENCYPART_ARC
(1,12),-2.34178 # DEPENDENCYPART_ARC
(1,13),-3.3171 # DEPENDENCYPART_ARC
(1,14),-0.271569 # DEPENDENCYPART_ARC
(1,15),-1.28301 # DEPENDENCYPART_ARC
(1,16),-4.6728 # DEPENDENCYPART_ARC
(1,17),-1.22997 # DEPENDENCYPART_ARC
(1,18),-1.76615 # DEPENDENCYPART_ARC
(1,19),-3.65732 # DEPENDENCYPART_ARC
(1,20),-2.36236 # DEPENDENCYPART_ARC
(3,1),2.07987 # DEPENDENCYPART_ARC
(3,2),4.30775 # DEPENDENCYPART_ARC
(3,4),1.1795 # DEPENDENCYPART_ARC
(3,5),2.01367 # DEPENDENCYPART_ARC
(3,6),-4.31744 # DEPENDENCYPART_ARC
(3,7),-0.781792 # DEPENDENCYPART_ARC
(3,8),-0.319148 # DEPENDENCYPART_ARC
(3,9),-2.59061 # DEPENDENCYPART_ARC
(3,10),-4.05349 # DEPENDENCYPART_ARC
(3,11),-2.21858 # DEPENDENCYPART_ARC
(3,12),-3.38225 # DEPENDENCYPART_ARC
(3,13),-2.37903 # DEPENDENCYPART_ARC
(3,14),-0.389627 # DEPENDENCYPART_ARC
(3,15),-4.0372 # DEPENDENCYPART_ARC
(3,16),-4.31966 # DEPENDENCYPART_ARC
(3,17),-3.52287 # DEPENDENCYPART_ARC
(3,18),-1.71535 # DEPENDENCYPART_ARC
(3,19),-6.67786 # DEPENDENCYPART_ARC
(3,20),-1.71395 # DEPENDENCYPART_ARC
(4,1),-1.22544 # DEPENDENCYPART_ARC
(4,2),-0.55737 # DEPENDENCYPART_ARC
(4,3),-1.13966 # DEPENDENCYPART_ARC
(4,5),-0.11547 # DEPENDENCYPART_ARC
(4,6),-0.864151 # DEPENDENCYPART_ARC
(4,7),-1.51371 # DEPENDENCYPART_ARC
(4,8),-1.65541 # DEPENDENCYPART_ARC
(4,9),-2.19326 # DEPENDENCYPART_ARC
(4,10),-2.7619 # DEPENDENCYPART_ARC
(4,11),-1.01299 # DEPENDENCYPART_ARC
(4,12),-2.48664 # DEPENDENCYPART_ARC
(4,13),-3.29223 # DEPENDENCYPART_ARC
(4,14),-1.4107 # DEPENDENCYPART_ARC
(4,15),-3.18588 # DEPENDENCYPART_ARC
(4,16),-4.16603 # DEPENDENCYPART_ARC
(4,17),-2.06248 # DEPENDENCYPART_ARC
(4,18),-3.48765 # DEPENDENCYPART_ARC
(4,19),-4.88502 # DEPENDENCYPART_ARC
(4,20),-2.40329 # DEPENDENCYPART_ARC
(5,1),-0.958697 # DEPENDENCYPART_ARC
(5,3),-2.0997 # DEPENDENCYPART_ARC
(5,4),2.64623 # DEPENDENCYPART_ARC
(5,6),0.825485 # DEPENDENCYPART_ARC
(5,7),-0.997591 # DEPENDENCYPART_ARC
(5,8),-1.21323 # DEPENDENCYPART_ARC
(5,9),-2.08388 # DEPENDENCYPART_ARC
(5,10),-2.58812 # DEPENDENCYPART_ARC
(5,11),1.7797 # DEPENDENCYPART_ARC
(5,12),-2.1471 # DEPENDENCYPART_ARC
(5,13),-2.99166 # DEPENDENCYPART_ARC
(5,14),0.329001 # DEPENDENCYPART_ARC
(5,16),-4.53973 # DEPENDENCYPART_ARC
(5,17),0.606915 # DEPENDENCYPART_ARC
(5,18),-2.84998 # DEPENDENCYPART_ARC
(5,19),-4.51231 # DEPENDENCYPART_ARC
(5,20),-1.6818 # DEPENDENCYPART_ARC
(6,1),-2.42188 # DEPENDENCYPART_ARC
(6,2),-2.6002 # DEPENDENCYPART_ARC
(6,3),-4.46121 # DEPENDENCYPART_ARC
(6,4),-1.6084 # DEPENDENCYPART_ARC
(6,5),-1.14313 # DEPENDENCYPART_ARC
(6,7),-0.215797 # DEPENDENCYPART_ARC
(6,8),0.175534 # DEPENDENCYPART_ARC
(6,9),-2.88113 # DEPENDENCYPART_ARC
(6,10),-3.17661 # DEPENDENCYPART_ARC
(6,11),-2.20712 # DEPENDENCYPART_ARC
(6,12),-4.99873 # DEPENDENCYPART_ARC
(6,13),-4.87656 # DEPENDENCYPART_ARC
(6,14),-0.803351 # DEPENDENCYPART_ARC
(6,16),-6.04421 # DEPENDENCYPART_ARC
(6,17),-3.44958 # DEPENDENCYPART_ARC
(6,18),-1.81179 # DEPENDENCYPART_ARC
(6,19),-5.63142 # DEPENDENCYPART_ARC
(6,20),-3.09963 # DEPENDENCYPART_ARC
(7,1),-1.23121 # DEPENDENCYPART_ARC
(7,2),-3.34792 # DEPENDENCYPART_ARC
(7,3),-1.55392 # DEPENDENCYPART_ARC
(7,4),-0.116222 # DEPENDENCYPART_ARC
(7,5),0.0509355 # DEPENDENCYPART_ARC
