# _root_ " Podnikám a nezakrývám , že závodění a firma někdy nejdou dohromady , jedno druhému zabírá čas .
#goldHeads=3,3,0,3,6,4,8,11,8,11,13,11,6,16,16,13,16,0,
#predictedHeads=3,3,0,3,6,4,8,6,8,11,6,11,16,11,16,6,16,0,
(0,1),-0.762895 # DEPENDENCYPART_ARC
(0,2),0.43194 # DEPENDENCYPART_ARC
(0,3),0.100291 # DEPENDENCYPART_ARC
(0,4),-1.64137 # DEPENDENCYPART_ARC
(0,5),-0.692989 # DEPENDENCYPART_ARC
(0,6),-2.37338 # DEPENDENCYPART_ARC
(0,7),-2.8972 # DEPENDENCYPART_ARC
(0,8),-1.59034 # DEPENDENCYPART_ARC
(0,9),-2.49442 # DEPENDENCYPART_ARC
(0,10),-1.79008 # DEPENDENCYPART_ARC
(0,11),-1.42436 # DEPENDENCYPART_ARC
(0,12),-2.44263 # DEPENDENCYPART_ARC
(0,13),-1.49458 # DEPENDENCYPART_ARC
(0,14),-2.81412 # DEPENDENCYPART_ARC
(0,15),-3.06137 # DEPENDENCYPART_ARC
(0,16),-2.13535 # DEPENDENCYPART_ARC
(0,17),-4.65462 # DEPENDENCYPART_ARC
(0,18),3.25336 # DEPENDENCYPART_ARC
(1,2),-2.41128 # DEPENDENCYPART_ARC
(1,3),-2.9306 # DEPENDENCYPART_ARC
(1,4),-3.67368 # DEPENDENCYPART_ARC
(1,5),-3.01871 # DEPENDENCYPART_ARC
(1,6),-3.2689 # DEPENDENCYPART_ARC
(1,7),-5.2207 # DEPENDENCYPART_ARC
(1,8),-3.53937 # DEPENDENCYPART_ARC
(1,9),-5.71579 # DEPENDENCYPART_ARC
(1,10),-3.96785 # DEPENDENCYPART_ARC
(1,11),-4.76697 # DEPENDENCYPART_ARC
(1,12),-4.2489 # DEPENDENCYPART_ARC
(1,13),-3.87914 # DEPENDENCYPART_ARC
(1,14),-5.4219 # DEPENDENCYPART_ARC
(1,15),-5.41855 # DEPENDENCYPART_ARC
(1,16),-5.57147 # DEPENDENCYPART_ARC
(1,17),-7.04646 # DEPENDENCYPART_ARC
(1,18),-4.19723 # DEPENDENCYPART_ARC
(2,1),1.03066 # DEPENDENCYPART_ARC
(2,3),0.227344 # DEPENDENCYPART_ARC
(2,4),-0.197837 # DEPENDENCYPART_ARC
(2,5),-0.0358879 # DEPENDENCYPART_ARC
(2,6),0.277992 # DEPENDENCYPART_ARC
(2,7),-2.06568 # DEPENDENCYPART_ARC
(2,8),-0.358121 # DEPENDENCYPART_ARC
(2,9),-2.73595 # DEPENDENCYPART_ARC
(2,10),-1.0136 # DEPENDENCYPART_ARC
(2,11),-3.73958 # DEPENDENCYPART_ARC
(2,12),-1.61161 # DEPENDENCYPART_ARC
(2,13),-0.41605 # DEPENDENCYPART_ARC
(2,14),-1.97881 # DEPENDENCYPART_ARC
(2,15),-5.53279 # DEPENDENCYPART_ARC
(2,16),-4.76966 # DEPENDENCYPART_ARC
(2,17),-3.34117 # DEPENDENCYPART_ARC
(2,18),-0.872791 # DEPENDENCYPART_ARC
(3,1),2.07929 # DEPENDENCYPART_ARC
(3,2),4.30626 # DEPENDENCYPART_ARC
(3,4),3.23954 # DEPENDENCYPART_ARC
(3,5),0.199639 # DEPENDENCYPART_ARC
(3,6),0.00556403 # DEPENDENCYPART_ARC
(3,7),-0.258102 # DEPENDENCYPART_ARC
(3,8),-0.713004 # DEPENDENCYPART_ARC
(3,9),-1.19526 # DEPENDENCYPART_ARC
(3,10),-0.150199 # DEPENDENCYPART_ARC
(3,11),-0.485383 # DEPENDENCYPART_ARC
(3,12),-0.612107 # DEPENDENCYPART_ARC
(3,13),0.164813 # DEPENDENCYPART_ARC
(3,14),-1.76818 # DEPENDENCYPART_ARC
(3,15),-1.9965 # DEPENDENCYPART_ARC
(3,16),-1.28849 # DEPENDENCYPART_ARC
(3,17),-2.85204 # DEPENDENCYPART_ARC
(3,18),-1.4464 # DEPENDENCYPART_ARC
(4,1),0.00785623 # DEPENDENCYPART_ARC
(4,2),0.125423 # DEPENDENCYPART_ARC
(4,3),0.239453 # DEPENDENCYPART_ARC
(4,5),0.19501 # DEPENDENCYPART_ARC
(4,6),1.64054 # DEPENDENCYPART_ARC
(4,7),-1.6027 # DEPENDENCYPART_ARC
(4,8),0.133134 # DEPENDENCYPART_ARC
(4,9),-1.9175 # DEPENDENCYPART_ARC
(4,10),-1.06276 # DEPENDENCYPART_ARC
(4,11),-2.93494 # DEPENDENCYPART_ARC
(4,12),-1.36041 # DEPENDENCYPART_ARC
(4,13),-0.486349 # DEPENDENCYPART_ARC
(4,14),-1.49149 # DEPENDENCYPART_ARC
(4,15),-4.38864 # DEPENDENCYPART_ARC
(4,16),-3.1233 # DEPENDENCYPART_ARC
(4,17),-2.96134 # DEPENDENCYPART_ARC
(4,18),-1.32572 # DEPENDENCYPART_ARC
(5,1),0.00386904 # DEPENDENCYPART_ARC
(5,2),0.256839 # DEPENDENCYPART_ARC
(5,3),-0.0352231 # DEPENDENCYPART_ARC
(5,4),-0.432322 # DEPENDENCYPART_ARC
(5,6),-0.075951 # DEPENDENCYPART_ARC
(5,7),-1.05745 # DEPENDENCYPART_ARC
(5,8),-1.07825 # DEPENDENCYPART_ARC
(5,9),-2.02064 # DEPENDENCYPART_ARC
(5,10),-1.1741 # DEPENDENCYPART_ARC
(5,11),-1.05098 # DEPENDENCYPART_ARC
(5,12),-1.54667 # DEPENDENCYPART_ARC
(5,13),-1.49257 # DEPENDENCYPART_ARC
(5,14),-2.72706 # DEPENDENCYPART_ARC
(5,15),-2.34616 # DEPENDENCYPART_ARC
(5,16),-2.40938 # DEPENDENCYPART_ARC
(5,17),-3.80795 # DEPENDENCYPART_ARC
(5,18),-2.22801 # DEPENDENCYPART_ARC
(6,1),-0.933443 # DEPENDENCYPART_ARC
(6,2),-1.6243 # DEPENDENCYPART_ARC
(6,3),0.0831948 # DEPENDENCYPART_ARC
(6,4),-1.12716 # DEPENDENCYPART_ARC
(6,5),2.91539 # DEPENDENCYPART_ARC
(6,7),-0.112099 # DEPENDENCYPART_ARC
(6,8),0.67912 # DEPENDENCYPART_ARC
(6,9),-1.61692 # DEPENDENCYPART_ARC
(6,10),-0.881464 # DEPENDENCYPART_ARC
(6,11),1.96552 # DEPENDENCYPART_ARC
(6,12),-0.884688 # DEPENDENCYPART_ARC
(6,13),0.300498 # DEPENDENCYPART_ARC
(6,14),-1.81522 # DEPENDENCYPART_ARC
(6,15),-2.21778 # DEPENDENCYPART_ARC
(6,16),0.344925 # DEPENDENCYPART_ARC
(6,17),-3.14991 # DEPENDENCYPART_ARC
(6,18),-0.779097 # DEPENDENCYPART_ARC
(7,1),-3.85528 # DEPENDENCYPART_ARC
(7,2),-4.99956 # DEPENDENCYPART_ARC
(7,3),-3.5717 # DEPENDENCYPART_ARC
(7,4),-5.1745 # DEPENDENCYPART_ARC
(7,5),-2.14124 # DEPENDENCYPART_ARC
(7,6),-2.76442 # DEPENDENCYPART_ARC
(7,8),0.0874342 # DEPENDENCYPART_ARC
(7,9),-0.108953 # DEPENDENCYPART_ARC
(7,10),-0.976029 # DEPENDENCYPART_ARC
(7,11),-3.03427 # DEPENDENCYPART_ARC
(7,12),-1.43038 # DEPENDENCYPART_ARC
(7,13),-1.25824 # DEPENDENCYPART_ARC
(7,14),-0.536719 # DEPENDENCYPART_ARC
(7,15),-2.1084 # DEPENDENCYPART_ARC
(7,16),-3.91822 # DEPENDENCYPART_ARC
(7,17),-6.67116 # DEPENDENCYPART_ARC
(7,18),-4.08699 # DEPENDENCYPART_ARC
(8,1),-0.580312 # DEPENDENCYPART_ARC
(8,2),0.441395 # DEPENDENCYPART_ARC
(8,3),0.0791307 # DEPENDENCYPART_ARC
(8,4),0.554555 # DEPENDENCYPART_ARC
(8,5),1.1595 # DEPENDENCYPART_ARC
(8,6),0.695369 # DEPENDENCYPART_ARC
(8,7),3.84916 # DEPENDENCYPART_ARC
(8,9),3.94225 # DEPENDENCYPART_ARC
(8,10),0.349798 # DEPENDENCYPART_ARC
(8,11),1.45967 # DEPENDENCYPART_ARC
(8,12),0.0753483 # DEPENDENCYPART_ARC
(8,13),0.240562 # DEPENDENCYPART_ARC
(8,14),-0.383527 # DEPENDENCYPART_ARC
(8,15),-0.475727 # DEPENDENCYPART_ARC
(8,16),-0.254238 # DEPENDENCYPART_ARC
(8,17),-1.37408 # DEPENDENCYPART_ARC
(8,18),-0.874054 # DEPENDENCYPART_ARC
(9,1),-3.40628 # DEPENDENCYPART_ARC
(9,2),-3.82289 # DEPENDENCYPART_ARC
(9,3),-3.08128 # DEPENDENCYPART_ARC
(9,4),-3.94627 # DEPENDENCYPART_ARC
(9,5),-1.58913 # DEPENDENCYPART_ARC
(9,6),-2.49738 # DEPENDENCYPART_ARC
