# _root_ Manažer si musí najít čas , kdy je zcela sám , kdy ho nikdo neruší při přemýšlení či analyzování situace podniku .
#goldHeads=3,4,0,3,4,11,8,11,10,8,5,15,15,15,11,15,18,16,18,19,20,0,
#predictedHeads=3,4,0,3,4,8,8,5,10,8,15,15,15,15,5,15,18,16,18,19,20,0,
(0,1),-1.20952 # DEPENDENCYPART_ARC
(0,2),-0.799303 # DEPENDENCYPART_ARC
(0,3),0.186856 # DEPENDENCYPART_ARC
(0,4),-0.549831 # DEPENDENCYPART_ARC
(0,5),-2.40672 # DEPENDENCYPART_ARC
(0,6),-0.303153 # DEPENDENCYPART_ARC
(0,7),-1.26789 # DEPENDENCYPART_ARC
(0,8),-0.459261 # DEPENDENCYPART_ARC
(0,9),-1.51704 # DEPENDENCYPART_ARC
(0,10),-1.55792 # DEPENDENCYPART_ARC
(0,11),-0.816527 # DEPENDENCYPART_ARC
(0,12),-1.87804 # DEPENDENCYPART_ARC
(0,13),-1.65111 # DEPENDENCYPART_ARC
(0,14),-1.53707 # DEPENDENCYPART_ARC
(0,15),-1.83564 # DEPENDENCYPART_ARC
(0,16),-4.25989 # DEPENDENCYPART_ARC
(0,17),-4.33109 # DEPENDENCYPART_ARC
(0,18),-4.66372 # DEPENDENCYPART_ARC
(0,19),-4.51767 # DEPENDENCYPART_ARC
(0,20),-4.33634 # DEPENDENCYPART_ARC
(0,21),-3.87116 # DEPENDENCYPART_ARC
(0,22),4.15536 # DEPENDENCYPART_ARC
(1,2),1.01491 # DEPENDENCYPART_ARC
(1,3),-0.771198 # DEPENDENCYPART_ARC
(1,4),-0.962824 # DEPENDENCYPART_ARC
(1,5),-4.54336 # DEPENDENCYPART_ARC
(1,6),-0.976638 # DEPENDENCYPART_ARC
(1,7),-0.752712 # DEPENDENCYPART_ARC
(1,8),-4.15346 # DEPENDENCYPART_ARC
(1,9),-1.15077 # DEPENDENCYPART_ARC
(1,10),1.37419 # DEPENDENCYPART_ARC
(1,11),-1.36479 # DEPENDENCYPART_ARC
(1,12),-1.50816 # DEPENDENCYPART_ARC
(1,13),-3.32601 # DEPENDENCYPART_ARC
(1,14),-1.24539 # DEPENDENCYPART_ARC
(1,15),-4.23169 # DEPENDENCYPART_ARC
(1,16),-4.35156 # DEPENDENCYPART_ARC
(1,17),-5.51578 # DEPENDENCYPART_ARC
(1,18),-3.14663 # DEPENDENCYPART_ARC
(1,19),-6.12709 # DEPENDENCYPART_ARC
(1,20),-5.18075 # DEPENDENCYPART_ARC
(1,21),-5.39014 # DEPENDENCYPART_ARC
(1,22),-6.89408 # DEPENDENCYPART_ARC
(2,1),-1.88051 # DEPENDENCYPART_ARC
(2,3),-3.40372 # DEPENDENCYPART_ARC
(2,4),-3.03241 # DEPENDENCYPART_ARC
(2,5),-3.47393 # DEPENDENCYPART_ARC
(2,6),-2.09335 # DEPENDENCYPART_ARC
(2,7),-2.58329 # DEPENDENCYPART_ARC
(2,8),-6.6083 # DEPENDENCYPART_ARC
(2,9),-2.76727 # DEPENDENCYPART_ARC
(2,10),-2.0835 # DEPENDENCYPART_ARC
(2,11),-2.50372 # DEPENDENCYPART_ARC
(2,12),-3.01002 # DEPENDENCYPART_ARC
(2,13),-3.70847 # DEPENDENCYPART_ARC
(2,14),-3.0993 # DEPENDENCYPART_ARC
(2,15),-7.43558 # DEPENDENCYPART_ARC
(2,16),-3.88497 # DEPENDENCYPART_ARC
(2,17),-5.42479 # DEPENDENCYPART_ARC
(2,18),-4.45132 # DEPENDENCYPART_ARC
(2,19),-5.21259 # DEPENDENCYPART_ARC
(2,20),-5.66254 # DEPENDENCYPART_ARC
(2,21),-5.6243 # DEPENDENCYPART_ARC
(2,22),-3.74956 # DEPENDENCYPART_ARC
(3,1),3.12404 # DEPENDENCYPART_ARC
(3,2),2.87352 # DEPENDENCYPART_ARC
(3,4),3.6325 # DEPENDENCYPART_ARC
(3,5),2.04979 # DEPENDENCYPART_ARC
(3,6),0.756117 # DEPENDENCYPART_ARC
(3,7),0.00191312 # DEPENDENCYPART_ARC
(3,8),-1.24414 # DEPENDENCYPART_ARC
(3,9),-0.941109 # DEPENDENCYPART_ARC
(3,10),-1.55901 # DEPENDENCYPART_ARC
(3,11),-0.298424 # DEPENDENCYPART_ARC
(3,12),-1.43473 # DEPENDENCYPART_ARC
(3,13),-2.46042 # DEPENDENCYPART_ARC
(3,14),-2.14219 # DEPENDENCYPART_ARC
(3,15),-2.74151 # DEPENDENCYPART_ARC
(3,16),-1.34745 # DEPENDENCYPART_ARC
(3,17),-4.19927 # DEPENDENCYPART_ARC
(3,18),-1.71106 # DEPENDENCYPART_ARC
(3,19),-4.32023 # DEPENDENCYPART_ARC
(3,20),-4.84373 # DEPENDENCYPART_ARC
(3,21),-5.11467 # DEPENDENCYPART_ARC
(3,22),-0.746914 # DEPENDENCYPART_ARC
(4,1),0.607335 # DEPENDENCYPART_ARC
(4,2),3.90948 # DEPENDENCYPART_ARC
(4,3),-0.338591 # DEPENDENCYPART_ARC
(4,5),4.10997 # DEPENDENCYPART_ARC
(4,6),0.221375 # DEPENDENCYPART_ARC
(4,7),-0.0213379 # DEPENDENCYPART_ARC
(4,8),-0.0462547 # DEPENDENCYPART_ARC
(4,9),-1.05311 # DEPENDENCYPART_ARC
(4,10),-1.6689 # DEPENDENCYPART_ARC
(4,11),-0.704344 # DEPENDENCYPART_ARC
(4,12),-1.52548 # DEPENDENCYPART_ARC
(4,13),-1.30371 # DEPENDENCYPART_ARC
(4,14),-2.2836 # DEPENDENCYPART_ARC
(4,15),-2.09708 # DEPENDENCYPART_ARC
(4,16),-0.628473 # DEPENDENCYPART_ARC
(4,17),-2.05512 # DEPENDENCYPART_ARC
(4,18),-1.06609 # DEPENDENCYPART_ARC
(4,19),-2.74422 # DEPENDENCYPART_ARC
(4,20),-3.23592 # DEPENDENCYPART_ARC
(4,21),-3.61067 # DEPENDENCYPART_ARC
(4,22),-1.5608 # DEPENDENCYPART_ARC
(5,1),-2.95387 # DEPENDENCYPART_ARC
(5,2),-3.14129 # DEPENDENCYPART_ARC
(5,3),-0.783954 # DEPENDENCYPART_ARC
(5,4),0.545668 # DEPENDENCYPART_ARC
(5,6),0.0667902 # DEPENDENCYPART_ARC
(5,7),0.403641 # DEPENDENCYPART_ARC
(5,8),1.50314 # DEPENDENCYPART_ARC
(5,9),0.0751103 # DEPENDENCYPART_ARC
(5,10),-0.936143 # DEPENDENCYPART_ARC
(5,11),-0.123721 # DEPENDENCYPART_ARC
(5,12),-0.328507 # DEPENDENCYPART_ARC
(5,13),-1.60871 # DEPENDENCYPART_ARC
(5,14),-1.92613 # DEPENDENCYPART_ARC
(5,15),1.06291 # DEPENDENCYPART_ARC
(5,16),-2.10588 # DEPENDENCYPART_ARC
(5,17),-3.01566 # DEPENDENCYPART_ARC
(5,18),-1.10196 # DEPENDENCYPART_ARC
(5,19),-3.65907 # DEPENDENCYPART_ARC
(5,20),-2.74225 # DEPENDENCYPART_ARC
(5,21),-2.76741 # DEPENDENCYPART_ARC
(5,22),-4.92483 # DEPENDENCYPART_ARC
(6,1),-1.10977 # DEPENDENCYPART_ARC
(6,2),-0.369239 # DEPENDENCYPART_ARC
(6,3),0.0461553 # DEPENDENCYPART_ARC
(6,4),-0.639585 # DEPENDENCYPART_ARC
(6,5),0.00720265 # DEPENDENCYPART_ARC
(6,7),-0.341935 # DEPENDENCYPART_ARC
(6,8),0.139976 # DEPENDENCYPART_ARC
(6,9),-0.616616 # DEPENDENCYPART_ARC
(6,10),-0.644737 # DEPENDENCYPART_ARC
(6,11),-0.399367 # DEPENDENCYPART_ARC
(6,12),-1.51446 # DEPENDENCYPART_ARC
(6,13),-1.22622 # DEPENDENCYPART_ARC
(6,14),-1.16969 # DEPENDENCYPART_ARC
(6,15),-0.964073 # DEPENDENCYPART_ARC
(6,16),-1.82678 # DEPENDENCYPART_ARC
(6,17),-2.45766 # DEPENDENCYPART_ARC
(6,18),-0.982627 # DEPENDENCYPART_ARC
(6,19),-3.05756 # DEPENDENCYPART_ARC
(6,20),-2.98828 # DEPENDENCYPART_ARC
(6,21),-2.86836 # DEPENDENCYPART_ARC
(6,22),-0.898823 # DEPENDENCYPART_ARC
(7,1),-1.78096 # DEPENDENCYPART_ARC
(7,2),-1.01051 # DEPENDENCYPART_ARC
(7,3),-0.718083 # DEPENDENCYPART_ARC
