# _root_ To má za následek , že k fixaci neutrálních mutací dochází vždy konstantní rychlostí , závislou na rychlosti vzniku nových mutací a nezávislou na velikosti populace .
#goldHeads=2,0,2,3,6,2,11,7,10,8,6,11,14,11,22,22,16,17,18,21,19,14,22,23,24,25,0,
#predictedHeads=2,0,2,3,6,2,11,7,10,8,6,11,14,11,16,14,16,17,18,21,22,19,22,23,24,25,0,
(0,1),-0.64664 # DEPENDENCYPART_ARC
(0,2),-0.278759 # DEPENDENCYPART_ARC
(0,3),-1.2015 # DEPENDENCYPART_ARC
(0,4),-1.61963 # DEPENDENCYPART_ARC
(0,5),-0.332929 # DEPENDENCYPART_ARC
(0,6),-1.85499 # DEPENDENCYPART_ARC
(0,7),-2.10234 # DEPENDENCYPART_ARC
(0,8),-2.2878 # DEPENDENCYPART_ARC
(0,9),-3.16888 # DEPENDENCYPART_ARC
(0,10),-4.17048 # DEPENDENCYPART_ARC
(0,11),-1.02396 # DEPENDENCYPART_ARC
(0,12),-2.3071 # DEPENDENCYPART_ARC
(0,13),-3.04637 # DEPENDENCYPART_ARC
(0,14),-3.50165 # DEPENDENCYPART_ARC
(0,15),-1.06145 # DEPENDENCYPART_ARC
(0,16),-3.41547 # DEPENDENCYPART_ARC
(0,17),-4.19055 # DEPENDENCYPART_ARC
(0,18),-4.31848 # DEPENDENCYPART_ARC
(0,19),-4.26073 # DEPENDENCYPART_ARC
(0,20),-4.39546 # DEPENDENCYPART_ARC
(0,21),-4.93149 # DEPENDENCYPART_ARC
(0,22),-2.22583 # DEPENDENCYPART_ARC
(0,23),-4.31791 # DEPENDENCYPART_ARC
(0,24),-5.34952 # DEPENDENCYPART_ARC
(0,25),-4.99842 # DEPENDENCYPART_ARC
(0,26),-4.83033 # DEPENDENCYPART_ARC
(0,27),3.97404 # DEPENDENCYPART_ARC
(1,2),-0.308262 # DEPENDENCYPART_ARC
(1,3),-1.37571 # DEPENDENCYPART_ARC
(1,4),-2.06486 # DEPENDENCYPART_ARC
(1,5),-0.893666 # DEPENDENCYPART_ARC
(1,6),-1.21159 # DEPENDENCYPART_ARC
(1,7),-2.47369 # DEPENDENCYPART_ARC
(1,8),-1.93213 # DEPENDENCYPART_ARC
(1,9),-4.19652 # DEPENDENCYPART_ARC
(1,10),-2.49181 # DEPENDENCYPART_ARC
(1,11),-3.92704 # DEPENDENCYPART_ARC
(1,12),-2.63221 # DEPENDENCYPART_ARC
(1,13),-3.85076 # DEPENDENCYPART_ARC
(1,14),-3.13733 # DEPENDENCYPART_ARC
(1,15),-1.68524 # DEPENDENCYPART_ARC
(1,16),-4.15681 # DEPENDENCYPART_ARC
(1,17),-2.7876 # DEPENDENCYPART_ARC
(1,18),-3.74736 # DEPENDENCYPART_ARC
(1,19),-4.173 # DEPENDENCYPART_ARC
(1,20),-5.77315 # DEPENDENCYPART_ARC
(1,21),-4.45398 # DEPENDENCYPART_ARC
(1,22),-2.64973 # DEPENDENCYPART_ARC
(1,23),-5.02504 # DEPENDENCYPART_ARC
(1,24),-3.12497 # DEPENDENCYPART_ARC
(1,25),-4.32075 # DEPENDENCYPART_ARC
(1,26),-4.7158 # DEPENDENCYPART_ARC
(1,27),-3.16066 # DEPENDENCYPART_ARC
(2,1),3.71596 # DEPENDENCYPART_ARC
(2,3),2.44581 # DEPENDENCYPART_ARC
(2,4),1.3867 # DEPENDENCYPART_ARC
(2,5),0.998196 # DEPENDENCYPART_ARC
(2,6),1.16374 # DEPENDENCYPART_ARC
(2,7),-0.727112 # DEPENDENCYPART_ARC
(2,8),-2.22718 # DEPENDENCYPART_ARC
(2,9),-6.10347 # DEPENDENCYPART_ARC
(2,10),-3.56349 # DEPENDENCYPART_ARC
(2,11),-1.79234 # DEPENDENCYPART_ARC
(2,12),-0.549011 # DEPENDENCYPART_ARC
(2,13),-5.84376 # DEPENDENCYPART_ARC
(2,14),-1.40675 # DEPENDENCYPART_ARC
(2,15),-0.0830686 # DEPENDENCYPART_ARC
(2,16),-6.24709 # DEPENDENCYPART_ARC
(2,17),-2.9749 # DEPENDENCYPART_ARC
(2,18),-4.7796 # DEPENDENCYPART_ARC
(2,19),-4.09574 # DEPENDENCYPART_ARC
(2,20),-8.31294 # DEPENDENCYPART_ARC
(2,21),-5.0209 # DEPENDENCYPART_ARC
(2,22),-1.00012 # DEPENDENCYPART_ARC
(2,23),-6.54897 # DEPENDENCYPART_ARC
(2,24),-4.42863 # DEPENDENCYPART_ARC
