# _root_ Pro investora se připravují informace o podnicích v odvětví , o situaci na trhu , představuje se lokalita a infrastruktura a poskytují se i další nezbytná data .
#goldHeads=4,1,4,21,4,10,6,7,8,5,10,11,12,13,21,21,16,19,16,19,0,21,22,27,27,27,22,0,
#predictedHeads=4,1,4,10,4,5,6,7,8,21,10,11,12,13,21,21,16,19,16,19,0,21,22,27,27,27,22,0,
(0,1),-0.520143 # DEPENDENCYPART_ARC
(0,2),-1.22023 # DEPENDENCYPART_ARC
(0,3),-1.29283 # DEPENDENCYPART_ARC
(0,4),0.787149 # DEPENDENCYPART_ARC
(0,5),-1.36272 # DEPENDENCYPART_ARC
(0,6),-0.783895 # DEPENDENCYPART_ARC
(0,7),-2.15569 # DEPENDENCYPART_ARC
(0,8),-0.857647 # DEPENDENCYPART_ARC
(0,9),-2.12812 # DEPENDENCYPART_ARC
(0,10),0.102856 # DEPENDENCYPART_ARC
(0,11),-1.87867 # DEPENDENCYPART_ARC
(0,12),-2.16015 # DEPENDENCYPART_ARC
(0,13),-2.80404 # DEPENDENCYPART_ARC
(0,14),-2.14988 # DEPENDENCYPART_ARC
(0,15),-0.159604 # DEPENDENCYPART_ARC
(0,16),1.45148 # DEPENDENCYPART_ARC
(0,17),-3.72447 # DEPENDENCYPART_ARC
(0,18),-2.56399 # DEPENDENCYPART_ARC
(0,19),-0.898375 # DEPENDENCYPART_ARC
(0,20),-2.95879 # DEPENDENCYPART_ARC
(0,21),-0.374655 # DEPENDENCYPART_ARC
(0,22),-1.99436 # DEPENDENCYPART_ARC
(0,23),-4.77309 # DEPENDENCYPART_ARC
(0,24),-3.80171 # DEPENDENCYPART_ARC
(0,25),-4.42949 # DEPENDENCYPART_ARC
(0,26),-4.11695 # DEPENDENCYPART_ARC
(0,27),-3.86588 # DEPENDENCYPART_ARC
(0,28),5.08332 # DEPENDENCYPART_ARC
(1,2),4.04564 # DEPENDENCYPART_ARC
(1,3),0.423035 # DEPENDENCYPART_ARC
(1,4),-1.24587 # DEPENDENCYPART_ARC
(1,5),-4.45938 # DEPENDENCYPART_ARC
(1,6),-1.57717 # DEPENDENCYPART_ARC
(1,7),-3.54282 # DEPENDENCYPART_ARC
