# _root_ Náš brankář Hnilička inteligentní není a přesně to , co navrhoval agent Winter Hrbkovi , udělal .
#goldHeads=2,3,6,5,6,0,8,16,11,11,8,13,11,11,11,6,0,
#predictedHeads=2,3,5,3,6,8,11,16,11,11,8,13,11,11,11,0,0,
(0,2),-0.772221 # DEPENDENCYPART_ARC
(0,3),-0.41918 # DEPENDENCYPART_ARC
(0,4),-1.23945 # DEPENDENCYPART_ARC
(0,5),-0.271476 # DEPENDENCYPART_ARC
(0,6),0.201506 # DEPENDENCYPART_ARC
(0,7),-1.10282 # DEPENDENCYPART_ARC
(0,8),-2.26412 # DEPENDENCYPART_ARC
(0,9),-0.500656 # DEPENDENCYPART_ARC
(0,10),-1.21629 # DEPENDENCYPART_ARC
(0,11),-0.968854 # DEPENDENCYPART_ARC
(0,12),-2.8482 # DEPENDENCYPART_ARC
(0,13),-2.44351 # DEPENDENCYPART_ARC
(0,14),-2.66492 # DEPENDENCYPART_ARC
(0,15),-1.10574 # DEPENDENCYPART_ARC
(0,16),-0.580799 # DEPENDENCYPART_ARC
(0,17),4.17199 # DEPENDENCYPART_ARC
(1,6),-0.996597 # DEPENDENCYPART_ARC
(1,9),-1.68317 # DEPENDENCYPART_ARC
(1,15),-2.20813 # DEPENDENCYPART_ARC
(1,17),-2.76472 # DEPENDENCYPART_ARC
(2,1),4.10555 # DEPENDENCYPART_ARC
(2,3),0.516755 # DEPENDENCYPART_ARC
(2,4),1.44925 # DEPENDENCYPART_ARC
(2,5),-1.42953 # DEPENDENCYPART_ARC
(2,6),-0.314429 # DEPENDENCYPART_ARC
(2,7),-1.29486 # DEPENDENCYPART_ARC
(2,8),-2.44225 # DEPENDENCYPART_ARC
(2,9),-1.02686 # DEPENDENCYPART_ARC
(2,10),-2.49218 # DEPENDENCYPART_ARC
(2,11),-1.23979 # DEPENDENCYPART_ARC
(2,12),-4.8609 # DEPENDENCYPART_ARC
(2,13),-4.21673 # DEPENDENCYPART_ARC
(2,14),-5.26117 # DEPENDENCYPART_ARC
(2,15),-1.2423 # DEPENDENCYPART_ARC
(2,16),-4.4063 # DEPENDENCYPART_ARC
(2,17),-5.62076 # DEPENDENCYPART_ARC
(3,1),2.97887 # DEPENDENCYPART_ARC
(3,2),4.7063 # DEPENDENCYPART_ARC
(3,4),2.91129 # DEPENDENCYPART_ARC
(3,5),-1.54107 # DEPENDENCYPART_ARC
(3,6),0.287148 # DEPENDENCYPART_ARC
(3,7),-1.13196 # DEPENDENCYPART_ARC
(3,8),-2.34511 # DEPENDENCYPART_ARC
(3,9),-0.533145 # DEPENDENCYPART_ARC
(3,10),-2.75497 # DEPENDENCYPART_ARC
(3,11),-0.735015 # DEPENDENCYPART_ARC
(3,12),-4.07391 # DEPENDENCYPART_ARC
(3,13),-4.08001 # DEPENDENCYPART_ARC
(3,14),-5.42955 # DEPENDENCYPART_ARC
(3,15),-0.831351 # DEPENDENCYPART_ARC
(3,16),-3.76329 # DEPENDENCYPART_ARC
(3,17),-4.4779 # DEPENDENCYPART_ARC
(4,1),0.0636868 # DEPENDENCYPART_ARC
(4,2),1.21803 # DEPENDENCYPART_ARC
(4,3),0.374513 # DEPENDENCYPART_ARC
(4,5),-0.090175 # DEPENDENCYPART_ARC
(4,6),0.230525 # DEPENDENCYPART_ARC
(4,7),-0.278729 # DEPENDENCYPART_ARC
(4,8),-2.25637 # DEPENDENCYPART_ARC
(4,9),-0.723797 # DEPENDENCYPART_ARC
(4,10),-1.55879 # DEPENDENCYPART_ARC
(4,11),-1.17593 # DEPENDENCYPART_ARC
(4,12),-3.53293 # DEPENDENCYPART_ARC
(4,13),-3.1772 # DEPENDENCYPART_ARC
(4,14),-1.84329 # DEPENDENCYPART_ARC
(4,15),-0.976437 # DEPENDENCYPART_ARC
(4,16),-2.41557 # DEPENDENCYPART_ARC
(4,17),-2.35677 # DEPENDENCYPART_ARC
(5,1),-0.445644 # DEPENDENCYPART_ARC
(5,2),1.67828 # DEPENDENCYPART_ARC
(5,3),1.38591 # DEPENDENCYPART_ARC
(5,4),2.14735 # DEPENDENCYPART_ARC
(5,6),0.0868081 # DEPENDENCYPART_ARC
(5,7),0.241334 # DEPENDENCYPART_ARC
(5,8),-0.873003 # DEPENDENCYPART_ARC
(5,9),-0.747796 # DEPENDENCYPART_ARC
(5,10),-2.41716 # DEPENDENCYPART_ARC
(5,11),-1.23272 # DEPENDENCYPART_ARC
(5,12),-1.03636 # DEPENDENCYPART_ARC
(5,13),-1.11217 # DEPENDENCYPART_ARC
(5,14),-1.49077 # DEPENDENCYPART_ARC
(5,15),-0.634546 # DEPENDENCYPART_ARC
(5,16),-2.73286 # DEPENDENCYPART_ARC
(5,17),-1.7878 # DEPENDENCYPART_ARC
(6,1),0.536213 # DEPENDENCYPART_ARC
(6,2),0.91127 # DEPENDENCYPART_ARC
(6,3),0.88458 # DEPENDENCYPART_ARC
(6,4),0.8879 # DEPENDENCYPART_ARC
(6,5),2.29486 # DEPENDENCYPART_ARC
(6,7),0.336461 # DEPENDENCYPART_ARC
(6,8),0.0562122 # DEPENDENCYPART_ARC
(6,9),0.0487519 # DEPENDENCYPART_ARC
(6,10),-0.407597 # DEPENDENCYPART_ARC
(6,11),1.29342 # DEPENDENCYPART_ARC
(6,12),-0.624023 # DEPENDENCYPART_ARC
(6,13),-1.39705 # DEPENDENCYPART_ARC
(6,14),-1.45055 # DEPENDENCYPART_ARC
(6,15),0.288441 # DEPENDENCYPART_ARC
(6,16),-0.0709911 # DEPENDENCYPART_ARC
(6,17),-1.47817 # DEPENDENCYPART_ARC
(7,2),-3.07979 # DEPENDENCYPART_ARC
(7,3),-2.82915 # DEPENDENCYPART_ARC
(7,4),-3.00403 # DEPENDENCYPART_ARC
