# _root_ Na jídelním lístku je stále nejméně 20 hotových jídel , dále několik jídel z ryb , ale i jídla bezmasá a na objednávku .
#goldHeads=4,3,1,0,4,7,17,9,7,17,17,17,12,13,14,17,4,19,17,21,19,21,22,0,
#predictedHeads=4,3,1,17,4,7,4,9,7,17,12,4,11,13,14,17,0,19,17,19,17,21,22,0,
(0,1),-1.02624 # DEPENDENCYPART_ARC
(0,2),-1.38575 # DEPENDENCYPART_ARC
(0,3),-1.93807 # DEPENDENCYPART_ARC
(0,4),0.247012 # DEPENDENCYPART_ARC
(0,5),-0.969016 # DEPENDENCYPART_ARC
(0,6),-1.29598 # DEPENDENCYPART_ARC
(0,7),-1.54027 # DEPENDENCYPART_ARC
(0,8),-2.4143 # DEPENDENCYPART_ARC
(0,9),-2.41031 # DEPENDENCYPART_ARC
(0,10),-0.629769 # DEPENDENCYPART_ARC
(0,11),-1.68933 # DEPENDENCYPART_ARC
(0,12),-2.44694 # DEPENDENCYPART_ARC
(0,13),-2.49739 # DEPENDENCYPART_ARC
(0,14),-3.38918 # DEPENDENCYPART_ARC
(0,15),-2.79145 # DEPENDENCYPART_ARC
(0,16),-0.739261 # DEPENDENCYPART_ARC
(0,17),0.408571 # DEPENDENCYPART_ARC
(0,18),-2.18015 # DEPENDENCYPART_ARC
(0,19),-2.57879 # DEPENDENCYPART_ARC
(0,20),-2.97003 # DEPENDENCYPART_ARC
(0,21),-0.813924 # DEPENDENCYPART_ARC
(0,22),-3.81966 # DEPENDENCYPART_ARC
(0,23),-2.93029 # DEPENDENCYPART_ARC
(0,24),4.48116 # DEPENDENCYPART_ARC
(1,2),0.879141 # DEPENDENCYPART_ARC
(1,3),4.84993 # DEPENDENCYPART_ARC
(1,4),-1.22256 # DEPENDENCYPART_ARC
(1,5),-1.38927 # DEPENDENCYPART_ARC
(1,6),-1.32057 # DEPENDENCYPART_ARC
(1,7),-1.11589 # DEPENDENCYPART_ARC
(1,8),-3.29205 # DEPENDENCYPART_ARC
(1,9),-3.28307 # DEPENDENCYPART_ARC
(1,10),-1.80875 # DEPENDENCYPART_ARC
(1,11),-2.03405 # DEPENDENCYPART_ARC
(1,12),-2.23531 # DEPENDENCYPART_ARC
(1,13),-5.08029 # DEPENDENCYPART_ARC
(1,14),-2.74659 # DEPENDENCYPART_ARC
(1,15),-6.79662 # DEPENDENCYPART_ARC
(1,16),-2.81952 # DEPENDENCYPART_ARC
(1,17),-2.09168 # DEPENDENCYPART_ARC
(1,18),-3.03295 # DEPENDENCYPART_ARC
(1,19),-9.12922 # DEPENDENCYPART_ARC
(1,20),-4.45419 # DEPENDENCYPART_ARC
(1,21),-4.61329 # DEPENDENCYPART_ARC
(1,22),-3.54746 # DEPENDENCYPART_ARC
(1,23),-9.97007 # DEPENDENCYPART_ARC
(1,24),-3.91597 # DEPENDENCYPART_ARC
(2,1),-0.929633 # DEPENDENCYPART_ARC
(2,3),0.194779 # DEPENDENCYPART_ARC
(2,4),-2.2455 # DEPENDENCYPART_ARC
(2,5),-1.06044 # DEPENDENCYPART_ARC
(2,6),-1.92119 # DEPENDENCYPART_ARC
(2,7),-1.3542 # DEPENDENCYPART_ARC
(2,8),-5.59076 # DEPENDENCYPART_ARC
(2,9),-2.53347 # DEPENDENCYPART_ARC
(2,10),-1.22483 # DEPENDENCYPART_ARC
(2,11),-2.0212 # DEPENDENCYPART_ARC
(2,12),-2.63877 # DEPENDENCYPART_ARC
(2,13),-3.21476 # DEPENDENCYPART_ARC
(2,14),-1.46348 # DEPENDENCYPART_ARC
(2,15),-3.8725 # DEPENDENCYPART_ARC
(2,16),-1.3103 # DEPENDENCYPART_ARC
(2,17),-1.85923 # DEPENDENCYPART_ARC
(2,18),-1.65874 # DEPENDENCYPART_ARC
(2,19),-5.81304 # DEPENDENCYPART_ARC
(2,20),-7.00011 # DEPENDENCYPART_ARC
(2,21),-2.22497 # DEPENDENCYPART_ARC
(2,22),-3.31183 # DEPENDENCYPART_ARC
(2,23),-6.30879 # DEPENDENCYPART_ARC
(2,24),-3.99565 # DEPENDENCYPART_ARC
(3,1),0.444101 # DEPENDENCYPART_ARC
(3,2),5.14841 # DEPENDENCYPART_ARC
(3,4),-1.47886 # DEPENDENCYPART_ARC
(3,5),-1.10341 # DEPENDENCYPART_ARC
(3,6),-1.737 # DEPENDENCYPART_ARC
(3,7),-1.36308 # DEPENDENCYPART_ARC
(3,8),-3.89587 # DEPENDENCYPART_ARC
(3,9),-1.19289 # DEPENDENCYPART_ARC
(3,10),-1.21901 # DEPENDENCYPART_ARC
(3,11),-1.98562 # DEPENDENCYPART_ARC
(3,12),-3.84525 # DEPENDENCYPART_ARC
(3,13),-2.2164 # DEPENDENCYPART_ARC
(3,14),-0.916282 # DEPENDENCYPART_ARC
(3,15),-2.82722 # DEPENDENCYPART_ARC
(3,16),-1.43635 # DEPENDENCYPART_ARC
(3,17),-1.12949 # DEPENDENCYPART_ARC
(3,18),-2.49912 # DEPENDENCYPART_ARC
(3,19),-5.16549 # DEPENDENCYPART_ARC
(3,20),-5.61861 # DEPENDENCYPART_ARC
(3,21),-2.59887 # DEPENDENCYPART_ARC
(3,22),-2.6434 # DEPENDENCYPART_ARC
(3,23),-8.0724 # DEPENDENCYPART_ARC
(3,24),-8.32561 # DEPENDENCYPART_ARC
(4,1),2.44083 # DEPENDENCYPART_ARC
(4,2),-1.82194 # DEPENDENCYPART_ARC
(4,3),1.13233 # DEPENDENCYPART_ARC
(4,5),2.39182 # DEPENDENCYPART_ARC
(4,6),1.60157 # DEPENDENCYPART_ARC
(4,7),1.59159 # DEPENDENCYPART_ARC
(4,8),-2.12319 # DEPENDENCYPART_ARC
(4,9),-0.230146 # DEPENDENCYPART_ARC
(4,10),0.134689 # DEPENDENCYPART_ARC
(4,11),0.440481 # DEPENDENCYPART_ARC
(4,12),2.04598 # DEPENDENCYPART_ARC
(4,13),-1.59599 # DEPENDENCYPART_ARC
(4,14),-0.632029 # DEPENDENCYPART_ARC
(4,15),-2.30575 # DEPENDENCYPART_ARC
(4,16),-0.0634786 # DEPENDENCYPART_ARC
(4,17),1.23713 # DEPENDENCYPART_ARC
(4,18),-0.983289 # DEPENDENCYPART_ARC
(4,19),-1.57366 # DEPENDENCYPART_ARC
(4,20),-0.0893778 # DEPENDENCYPART_ARC
(4,21),-0.438117 # DEPENDENCYPART_ARC
(4,22),-1.73848 # DEPENDENCYPART_ARC
(4,23),-2.43093 # DEPENDENCYPART_ARC
(4,24),-0.873504 # DEPENDENCYPART_ARC
(5,1),-2.24931 # DEPENDENCYPART_ARC
(5,2),-2.36323 # DEPENDENCYPART_ARC
(5,3),-2.07175 # DEPENDENCYPART_ARC
(5,4),-1.61303 # DEPENDENCYPART_ARC
(5,6),-0.104398 # DEPENDENCYPART_ARC
(5,7),-0.473998 # DEPENDENCYPART_ARC
(5,8),-0.893727 # DEPENDENCYPART_ARC
(5,9),0.332921 # DEPENDENCYPART_ARC
(5,10),-0.84986 # DEPENDENCYPART_ARC
(5,11),-1.05786 # DEPENDENCYPART_ARC
(5,13),-0.623065 # DEPENDENCYPART_ARC
(5,14),-1.33462 # DEPENDENCYPART_ARC
(5,15),-1.63818 # DEPENDENCYPART_ARC
(5,16),-1.14703 # DEPENDENCYPART_ARC
(5,17),-0.867881 # DEPENDENCYPART_ARC
(5,18),-1.93648 # DEPENDENCYPART_ARC
(5,19),-3.31406 # DEPENDENCYPART_ARC
(5,20),-2.84325 # DEPENDENCYPART_ARC
(5,21),-1.93489 # DEPENDENCYPART_ARC
(5,22),-2.72748 # DEPENDENCYPART_ARC
(5,23),-3.80146 # DEPENDENCYPART_ARC
(5,24),-3.10916 # DEPENDENCYPART_ARC
(6,1),-1.47736 # DEPENDENCYPART_ARC
(6,2),-0.593941 # DEPENDENCYPART_ARC
(6,3),-1.43317 # DEPENDENCYPART_ARC
(6,4),-1.23644 # DEPENDENCYPART_ARC
(6,5),1.54577 # DEPENDENCYPART_ARC
(6,7),-0.473501 # DEPENDENCYPART_ARC
(6,8),-1.10897 # DEPENDENCYPART_ARC
(6,9),0.612868 # DEPENDENCYPART_ARC
(6,10),-1.01438 # DEPENDENCYPART_ARC
(6,11),-1.30772 # DEPENDENCYPART_ARC
(6,13),-0.445728 # DEPENDENCYPART_ARC
(6,14),-1.32218 # DEPENDENCYPART_ARC
(6,15),-1.25398 # DEPENDENCYPART_ARC
(6,16),-1.3356 # DEPENDENCYPART_ARC
(6,17),-1.13391 # DEPENDENCYPART_ARC
(6,18),-1.97443 # DEPENDENCYPART_ARC
(6,19),-3.176 # DEPENDENCYPART_ARC
(6,20),-3.43193 # DEPENDENCYPART_ARC
(6,21),-2.17879 # DEPENDENCYPART_ARC
(6,22),-2.74673 # DEPENDENCYPART_ARC
(6,23),-4.05782 # DEPENDENCYPART_ARC
(6,24),-3.44352 # DEPENDENCYPART_ARC
(7,1),-0.46285 # DEPENDENCYPART_ARC
(7,2),-0.0137918 # DEPENDENCYPART_ARC
(7,3),-0.663837 # DEPENDENCYPART_ARC
(7,4),-1.09806 # DEPENDENCYPART_ARC
(7,5),0.886627 # DEPENDENCYPART_ARC
(7,6),2.17586 # DEPENDENCYPART_ARC
(7,8),1.06986 # DEPENDENCYPART_ARC
(7,9),2.22429 # DEPENDENCYPART_ARC
(7,10),-0.519409 # DEPENDENCYPART_ARC
(7,11),-0.252745 # DEPENDENCYPART_ARC
(7,13),-0.37257 # DEPENDENCYPART_ARC
(7,14),-0.887279 # DEPENDENCYPART_ARC
(7,15),-1.10171 # DEPENDENCYPART_ARC
(7,16),-1.00243 # DEPENDENCYPART_ARC
(7,17),-0.743349 # DEPENDENCYPART_ARC
(7,18),-0.664959 # DEPENDENCYPART_ARC
(7,19),-1.9981 # DEPENDENCYPART_ARC
(7,20),-1.86253 # DEPENDENCYPART_ARC
(7,21),-1.33088 # DEPENDENCYPART_ARC
(7,22),-1.6465 # DEPENDENCYPART_ARC
(7,23),-2.48617 # DEPENDENCYPART_ARC
(7,24),-3.07551 # DEPENDENCYPART_ARC
