# _root_ Ale také na úseku průmyslové a stavební výroby , kde dosud dominovalo Polsko , dochází i v České republice k významnému pokroku .
#goldHeads=0,4,15,3,6,8,6,4,12,12,12,8,12,12,1,19,15,19,17,15,22,20,0,
#predictedHeads=0,4,12,3,6,8,6,4,12,12,12,15,12,12,0,19,15,19,17,15,22,20,0,
(0,1),2.31657 # DEPENDENCYPART_ARC
(0,2),-0.40469 # DEPENDENCYPART_ARC
(0,3),0.304759 # DEPENDENCYPART_ARC
(0,4),-1.28296 # DEPENDENCYPART_ARC
(0,5),-1.50548 # DEPENDENCYPART_ARC
(0,6),-0.354762 # DEPENDENCYPART_ARC
(0,7),-2.16565 # DEPENDENCYPART_ARC
(0,8),-1.85071 # DEPENDENCYPART_ARC
(0,9),-0.857984 # DEPENDENCYPART_ARC
(0,10),-1.02209 # DEPENDENCYPART_ARC
(0,11),-1.52133 # DEPENDENCYPART_ARC
(0,12),0.199976 # DEPENDENCYPART_ARC
(0,13),-1.33127 # DEPENDENCYPART_ARC
(0,14),-0.906521 # DEPENDENCYPART_ARC
(0,15),0.193826 # DEPENDENCYPART_ARC
(0,16),-2.75239 # DEPENDENCYPART_ARC
(0,17),-3.47323 # DEPENDENCYPART_ARC
(0,18),-3.09268 # DEPENDENCYPART_ARC
(0,19),-3.28356 # DEPENDENCYPART_ARC
(0,20),-3.0123 # DEPENDENCYPART_ARC
(0,21),-2.976 # DEPENDENCYPART_ARC
(0,22),-2.37715 # DEPENDENCYPART_ARC
(0,23),4.44103 # DEPENDENCYPART_ARC
(1,2),0.452514 # DEPENDENCYPART_ARC
(1,3),0.60526 # DEPENDENCYPART_ARC
(1,4),0.538057 # DEPENDENCYPART_ARC
(1,5),0.714295 # DEPENDENCYPART_ARC
(1,6),0.828628 # DEPENDENCYPART_ARC
(1,7),0.180869 # DEPENDENCYPART_ARC
(1,8),0.207405 # DEPENDENCYPART_ARC
(1,9),0.493525 # DEPENDENCYPART_ARC
(1,10),-0.610936 # DEPENDENCYPART_ARC
(1,11),-0.461932 # DEPENDENCYPART_ARC
(1,12),0.322257 # DEPENDENCYPART_ARC
(1,13),-0.144349 # DEPENDENCYPART_ARC
(1,14),0.672666 # DEPENDENCYPART_ARC
(1,15),-0.564358 # DEPENDENCYPART_ARC
(1,16),-0.553697 # DEPENDENCYPART_ARC
(1,17),-1.84722 # DEPENDENCYPART_ARC
(1,18),-1.79525 # DEPENDENCYPART_ARC
(1,19),-1.10608 # DEPENDENCYPART_ARC
(1,20),-2.93366 # DEPENDENCYPART_ARC
(1,21),-2.42121 # DEPENDENCYPART_ARC
(1,22),-0.948993 # DEPENDENCYPART_ARC
(1,23),-0.669883 # DEPENDENCYPART_ARC
(2,1),-0.168123 # DEPENDENCYPART_ARC
(2,3),-0.052992 # DEPENDENCYPART_ARC
(2,4),-1.12229 # DEPENDENCYPART_ARC
(2,5),-1.23289 # DEPENDENCYPART_ARC
(2,6),-0.957392 # DEPENDENCYPART_ARC
(2,7),-1.46452 # DEPENDENCYPART_ARC
(2,8),-2.47454 # DEPENDENCYPART_ARC
(2,9),-1.4125 # DEPENDENCYPART_ARC
(2,10),-1.56521 # DEPENDENCYPART_ARC
(2,11),-1.48483 # DEPENDENCYPART_ARC
(2,12),-2.02957 # DEPENDENCYPART_ARC
(2,13),-3.31634 # DEPENDENCYPART_ARC
(2,14),-1.78592 # DEPENDENCYPART_ARC
(2,15),-2.37031 # DEPENDENCYPART_ARC
(2,16),-2.99563 # DEPENDENCYPART_ARC
(2,17),-2.66161 # DEPENDENCYPART_ARC
(2,18),-2.53836 # DEPENDENCYPART_ARC
(2,19),-4.16167 # DEPENDENCYPART_ARC
(2,20),-2.90341 # DEPENDENCYPART_ARC
(2,21),-2.66503 # DEPENDENCYPART_ARC
(2,22),-4.81211 # DEPENDENCYPART_ARC
(2,23),-4.53687 # DEPENDENCYPART_ARC
(3,1),-1.00546 # DEPENDENCYPART_ARC
(3,2),-0.495172 # DEPENDENCYPART_ARC
(3,4),3.91633 # DEPENDENCYPART_ARC
(3,5),-1.421 # DEPENDENCYPART_ARC
(3,6),0.0445471 # DEPENDENCYPART_ARC
(3,7),-2.50443 # DEPENDENCYPART_ARC
(3,8),-2.40701 # DEPENDENCYPART_ARC
(3,9),-0.635338 # DEPENDENCYPART_ARC
(3,10),-1.10579 # DEPENDENCYPART_ARC
(3,11),-1.19438 # DEPENDENCYPART_ARC
(3,12),-2.41281 # DEPENDENCYPART_ARC
(3,13),-5.53832 # DEPENDENCYPART_ARC
(3,14),-1.35205 # DEPENDENCYPART_ARC
(3,15),-2.19555 # DEPENDENCYPART_ARC
(3,16),-3.69684 # DEPENDENCYPART_ARC
(3,17),-2.71437 # DEPENDENCYPART_ARC
(3,18),-2.66298 # DEPENDENCYPART_ARC
(3,19),-4.37216 # DEPENDENCYPART_ARC
(3,20),-2.97962 # DEPENDENCYPART_ARC
(3,21),-3.70781 # DEPENDENCYPART_ARC
(3,22),-7.91531 # DEPENDENCYPART_ARC
(3,23),-2.94308 # DEPENDENCYPART_ARC
(4,1),-0.25235 # DEPENDENCYPART_ARC
(4,2),1.6124 # DEPENDENCYPART_ARC
(4,3),1.35078 # DEPENDENCYPART_ARC
(4,5),0.458784 # DEPENDENCYPART_ARC
(4,6),1.28486 # DEPENDENCYPART_ARC
(4,7),-1.88002 # DEPENDENCYPART_ARC
(4,8),1.71954 # DEPENDENCYPART_ARC
(4,9),0.0451184 # DEPENDENCYPART_ARC
(4,10),0.0247303 # DEPENDENCYPART_ARC
(4,11),-0.22806 # DEPENDENCYPART_ARC
(4,12),-0.655585 # DEPENDENCYPART_ARC
(4,13),-2.25603 # DEPENDENCYPART_ARC
(4,14),-0.307829 # DEPENDENCYPART_ARC
(4,15),-3.0481 # DEPENDENCYPART_ARC
(4,16),-1.63211 # DEPENDENCYPART_ARC
(4,17),-2.34005 # DEPENDENCYPART_ARC
(4,18),-3.40591 # DEPENDENCYPART_ARC
(4,19),-2.72649 # DEPENDENCYPART_ARC
(4,20),-1.17689 # DEPENDENCYPART_ARC
(4,21),-3.37676 # DEPENDENCYPART_ARC
(4,22),-4.02295 # DEPENDENCYPART_ARC
(4,23),-6.1416 # DEPENDENCYPART_ARC
(5,1),-0.45221 # DEPENDENCYPART_ARC
(5,2),-1.02118 # DEPENDENCYPART_ARC
(5,3),0.454332 # DEPENDENCYPART_ARC
(5,4),-1.72368 # DEPENDENCYPART_ARC
(5,6),-0.233136 # DEPENDENCYPART_ARC
