# _root_ Proto chystáme pro vojáky v záloze na říjen výběrové řízení , které proběhne ve spolupráci s okresními vojenskými správami v Českém Krumlově , " říká plukovník Kubeš .
#goldHeads=25,1,2,3,4,5,2,7,10,2,13,13,10,13,14,15,19,19,16,13,22,20,1,1,0,27,25,0,
#predictedHeads=0,1,2,3,2,5,6,7,10,8,13,13,10,13,14,15,19,19,16,19,22,20,13,1,0,27,25,0,
(0,1),1.76847 # DEPENDENCYPART_ARC
(0,2),-0.410928 # DEPENDENCYPART_ARC
(0,3),-0.976774 # DEPENDENCYPART_ARC
(0,4),-1.90499 # DEPENDENCYPART_ARC
(0,5),-0.722834 # DEPENDENCYPART_ARC
(0,6),-2.21033 # DEPENDENCYPART_ARC
(0,7),-1.46026 # DEPENDENCYPART_ARC
(0,8),-2.10863 # DEPENDENCYPART_ARC
(0,9),-2.28474 # DEPENDENCYPART_ARC
(0,10),-2.16328 # DEPENDENCYPART_ARC
(0,11),-0.27684 # DEPENDENCYPART_ARC
(0,12),-1.43276 # DEPENDENCYPART_ARC
(0,13),0.157497 # DEPENDENCYPART_ARC
(0,14),-3.29963 # DEPENDENCYPART_ARC
(0,15),-3.39976 # DEPENDENCYPART_ARC
(0,16),-4.088 # DEPENDENCYPART_ARC
(0,17),-3.77288 # DEPENDENCYPART_ARC
(0,18),-3.73599 # DEPENDENCYPART_ARC
(0,19),-3.27366 # DEPENDENCYPART_ARC
(0,20),-2.9528 # DEPENDENCYPART_ARC
(0,21),-3.96965 # DEPENDENCYPART_ARC
(0,22),-2.71276 # DEPENDENCYPART_ARC
(0,23),0.0980198 # DEPENDENCYPART_ARC
(0,24),-7.64005 # DEPENDENCYPART_ARC
(0,25),3.31237 # DEPENDENCYPART_ARC
(0,26),-3.95669 # DEPENDENCYPART_ARC
(0,27),-3.5804 # DEPENDENCYPART_ARC
(0,28),4.29042 # DEPENDENCYPART_ARC
(1,2),1.42775 # DEPENDENCYPART_ARC
(1,3),-1.03703 # DEPENDENCYPART_ARC
(1,4),-1.57856 # DEPENDENCYPART_ARC
(1,5),-1.49333 # DEPENDENCYPART_ARC
(1,6),-2.20495 # DEPENDENCYPART_ARC
(1,7),-1.64923 # DEPENDENCYPART_ARC
(1,8),-2.9586 # DEPENDENCYPART_ARC
(1,9),-2.34604 # DEPENDENCYPART_ARC
(1,10),-3.31921 # DEPENDENCYPART_ARC
(1,11),0.469337 # DEPENDENCYPART_ARC
(1,12),-2.72381 # DEPENDENCYPART_ARC
(1,13),-0.0503736 # DEPENDENCYPART_ARC
(1,14),-2.84598 # DEPENDENCYPART_ARC
(1,15),-4.48246 # DEPENDENCYPART_ARC
(1,16),-3.90352 # DEPENDENCYPART_ARC
(1,17),-4.03516 # DEPENDENCYPART_ARC
(1,18),-4.03205 # DEPENDENCYPART_ARC
(1,19),-5.13349 # DEPENDENCYPART_ARC
(1,20),-4.14169 # DEPENDENCYPART_ARC
(1,21),-4.65776 # DEPENDENCYPART_ARC
(1,22),-5.54708 # DEPENDENCYPART_ARC
(1,23),-0.50522 # DEPENDENCYPART_ARC
(1,24),1.12222 # DEPENDENCYPART_ARC
(1,25),-1.26387 # DEPENDENCYPART_ARC
(1,26),-6.67934 # DEPENDENCYPART_ARC
(1,27),-6.92162 # DEPENDENCYPART_ARC
(1,28),-2.84944 # DEPENDENCYPART_ARC
(2,1),1.2599 # DEPENDENCYPART_ARC
(2,3),2.14194 # DEPENDENCYPART_ARC
(2,4),1.40557 # DEPENDENCYPART_ARC
(2,5),1.70416 # DEPENDENCYPART_ARC
(2,6),-0.642796 # DEPENDENCYPART_ARC
(2,7),0.955754 # DEPENDENCYPART_ARC
(2,8),-0.409659 # DEPENDENCYPART_ARC
(2,9),-2.36236 # DEPENDENCYPART_ARC
(2,10),0.372443 # DEPENDENCYPART_ARC
(2,11),0.555139 # DEPENDENCYPART_ARC
(2,12),-1.67795 # DEPENDENCYPART_ARC
(2,13),-1.18636 # DEPENDENCYPART_ARC
(2,14),-0.0100266 # DEPENDENCYPART_ARC
(2,15),-3.21546 # DEPENDENCYPART_ARC
(2,16),0.660962 # DEPENDENCYPART_ARC
(2,17),-3.76147 # DEPENDENCYPART_ARC
(2,18),-4.11016 # DEPENDENCYPART_ARC
(2,19),-1.93131 # DEPENDENCYPART_ARC
(2,20),-0.749932 # DEPENDENCYPART_ARC
(2,21),-5.73368 # DEPENDENCYPART_ARC
(2,22),-3.92876 # DEPENDENCYPART_ARC
(2,23),0.244431 # DEPENDENCYPART_ARC
(2,24),-0.0437268 # DEPENDENCYPART_ARC
(2,25),-3.34392 # DEPENDENCYPART_ARC
(2,26),-3.38326 # DEPENDENCYPART_ARC
(2,27),-3.8921 # DEPENDENCYPART_ARC
(2,28),-1.42578 # DEPENDENCYPART_ARC
(3,1),-1.43767 # DEPENDENCYPART_ARC
(3,2),-2.08742 # DEPENDENCYPART_ARC
(3,4),3.79018 # DEPENDENCYPART_ARC
(3,5),-0.758445 # DEPENDENCYPART_ARC
(3,6),-0.54181 # DEPENDENCYPART_ARC
(3,7),-1.395 # DEPENDENCYPART_ARC
(3,8),-0.652769 # DEPENDENCYPART_ARC
(3,9),-0.93604 # DEPENDENCYPART_ARC
(3,10),-2.69591 # DEPENDENCYPART_ARC
(3,11),-0.466733 # DEPENDENCYPART_ARC
(3,12),-3.64716 # DEPENDENCYPART_ARC
(3,13),-1.97996 # DEPENDENCYPART_ARC
(3,14),-2.38322 # DEPENDENCYPART_ARC
(3,15),-6.36118 # DEPENDENCYPART_ARC
(3,16),-2.41752 # DEPENDENCYPART_ARC
(3,17),-3.71186 # DEPENDENCYPART_ARC
(3,18),-3.86685 # DEPENDENCYPART_ARC
(3,19),-9.1077 # DEPENDENCYPART_ARC
(3,20),-2.88095 # DEPENDENCYPART_ARC
(3,21),-3.28347 # DEPENDENCYPART_ARC
(3,22),-9.81088 # DEPENDENCYPART_ARC
(3,23),-2.39516 # DEPENDENCYPART_ARC
(3,24),-3.46212 # DEPENDENCYPART_ARC
(3,25),-2.57362 # DEPENDENCYPART_ARC
(3,26),-13.4845 # DEPENDENCYPART_ARC
(3,27),-13.4084 # DEPENDENCYPART_ARC
(3,28),-4.67089 # DEPENDENCYPART_ARC
(4,1),-1.13652 # DEPENDENCYPART_ARC
(4,2),-0.781354 # DEPENDENCYPART_ARC
(4,3),-0.314975 # DEPENDENCYPART_ARC
(4,5),1.06724 # DEPENDENCYPART_ARC
(4,6),-0.217682 # DEPENDENCYPART_ARC
(4,7),-0.0579412 # DEPENDENCYPART_ARC
(4,8),-2.58001 # DEPENDENCYPART_ARC
(4,9),-1.76542 # DEPENDENCYPART_ARC
(4,10),-3.00745 # DEPENDENCYPART_ARC
(4,11),-0.881745 # DEPENDENCYPART_ARC
(4,12),-4.56189 # DEPENDENCYPART_ARC
(4,13),-0.934939 # DEPENDENCYPART_ARC
(4,14),-2.18162 # DEPENDENCYPART_ARC
(4,15),-3.91192 # DEPENDENCYPART_ARC
(4,16),-1.51423 # DEPENDENCYPART_ARC
(4,17),-4.04984 # DEPENDENCYPART_ARC
(4,18),-3.70799 # DEPENDENCYPART_ARC
(4,19),-6.13554 # DEPENDENCYPART_ARC
(4,20),-2.2631 # DEPENDENCYPART_ARC
(4,21),-5.14215 # DEPENDENCYPART_ARC
(4,22),-4.68183 # DEPENDENCYPART_ARC
(4,23),-1.71123 # DEPENDENCYPART_ARC
(4,24),-2.31923 # DEPENDENCYPART_ARC
(4,25),-3.14934 # DEPENDENCYPART_ARC
(4,26),-8.23124 # DEPENDENCYPART_ARC
(4,27),-7.97941 # DEPENDENCYPART_ARC
(4,28),-10.9493 # DEPENDENCYPART_ARC
(5,1),-1.39 # DEPENDENCYPART_ARC
(5,2),-2.09049 # DEPENDENCYPART_ARC
(5,3),-0.374727 # DEPENDENCYPART_ARC
(5,4),-0.149246 # DEPENDENCYPART_ARC
(5,6),4.12329 # DEPENDENCYPART_ARC
(5,7),-1.11789 # DEPENDENCYPART_ARC
(5,8),-2.60413 # DEPENDENCYPART_ARC
(5,9),-2.24511 # DEPENDENCYPART_ARC
(5,10),-4.2429 # DEPENDENCYPART_ARC
(5,11),-0.648108 # DEPENDENCYPART_ARC
(5,12),-3.70387 # DEPENDENCYPART_ARC
(5,13),-2.38101 # DEPENDENCYPART_ARC
(5,14),-2.61663 # DEPENDENCYPART_ARC
(5,15),-3.97409 # DEPENDENCYPART_ARC
(5,16),-2.42263 # DEPENDENCYPART_ARC
(5,17),-4.17632 # DEPENDENCYPART_ARC
(5,18),-4.30894 # DEPENDENCYPART_ARC
(5,19),-7.90234 # DEPENDENCYPART_ARC
(5,20),-3.18458 # DEPENDENCYPART_ARC
(5,21),-2.7392 # DEPENDENCYPART_ARC
(5,22),-7.08407 # DEPENDENCYPART_ARC
(5,23),-2.30811 # DEPENDENCYPART_ARC
(5,24),-2.79948 # DEPENDENCYPART_ARC
(5,25),-3.10016 # DEPENDENCYPART_ARC
(5,26),-13.3838 # DEPENDENCYPART_ARC
(5,27),-13.6774 # DEPENDENCYPART_ARC
(5,28),-4.65515 # DEPENDENCYPART_ARC
(6,1),-2.39377 # DEPENDENCYPART_ARC
(6,2),-2.62353 # DEPENDENCYPART_ARC
(6,3),-1.05664 # DEPENDENCYPART_ARC
(6,4),-2.57842 # DEPENDENCYPART_ARC
(6,5),0.342943 # DEPENDENCYPART_ARC
(6,7),1.84814 # DEPENDENCYPART_ARC
(6,8),-2.74263 # DEPENDENCYPART_ARC
(6,9),-1.47572 # DEPENDENCYPART_ARC
(6,10),-3.6029 # DEPENDENCYPART_ARC
(6,11),-0.582782 # DEPENDENCYPART_ARC
(6,12),-3.37724 # DEPENDENCYPART_ARC
(6,13),-0.292256 # DEPENDENCYPART_ARC
(6,14),-1.28627 # DEPENDENCYPART_ARC
(6,15),-3.79287 # DEPENDENCYPART_ARC
(6,16),-0.698486 # DEPENDENCYPART_ARC
(6,17),-3.27972 # DEPENDENCYPART_ARC
(6,18),-2.92087 # DEPENDENCYPART_ARC
