# _root_ Rozdíl je v tom , že je ve vyhlášce přesně limitováno , co může být soutěžícím poskytnuto .
#goldHeads=2,0,2,3,6,4,6,7,8,11,7,14,14,7,17,17,14,0,
#predictedHeads=2,0,2,3,6,4,6,7,8,11,7,11,17,12,17,15,14,0,
(0,1),-2.06279 # DEPENDENCYPART_ARC
(0,2),-0.464399 # DEPENDENCYPART_ARC
(0,3),-1.99194 # DEPENDENCYPART_ARC
(0,4),-2.23902 # DEPENDENCYPART_ARC
(0,5),-1.11648 # DEPENDENCYPART_ARC
(0,6),-2.07482 # DEPENDENCYPART_ARC
(0,7),-1.6309 # DEPENDENCYPART_ARC
(0,8),-3.51306 # DEPENDENCYPART_ARC
(0,9),-4.10385 # DEPENDENCYPART_ARC
(0,10),-1.45724 # DEPENDENCYPART_ARC
(0,11),-1.90152 # DEPENDENCYPART_ARC
(0,12),-1.03019 # DEPENDENCYPART_ARC
(0,13),-1.77808 # DEPENDENCYPART_ARC
(0,14),-1.05044 # DEPENDENCYPART_ARC
(0,15),-3.27819 # DEPENDENCYPART_ARC
(0,17),-3.53247 # DEPENDENCYPART_ARC
(0,18),3.68436 # DEPENDENCYPART_ARC
(1,2),-1.12074 # DEPENDENCYPART_ARC
(1,3),-1.37034 # DEPENDENCYPART_ARC
(1,4),-0.877407 # DEPENDENCYPART_ARC
(1,5),-1.43762 # DEPENDENCYPART_ARC
(1,6),-0.9413 # DEPENDENCYPART_ARC
(1,7),-3.61034 # DEPENDENCYPART_ARC
(1,8),-3.02092 # DEPENDENCYPART_ARC
(1,9),-3.19461 # DEPENDENCYPART_ARC
(1,10),-1.85157 # DEPENDENCYPART_ARC
(1,11),-4.3115 # DEPENDENCYPART_ARC
(1,12),-2.2818 # DEPENDENCYPART_ARC
(1,13),-4.26349 # DEPENDENCYPART_ARC
(1,14),-5.84672 # DEPENDENCYPART_ARC
(1,15),-6.08642 # DEPENDENCYPART_ARC
(1,16),-5.26073 # DEPENDENCYPART_ARC
(1,17),-8.1572 # DEPENDENCYPART_ARC
(1,18),-5.24015 # DEPENDENCYPART_ARC
(2,1),4.18529 # DEPENDENCYPART_ARC
(2,3),2.86693 # DEPENDENCYPART_ARC
(2,4),-0.27602 # DEPENDENCYPART_ARC
(2,5),0.485764 # DEPENDENCYPART_ARC
(2,6),1.11088 # DEPENDENCYPART_ARC
(2,7),-1.00942 # DEPENDENCYPART_ARC
(2,8),-0.363157 # DEPENDENCYPART_ARC
(2,9),-3.35098 # DEPENDENCYPART_ARC
(2,10),-0.245062 # DEPENDENCYPART_ARC
(2,11),0.0344888 # DEPENDENCYPART_ARC
(2,12),0.1037 # DEPENDENCYPART_ARC
(2,13),-3.8121 # DEPENDENCYPART_ARC
(2,14),-4.10388 # DEPENDENCYPART_ARC
(2,15),-2.4533 # DEPENDENCYPART_ARC
(2,16),-3.86654 # DEPENDENCYPART_ARC
(2,17),-2.96916 # DEPENDENCYPART_ARC
(2,18),-0.278424 # DEPENDENCYPART_ARC
