# _root_ 4 / Prosím , prosím , tady něco páchne .
#goldHeads=0,1,4,6,4,0,9,9,6,0,
#predictedHeads=3,3,4,0,4,9,9,9,5,0,
(0,1),0.851341 # DEPENDENCYPART_ARC
(0,2),-0.213007 # DEPENDENCYPART_ARC
(0,3),1.10734 # DEPENDENCYPART_ARC
(0,4),0.721052 # DEPENDENCYPART_ARC
(0,5),0.513967 # DEPENDENCYPART_ARC
(0,6),0.384904 # DEPENDENCYPART_ARC
(0,7),-0.34401 # DEPENDENCYPART_ARC
(0,8),-0.265246 # DEPENDENCYPART_ARC
(0,9),-0.803689 # DEPENDENCYPART_ARC
(0,10),3.65375 # DEPENDENCYPART_ARC
(1,2),0.386308 # DEPENDENCYPART_ARC
(1,3),-1.10228 # DEPENDENCYPART_ARC
(1,4),-1.3285 # DEPENDENCYPART_ARC
(1,5),-1.58903 # DEPENDENCYPART_ARC
(1,6),-1.60868 # DEPENDENCYPART_ARC
(1,7),-1.49863 # DEPENDENCYPART_ARC
(1,9),-1.76898 # DEPENDENCYPART_ARC
(1,10),-1.77949 # DEPENDENCYPART_ARC
(2,1),0.497534 # DEPENDENCYPART_ARC
(2,3),0.352665 # DEPENDENCYPART_ARC
(2,4),-0.199387 # DEPENDENCYPART_ARC
(2,5),-0.846315 # DEPENDENCYPART_ARC
(2,6),-0.548265 # DEPENDENCYPART_ARC
(2,7),-1.26116 # DEPENDENCYPART_ARC
(2,8),-1.3569 # DEPENDENCYPART_ARC
(2,9),-1.4843 # DEPENDENCYPART_ARC
(2,10),-0.416786 # DEPENDENCYPART_ARC
(3,1),1.05223 # DEPENDENCYPART_ARC
(3,2),0.636123 # DEPENDENCYPART_ARC
(3,4),0.366902 # DEPENDENCYPART_ARC
(3,5),-0.78106 # DEPENDENCYPART_ARC
(3,6),-1.19752 # DEPENDENCYPART_ARC
(3,7),-1.30848 # DEPENDENCYPART_ARC
(3,8),-2.03119 # DEPENDENCYPART_ARC
(3,9),-2.28651 # DEPENDENCYPART_ARC
(3,10),-1.86048 # DEPENDENCYPART_ARC
(4,1),-0.104515 # DEPENDENCYPART_ARC
(4,2),0.422522 # DEPENDENCYPART_ARC
(4,3),1.36785 # DEPENDENCYPART_ARC
(4,5),0.869307 # DEPENDENCYPART_ARC
(4,6),-0.237175 # DEPENDENCYPART_ARC
(4,7),-0.843142 # DEPENDENCYPART_ARC
(4,8),-1.06569 # DEPENDENCYPART_ARC
(4,9),-1.16453 # DEPENDENCYPART_ARC
(4,10),0.0427714 # DEPENDENCYPART_ARC
(5,1),0.427444 # DEPENDENCYPART_ARC
(5,2),-0.202674 # DEPENDENCYPART_ARC
(5,3),0.496621 # DEPENDENCYPART_ARC
(5,4),0.458937 # DEPENDENCYPART_ARC
(5,6),0.447094 # DEPENDENCYPART_ARC
(5,7),0.50733 # DEPENDENCYPART_ARC
(5,8),-0.425341 # DEPENDENCYPART_ARC
(5,9),0.0272461 # DEPENDENCYPART_ARC
(5,10),-0.721896 # DEPENDENCYPART_ARC
(6,1),-0.353463 # DEPENDENCYPART_ARC
(6,2),-0.0485075 # DEPENDENCYPART_ARC
(6,3),0.264228 # DEPENDENCYPART_ARC
(6,4),0.835355 # DEPENDENCYPART_ARC
(6,5),0.640305 # DEPENDENCYPART_ARC
(6,7),0.0719434 # DEPENDENCYPART_ARC
(6,8),-0.0318167 # DEPENDENCYPART_ARC
(6,9),0.429394 # DEPENDENCYPART_ARC
(6,10),0.240864 # DEPENDENCYPART_ARC
(7,1),-0.455127 # DEPENDENCYPART_ARC
(7,2),-1.02014 # DEPENDENCYPART_ARC
(7,3),0.0462909 # DEPENDENCYPART_ARC
(7,4),-0.392744 # DEPENDENCYPART_ARC
(7,5),0.268752 # DEPENDENCYPART_ARC
(7,6),0.338914 # DEPENDENCYPART_ARC
(7,8),-0.0903039 # DEPENDENCYPART_ARC
(7,9),0.187565 # DEPENDENCYPART_ARC
(7,10),0.239738 # DEPENDENCYPART_ARC
(8,2),-1.18752 # DEPENDENCYPART_ARC
(8,3),-1.46503 # DEPENDENCYPART_ARC
(8,4),-0.965643 # DEPENDENCYPART_ARC
(8,5),-1.10265 # DEPENDENCYPART_ARC
(8,6),-0.229972 # DEPENDENCYPART_ARC
(8,7),0.913556 # DEPENDENCYPART_ARC
(8,9),0.36238 # DEPENDENCYPART_ARC
(8,10),-0.401291 # DEPENDENCYPART_ARC
(9,1),-0.191284 # DEPENDENCYPART_ARC
(9,2),-0.804194 # DEPENDENCYPART_ARC
(9,3),-1.26828 # DEPENDENCYPART_ARC
(9,4),-0.576548 # DEPENDENCYPART_ARC
(9,5),-0.148083 # DEPENDENCYPART_ARC
(9,6),1.38949 # DEPENDENCYPART_ARC
(9,7),2.68871 # DEPENDENCYPART_ARC
(9,8),3.24702 # DEPENDENCYPART_ARC
(9,10),-0.121043 # DEPENDENCYPART_ARC
(10,1),-4.64343 # DEPENDENCYPART_ARC
(10,2),-3.05693 # DEPENDENCYPART_ARC
(10,3),-4.31741 # DEPENDENCYPART_ARC
(10,4),-2.68025 # DEPENDENCYPART_ARC
(10,5),-4.23808 # DEPENDENCYPART_ARC
(10,6),-2.71104 # DEPENDENCYPART_ARC
(10,7),-3.24609 # DEPENDENCYPART_ARC
(10,8),-2.80955 # DEPENDENCYPART_ARC
(10,9),-3.82806 # DEPENDENCYPART_ARC
