# _root_ Tomáš Seidl Pistolnice , USA , 1994 .
#goldHeads=2,0,0,5,0,7,0,0,
#predictedHeads=2,3,4,0,6,7,2,0,
(0,1),-0.15249 # DEPENDENCYPART_ARC
(0,2),0.478906 # DEPENDENCYPART_ARC
(0,3),0.256924 # DEPENDENCYPART_ARC
(0,4),0.354416 # DEPENDENCYPART_ARC
(0,5),-0.163544 # DEPENDENCYPART_ARC
(0,6),-0.101779 # DEPENDENCYPART_ARC
(0,7),-1.09713 # DEPENDENCYPART_ARC
(0,8),2.95533 # DEPENDENCYPART_ARC
(1,2),0.0430507 # DEPENDENCYPART_ARC
(1,3),-0.372922 # DEPENDENCYPART_ARC
(1,4),-0.182323 # DEPENDENCYPART_ARC
(1,5),0.182118 # DEPENDENCYPART_ARC
(1,6),-0.566133 # DEPENDENCYPART_ARC
(1,7),-0.987898 # DEPENDENCYPART_ARC
(1,8),-2.84429 # DEPENDENCYPART_ARC
(2,1),5.64381 # DEPENDENCYPART_ARC
(2,3),2.23426 # DEPENDENCYPART_ARC
(2,4),0.774027 # DEPENDENCYPART_ARC
(2,5),1.3587 # DEPENDENCYPART_ARC
(2,6),0.704168 # DEPENDENCYPART_ARC
(2,7),0.43751 # DEPENDENCYPART_ARC
(2,8),-1.34233 # DEPENDENCYPART_ARC
(3,1),1.22954 # DEPENDENCYPART_ARC
(3,2),2.18596 # DEPENDENCYPART_ARC
(3,4),0.305579 # DEPENDENCYPART_ARC
(3,5),1.85812 # DEPENDENCYPART_ARC
(3,6),-0.144359 # DEPENDENCYPART_ARC
(3,7),-0.179174 # DEPENDENCYPART_ARC
(3,8),-1.64383 # DEPENDENCYPART_ARC
(4,1),0.876059 # DEPENDENCYPART_ARC
(4,2),1.03107 # DEPENDENCYPART_ARC
(4,3),1.78049 # DEPENDENCYPART_ARC
(4,5),1.47644 # DEPENDENCYPART_ARC
(4,6),0.277133 # DEPENDENCYPART_ARC
(4,7),-0.420134 # DEPENDENCYPART_ARC
(4,8),-0.280877 # DEPENDENCYPART_ARC
(5,1),-0.824415 # DEPENDENCYPART_ARC
(5,2),0.557351 # DEPENDENCYPART_ARC
(5,3),-1.97311 # DEPENDENCYPART_ARC
(5,4),-0.343567 # DEPENDENCYPART_ARC
(5,6),-0.733775 # DEPENDENCYPART_ARC
(5,7),-0.334264 # DEPENDENCYPART_ARC
(5,8),-0.983875 # DEPENDENCYPART_ARC
(6,1),1.05969 # DEPENDENCYPART_ARC
(6,2),1.09622 # DEPENDENCYPART_ARC
(6,3),1.56048 # DEPENDENCYPART_ARC
(6,4),1.20863 # DEPENDENCYPART_ARC
(6,5),2.10511 # DEPENDENCYPART_ARC
(6,7),0.199302 # DEPENDENCYPART_ARC
(6,8),0.00430705 # DEPENDENCYPART_ARC
(7,1),-1.09515 # DEPENDENCYPART_ARC
(7,2),-0.593614 # DEPENDENCYPART_ARC
(7,3),-0.428991 # DEPENDENCYPART_ARC
(7,4),-0.628054 # DEPENDENCYPART_ARC
(7,5),-0.0518047 # DEPENDENCYPART_ARC
(7,6),0.769485 # DEPENDENCYPART_ARC
(7,8),0.950309 # DEPENDENCYPART_ARC
(8,1),-3.23405 # DEPENDENCYPART_ARC
(8,2),-2.96112 # DEPENDENCYPART_ARC
(8,3),-2.68878 # DEPENDENCYPART_ARC
(8,4),-2.29439 # DEPENDENCYPART_ARC
(8,5),-2.10601 # DEPENDENCYPART_ARC
(8,6),-2.16393 # DEPENDENCYPART_ARC
(8,7),-2.67831 # DEPENDENCYPART_ARC
