# _root_ V Brémách budou přestupovat na vlak do Ostende , kde se nalodí na parník Bretaň , který je po osmi dnech vyloží v sídle OSN .
#goldHeads=4,1,4,0,4,5,6,7,12,12,12,8,12,13,14,22,22,22,22,21,19,14,22,23,24,0,
#predictedHeads=4,1,4,0,4,5,4,7,12,12,12,4,12,13,14,22,22,22,22,21,19,15,22,23,24,0,
(0,1),-0.796948 # DEPENDENCYPART_ARC
(0,2),-1.27168 # DEPENDENCYPART_ARC
(0,3),0.372739 # DEPENDENCYPART_ARC
(0,4),-0.408695 # DEPENDENCYPART_ARC
(0,5),-2.4099 # DEPENDENCYPART_ARC
(0,6),-2.36397 # DEPENDENCYPART_ARC
(0,7),-1.43731 # DEPENDENCYPART_ARC
(0,8),-1.35768 # DEPENDENCYPART_ARC
(0,9),-0.323909 # DEPENDENCYPART_ARC
(0,10),-1.61813 # DEPENDENCYPART_ARC
(0,12),-0.668269 # DEPENDENCYPART_ARC
(0,13),-4.58693 # DEPENDENCYPART_ARC
(0,14),-3.0691 # DEPENDENCYPART_ARC
(0,15),-1.44199 # DEPENDENCYPART_ARC
(0,16),-0.669849 # DEPENDENCYPART_ARC
(0,17),-2.14876 # DEPENDENCYPART_ARC
(0,18),-2.96448 # DEPENDENCYPART_ARC
(0,19),-4.81107 # DEPENDENCYPART_ARC
(0,20),-2.93964 # DEPENDENCYPART_ARC
(0,21),-4.17476 # DEPENDENCYPART_ARC
(0,22),-1.33255 # DEPENDENCYPART_ARC
(0,23),-5.25625 # DEPENDENCYPART_ARC
(0,24),-4.52327 # DEPENDENCYPART_ARC
(0,25),-3.69792 # DEPENDENCYPART_ARC
(0,26),4.61312 # DEPENDENCYPART_ARC
(1,2),5.16519 # DEPENDENCYPART_ARC
(1,3),-1.20704 # DEPENDENCYPART_ARC
(1,5),-1.82452 # DEPENDENCYPART_ARC
(1,6),-4.1096 # DEPENDENCYPART_ARC
(1,7),-2.04103 # DEPENDENCYPART_ARC
(1,8),-3.72962 # DEPENDENCYPART_ARC
(1,9),-2.23629 # DEPENDENCYPART_ARC
(1,10),-1.46834 # DEPENDENCYPART_ARC
(1,12),-2.80594 # DEPENDENCYPART_ARC
(1,13),-2.82202 # DEPENDENCYPART_ARC
(1,14),-8.93029 # DEPENDENCYPART_ARC
(1,15),-11.3648 # DEPENDENCYPART_ARC
(1,16),-3.50398 # DEPENDENCYPART_ARC
(1,17),-5.74334 # DEPENDENCYPART_ARC
(1,18),-5.76571 # DEPENDENCYPART_ARC
(1,19),-3.44216 # DEPENDENCYPART_ARC
(1,20),-4.52644 # DEPENDENCYPART_ARC
(1,21),-9.2545 # DEPENDENCYPART_ARC
(1,22),-3.64832 # DEPENDENCYPART_ARC
(1,23),-3.81218 # DEPENDENCYPART_ARC
(1,24),-11.6495 # DEPENDENCYPART_ARC
(1,25),-15.0338 # DEPENDENCYPART_ARC
(1,26),-5.55213 # DEPENDENCYPART_ARC
(2,1),-0.212069 # DEPENDENCYPART_ARC
(2,3),-1.53864 # DEPENDENCYPART_ARC
(2,4),-2.25544 # DEPENDENCYPART_ARC
(2,5),-2.80578 # DEPENDENCYPART_ARC
(2,6),-6.69166 # DEPENDENCYPART_ARC
(2,7),-1.83163 # DEPENDENCYPART_ARC
(2,8),-4.12281 # DEPENDENCYPART_ARC
(2,9),-1.85883 # DEPENDENCYPART_ARC
(2,10),-1.42192 # DEPENDENCYPART_ARC
(2,11),-4.03987 # DEPENDENCYPART_ARC
(2,12),-4.10675 # DEPENDENCYPART_ARC
(2,13),-5.01984 # DEPENDENCYPART_ARC
(2,14),-9.49465 # DEPENDENCYPART_ARC
(2,15),-6.04156 # DEPENDENCYPART_ARC
(2,16),-2.29721 # DEPENDENCYPART_ARC
(2,17),-5.32394 # DEPENDENCYPART_ARC
(2,18),-5.17307 # DEPENDENCYPART_ARC
(2,19),-3.7735 # DEPENDENCYPART_ARC
(2,20),-4.79604 # DEPENDENCYPART_ARC
(2,21),-7.16024 # DEPENDENCYPART_ARC
(2,22),-5.38673 # DEPENDENCYPART_ARC
(2,23),-6.1322 # DEPENDENCYPART_ARC
(2,24),-8.87383 # DEPENDENCYPART_ARC
(2,25),-9.12765 # DEPENDENCYPART_ARC
(2,26),-10.2452 # DEPENDENCYPART_ARC
(3,1),1.25555 # DEPENDENCYPART_ARC
(3,2),-2.14863 # DEPENDENCYPART_ARC
(3,4),1.21453 # DEPENDENCYPART_ARC
(3,5),0.130475 # DEPENDENCYPART_ARC
(3,6),-1.11062 # DEPENDENCYPART_ARC
(3,7),-0.354108 # DEPENDENCYPART_ARC
(3,8),-3.08146 # DEPENDENCYPART_ARC
(3,9),-0.627152 # DEPENDENCYPART_ARC
(3,10),-1.28604 # DEPENDENCYPART_ARC
