# _root_ Německá spolková republika dosud v četných případech politických uprchlíků , kteří se stali německými státními příslušníky , dvojí občanství tolerovala a ještě toleruje .
#goldHeads=3,3,21,21,21,7,5,9,7,13,13,13,9,16,16,13,13,19,21,21,0,23,21,0,
#predictedHeads=3,3,20,7,20,7,5,9,7,13,13,13,9,16,16,13,21,19,20,21,0,23,21,0,
(0,1),-0.411377 # DEPENDENCYPART_ARC
(0,2),-0.559014 # DEPENDENCYPART_ARC
(0,3),-0.744542 # DEPENDENCYPART_ARC
(0,4),-0.362773 # DEPENDENCYPART_ARC
(0,5),-0.76389 # DEPENDENCYPART_ARC
(0,6),-2.08196 # DEPENDENCYPART_ARC
(0,7),-2.1812 # DEPENDENCYPART_ARC
(0,8),-2.6813 # DEPENDENCYPART_ARC
(0,9),-2.21468 # DEPENDENCYPART_ARC
(0,10),-0.40896 # DEPENDENCYPART_ARC
(0,11),-2.22308 # DEPENDENCYPART_ARC
(0,12),-3.26346 # DEPENDENCYPART_ARC
(0,13),0.34985 # DEPENDENCYPART_ARC
(0,14),-3.35662 # DEPENDENCYPART_ARC
(0,15),-3.24215 # DEPENDENCYPART_ARC
(0,16),-3.01062 # DEPENDENCYPART_ARC
(0,17),-1.19858 # DEPENDENCYPART_ARC
(0,18),-3.73353 # DEPENDENCYPART_ARC
(0,19),-4.09862 # DEPENDENCYPART_ARC
(0,20),-0.236608 # DEPENDENCYPART_ARC
(0,21),-0.920956 # DEPENDENCYPART_ARC
(0,22),-3.45272 # DEPENDENCYPART_ARC
(0,23),-1.24199 # DEPENDENCYPART_ARC
(0,24),4.32873 # DEPENDENCYPART_ARC
(1,2),-0.633361 # DEPENDENCYPART_ARC
(1,3),-0.669343 # DEPENDENCYPART_ARC
(1,4),-0.440269 # DEPENDENCYPART_ARC
(1,5),-0.486753 # DEPENDENCYPART_ARC
(1,6),-3.64863 # DEPENDENCYPART_ARC
(1,7),-1.00154 # DEPENDENCYPART_ARC
(1,8),-3.36295 # DEPENDENCYPART_ARC
(1,9),-2.19675 # DEPENDENCYPART_ARC
(1,10),-0.383031 # DEPENDENCYPART_ARC
(1,11),-3.32183 # DEPENDENCYPART_ARC
(1,12),-2.44869 # DEPENDENCYPART_ARC
(1,13),-2.7072 # DEPENDENCYPART_ARC
(1,14),-3.47485 # DEPENDENCYPART_ARC
(1,15),-3.5707 # DEPENDENCYPART_ARC
(1,16),-2.35228 # DEPENDENCYPART_ARC
(1,17),-1.11919 # DEPENDENCYPART_ARC
(1,18),-3.40782 # DEPENDENCYPART_ARC
(1,19),-5.92366 # DEPENDENCYPART_ARC
(1,20),-3.59852 # DEPENDENCYPART_ARC
(1,21),-2.10383 # DEPENDENCYPART_ARC
(1,22),-2.42849 # DEPENDENCYPART_ARC
(1,23),-4.48632 # DEPENDENCYPART_ARC
(1,24),-4.46965 # DEPENDENCYPART_ARC
(2,1),0.0381459 # DEPENDENCYPART_ARC
(2,3),-0.326301 # DEPENDENCYPART_ARC
(2,4),-0.366866 # DEPENDENCYPART_ARC
(2,5),-0.653873 # DEPENDENCYPART_ARC
(2,6),-3.48788 # DEPENDENCYPART_ARC
(2,7),-0.913878 # DEPENDENCYPART_ARC
(2,8),-3.25417 # DEPENDENCYPART_ARC
(2,9),-2.5819 # DEPENDENCYPART_ARC
(2,10),-0.379779 # DEPENDENCYPART_ARC
(2,11),-3.42334 # DEPENDENCYPART_ARC
(2,12),-2.42097 # DEPENDENCYPART_ARC
(2,13),-2.87049 # DEPENDENCYPART_ARC
(2,14),-3.39605 # DEPENDENCYPART_ARC
(2,15),-3.49311 # DEPENDENCYPART_ARC
(2,16),-2.72869 # DEPENDENCYPART_ARC
(2,17),-1.07718 # DEPENDENCYPART_ARC
(2,18),-3.28679 # DEPENDENCYPART_ARC
(2,19),-6.06 # DEPENDENCYPART_ARC
(2,20),-3.85503 # DEPENDENCYPART_ARC
(2,21),-2.07686 # DEPENDENCYPART_ARC
(2,22),-2.59857 # DEPENDENCYPART_ARC
(2,23),-4.63825 # DEPENDENCYPART_ARC
(2,24),-4.28622 # DEPENDENCYPART_ARC
(3,1),4.52551 # DEPENDENCYPART_ARC
