# _root_ Návrh si klade za cíl vytvoření " demokratického , laického a decentralizovaného státu " , který by zaručil všem národům stejná práva .
#goldHeads=3,3,0,3,4,3,13,11,11,11,13,11,6,13,18,18,18,13,20,18,22,18,0,
#predictedHeads=3,3,0,3,4,3,8,11,11,11,13,11,6,18,18,18,18,11,20,18,22,18,0,
(0,1),-1.67395 # DEPENDENCYPART_ARC
(0,3),-0.044173 # DEPENDENCYPART_ARC
(0,4),-1.71026 # DEPENDENCYPART_ARC
(0,5),-2.2281 # DEPENDENCYPART_ARC
(0,6),-1.75261 # DEPENDENCYPART_ARC
(0,7),-3.11132 # DEPENDENCYPART_ARC
(0,8),-3.04315 # DEPENDENCYPART_ARC
(0,9),-1.05949 # DEPENDENCYPART_ARC
(0,10),-3.2393 # DEPENDENCYPART_ARC
(0,11),-1.38071 # DEPENDENCYPART_ARC
(0,12),-3.65627 # DEPENDENCYPART_ARC
(0,13),-3.4311 # DEPENDENCYPART_ARC
(0,14),-4.6082 # DEPENDENCYPART_ARC
(0,15),-1.1182 # DEPENDENCYPART_ARC
(0,16),-2.54987 # DEPENDENCYPART_ARC
(0,18),-1.17109 # DEPENDENCYPART_ARC
(0,19),-2.8237 # DEPENDENCYPART_ARC
(0,20),-5.0399 # DEPENDENCYPART_ARC
(0,21),-4.53215 # DEPENDENCYPART_ARC
(0,22),-5.13852 # DEPENDENCYPART_ARC
(0,23),3.11721 # DEPENDENCYPART_ARC
(1,2),0.640633 # DEPENDENCYPART_ARC
(1,3),-0.459536 # DEPENDENCYPART_ARC
(1,4),-0.376389 # DEPENDENCYPART_ARC
(1,5),-3.71027 # DEPENDENCYPART_ARC
(1,6),-3.35035 # DEPENDENCYPART_ARC
(1,7),0.350674 # DEPENDENCYPART_ARC
(1,8),-1.52854 # DEPENDENCYPART_ARC
(1,9),-0.516398 # DEPENDENCYPART_ARC
(1,10),-1.51246 # DEPENDENCYPART_ARC
(1,11),-0.460982 # DEPENDENCYPART_ARC
(1,12),-2.56186 # DEPENDENCYPART_ARC
(1,13),-0.364799 # DEPENDENCYPART_ARC
(1,14),-1.60988 # DEPENDENCYPART_ARC
(1,15),-0.915535 # DEPENDENCYPART_ARC
(1,16),-3.10271 # DEPENDENCYPART_ARC
(1,17),-2.16986 # DEPENDENCYPART_ARC
(1,18),-2.08225 # DEPENDENCYPART_ARC
(1,19),-3.71534 # DEPENDENCYPART_ARC
(1,20),-4.24753 # DEPENDENCYPART_ARC
(1,21),-6.78136 # DEPENDENCYPART_ARC
(1,22),-6.21994 # DEPENDENCYPART_ARC
(1,23),-8.28281 # DEPENDENCYPART_ARC
(3,1),3.72077 # DEPENDENCYPART_ARC
(3,2),4.09478 # DEPENDENCYPART_ARC
(3,4),2.61207 # DEPENDENCYPART_ARC
(3,5),1.18806 # DEPENDENCYPART_ARC
(3,6),2.10087 # DEPENDENCYPART_ARC
(3,7),0.267595 # DEPENDENCYPART_ARC
(3,8),-2.83251 # DEPENDENCYPART_ARC
(3,9),-0.0581521 # DEPENDENCYPART_ARC
(3,10),-4.58765 # DEPENDENCYPART_ARC
(3,11),0.170396 # DEPENDENCYPART_ARC
(3,12),-6.03122 # DEPENDENCYPART_ARC
(3,13),-2.67544 # DEPENDENCYPART_ARC
(3,14),-0.348263 # DEPENDENCYPART_ARC
(3,15),-0.162035 # DEPENDENCYPART_ARC
(3,16),-3.81898 # DEPENDENCYPART_ARC
(3,18),-3.85503 # DEPENDENCYPART_ARC
(3,19),-3.94835 # DEPENDENCYPART_ARC
(3,20),-3.09052 # DEPENDENCYPART_ARC
(3,21),-7.12698 # DEPENDENCYPART_ARC
(3,22),-3.54732 # DEPENDENCYPART_ARC
(3,23),-1.73308 # DEPENDENCYPART_ARC
(4,1),-3.14775 # DEPENDENCYPART_ARC
(4,3),-2.14697 # DEPENDENCYPART_ARC
(4,5),3.94206 # DEPENDENCYPART_ARC
(4,6),1.64523 # DEPENDENCYPART_ARC
(4,7),0.0912024 # DEPENDENCYPART_ARC
(4,8),-1.61697 # DEPENDENCYPART_ARC
(4,9),0.138523 # DEPENDENCYPART_ARC
(4,10),-2.13695 # DEPENDENCYPART_ARC
(4,11),-0.0104057 # DEPENDENCYPART_ARC
(4,12),-2.6559 # DEPENDENCYPART_ARC
(4,13),-5.28064 # DEPENDENCYPART_ARC
(4,14),-1.56142 # DEPENDENCYPART_ARC
(4,15),-0.442564 # DEPENDENCYPART_ARC
(4,16),-4.45216 # DEPENDENCYPART_ARC
(4,18),-2.64421 # DEPENDENCYPART_ARC
(4,19),-4.37628 # DEPENDENCYPART_ARC
(4,20),-7.84321 # DEPENDENCYPART_ARC
(4,21),-1.83665 # DEPENDENCYPART_ARC
(4,22),-7.64951 # DEPENDENCYPART_ARC
(4,23),-3.45709 # DEPENDENCYPART_ARC
(5,1),-4.20502 # DEPENDENCYPART_ARC
(5,2),-3.56469 # DEPENDENCYPART_ARC
(5,3),-1.54115 # DEPENDENCYPART_ARC
(5,4),1.6035 # DEPENDENCYPART_ARC
(5,6),1.86425 # DEPENDENCYPART_ARC
(5,7),1.06065 # DEPENDENCYPART_ARC
(5,8),0.0467951 # DEPENDENCYPART_ARC
(5,9),-0.013538 # DEPENDENCYPART_ARC
(5,10),-0.151359 # DEPENDENCYPART_ARC
(5,11),0.272697 # DEPENDENCYPART_ARC
(5,12),-1.74836 # DEPENDENCYPART_ARC
(5,13),-0.154134 # DEPENDENCYPART_ARC
(5,14),-1.05865 # DEPENDENCYPART_ARC
(5,15),-0.615352 # DEPENDENCYPART_ARC
(5,16),-5.30473 # DEPENDENCYPART_ARC
(5,17),-0.744152 # DEPENDENCYPART_ARC
(5,18),-0.888238 # DEPENDENCYPART_ARC
(5,19),-4.36769 # DEPENDENCYPART_ARC
(5,20),-4.61555 # DEPENDENCYPART_ARC
(5,21),-3.88424 # DEPENDENCYPART_ARC
(5,22),-4.66435 # DEPENDENCYPART_ARC
(5,23),-7.11128 # DEPENDENCYPART_ARC
(6,1),-3.84984 # DEPENDENCYPART_ARC
(6,2),-3.2796 # DEPENDENCYPART_ARC
(6,3),-1.08118 # DEPENDENCYPART_ARC
(6,4),0.614384 # DEPENDENCYPART_ARC
(6,5),2.16373 # DEPENDENCYPART_ARC
(6,7),0.948143 # DEPENDENCYPART_ARC
(6,8),-0.172429 # DEPENDENCYPART_ARC
(6,9),0.130408 # DEPENDENCYPART_ARC
(6,10),-0.871125 # DEPENDENCYPART_ARC
(6,11),0.322928 # DEPENDENCYPART_ARC
(6,12),-2.61619 # DEPENDENCYPART_ARC
(6,13),0.458901 # DEPENDENCYPART_ARC
(6,14),-0.536552 # DEPENDENCYPART_ARC
(6,15),-0.582568 # DEPENDENCYPART_ARC
(6,16),-5.57639 # DEPENDENCYPART_ARC
(6,17),-0.309795 # DEPENDENCYPART_ARC
(6,18),-0.842363 # DEPENDENCYPART_ARC
(6,19),-4.23388 # DEPENDENCYPART_ARC
(6,20),-3.94786 # DEPENDENCYPART_ARC
(6,21),-2.30233 # DEPENDENCYPART_ARC
(6,22),-4.25367 # DEPENDENCYPART_ARC
(6,23),-6.64948 # DEPENDENCYPART_ARC
(7,1),-2.19174 # DEPENDENCYPART_ARC
(7,2),-1.72976 # DEPENDENCYPART_ARC
(7,3),-1.6347 # DEPENDENCYPART_ARC
(7,4),-1.44456 # DEPENDENCYPART_ARC
(7,5),-0.50035 # DEPENDENCYPART_ARC
(7,6),-0.335446 # DEPENDENCYPART_ARC
(7,8),-1.14801 # DEPENDENCYPART_ARC
(7,9),-0.976015 # DEPENDENCYPART_ARC
(7,10),-2.0639 # DEPENDENCYPART_ARC
(7,11),-0.914512 # DEPENDENCYPART_ARC
(7,12),-1.85489 # DEPENDENCYPART_ARC
(7,13),-1.17498 # DEPENDENCYPART_ARC
(7,14),-1.44664 # DEPENDENCYPART_ARC
(7,15),-1.55095 # DEPENDENCYPART_ARC
(7,16),-2.46402 # DEPENDENCYPART_ARC
(7,18),-2.20794 # DEPENDENCYPART_ARC
(7,19),-2.97893 # DEPENDENCYPART_ARC
(7,20),-3.33091 # DEPENDENCYPART_ARC
(7,21),-3.36112 # DEPENDENCYPART_ARC
(7,22),-3.02801 # DEPENDENCYPART_ARC
(7,23),-1.97632 # DEPENDENCYPART_ARC
(8,1),-4.04129 # DEPENDENCYPART_ARC
(8,2),-0.848902 # DEPENDENCYPART_ARC
(8,3),-4.1488 # DEPENDENCYPART_ARC
(8,4),-0.636854 # DEPENDENCYPART_ARC
(8,5),-1.60528 # DEPENDENCYPART_ARC
(8,6),-1.29473 # DEPENDENCYPART_ARC
(8,7),1.08053 # DEPENDENCYPART_ARC
(8,9),1.28048 # DEPENDENCYPART_ARC
(8,10),-1.79508 # DEPENDENCYPART_ARC
(8,11),0.342353 # DEPENDENCYPART_ARC
(8,12),-2.60537 # DEPENDENCYPART_ARC
(8,13),-1.78826 # DEPENDENCYPART_ARC
(8,14),-0.334283 # DEPENDENCYPART_ARC
(8,15),-0.435443 # DEPENDENCYPART_ARC
(8,18),-2.59567 # DEPENDENCYPART_ARC
(8,19),-1.86004 # DEPENDENCYPART_ARC
(8,20),-2.77805 # DEPENDENCYPART_ARC
(8,21),-5.48389 # DEPENDENCYPART_ARC
(8,22),-4.23815 # DEPENDENCYPART_ARC
(8,23),-2.66564 # DEPENDENCYPART_ARC
(9,1),0.170958 # DEPENDENCYPART_ARC
