# _root_ Co by se stalo , kdyby v prosinci nebylo přepadeno Čečensko , ale pobaltské státy ?
#goldHeads=4,4,4,0,6,4,10,7,10,6,13,13,10,15,13,0,
#predictedHeads=4,4,4,0,6,4,10,7,10,6,13,13,10,15,13,0,
(0,1),0.269654 # DEPENDENCYPART_ARC
(0,2),-0.817002 # DEPENDENCYPART_ARC
(0,3),-0.99449 # DEPENDENCYPART_ARC
(0,4),-0.139675 # DEPENDENCYPART_ARC
(0,5),0.00789226 # DEPENDENCYPART_ARC
(0,6),-0.988355 # DEPENDENCYPART_ARC
(0,7),-2.19246 # DEPENDENCYPART_ARC
(0,8),-3.81538 # DEPENDENCYPART_ARC
(0,9),-0.363705 # DEPENDENCYPART_ARC
(0,10),-1.27489 # DEPENDENCYPART_ARC
(0,11),-2.91182 # DEPENDENCYPART_ARC
(0,12),-0.553683 # DEPENDENCYPART_ARC
(0,13),-0.337005 # DEPENDENCYPART_ARC
(0,14),-3.44804 # DEPENDENCYPART_ARC
(0,15),-4.32776 # DEPENDENCYPART_ARC
(0,16),3.32318 # DEPENDENCYPART_ARC
(1,2),-0.329538 # DEPENDENCYPART_ARC
(1,3),-0.0130347 # DEPENDENCYPART_ARC
(1,4),-0.434703 # DEPENDENCYPART_ARC
(1,5),-0.467336 # DEPENDENCYPART_ARC
(1,6),-1.03166 # DEPENDENCYPART_ARC
(1,7),-1.03197 # DEPENDENCYPART_ARC
(1,8),-1.06834 # DEPENDENCYPART_ARC
(1,9),-3.23674 # DEPENDENCYPART_ARC
(1,10),-3.53576 # DEPENDENCYPART_ARC
(1,11),-1.41114 # DEPENDENCYPART_ARC
(1,12),-0.418529 # DEPENDENCYPART_ARC
(1,13),-1.94025 # DEPENDENCYPART_ARC
(1,14),-2.06022 # DEPENDENCYPART_ARC
(1,15),-1.7917 # DEPENDENCYPART_ARC
(1,16),-1.39942 # DEPENDENCYPART_ARC
(2,1),-0.239462 # DEPENDENCYPART_ARC
(2,3),-0.564899 # DEPENDENCYPART_ARC
(2,4),-0.361024 # DEPENDENCYPART_ARC
(2,5),-1.71129 # DEPENDENCYPART_ARC
(2,6),-1.44922 # DEPENDENCYPART_ARC
(2,7),-3.25421 # DEPENDENCYPART_ARC
(2,8),-6.25565 # DEPENDENCYPART_ARC
(2,9),-3.60575 # DEPENDENCYPART_ARC
(2,10),-4.92066 # DEPENDENCYPART_ARC
(2,11),-6.32573 # DEPENDENCYPART_ARC
(2,12),-2.20953 # DEPENDENCYPART_ARC
(2,13),-3.01955 # DEPENDENCYPART_ARC
(2,14),-8.20408 # DEPENDENCYPART_ARC
(2,15),-6.94111 # DEPENDENCYPART_ARC
(2,16),-2.48882 # DEPENDENCYPART_ARC
(3,1),-1.37759 # DEPENDENCYPART_ARC
(3,2),-0.744644 # DEPENDENCYPART_ARC
(3,4),-2.97966 # DEPENDENCYPART_ARC
(3,5),-2.13819 # DEPENDENCYPART_ARC
(3,6),-2.42139 # DEPENDENCYPART_ARC
(3,7),-2.89054 # DEPENDENCYPART_ARC
(3,8),-1.99496 # DEPENDENCYPART_ARC
(3,9),-6.36589 # DEPENDENCYPART_ARC
(3,10),-6.18153 # DEPENDENCYPART_ARC
(3,11),-2.92344 # DEPENDENCYPART_ARC
(3,12),-1.90213 # DEPENDENCYPART_ARC
(3,13),-3.53358 # DEPENDENCYPART_ARC
(3,14),-5.04215 # DEPENDENCYPART_ARC
(3,15),-2.9201 # DEPENDENCYPART_ARC
(3,16),-2.84038 # DEPENDENCYPART_ARC
(4,1),2.74567 # DEPENDENCYPART_ARC
(4,2),4.07091 # DEPENDENCYPART_ARC
(4,3),4.54618 # DEPENDENCYPART_ARC
(4,5),0.855876 # DEPENDENCYPART_ARC
(4,6),1.61319 # DEPENDENCYPART_ARC
(4,7),-0.621139 # DEPENDENCYPART_ARC
(4,8),-3.11474 # DEPENDENCYPART_ARC
(4,9),-1.78059 # DEPENDENCYPART_ARC
(4,10),-2.20707 # DEPENDENCYPART_ARC
