# _root_ Víme ale , co nás čeká , musíme si dát velký pozor na střelce .
#goldHeads=2,0,6,6,6,7,1,7,10,8,12,10,12,13,0,
#predictedHeads=2,0,6,6,6,2,6,7,10,8,12,10,12,13,0,
(0,1),-0.384924 # DEPENDENCYPART_ARC
(0,2),0.486422 # DEPENDENCYPART_ARC
(0,3),-0.761932 # DEPENDENCYPART_ARC
(0,4),-0.69421 # DEPENDENCYPART_ARC
(0,5),-2.36583 # DEPENDENCYPART_ARC
(0,6),-1.26461 # DEPENDENCYPART_ARC
(0,7),-0.751261 # DEPENDENCYPART_ARC
(0,8),-0.476459 # DEPENDENCYPART_ARC
(0,10),-2.76955 # DEPENDENCYPART_ARC
(0,11),-3.76874 # DEPENDENCYPART_ARC
(0,12),-4.70505 # DEPENDENCYPART_ARC
(0,13),-4.58104 # DEPENDENCYPART_ARC
(0,14),-4.93056 # DEPENDENCYPART_ARC
(0,15),4.21029 # DEPENDENCYPART_ARC
(1,2),1.28537 # DEPENDENCYPART_ARC
(1,3),0.0392695 # DEPENDENCYPART_ARC
(1,4),-0.549323 # DEPENDENCYPART_ARC
(1,5),0.258818 # DEPENDENCYPART_ARC
(1,6),-0.714236 # DEPENDENCYPART_ARC
(1,7),0.21596 # DEPENDENCYPART_ARC
(1,8),-2.78486 # DEPENDENCYPART_ARC
(1,9),-1.70235 # DEPENDENCYPART_ARC
(1,10),-0.712005 # DEPENDENCYPART_ARC
(1,11),-6.05358 # DEPENDENCYPART_ARC
(1,12),-1.63138 # DEPENDENCYPART_ARC
(1,13),-1.95126 # DEPENDENCYPART_ARC
(1,14),-3.01029 # DEPENDENCYPART_ARC
(1,15),-1.1386 # DEPENDENCYPART_ARC
(2,1),1.78266 # DEPENDENCYPART_ARC
(2,3),0.373572 # DEPENDENCYPART_ARC
(2,4),0.212701 # DEPENDENCYPART_ARC
(2,5),-0.617723 # DEPENDENCYPART_ARC
(2,6),0.583929 # DEPENDENCYPART_ARC
(2,7),0.0804563 # DEPENDENCYPART_ARC
(2,8),-0.00751262 # DEPENDENCYPART_ARC
(2,9),-1.72752 # DEPENDENCYPART_ARC
(2,10),-1.05213 # DEPENDENCYPART_ARC
(2,11),-2.30763 # DEPENDENCYPART_ARC
(2,12),-2.81053 # DEPENDENCYPART_ARC
(2,13),-2.24083 # DEPENDENCYPART_ARC
(2,14),-2.94608 # DEPENDENCYPART_ARC
(2,15),-1.34295 # DEPENDENCYPART_ARC
(3,1),-0.120986 # DEPENDENCYPART_ARC
(3,2),-0.166173 # DEPENDENCYPART_ARC
(3,4),-0.212092 # DEPENDENCYPART_ARC
(3,5),-0.33905 # DEPENDENCYPART_ARC
(3,6),0.338787 # DEPENDENCYPART_ARC
(3,7),-0.183501 # DEPENDENCYPART_ARC
(3,8),-0.913127 # DEPENDENCYPART_ARC
(3,9),-1.48238 # DEPENDENCYPART_ARC
(3,10),-0.900867 # DEPENDENCYPART_ARC
(3,11),-1.29462 # DEPENDENCYPART_ARC
(3,12),-3.3569 # DEPENDENCYPART_ARC
(3,13),-2.7827 # DEPENDENCYPART_ARC
(3,14),-3.45404 # DEPENDENCYPART_ARC
(3,15),-0.680575 # DEPENDENCYPART_ARC
(4,3),0.323953 # DEPENDENCYPART_ARC
(4,7),-0.582457 # DEPENDENCYPART_ARC
(4,11),-0.846675 # DEPENDENCYPART_ARC
(4,12),-1.43715 # DEPENDENCYPART_ARC
(4,13),-1.13331 # DEPENDENCYPART_ARC
(4,14),-1.99592 # DEPENDENCYPART_ARC
(4,15),-1.31739 # DEPENDENCYPART_ARC
(5,1),-1.32338 # DEPENDENCYPART_ARC
(5,2),-0.890971 # DEPENDENCYPART_ARC
(5,3),0.194414 # DEPENDENCYPART_ARC
(5,6),-2.37149 # DEPENDENCYPART_ARC
(5,7),-1.47735 # DEPENDENCYPART_ARC
(5,8),-3.82021 # DEPENDENCYPART_ARC
(5,10),-2.81852 # DEPENDENCYPART_ARC
(5,11),-1.44361 # DEPENDENCYPART_ARC
(5,12),-0.755468 # DEPENDENCYPART_ARC
