# _root_ V něm si několik prostitutek najalo vysloužilé zabijáky , aby se pomstily dvěma zákazníkům , kteří v opilosti jednu z nich zohavili .
#goldHeads=6,1,6,6,4,0,8,6,10,6,12,10,14,12,22,22,22,17,22,19,20,14,0,
#predictedHeads=6,1,6,6,4,0,8,6,10,6,12,10,14,12,22,22,22,17,22,19,20,14,0,
(0,1),-1.42529 # DEPENDENCYPART_ARC
(0,4),-0.872155 # DEPENDENCYPART_ARC
(0,5),-2.4039 # DEPENDENCYPART_ARC
(0,6),0.16118 # DEPENDENCYPART_ARC
(0,7),-2.89212 # DEPENDENCYPART_ARC
(0,8),-2.38909 # DEPENDENCYPART_ARC
(0,9),-0.551113 # DEPENDENCYPART_ARC
(0,10),-2.84671 # DEPENDENCYPART_ARC
(0,12),-0.942171 # DEPENDENCYPART_ARC
(0,13),-3.09067 # DEPENDENCYPART_ARC
(0,14),-3.40943 # DEPENDENCYPART_ARC
(0,15),-0.862642 # DEPENDENCYPART_ARC
(0,16),-3.03951 # DEPENDENCYPART_ARC
(0,17),-3.66758 # DEPENDENCYPART_ARC
(0,18),-4.79673 # DEPENDENCYPART_ARC
(0,19),-3.80866 # DEPENDENCYPART_ARC
(0,20),-5.90934 # DEPENDENCYPART_ARC
(0,22),-2.35624 # DEPENDENCYPART_ARC
(0,23),4.26013 # DEPENDENCYPART_ARC
(1,2),2.65378 # DEPENDENCYPART_ARC
(1,4),-1.40987 # DEPENDENCYPART_ARC
(1,5),-0.712234 # DEPENDENCYPART_ARC
(1,6),-2.68522 # DEPENDENCYPART_ARC
(1,7),-3.65163 # DEPENDENCYPART_ARC
(1,8),-4.28998 # DEPENDENCYPART_ARC
(1,9),-2.27278 # DEPENDENCYPART_ARC
(1,10),-2.77726 # DEPENDENCYPART_ARC
(1,12),-3.71787 # DEPENDENCYPART_ARC
(1,13),-4.34518 # DEPENDENCYPART_ARC
(1,14),-6.51431 # DEPENDENCYPART_ARC
(1,15),-3.93987 # DEPENDENCYPART_ARC
(1,16),-6.127 # DEPENDENCYPART_ARC
(1,17),-3.86225 # DEPENDENCYPART_ARC
(1,18),-5.82196 # DEPENDENCYPART_ARC
(1,19),-5.77052 # DEPENDENCYPART_ARC
(1,20),-3.80023 # DEPENDENCYPART_ARC
(1,21),-4.78936 # DEPENDENCYPART_ARC
(1,22),-4.45587 # DEPENDENCYPART_ARC
(1,23),-5.5858 # DEPENDENCYPART_ARC
(2,1),-0.402605 # DEPENDENCYPART_ARC
(2,5),-1.9984 # DEPENDENCYPART_ARC
(2,8),-1.93176 # DEPENDENCYPART_ARC
(2,14),-1.86053 # DEPENDENCYPART_ARC
(2,17),-2.96112 # DEPENDENCYPART_ARC
(2,18),-2.63024 # DEPENDENCYPART_ARC
(2,20),-2.88338 # DEPENDENCYPART_ARC
(4,1),-0.107842 # DEPENDENCYPART_ARC
(4,5),3.7222 # DEPENDENCYPART_ARC
(4,6),-0.956599 # DEPENDENCYPART_ARC
(4,7),-0.819543 # DEPENDENCYPART_ARC
(4,8),-0.587273 # DEPENDENCYPART_ARC
(4,9),-1.27816 # DEPENDENCYPART_ARC
(4,10),-0.68831 # DEPENDENCYPART_ARC
(4,12),-1.84583 # DEPENDENCYPART_ARC
(4,13),-1.7951 # DEPENDENCYPART_ARC
(4,14),-1.79471 # DEPENDENCYPART_ARC
(4,15),-1.98221 # DEPENDENCYPART_ARC
(4,16),-1.21376 # DEPENDENCYPART_ARC
(4,17),-1.9863 # DEPENDENCYPART_ARC
(4,18),-2.79184 # DEPENDENCYPART_ARC
(4,19),-2.6906 # DEPENDENCYPART_ARC
(4,20),-2.85968 # DEPENDENCYPART_ARC
(4,22),-2.6115 # DEPENDENCYPART_ARC
(4,23),-3.92382 # DEPENDENCYPART_ARC
(5,1),-1.01049 # DEPENDENCYPART_ARC
(5,3),-1.27647 # DEPENDENCYPART_ARC
(5,4),0.447833 # DEPENDENCYPART_ARC
(5,6),-0.947877 # DEPENDENCYPART_ARC
(5,7),-2.61785 # DEPENDENCYPART_ARC
(5,8),-4.3471 # DEPENDENCYPART_ARC
(5,9),-1.02671 # DEPENDENCYPART_ARC
(5,10),-1.10231 # DEPENDENCYPART_ARC
(5,11),-3.07205 # DEPENDENCYPART_ARC
(5,12),-2.73609 # DEPENDENCYPART_ARC
(5,13),-3.78022 # DEPENDENCYPART_ARC
(5,14),-5.04081 # DEPENDENCYPART_ARC
(5,15),-1.55685 # DEPENDENCYPART_ARC
(5,16),-3.80855 # DEPENDENCYPART_ARC
(5,17),-2.76789 # DEPENDENCYPART_ARC
(5,18),-4.17292 # DEPENDENCYPART_ARC
(5,19),-4.87783 # DEPENDENCYPART_ARC
(5,20),-3.30827 # DEPENDENCYPART_ARC
(5,22),-3.62571 # DEPENDENCYPART_ARC
(5,23),-6.44567 # DEPENDENCYPART_ARC
(6,1),2.83151 # DEPENDENCYPART_ARC
(6,3),2.79269 # DEPENDENCYPART_ARC
(6,4),1.89777 # DEPENDENCYPART_ARC
(6,5),-0.778495 # DEPENDENCYPART_ARC
(6,7),-0.944488 # DEPENDENCYPART_ARC
(6,8),1.0458 # DEPENDENCYPART_ARC
(6,9),0.50645 # DEPENDENCYPART_ARC
(6,10),1.56837 # DEPENDENCYPART_ARC
(6,11),-0.641598 # DEPENDENCYPART_ARC
(6,12),-4.01845 # DEPENDENCYPART_ARC
(6,13),-0.784629 # DEPENDENCYPART_ARC
(6,14),-3.10111 # DEPENDENCYPART_ARC
(6,15),-0.0936192 # DEPENDENCYPART_ARC
(6,16),-4.48818 # DEPENDENCYPART_ARC
(6,17),-1.40941 # DEPENDENCYPART_ARC
(6,18),-3.83066 # DEPENDENCYPART_ARC
(6,19),-2.27227 # DEPENDENCYPART_ARC
(6,20),-1.79324 # DEPENDENCYPART_ARC
(6,22),-4.96782 # DEPENDENCYPART_ARC
(6,23),-0.933153 # DEPENDENCYPART_ARC
(7,1),-1.15365 # DEPENDENCYPART_ARC
(7,3),-0.467374 # DEPENDENCYPART_ARC
(7,4),-0.880571 # DEPENDENCYPART_ARC
(7,5),-4.4556 # DEPENDENCYPART_ARC
(7,6),-1.6274 # DEPENDENCYPART_ARC
(7,8),-0.147117 # DEPENDENCYPART_ARC
(7,9),-0.818507 # DEPENDENCYPART_ARC
(7,10),-0.0397587 # DEPENDENCYPART_ARC
(7,11),-2.22381 # DEPENDENCYPART_ARC
(7,12),-2.15213 # DEPENDENCYPART_ARC
(7,13),-2.47151 # DEPENDENCYPART_ARC
(7,14),-2.61878 # DEPENDENCYPART_ARC
(7,15),-1.53343 # DEPENDENCYPART_ARC
(7,17),-2.92759 # DEPENDENCYPART_ARC
(7,18),-3.72209 # DEPENDENCYPART_ARC
(7,19),-4.77636 # DEPENDENCYPART_ARC
(7,20),-2.60153 # DEPENDENCYPART_ARC
(7,22),-2.75495 # DEPENDENCYPART_ARC
(7,23),-3.24263 # DEPENDENCYPART_ARC
(8,1),-1.29344 # DEPENDENCYPART_ARC
(8,3),-2.73949 # DEPENDENCYPART_ARC
(8,4),-1.14374 # DEPENDENCYPART_ARC
(8,5),-4.75431 # DEPENDENCYPART_ARC
(8,6),-1.79053 # DEPENDENCYPART_ARC
(8,7),5.48361 # DEPENDENCYPART_ARC
(8,9),-0.22278 # DEPENDENCYPART_ARC
(8,10),0.28453 # DEPENDENCYPART_ARC
(8,11),-2.81335 # DEPENDENCYPART_ARC
(8,12),-0.277611 # DEPENDENCYPART_ARC
(8,13),-3.65446 # DEPENDENCYPART_ARC
(8,14),-3.72705 # DEPENDENCYPART_ARC
(8,15),-1.20184 # DEPENDENCYPART_ARC
(8,16),-4.31881 # DEPENDENCYPART_ARC
(8,17),-3.01077 # DEPENDENCYPART_ARC
(8,18),-3.05432 # DEPENDENCYPART_ARC
(8,19),-4.17475 # DEPENDENCYPART_ARC
(8,20),-3.02186 # DEPENDENCYPART_ARC
(8,22),-0.864951 # DEPENDENCYPART_ARC
(8,23),-5.01783 # DEPENDENCYPART_ARC
(9,1),-1.70295 # DEPENDENCYPART_ARC
(9,3),-0.850889 # DEPENDENCYPART_ARC
(9,4),-0.930084 # DEPENDENCYPART_ARC
(9,5),-0.926385 # DEPENDENCYPART_ARC
(9,6),0.00371892 # DEPENDENCYPART_ARC
(9,7),-0.354638 # DEPENDENCYPART_ARC
(9,8),-0.571057 # DEPENDENCYPART_ARC
(9,10),0.0105423 # DEPENDENCYPART_ARC
(9,11),-0.442395 # DEPENDENCYPART_ARC
(9,12),0.428608 # DEPENDENCYPART_ARC
(9,13),-0.942673 # DEPENDENCYPART_ARC
(9,14),-1.00342 # DEPENDENCYPART_ARC
(9,15),-0.197559 # DEPENDENCYPART_ARC
(9,16),-1.62207 # DEPENDENCYPART_ARC
(9,17),-1.66806 # DEPENDENCYPART_ARC
(9,18),-2.16767 # DEPENDENCYPART_ARC
(9,19),-1.39565 # DEPENDENCYPART_ARC
(9,20),-1.66223 # DEPENDENCYPART_ARC
(9,22),-0.890199 # DEPENDENCYPART_ARC
(9,23),-0.720939 # DEPENDENCYPART_ARC
(10,1),-1.40289 # DEPENDENCYPART_ARC
(10,4),-1.2526 # DEPENDENCYPART_ARC
(10,5),-1.08624 # DEPENDENCYPART_ARC
(10,6),-0.317126 # DEPENDENCYPART_ARC
(10,7),-0.562226 # DEPENDENCYPART_ARC
(10,8),-0.459858 # DEPENDENCYPART_ARC
(10,9),2.55931 # DEPENDENCYPART_ARC
(10,12),2.5727 # DEPENDENCYPART_ARC
(10,13),-0.566516 # DEPENDENCYPART_ARC
(10,14),-0.682781 # DEPENDENCYPART_ARC
(10,15),0.765296 # DEPENDENCYPART_ARC
(10,17),-2.04589 # DEPENDENCYPART_ARC
(10,18),-2.5209 # DEPENDENCYPART_ARC
(10,19),-1.56374 # DEPENDENCYPART_ARC
(10,20),-1.54245 # DEPENDENCYPART_ARC
(10,22),0.668191 # DEPENDENCYPART_ARC
(10,23),-0.465129 # DEPENDENCYPART_ARC
(12,1),0.570081 # DEPENDENCYPART_ARC
(12,3),-0.0877448 # DEPENDENCYPART_ARC
(12,4),-1.14812 # DEPENDENCYPART_ARC
(12,5),-2.4715 # DEPENDENCYPART_ARC
(12,6),-2.73583 # DEPENDENCYPART_ARC
(12,7),-2.2857 # DEPENDENCYPART_ARC
(12,8),-1.29921 # DEPENDENCYPART_ARC
(12,9),0.498875 # DEPENDENCYPART_ARC
(12,10),0.0475145 # DEPENDENCYPART_ARC
(12,11),4.14321 # DEPENDENCYPART_ARC
(12,13),1.57107 # DEPENDENCYPART_ARC
(12,14),1.71578 # DEPENDENCYPART_ARC
(12,15),0.845747 # DEPENDENCYPART_ARC
(12,16),-0.976577 # DEPENDENCYPART_ARC
(12,17),0.359902 # DEPENDENCYPART_ARC
(12,18),-1.62381 # DEPENDENCYPART_ARC
(12,19),-1.4872 # DEPENDENCYPART_ARC
(12,20),-0.501938 # DEPENDENCYPART_ARC
(12,22),-2.14229 # DEPENDENCYPART_ARC
(12,23),-0.917326 # DEPENDENCYPART_ARC
(13,1),-2.30655 # DEPENDENCYPART_ARC
(13,4),-2.90143 # DEPENDENCYPART_ARC
(13,5),-2.45075 # DEPENDENCYPART_ARC
(13,6),-5.36083 # DEPENDENCYPART_ARC
(13,7),-3.38855 # DEPENDENCYPART_ARC
(13,8),-3.1565 # DEPENDENCYPART_ARC
(13,9),-1.62756 # DEPENDENCYPART_ARC
