# _root_ Ročně by tedy zaplatila na pojistném , včetně úrazového připojištění , 4104 korun .
#goldHeads=4,4,4,0,4,5,8,4,10,8,8,4,12,0,
#predictedHeads=4,4,4,0,4,5,8,4,10,8,8,11,12,0,
(0,1),-0.0511837 # DEPENDENCYPART_ARC
(0,2),-0.0583381 # DEPENDENCYPART_ARC
(0,3),-0.0614813 # DEPENDENCYPART_ARC
(0,4),0.00966735 # DEPENDENCYPART_ARC
(0,5),-1.84663 # DEPENDENCYPART_ARC
(0,6),-1.93356 # DEPENDENCYPART_ARC
(0,7),0.0946383 # DEPENDENCYPART_ARC
(0,8),-2.31842 # DEPENDENCYPART_ARC
(0,9),-2.17119 # DEPENDENCYPART_ARC
(0,10),-2.27947 # DEPENDENCYPART_ARC
(0,11),-0.422025 # DEPENDENCYPART_ARC
(0,12),-1.32054 # DEPENDENCYPART_ARC
(0,13),-2.44116 # DEPENDENCYPART_ARC
(0,14),3.87938 # DEPENDENCYPART_ARC
(1,2),-0.154758 # DEPENDENCYPART_ARC
(1,3),-0.321269 # DEPENDENCYPART_ARC
(1,4),-1.58662 # DEPENDENCYPART_ARC
(1,5),-0.915891 # DEPENDENCYPART_ARC
(1,6),-1.51174 # DEPENDENCYPART_ARC
(1,7),-0.806369 # DEPENDENCYPART_ARC
(1,8),-1.11932 # DEPENDENCYPART_ARC
(1,9),-1.95365 # DEPENDENCYPART_ARC
(1,10),-1.74446 # DEPENDENCYPART_ARC
(1,11),-1.23142 # DEPENDENCYPART_ARC
(1,12),-1.86434 # DEPENDENCYPART_ARC
(1,13),-2.31145 # DEPENDENCYPART_ARC
(1,14),-2.40468 # DEPENDENCYPART_ARC
(2,1),-0.611239 # DEPENDENCYPART_ARC
(2,3),-0.0348508 # DEPENDENCYPART_ARC
(2,4),-0.409241 # DEPENDENCYPART_ARC
(2,5),-1.40801 # DEPENDENCYPART_ARC
(2,6),-2.76557 # DEPENDENCYPART_ARC
(2,7),-1.65012 # DEPENDENCYPART_ARC
(2,8),-2.23744 # DEPENDENCYPART_ARC
(2,9),-4.48181 # DEPENDENCYPART_ARC
(2,10),-3.26299 # DEPENDENCYPART_ARC
(2,11),-1.78142 # DEPENDENCYPART_ARC
(2,12),-2.30175 # DEPENDENCYPART_ARC
(2,13),-3.8064 # DEPENDENCYPART_ARC
(2,14),-2.53618 # DEPENDENCYPART_ARC
(3,1),0.0482679 # DEPENDENCYPART_ARC
(3,2),0.736795 # DEPENDENCYPART_ARC
(3,4),0.238425 # DEPENDENCYPART_ARC
(3,5),0.0321492 # DEPENDENCYPART_ARC
(3,6),-0.350553 # DEPENDENCYPART_ARC
(3,7),-0.363493 # DEPENDENCYPART_ARC
(3,8),-0.783034 # DEPENDENCYPART_ARC
(3,9),-0.966619 # DEPENDENCYPART_ARC
(3,10),-1.36963 # DEPENDENCYPART_ARC
(3,11),-0.614673 # DEPENDENCYPART_ARC
(3,12),-0.991015 # DEPENDENCYPART_ARC
(3,13),-1.55847 # DEPENDENCYPART_ARC
(3,14),-1.78734 # DEPENDENCYPART_ARC
(4,1),1.46899 # DEPENDENCYPART_ARC
(4,2),3.66096 # DEPENDENCYPART_ARC
(4,3),2.35682 # DEPENDENCYPART_ARC
(4,5),2.53886 # DEPENDENCYPART_ARC
(4,6),-0.286885 # DEPENDENCYPART_ARC
(4,7),0.73478 # DEPENDENCYPART_ARC
(4,8),1.02519 # DEPENDENCYPART_ARC
