# _root_ Zdůraznil , že USA vytvářejí koncentrační tábor , když přesouvají uprchlíky na základnu Guantánamo na Kubě .
#goldHeads=0,3,1,5,3,7,5,9,5,9,10,10,12,13,13,15,0,
#predictedHeads=0,3,1,5,3,7,5,9,5,9,10,11,12,13,13,15,0,
(0,1),-0.0110532 # DEPENDENCYPART_ARC
(0,2),-0.685712 # DEPENDENCYPART_ARC
(0,3),-1.62129 # DEPENDENCYPART_ARC
(0,4),-2.34166 # DEPENDENCYPART_ARC
(0,5),-1.00218 # DEPENDENCYPART_ARC
(0,6),-2.8828 # DEPENDENCYPART_ARC
(0,7),-3.47764 # DEPENDENCYPART_ARC
(0,8),-0.948523 # DEPENDENCYPART_ARC
(0,9),-2.44296 # DEPENDENCYPART_ARC
(0,10),-1.71323 # DEPENDENCYPART_ARC
(0,11),-4.5848 # DEPENDENCYPART_ARC
(0,12),-4.06896 # DEPENDENCYPART_ARC
(0,13),-4.49562 # DEPENDENCYPART_ARC
(0,14),-3.0616 # DEPENDENCYPART_ARC
(0,15),-4.7443 # DEPENDENCYPART_ARC
(0,16),-4.13391 # DEPENDENCYPART_ARC
(0,17),3.62353 # DEPENDENCYPART_ARC
(1,2),0.262497 # DEPENDENCYPART_ARC
(1,3),2.03667 # DEPENDENCYPART_ARC
(1,4),-2.31428 # DEPENDENCYPART_ARC
(1,5),-1.56256 # DEPENDENCYPART_ARC
(1,6),-3.69326 # DEPENDENCYPART_ARC
(1,7),-1.02015 # DEPENDENCYPART_ARC
(1,8),-0.301583 # DEPENDENCYPART_ARC
(1,9),0.964632 # DEPENDENCYPART_ARC
(1,10),-3.45678 # DEPENDENCYPART_ARC
(1,11),-2.99211 # DEPENDENCYPART_ARC
(1,12),-1.65563 # DEPENDENCYPART_ARC
(1,13),-3.7502 # DEPENDENCYPART_ARC
(1,14),-4.0398 # DEPENDENCYPART_ARC
(1,15),-2.07614 # DEPENDENCYPART_ARC
(1,16),-6.17883 # DEPENDENCYPART_ARC
(1,17),-1.23454 # DEPENDENCYPART_ARC
(2,1),-0.771808 # DEPENDENCYPART_ARC
(2,3),-0.0682631 # DEPENDENCYPART_ARC
(2,4),-1.87681 # DEPENDENCYPART_ARC
(2,5),-0.419242 # DEPENDENCYPART_ARC
