# _root_ Politizování odborů nelze zabránit , nelze ho zakázat , je legitimní .
#goldHeads=4,1,9,3,9,9,8,6,0,9,10,0,
#predictedHeads=4,1,0,3,3,9,8,6,3,9,10,0,
(0,1),-0.0384913 # DEPENDENCYPART_ARC
(0,2),-1.79051 # DEPENDENCYPART_ARC
(0,3),0.972117 # DEPENDENCYPART_ARC
(0,4),-0.38065 # DEPENDENCYPART_ARC
(0,5),0.145001 # DEPENDENCYPART_ARC
(0,6),0.296104 # DEPENDENCYPART_ARC
(0,7),-1.53984 # DEPENDENCYPART_ARC
(0,8),-1.58245 # DEPENDENCYPART_ARC
(0,9),-0.0664769 # DEPENDENCYPART_ARC
(0,10),-0.262323 # DEPENDENCYPART_ARC
(0,11),-2.51025 # DEPENDENCYPART_ARC
(0,12),3.97035 # DEPENDENCYPART_ARC
(1,2),4.5139 # DEPENDENCYPART_ARC
(1,3),-1.08603 # DEPENDENCYPART_ARC
(1,4),-0.289603 # DEPENDENCYPART_ARC
(1,5),-0.94412 # DEPENDENCYPART_ARC
(1,6),-4.12271 # DEPENDENCYPART_ARC
(1,7),-2.30538 # DEPENDENCYPART_ARC
(1,8),-2.47424 # DEPENDENCYPART_ARC
(1,9),-1.35825 # DEPENDENCYPART_ARC
(1,10),-6.18135 # DEPENDENCYPART_ARC
(1,11),-3.6195 # DEPENDENCYPART_ARC
(1,12),-3.07212 # DEPENDENCYPART_ARC
(2,1),-0.465635 # DEPENDENCYPART_ARC
(2,3),-2.2306 # DEPENDENCYPART_ARC
(2,4),-2.11928 # DEPENDENCYPART_ARC
(2,5),-1.44168 # DEPENDENCYPART_ARC
(2,6),-5.28967 # DEPENDENCYPART_ARC
(2,7),-3.64528 # DEPENDENCYPART_ARC
(2,8),-4.49345 # DEPENDENCYPART_ARC
(2,9),-1.96514 # DEPENDENCYPART_ARC
(2,10),-7.26555 # DEPENDENCYPART_ARC
(2,11),-7.57471 # DEPENDENCYPART_ARC
(2,12),-3.45717 # DEPENDENCYPART_ARC
(3,1),2.50539 # DEPENDENCYPART_ARC
