# _root_ Havlova tvrdá a otevřená slova o Mnichově , okupaci , odsunu Němců a zločinech komunismu jsou jednoznačná .
#goldHeads=5,3,5,3,16,5,13,13,13,13,13,11,6,13,14,0,16,0,
#predictedHeads=5,3,5,3,16,5,6,13,13,13,13,13,6,13,14,0,16,0,
(0,2),-1.06143 # DEPENDENCYPART_ARC
(0,3),-1.08255 # DEPENDENCYPART_ARC
(0,4),-1.48304 # DEPENDENCYPART_ARC
(0,5),-1.43872 # DEPENDENCYPART_ARC
(0,6),-0.339587 # DEPENDENCYPART_ARC
(0,7),-1.20063 # DEPENDENCYPART_ARC
(0,8),-0.609173 # DEPENDENCYPART_ARC
(0,9),-1.91921 # DEPENDENCYPART_ARC
(0,10),-0.819817 # DEPENDENCYPART_ARC
(0,11),-2.39842 # DEPENDENCYPART_ARC
(0,12),-2.77122 # DEPENDENCYPART_ARC
(0,13),-1.5364 # DEPENDENCYPART_ARC
(0,14),-3.45456 # DEPENDENCYPART_ARC
(0,15),-3.74853 # DEPENDENCYPART_ARC
(0,16),0.224379 # DEPENDENCYPART_ARC
(0,17),-3.69901 # DEPENDENCYPART_ARC
(0,18),3.40239 # DEPENDENCYPART_ARC
(1,3),0.104865 # DEPENDENCYPART_ARC
(1,5),-3.07014 # DEPENDENCYPART_ARC
(1,6),-1.14085 # DEPENDENCYPART_ARC
(1,7),-2.58789 # DEPENDENCYPART_ARC
(1,8),-0.246494 # DEPENDENCYPART_ARC
(1,9),-3.52494 # DEPENDENCYPART_ARC
(1,10),-0.424805 # DEPENDENCYPART_ARC
(1,11),-4.096 # DEPENDENCYPART_ARC
(1,12),-6.15245 # DEPENDENCYPART_ARC
(1,13),-0.611843 # DEPENDENCYPART_ARC
(1,14),-5.11444 # DEPENDENCYPART_ARC
(1,15),-6.04388 # DEPENDENCYPART_ARC
(1,18),-3.52949 # DEPENDENCYPART_ARC
(2,1),-0.820809 # DEPENDENCYPART_ARC
(2,3),-0.380704 # DEPENDENCYPART_ARC
(2,4),-1.84424 # DEPENDENCYPART_ARC
(2,5),-3.20302 # DEPENDENCYPART_ARC
(2,6),-1.62427 # DEPENDENCYPART_ARC
(2,7),-2.00609 # DEPENDENCYPART_ARC
(2,8),-1.00624 # DEPENDENCYPART_ARC
(2,9),-3.4124 # DEPENDENCYPART_ARC
(2,10),-1.23762 # DEPENDENCYPART_ARC
(2,11),-3.78583 # DEPENDENCYPART_ARC
(2,12),-5.43474 # DEPENDENCYPART_ARC
(2,13),-1.93302 # DEPENDENCYPART_ARC
(2,14),-4.62415 # DEPENDENCYPART_ARC
(2,15),-5.73506 # DEPENDENCYPART_ARC
(2,16),-5.45735 # DEPENDENCYPART_ARC
(2,17),-4.74424 # DEPENDENCYPART_ARC
(2,18),-4.30933 # DEPENDENCYPART_ARC
(3,1),1.17189 # DEPENDENCYPART_ARC
(3,2),3.91633 # DEPENDENCYPART_ARC
(3,4),6.56223 # DEPENDENCYPART_ARC
(3,5),0.733338 # DEPENDENCYPART_ARC
(3,6),0.247965 # DEPENDENCYPART_ARC
(3,7),0.00577651 # DEPENDENCYPART_ARC
(3,8),-0.0369421 # DEPENDENCYPART_ARC
(3,9),-0.657867 # DEPENDENCYPART_ARC
(3,10),-0.393873 # DEPENDENCYPART_ARC
(3,11),-1.38333 # DEPENDENCYPART_ARC
(3,12),-1.26599 # DEPENDENCYPART_ARC
(3,13),-0.934548 # DEPENDENCYPART_ARC
(3,14),-1.81722 # DEPENDENCYPART_ARC
(3,15),-2.2145 # DEPENDENCYPART_ARC
