# _root_ S obsahem dopisu , ale zejména s obsahem odpovědi M . Kováče na něj , vyjádřila koalice ostrý nesouhlas na lednovém zasedání parlamentu .
#goldHeads=5,1,2,5,19,8,5,7,8,12,10,9,9,13,5,0,16,19,16,16,22,20,22,0,
#predictedHeads=5,1,2,5,0,8,5,7,8,12,10,9,9,13,16,5,16,19,16,19,22,20,22,0,
(0,1),-0.56029 # DEPENDENCYPART_ARC
(0,2),-0.643106 # DEPENDENCYPART_ARC
(0,3),-0.79701 # DEPENDENCYPART_ARC
(0,4),-0.142064 # DEPENDENCYPART_ARC
(0,5),0.841883 # DEPENDENCYPART_ARC
(0,6),-1.11779 # DEPENDENCYPART_ARC
(0,7),-1.07895 # DEPENDENCYPART_ARC
(0,8),-1.09824 # DEPENDENCYPART_ARC
(0,9),-1.48076 # DEPENDENCYPART_ARC
(0,10),-0.397512 # DEPENDENCYPART_ARC
(0,11),-0.046506 # DEPENDENCYPART_ARC
(0,12),-1.77683 # DEPENDENCYPART_ARC
(0,13),-2.59175 # DEPENDENCYPART_ARC
(0,14),-1.99078 # DEPENDENCYPART_ARC
(0,15),-0.877982 # DEPENDENCYPART_ARC
(0,16),0.15094 # DEPENDENCYPART_ARC
(0,17),-2.38026 # DEPENDENCYPART_ARC
(0,18),-3.26968 # DEPENDENCYPART_ARC
(0,19),-2.76003 # DEPENDENCYPART_ARC
(0,20),-4.22928 # DEPENDENCYPART_ARC
(0,21),-3.58002 # DEPENDENCYPART_ARC
(0,22),-3.24429 # DEPENDENCYPART_ARC
(0,23),-3.29189 # DEPENDENCYPART_ARC
(0,24),3.90395 # DEPENDENCYPART_ARC
(1,2),3.51603 # DEPENDENCYPART_ARC
(1,3),-1.06026 # DEPENDENCYPART_ARC
(1,4),0.235291 # DEPENDENCYPART_ARC
(1,5),-0.399016 # DEPENDENCYPART_ARC
(1,6),-0.913466 # DEPENDENCYPART_ARC
(1,7),-1.86821 # DEPENDENCYPART_ARC
(1,8),-0.723296 # DEPENDENCYPART_ARC
(1,9),-4.44384 # DEPENDENCYPART_ARC
(1,10),-3.60058 # DEPENDENCYPART_ARC
(1,11),-0.734981 # DEPENDENCYPART_ARC
(1,12),-4.00372 # DEPENDENCYPART_ARC
(1,13),-2.66936 # DEPENDENCYPART_ARC
(1,14),-3.01358 # DEPENDENCYPART_ARC
(1,15),-0.837464 # DEPENDENCYPART_ARC
(1,16),-2.6168 # DEPENDENCYPART_ARC
(1,17),-8.65183 # DEPENDENCYPART_ARC
(1,18),-3.88068 # DEPENDENCYPART_ARC
(1,19),-8.16405 # DEPENDENCYPART_ARC
(1,20),-3.37969 # DEPENDENCYPART_ARC
(1,21),-3.02935 # DEPENDENCYPART_ARC
(1,22),-7.04535 # DEPENDENCYPART_ARC
(1,23),-9.51689 # DEPENDENCYPART_ARC
(1,24),-4.38231 # DEPENDENCYPART_ARC
(2,1),0.624404 # DEPENDENCYPART_ARC
(2,3),3.81602 # DEPENDENCYPART_ARC
(2,4),-0.00522792 # DEPENDENCYPART_ARC
(2,5),0.57199 # DEPENDENCYPART_ARC
(2,6),0.102578 # DEPENDENCYPART_ARC
(2,7),-0.0228055 # DEPENDENCYPART_ARC
(2,8),-1.9448 # DEPENDENCYPART_ARC
(2,9),0.165192 # DEPENDENCYPART_ARC
(2,10),-0.867762 # DEPENDENCYPART_ARC
(2,11),-1.85979 # DEPENDENCYPART_ARC
(2,12),-0.535744 # DEPENDENCYPART_ARC
(2,13),-0.272186 # DEPENDENCYPART_ARC
(2,14),-3.10043 # DEPENDENCYPART_ARC
(2,15),-0.978524 # DEPENDENCYPART_ARC
(2,16),-1.28678 # DEPENDENCYPART_ARC
(2,17),-4.92582 # DEPENDENCYPART_ARC
(2,18),-1.8069 # DEPENDENCYPART_ARC
(2,19),-5.40342 # DEPENDENCYPART_ARC
(2,20),-1.08522 # DEPENDENCYPART_ARC
(2,21),-2.99007 # DEPENDENCYPART_ARC
(2,22),-4.39183 # DEPENDENCYPART_ARC
(2,23),-3.05026 # DEPENDENCYPART_ARC
(2,24),-9.73961 # DEPENDENCYPART_ARC
(3,1),-0.0870063 # DEPENDENCYPART_ARC
(3,2),-0.796764 # DEPENDENCYPART_ARC
(3,4),-0.236109 # DEPENDENCYPART_ARC
(3,5),0.448017 # DEPENDENCYPART_ARC
(3,6),-0.718113 # DEPENDENCYPART_ARC
(3,7),-0.277509 # DEPENDENCYPART_ARC
(3,8),-3.52316 # DEPENDENCYPART_ARC
(3,9),-0.300274 # DEPENDENCYPART_ARC
(3,10),-1.39411 # DEPENDENCYPART_ARC
(3,11),-2.24765 # DEPENDENCYPART_ARC
(3,12),-1.63745 # DEPENDENCYPART_ARC
(3,13),-1.45294 # DEPENDENCYPART_ARC
(3,14),-4.88448 # DEPENDENCYPART_ARC
(3,15),-1.81208 # DEPENDENCYPART_ARC
(3,16),-1.25585 # DEPENDENCYPART_ARC
(3,17),-5.28753 # DEPENDENCYPART_ARC
(3,18),-3.04273 # DEPENDENCYPART_ARC
(3,19),-6.57027 # DEPENDENCYPART_ARC
(3,20),-2.36834 # DEPENDENCYPART_ARC
(3,21),-4.26001 # DEPENDENCYPART_ARC
(3,22),-4.79222 # DEPENDENCYPART_ARC
(3,23),-3.56274 # DEPENDENCYPART_ARC
(3,24),-10.3817 # DEPENDENCYPART_ARC
(4,1),-1.02478 # DEPENDENCYPART_ARC
(4,2),-0.204822 # DEPENDENCYPART_ARC
(4,3),-0.729393 # DEPENDENCYPART_ARC
(4,5),0.0814766 # DEPENDENCYPART_ARC
(4,6),-0.702492 # DEPENDENCYPART_ARC
(4,7),-0.73322 # DEPENDENCYPART_ARC
(4,8),-0.9499 # DEPENDENCYPART_ARC
(4,9),-0.934685 # DEPENDENCYPART_ARC
(4,10),-1.14595 # DEPENDENCYPART_ARC
(4,11),-1.31888 # DEPENDENCYPART_ARC
(4,12),-1.74416 # DEPENDENCYPART_ARC
(4,13),-1.3642 # DEPENDENCYPART_ARC
(4,14),-1.3856 # DEPENDENCYPART_ARC
(4,15),-1.05413 # DEPENDENCYPART_ARC
(4,16),-1.12358 # DEPENDENCYPART_ARC
(4,17),-3.234 # DEPENDENCYPART_ARC
(4,18),-2.49659 # DEPENDENCYPART_ARC
(4,19),-3.35113 # DEPENDENCYPART_ARC
(4,20),-2.55634 # DEPENDENCYPART_ARC
(4,21),-2.91569 # DEPENDENCYPART_ARC
(4,22),-3.8246 # DEPENDENCYPART_ARC
(4,23),-3.55559 # DEPENDENCYPART_ARC
(4,24),-2.43217 # DEPENDENCYPART_ARC
(5,1),0.99768 # DEPENDENCYPART_ARC
(5,2),1.64995 # DEPENDENCYPART_ARC
(5,3),1.03392 # DEPENDENCYPART_ARC
(5,4),2.76035 # DEPENDENCYPART_ARC
(5,6),0.84159 # DEPENDENCYPART_ARC
(5,7),1.54883 # DEPENDENCYPART_ARC
(5,8),1.00834 # DEPENDENCYPART_ARC
(5,9),0.708371 # DEPENDENCYPART_ARC
(5,10),0.779472 # DEPENDENCYPART_ARC
(5,11),0.469157 # DEPENDENCYPART_ARC
(5,12),0.0663417 # DEPENDENCYPART_ARC
(5,13),-0.827951 # DEPENDENCYPART_ARC
(5,14),-0.471916 # DEPENDENCYPART_ARC
(5,15),0.141216 # DEPENDENCYPART_ARC
(5,16),0.77218 # DEPENDENCYPART_ARC
(5,17),-1.1212 # DEPENDENCYPART_ARC
(5,18),-0.952123 # DEPENDENCYPART_ARC
(5,19),-1.26414 # DEPENDENCYPART_ARC
(5,20),-1.94766 # DEPENDENCYPART_ARC
(5,21),-1.81161 # DEPENDENCYPART_ARC
(5,22),-1.6333 # DEPENDENCYPART_ARC
(5,23),-1.6225 # DEPENDENCYPART_ARC
