# _root_ Je také patrné , že vyvratitelné jsou jen teorie , ne ( spolehlivé ) experimenty .
#goldHeads=0,1,1,5,1,7,5,9,10,7,15,13,15,13,10,0,
#predictedHeads=0,1,1,5,1,7,5,9,7,7,13,11,15,13,10,0,
(0,1),-0.132507 # DEPENDENCYPART_ARC
(0,2),-1.0091 # DEPENDENCYPART_ARC
(0,3),-1.26526 # DEPENDENCYPART_ARC
(0,4),-0.807215 # DEPENDENCYPART_ARC
(0,5),-2.39845 # DEPENDENCYPART_ARC
(0,6),-2.69289 # DEPENDENCYPART_ARC
(0,7),-1.52278 # DEPENDENCYPART_ARC
(0,8),-2.1138 # DEPENDENCYPART_ARC
(0,9),-3.16866 # DEPENDENCYPART_ARC
(0,10),-1.19293 # DEPENDENCYPART_ARC
(0,11),-2.13472 # DEPENDENCYPART_ARC
(0,12),-1.52372 # DEPENDENCYPART_ARC
(0,13),-3.54089 # DEPENDENCYPART_ARC
(0,14),-3.19996 # DEPENDENCYPART_ARC
(0,15),-3.36103 # DEPENDENCYPART_ARC
(0,16),3.50691 # DEPENDENCYPART_ARC
(1,2),2.73794 # DEPENDENCYPART_ARC
(1,3),3.44081 # DEPENDENCYPART_ARC
(1,4),0.433019 # DEPENDENCYPART_ARC
(1,5),1.91369 # DEPENDENCYPART_ARC
(1,6),-0.688218 # DEPENDENCYPART_ARC
(1,7),-1.25888 # DEPENDENCYPART_ARC
(1,8),-0.720683 # DEPENDENCYPART_ARC
(1,9),-1.52096 # DEPENDENCYPART_ARC
(1,10),0.407547 # DEPENDENCYPART_ARC
(1,11),-0.576878 # DEPENDENCYPART_ARC
(1,12),-0.120451 # DEPENDENCYPART_ARC
(1,13),-2.71329 # DEPENDENCYPART_ARC
(1,14),-0.417254 # DEPENDENCYPART_ARC
(1,15),-2.8482 # DEPENDENCYPART_ARC
(1,16),-0.686049 # DEPENDENCYPART_ARC
(2,1),-1.36811 # DEPENDENCYPART_ARC
(2,3),-1.2144 # DEPENDENCYPART_ARC
(2,4),-1.12299 # DEPENDENCYPART_ARC
(2,5),-1.05638 # DEPENDENCYPART_ARC
(2,6),-2.02332 # DEPENDENCYPART_ARC
(2,7),-2.16895 # DEPENDENCYPART_ARC
(2,8),-1.60965 # DEPENDENCYPART_ARC
(2,9),-2.81617 # DEPENDENCYPART_ARC
(2,10),-1.52536 # DEPENDENCYPART_ARC
(2,11),-2.41585 # DEPENDENCYPART_ARC
(2,12),-2.29388 # DEPENDENCYPART_ARC
(2,13),-3.14669 # DEPENDENCYPART_ARC
(2,14),-1.20365 # DEPENDENCYPART_ARC
(2,15),-3.54435 # DEPENDENCYPART_ARC
(2,16),-3.26489 # DEPENDENCYPART_ARC
(3,1),-1.36809 # DEPENDENCYPART_ARC
(3,2),1.43249 # DEPENDENCYPART_ARC
(3,4),-0.0265094 # DEPENDENCYPART_ARC
