# _root_ Protože na výslechu svědka trvá státní zástupce i obhájce Lukáše Kužely , který měl Vopálenskou na objednávku zastřelit , musel předseda senátu projednávání nájemné vraždy znovu odročit .
#goldHeads=20,5,2,3,1,7,8,5,8,11,8,14,14,11,18,18,16,14,1,0,20,21,27,25,23,27,20,0,
#predictedHeads=20,5,2,3,1,7,8,5,8,11,9,14,14,11,14,18,16,14,1,0,20,21,27,25,23,27,20,0,
(0,1),-0.144531 # DEPENDENCYPART_ARC
(0,2),-0.557907 # DEPENDENCYPART_ARC
(0,3),-1.89324 # DEPENDENCYPART_ARC
(0,4),-2.74487 # DEPENDENCYPART_ARC
(0,5),-0.226473 # DEPENDENCYPART_ARC
(0,6),-2.46103 # DEPENDENCYPART_ARC
(0,7),-2.68482 # DEPENDENCYPART_ARC
(0,8),-3.0046 # DEPENDENCYPART_ARC
(0,9),-3.26492 # DEPENDENCYPART_ARC
(0,10),-3.87183 # DEPENDENCYPART_ARC
(0,11),-3.51771 # DEPENDENCYPART_ARC
(0,12),-0.951183 # DEPENDENCYPART_ARC
(0,13),-2.22386 # DEPENDENCYPART_ARC
(0,14),-0.991503 # DEPENDENCYPART_ARC
(0,15),-4.46323 # DEPENDENCYPART_ARC
(0,16),-4.10389 # DEPENDENCYPART_ARC
(0,17),-5.5378 # DEPENDENCYPART_ARC
(0,18),-1.89054 # DEPENDENCYPART_ARC
(0,19),-1.27279 # DEPENDENCYPART_ARC
(0,20),-1.68388 # DEPENDENCYPART_ARC
(0,21),-6.08623 # DEPENDENCYPART_ARC
(0,22),-6.32539 # DEPENDENCYPART_ARC
(0,23),-6.5108 # DEPENDENCYPART_ARC
(0,24),-5.34725 # DEPENDENCYPART_ARC
(0,25),-7.29394 # DEPENDENCYPART_ARC
(0,26),-2.98976 # DEPENDENCYPART_ARC
(0,27),-2.90588 # DEPENDENCYPART_ARC
(0,28),3.99048 # DEPENDENCYPART_ARC
(1,2),-0.293049 # DEPENDENCYPART_ARC
(1,3),-0.497537 # DEPENDENCYPART_ARC
(1,4),-1.01214 # DEPENDENCYPART_ARC
(1,5),2.62221 # DEPENDENCYPART_ARC
(1,6),-0.981111 # DEPENDENCYPART_ARC
(1,7),-1.99269 # DEPENDENCYPART_ARC
(1,8),-0.274747 # DEPENDENCYPART_ARC
(1,9),-2.79801 # DEPENDENCYPART_ARC
(1,10),-2.85918 # DEPENDENCYPART_ARC
(1,11),-2.96936 # DEPENDENCYPART_ARC
(1,12),1.15238 # DEPENDENCYPART_ARC
(1,14),0.528334 # DEPENDENCYPART_ARC
(1,15),-3.97409 # DEPENDENCYPART_ARC
(1,16),-1.7971 # DEPENDENCYPART_ARC
(1,17),-4.85922 # DEPENDENCYPART_ARC
(1,18),0.515282 # DEPENDENCYPART_ARC
(1,19),1.71774 # DEPENDENCYPART_ARC
(1,20),-0.322301 # DEPENDENCYPART_ARC
(1,21),-6.14216 # DEPENDENCYPART_ARC
(1,22),-5.87082 # DEPENDENCYPART_ARC
(1,23),-5.87232 # DEPENDENCYPART_ARC
