# _root_ Nakonec zůstala 1 pracovnice , která pracuje více jak 8.5 hodiny denně , ale je také lépe placena .
#goldHeads=2,0,4,2,14,14,14,7,8,9,10,11,14,4,18,18,18,14,0,
#predictedHeads=2,14,4,2,7,7,4,7,7,7,10,7,14,0,14,15,18,15,0,
(0,1),-0.113509 # DEPENDENCYPART_ARC
(0,2),0.162826 # DEPENDENCYPART_ARC
(0,3),-0.638208 # DEPENDENCYPART_ARC
(0,4),-0.749677 # DEPENDENCYPART_ARC
(0,5),0.287195 # DEPENDENCYPART_ARC
(0,6),-1.09851 # DEPENDENCYPART_ARC
(0,7),-0.548173 # DEPENDENCYPART_ARC
(0,8),-1.31877 # DEPENDENCYPART_ARC
(0,9),-1.58506 # DEPENDENCYPART_ARC
(0,10),-1.71328 # DEPENDENCYPART_ARC
(0,11),-2.57597 # DEPENDENCYPART_ARC
(0,12),-1.44775 # DEPENDENCYPART_ARC
(0,13),-0.494148 # DEPENDENCYPART_ARC
(0,14),1.22011 # DEPENDENCYPART_ARC
(0,15),-2.10229 # DEPENDENCYPART_ARC
(0,16),-1.45736 # DEPENDENCYPART_ARC
(0,17),-0.947827 # DEPENDENCYPART_ARC
(0,18),-2.43067 # DEPENDENCYPART_ARC
(0,19),4.30689 # DEPENDENCYPART_ARC
(1,2),-0.455142 # DEPENDENCYPART_ARC
(1,3),-1.083 # DEPENDENCYPART_ARC
(1,4),-1.55181 # DEPENDENCYPART_ARC
(1,5),-0.838744 # DEPENDENCYPART_ARC
(1,6),-1.90844 # DEPENDENCYPART_ARC
(1,7),-1.6844 # DEPENDENCYPART_ARC
(1,8),-1.67117 # DEPENDENCYPART_ARC
(1,9),-1.39354 # DEPENDENCYPART_ARC
(1,10),-2.07954 # DEPENDENCYPART_ARC
(1,11),-3.06852 # DEPENDENCYPART_ARC
(1,12),-1.9846 # DEPENDENCYPART_ARC
(1,13),-1.313 # DEPENDENCYPART_ARC
(1,14),-2.1188 # DEPENDENCYPART_ARC
(1,15),-2.76449 # DEPENDENCYPART_ARC
(1,16),-2.17753 # DEPENDENCYPART_ARC
(1,17),-1.89054 # DEPENDENCYPART_ARC
(1,18),-2.6157 # DEPENDENCYPART_ARC
(1,19),-2.9947 # DEPENDENCYPART_ARC
(2,1),2.99597 # DEPENDENCYPART_ARC
(2,3),1.64623 # DEPENDENCYPART_ARC
(2,4),3.27763 # DEPENDENCYPART_ARC
(2,5),0.881032 # DEPENDENCYPART_ARC
(2,6),-1.11913 # DEPENDENCYPART_ARC
(2,7),-0.30944 # DEPENDENCYPART_ARC
