# _root_ Poválečný vývoj navíc v Německu ovlivnily značné migrační abnormality , které vyplývaly z odsunu Němců z východní Evropy , z exodu východních Němců na západ a nově nyní z přílivu etnických Němců z Východu a uprchlíků .
#goldHeads=2,6,6,6,4,0,9,9,6,26,12,26,19,13,14,14,18,16,12,19,20,23,21,21,24,9,26,26,26,29,32,35,32,33,30,35,0,
#predictedHeads=2,6,6,6,4,0,9,9,6,12,12,9,12,13,14,12,18,16,12,19,20,23,21,21,24,24,28,26,26,29,32,30,30,35,33,35,0,
(0,1),-0.594141 # DEPENDENCYPART_ARC
(0,2),-0.797617 # DEPENDENCYPART_ARC
(0,3),0.159105 # DEPENDENCYPART_ARC
(0,4),-0.244304 # DEPENDENCYPART_ARC
(0,5),-1.27477 # DEPENDENCYPART_ARC
(0,6),0.709135 # DEPENDENCYPART_ARC
(0,7),-1.88733 # DEPENDENCYPART_ARC
(0,8),-1.75891 # DEPENDENCYPART_ARC
(0,9),-1.53558 # DEPENDENCYPART_ARC
(0,10),-0.220756 # DEPENDENCYPART_ARC
(0,11),-1.98999 # DEPENDENCYPART_ARC
(0,12),-0.108632 # DEPENDENCYPART_ARC
(0,13),-4.14715 # DEPENDENCYPART_ARC
(0,14),-3.47926 # DEPENDENCYPART_ARC
(0,15),-3.30871 # DEPENDENCYPART_ARC
(0,16),-4.01149 # DEPENDENCYPART_ARC
(0,17),-3.3739 # DEPENDENCYPART_ARC
(0,18),-2.90496 # DEPENDENCYPART_ARC
(0,19),-0.644043 # DEPENDENCYPART_ARC
(0,20),-5.80157 # DEPENDENCYPART_ARC
(0,21),-3.90986 # DEPENDENCYPART_ARC
(0,22),-4.3293 # DEPENDENCYPART_ARC
(0,23),-4.32162 # DEPENDENCYPART_ARC
(0,24),-4.86343 # DEPENDENCYPART_ARC
(0,25),-3.84168 # DEPENDENCYPART_ARC
(0,26),-0.834405 # DEPENDENCYPART_ARC
(0,27),-3.96862 # DEPENDENCYPART_ARC
(0,28),-3.98131 # DEPENDENCYPART_ARC
(0,29),-7.6306 # DEPENDENCYPART_ARC
(0,30),-4.25063 # DEPENDENCYPART_ARC
(0,31),-5.21308 # DEPENDENCYPART_ARC
(0,32),-4.56575 # DEPENDENCYPART_ARC
(0,33),-8.48348 # DEPENDENCYPART_ARC
(0,34),-4.65527 # DEPENDENCYPART_ARC
(0,35),-1.81218 # DEPENDENCYPART_ARC
(0,36),-4.74112 # DEPENDENCYPART_ARC
(0,37),4.34735 # DEPENDENCYPART_ARC
(1,2),-0.73485 # DEPENDENCYPART_ARC
(1,3),-0.659362 # DEPENDENCYPART_ARC
(1,4),-0.724323 # DEPENDENCYPART_ARC
(1,5),-1.56677 # DEPENDENCYPART_ARC
(1,6),-2.32132 # DEPENDENCYPART_ARC
(1,7),-4.99914 # DEPENDENCYPART_ARC
(1,8),-5.13901 # DEPENDENCYPART_ARC
(1,9),-4.28877 # DEPENDENCYPART_ARC
(1,10),-1.03278 # DEPENDENCYPART_ARC
(1,11),-5.57718 # DEPENDENCYPART_ARC
(1,12),-3.13318 # DEPENDENCYPART_ARC
