# _root_ Za prvé bych chtěl připomenout to , že má být prodloužení věkové hranice postupné , že je rozloženo v čase a že k němu má dojít úplně až v roce 2007 .
#goldHeads=4,1,4,0,4,5,21,15,8,9,15,13,11,10,21,15,16,17,18,19,6,21,26,23,22,25,26,30,25,29,30,0,
#predictedHeads=4,1,4,0,4,5,8,6,8,9,9,13,11,10,16,21,16,17,18,19,9,21,26,23,22,25,26,30,26,29,30,0,
(0,1),-1.06134 # DEPENDENCYPART_ARC
(0,2),-1.22242 # DEPENDENCYPART_ARC
(0,4),-0.0142216 # DEPENDENCYPART_ARC
(0,5),-1.137 # DEPENDENCYPART_ARC
(0,6),-1.93848 # DEPENDENCYPART_ARC
(0,7),-0.524257 # DEPENDENCYPART_ARC
(0,8),-3.54969 # DEPENDENCYPART_ARC
(0,9),-2.66148 # DEPENDENCYPART_ARC
(0,10),-2.58282 # DEPENDENCYPART_ARC
(0,11),-4.79598 # DEPENDENCYPART_ARC
(0,12),-3.79679 # DEPENDENCYPART_ARC
(0,13),-6.04934 # DEPENDENCYPART_ARC
(0,14),-3.39695 # DEPENDENCYPART_ARC
(0,15),-1.15476 # DEPENDENCYPART_ARC
(0,16),-7.23245 # DEPENDENCYPART_ARC
(0,17),-2.98653 # DEPENDENCYPART_ARC
(0,18),-2.71429 # DEPENDENCYPART_ARC
(0,19),-7.08007 # DEPENDENCYPART_ARC
(0,20),-7.40494 # DEPENDENCYPART_ARC
(0,21),-2.03642 # DEPENDENCYPART_ARC
(0,22),-9.36945 # DEPENDENCYPART_ARC
(0,23),-8.71995 # DEPENDENCYPART_ARC
(0,25),-4.99453 # DEPENDENCYPART_ARC
(0,26),-4.17137 # DEPENDENCYPART_ARC
(0,27),-5.38313 # DEPENDENCYPART_ARC
(0,28),-5.28026 # DEPENDENCYPART_ARC
(0,29),-9.36311 # DEPENDENCYPART_ARC
(0,30),-8.80475 # DEPENDENCYPART_ARC
(0,31),-4.37896 # DEPENDENCYPART_ARC
(0,32),5.10917 # DEPENDENCYPART_ARC
(1,2),4.19884 # DEPENDENCYPART_ARC
(1,4),-0.834739 # DEPENDENCYPART_ARC
(1,6),0.691675 # DEPENDENCYPART_ARC
(1,7),-1.16335 # DEPENDENCYPART_ARC
(1,8),-1.93713 # DEPENDENCYPART_ARC
(1,9),-1.05642 # DEPENDENCYPART_ARC
(1,11),-6.3823 # DEPENDENCYPART_ARC
(1,12),-2.5284 # DEPENDENCYPART_ARC
(1,13),-6.56211 # DEPENDENCYPART_ARC
(1,14),-2.22572 # DEPENDENCYPART_ARC
(1,15),-2.90357 # DEPENDENCYPART_ARC
(1,16),-4.48276 # DEPENDENCYPART_ARC
(1,17),-1.40323 # DEPENDENCYPART_ARC
(1,19),-2.16223 # DEPENDENCYPART_ARC
(1,20),-8.69766 # DEPENDENCYPART_ARC
(1,21),-5.7205 # DEPENDENCYPART_ARC
(1,22),-6.14508 # DEPENDENCYPART_ARC
(1,23),-2.48006 # DEPENDENCYPART_ARC
(1,24),-3.61619 # DEPENDENCYPART_ARC
(1,25),-2.47097 # DEPENDENCYPART_ARC
(1,27),-3.17692 # DEPENDENCYPART_ARC
(1,28),-1.94988 # DEPENDENCYPART_ARC
(1,29),-2.88054 # DEPENDENCYPART_ARC
(1,30),-12.5495 # DEPENDENCYPART_ARC
(1,31),-4.26926 # DEPENDENCYPART_ARC
(1,32),-6.50149 # DEPENDENCYPART_ARC
(2,1),-0.322912 # DEPENDENCYPART_ARC
(2,4),-1.73864 # DEPENDENCYPART_ARC
(2,5),-1.12061 # DEPENDENCYPART_ARC
(2,6),-2.37375 # DEPENDENCYPART_ARC
(2,7),-1.29813 # DEPENDENCYPART_ARC
(2,8),-0.659941 # DEPENDENCYPART_ARC
(2,9),-3.27142 # DEPENDENCYPART_ARC
(2,10),-2.43052 # DEPENDENCYPART_ARC
(2,11),-5.26011 # DEPENDENCYPART_ARC
(2,12),-3.60332 # DEPENDENCYPART_ARC
(2,13),-4.13534 # DEPENDENCYPART_ARC
(2,14),-3.70039 # DEPENDENCYPART_ARC
(2,15),-2.1413 # DEPENDENCYPART_ARC
(2,16),-2.15848 # DEPENDENCYPART_ARC
(2,17),-4.74459 # DEPENDENCYPART_ARC
(2,18),-3.85302 # DEPENDENCYPART_ARC
(2,19),-4.30979 # DEPENDENCYPART_ARC
(2,20),-6.35085 # DEPENDENCYPART_ARC
(2,21),-3.18056 # DEPENDENCYPART_ARC
(2,22),-3.22708 # DEPENDENCYPART_ARC
(2,23),-4.62624 # DEPENDENCYPART_ARC
(2,25),-5.66171 # DEPENDENCYPART_ARC
(2,26),-4.68032 # DEPENDENCYPART_ARC
(2,27),-2.79665 # DEPENDENCYPART_ARC
(2,28),-2.50877 # DEPENDENCYPART_ARC
(2,29),-5.52679 # DEPENDENCYPART_ARC
(2,30),-7.34578 # DEPENDENCYPART_ARC
(2,31),-2.75268 # DEPENDENCYPART_ARC
(2,32),-4.69156 # DEPENDENCYPART_ARC
(4,1),2.48688 # DEPENDENCYPART_ARC
(4,2),0.0844335 # DEPENDENCYPART_ARC
(4,3),3.79893 # DEPENDENCYPART_ARC
(4,5),3.81251 # DEPENDENCYPART_ARC
(4,6),1.85779 # DEPENDENCYPART_ARC
(4,7),0.534478 # DEPENDENCYPART_ARC
(4,8),0.84567 # DEPENDENCYPART_ARC
(4,9),-1.2383 # DEPENDENCYPART_ARC
(4,10),-0.270665 # DEPENDENCYPART_ARC
(4,11),-2.95056 # DEPENDENCYPART_ARC
(4,12),-6.7176 # DEPENDENCYPART_ARC
(4,13),-5.09683 # DEPENDENCYPART_ARC
(4,14),-3.27292 # DEPENDENCYPART_ARC
(4,15),0.315905 # DEPENDENCYPART_ARC
(4,16),-1.93121 # DEPENDENCYPART_ARC
(4,17),-4.18807 # DEPENDENCYPART_ARC
(4,18),-3.29139 # DEPENDENCYPART_ARC
(4,19),-2.94031 # DEPENDENCYPART_ARC
(4,20),-6.61711 # DEPENDENCYPART_ARC
(4,21),-1.94025 # DEPENDENCYPART_ARC
(4,22),-5.50039 # DEPENDENCYPART_ARC
(4,23),-4.62329 # DEPENDENCYPART_ARC
(4,25),-5.27882 # DEPENDENCYPART_ARC
(4,26),-4.93225 # DEPENDENCYPART_ARC
(4,27),-4.44002 # DEPENDENCYPART_ARC
(4,28),-2.96672 # DEPENDENCYPART_ARC
(4,29),-4.80672 # DEPENDENCYPART_ARC
(4,30),-8.85874 # DEPENDENCYPART_ARC
(4,31),-4.26777 # DEPENDENCYPART_ARC
(4,32),-0.525076 # DEPENDENCYPART_ARC
(5,1),1.36537 # DEPENDENCYPART_ARC
(5,2),-0.0664542 # DEPENDENCYPART_ARC
(5,3),0.485587 # DEPENDENCYPART_ARC
(5,4),-0.704418 # DEPENDENCYPART_ARC
(5,6),3.16884 # DEPENDENCYPART_ARC
(5,7),0.490437 # DEPENDENCYPART_ARC
(5,8),1.67233 # DEPENDENCYPART_ARC
(5,9),-0.654918 # DEPENDENCYPART_ARC
(5,10),-0.604217 # DEPENDENCYPART_ARC
(5,11),-3.2851 # DEPENDENCYPART_ARC
(5,12),-4.4506 # DEPENDENCYPART_ARC
(5,13),-2.76497 # DEPENDENCYPART_ARC
(5,14),-1.92595 # DEPENDENCYPART_ARC
(5,15),0.130347 # DEPENDENCYPART_ARC
(5,16),-0.997065 # DEPENDENCYPART_ARC
(5,17),-3.63699 # DEPENDENCYPART_ARC
(5,18),-2.9948 # DEPENDENCYPART_ARC
(5,19),-1.94261 # DEPENDENCYPART_ARC
(5,20),-4.64814 # DEPENDENCYPART_ARC
(5,21),-1.11499 # DEPENDENCYPART_ARC
(5,22),-3.77598 # DEPENDENCYPART_ARC
(5,23),-3.15022 # DEPENDENCYPART_ARC
(5,25),-5.14656 # DEPENDENCYPART_ARC
(5,26),-5.55859 # DEPENDENCYPART_ARC
(5,27),-3.52042 # DEPENDENCYPART_ARC
(5,28),-2.89107 # DEPENDENCYPART_ARC
(5,29),-3.43174 # DEPENDENCYPART_ARC
(5,30),-6.81518 # DEPENDENCYPART_ARC
(5,31),-3.63673 # DEPENDENCYPART_ARC
(5,32),-1.04339 # DEPENDENCYPART_ARC
(6,1),-0.538893 # DEPENDENCYPART_ARC
(6,2),-0.5695 # DEPENDENCYPART_ARC
(6,4),-1.32026 # DEPENDENCYPART_ARC
(6,5),0.986189 # DEPENDENCYPART_ARC
(6,7),0.526784 # DEPENDENCYPART_ARC
(6,8),2.36772 # DEPENDENCYPART_ARC
(6,9),0.133243 # DEPENDENCYPART_ARC
(6,10),0.399362 # DEPENDENCYPART_ARC
(6,11),-0.582297 # DEPENDENCYPART_ARC
(6,12),-2.16484 # DEPENDENCYPART_ARC
(6,13),-0.712787 # DEPENDENCYPART_ARC
(6,14),-2.36892 # DEPENDENCYPART_ARC
(6,15),0.507808 # DEPENDENCYPART_ARC
(6,16),-0.431651 # DEPENDENCYPART_ARC
(6,17),-4.01553 # DEPENDENCYPART_ARC
(6,18),-2.52934 # DEPENDENCYPART_ARC
(6,19),-1.90111 # DEPENDENCYPART_ARC
(6,20),-1.63262 # DEPENDENCYPART_ARC
(6,21),-0.552686 # DEPENDENCYPART_ARC
(6,22),-2.98429 # DEPENDENCYPART_ARC
(6,23),-2.25287 # DEPENDENCYPART_ARC
(6,25),-5.20382 # DEPENDENCYPART_ARC
(6,26),-6.06247 # DEPENDENCYPART_ARC
(6,27),-2.28754 # DEPENDENCYPART_ARC
(6,28),-1.65788 # DEPENDENCYPART_ARC
(6,29),-2.72634 # DEPENDENCYPART_ARC
(6,30),-2.26749 # DEPENDENCYPART_ARC
(6,31),-1.98986 # DEPENDENCYPART_ARC
(6,32),-1.56281 # DEPENDENCYPART_ARC
(7,1),-1.90063 # DEPENDENCYPART_ARC
(7,2),-1.83501 # DEPENDENCYPART_ARC
(7,4),-0.848179 # DEPENDENCYPART_ARC
(7,5),-0.761819 # DEPENDENCYPART_ARC
(7,6),-0.015975 # DEPENDENCYPART_ARC
(7,8),-0.124476 # DEPENDENCYPART_ARC
(7,9),-0.442799 # DEPENDENCYPART_ARC
(7,10),-0.726854 # DEPENDENCYPART_ARC
(7,11),-2.6353 # DEPENDENCYPART_ARC
(7,12),-1.51593 # DEPENDENCYPART_ARC
(7,13),-3.24019 # DEPENDENCYPART_ARC
(7,14),-2.49872 # DEPENDENCYPART_ARC
(7,15),-1.07231 # DEPENDENCYPART_ARC
(7,16),-1.80704 # DEPENDENCYPART_ARC
(7,17),-2.65408 # DEPENDENCYPART_ARC
(7,18),-3.00281 # DEPENDENCYPART_ARC
(7,19),-4.2047 # DEPENDENCYPART_ARC
(7,20),-4.81786 # DEPENDENCYPART_ARC
(7,21),-1.55014 # DEPENDENCYPART_ARC
(7,22),-2.72307 # DEPENDENCYPART_ARC
(7,23),-3.67091 # DEPENDENCYPART_ARC
(7,25),-3.80499 # DEPENDENCYPART_ARC
(7,26),-4.43017 # DEPENDENCYPART_ARC
(7,27),-3.47829 # DEPENDENCYPART_ARC
(7,28),-3.34513 # DEPENDENCYPART_ARC
(7,29),-6.67853 # DEPENDENCYPART_ARC
