# _root_ Jestliže však byla tak váhavá dokonce i země , která ostatní Evropany k unii před lety vyzvala a potom tlačila , neznamená to snad konec snu o integraci ?
#goldHeads=22,0,1,5,3,8,8,3,18,18,12,18,18,13,17,15,18,8,20,18,1,2,22,22,22,25,26,27,0,
#predictedHeads=22,0,1,5,3,8,8,20,1,17,12,17,17,13,14,15,18,1,20,18,1,0,22,22,22,25,26,27,0,
(0,1),-0.108427 # DEPENDENCYPART_ARC
(0,2),1.56549 # DEPENDENCYPART_ARC
(0,3),-0.204452 # DEPENDENCYPART_ARC
(0,4),-0.857825 # DEPENDENCYPART_ARC
(0,5),-1.27925 # DEPENDENCYPART_ARC
(0,6),-1.19935 # DEPENDENCYPART_ARC
(0,7),-2.54984 # DEPENDENCYPART_ARC
(0,8),-2.33302 # DEPENDENCYPART_ARC
(0,9),-0.732832 # DEPENDENCYPART_ARC
(0,10),-0.962286 # DEPENDENCYPART_ARC
(0,11),-3.18793 # DEPENDENCYPART_ARC
(0,12),-2.82387 # DEPENDENCYPART_ARC
(0,13),-2.08735 # DEPENDENCYPART_ARC
(0,14),-2.55217 # DEPENDENCYPART_ARC
(0,15),-1.85546 # DEPENDENCYPART_ARC
(0,16),-3.73044 # DEPENDENCYPART_ARC
(0,17),-0.491359 # DEPENDENCYPART_ARC
(0,18),-1.03456 # DEPENDENCYPART_ARC
(0,19),-2.97041 # DEPENDENCYPART_ARC
(0,20),-1.32959 # DEPENDENCYPART_ARC
(0,21),-1.43864 # DEPENDENCYPART_ARC
(0,22),0.266436 # DEPENDENCYPART_ARC
(0,23),-3.1328 # DEPENDENCYPART_ARC
(0,24),-2.61722 # DEPENDENCYPART_ARC
(0,25),-4.57097 # DEPENDENCYPART_ARC
(0,26),-5.01314 # DEPENDENCYPART_ARC
(0,27),-5.94069 # DEPENDENCYPART_ARC
(0,28),-5.43471 # DEPENDENCYPART_ARC
(0,29),4.06159 # DEPENDENCYPART_ARC
(1,2),0.959791 # DEPENDENCYPART_ARC
(1,3),2.24836 # DEPENDENCYPART_ARC
(1,4),0.61772 # DEPENDENCYPART_ARC
(1,5),0.181139 # DEPENDENCYPART_ARC
(1,6),-0.107404 # DEPENDENCYPART_ARC
(1,7),-0.0651857 # DEPENDENCYPART_ARC
(1,8),-0.946446 # DEPENDENCYPART_ARC
(1,9),2.04888 # DEPENDENCYPART_ARC
(1,11),-1.20722 # DEPENDENCYPART_ARC
(1,12),-1.20785 # DEPENDENCYPART_ARC
(1,13),-1.33771 # DEPENDENCYPART_ARC
(1,14),-1.95947 # DEPENDENCYPART_ARC
(1,15),-0.944942 # DEPENDENCYPART_ARC
(1,16),-2.71131 # DEPENDENCYPART_ARC
(1,17),0.462435 # DEPENDENCYPART_ARC
(1,18),1.21571 # DEPENDENCYPART_ARC
(1,19),-0.705644 # DEPENDENCYPART_ARC
(1,20),-0.231187 # DEPENDENCYPART_ARC
(1,21),2.59034 # DEPENDENCYPART_ARC
(1,22),-0.691519 # DEPENDENCYPART_ARC
(1,23),-2.25075 # DEPENDENCYPART_ARC
(1,24),-1.29348 # DEPENDENCYPART_ARC
(1,25),-4.26593 # DEPENDENCYPART_ARC
(1,26),-4.51188 # DEPENDENCYPART_ARC
(1,27),-3.112 # DEPENDENCYPART_ARC
(1,28),-4.92325 # DEPENDENCYPART_ARC
(1,29),-1.09996 # DEPENDENCYPART_ARC
(2,1),1.0593 # DEPENDENCYPART_ARC
(2,3),1.36672 # DEPENDENCYPART_ARC
(2,4),-0.623517 # DEPENDENCYPART_ARC
(2,5),-0.560855 # DEPENDENCYPART_ARC
(2,6),-1.22933 # DEPENDENCYPART_ARC
(2,7),-1.01102 # DEPENDENCYPART_ARC
