# _root_ V kvalifikaci stíhacího závodu družstev na 4 km zajelo čs . kvarteto Kadlec , Krejčí , Hudínek a Kábale čs . dorostenecký rekord časem 4 : 30.32 ( dosud 4 : 35.66 ) .
#goldHeads=9,1,4,2,4,4,8,6,0,12,10,9,18,18,18,18,18,12,18,23,20,23,9,9,26,24,26,24,24,31,24,31,24,0,
#predictedHeads=9,1,4,2,4,4,8,6,0,12,10,9,12,18,18,18,18,12,18,23,20,23,18,23,26,24,26,31,31,31,24,31,31,0,
(0,1),-0.68713 # DEPENDENCYPART_ARC
(0,2),-1.26136 # DEPENDENCYPART_ARC
(0,3),-1.29136 # DEPENDENCYPART_ARC
(0,4),-1.35763 # DEPENDENCYPART_ARC
(0,5),-1.55922 # DEPENDENCYPART_ARC
(0,6),-0.846111 # DEPENDENCYPART_ARC
(0,7),-0.602498 # DEPENDENCYPART_ARC
(0,8),-1.26763 # DEPENDENCYPART_ARC
(0,9),0.759076 # DEPENDENCYPART_ARC
(0,10),-1.69659 # DEPENDENCYPART_ARC
(0,11),0.188193 # DEPENDENCYPART_ARC
(0,12),-1.8629 # DEPENDENCYPART_ARC
(0,13),-1.65974 # DEPENDENCYPART_ARC
(0,14),-0.970749 # DEPENDENCYPART_ARC
(0,15),-2.30022 # DEPENDENCYPART_ARC
(0,16),-1.16474 # DEPENDENCYPART_ARC
(0,17),-2.54141 # DEPENDENCYPART_ARC
(0,18),-1.20859 # DEPENDENCYPART_ARC
(0,19),-3.17907 # DEPENDENCYPART_ARC
(0,20),-2.9337 # DEPENDENCYPART_ARC
(0,21),0.213416 # DEPENDENCYPART_ARC
(0,22),-3.61272 # DEPENDENCYPART_ARC
(0,23),-3.89868 # DEPENDENCYPART_ARC
(0,24),-3.75877 # DEPENDENCYPART_ARC
(0,25),-2.54423 # DEPENDENCYPART_ARC
(0,26),-1.93586 # DEPENDENCYPART_ARC
(0,27),-3.34671 # DEPENDENCYPART_ARC
(0,28),-5.14366 # DEPENDENCYPART_ARC
(0,29),-3.42318 # DEPENDENCYPART_ARC
(0,30),-3.18316 # DEPENDENCYPART_ARC
(0,31),-3.35473 # DEPENDENCYPART_ARC
(0,32),-4.06486 # DEPENDENCYPART_ARC
(0,33),-7.0674 # DEPENDENCYPART_ARC
(0,34),3.26103 # DEPENDENCYPART_ARC
(1,2),3.62073 # DEPENDENCYPART_ARC
(1,3),-1.47142 # DEPENDENCYPART_ARC
(1,4),-2.46054 # DEPENDENCYPART_ARC
(1,5),-3.67156 # DEPENDENCYPART_ARC
(1,6),-1.9019 # DEPENDENCYPART_ARC
(1,7),-2.25192 # DEPENDENCYPART_ARC
(1,8),-2.4477 # DEPENDENCYPART_ARC
(1,9),-2.75113 # DEPENDENCYPART_ARC
(1,10),-1.54826 # DEPENDENCYPART_ARC
(1,11),-1.36411 # DEPENDENCYPART_ARC
(1,12),-7.78908 # DEPENDENCYPART_ARC
(1,13),-9.48626 # DEPENDENCYPART_ARC
(1,14),-1.23091 # DEPENDENCYPART_ARC
(1,15),-10.5671 # DEPENDENCYPART_ARC
(1,16),-1.23877 # DEPENDENCYPART_ARC
(1,17),-12.198 # DEPENDENCYPART_ARC
(1,18),-2.16198 # DEPENDENCYPART_ARC
(1,19),-14.4541 # DEPENDENCYPART_ARC
(1,20),-2.61672 # DEPENDENCYPART_ARC
(1,21),-3.49302 # DEPENDENCYPART_ARC
(1,22),-4.38007 # DEPENDENCYPART_ARC
(1,23),-15.2129 # DEPENDENCYPART_ARC
(1,24),-15.83 # DEPENDENCYPART_ARC
(1,25),-6.59464 # DEPENDENCYPART_ARC
(1,26),-5.26627 # DEPENDENCYPART_ARC
(1,27),-6.0595 # DEPENDENCYPART_ARC
(1,28),-5.36087 # DEPENDENCYPART_ARC
(1,29),-3.02572 # DEPENDENCYPART_ARC
(1,30),-7.01384 # DEPENDENCYPART_ARC
(1,31),-5.9179 # DEPENDENCYPART_ARC
(1,32),-6.7517 # DEPENDENCYPART_ARC
(1,33),-3.84922 # DEPENDENCYPART_ARC
(1,34),-6.5574 # DEPENDENCYPART_ARC
(2,1),1.45771 # DEPENDENCYPART_ARC
(2,3),-0.166594 # DEPENDENCYPART_ARC
(2,4),3.26637 # DEPENDENCYPART_ARC
(2,5),1.75365 # DEPENDENCYPART_ARC
(2,6),1.16551 # DEPENDENCYPART_ARC
(2,7),-0.419077 # DEPENDENCYPART_ARC
(2,8),0.502165 # DEPENDENCYPART_ARC
(2,9),-0.770442 # DEPENDENCYPART_ARC
(2,10),-2.18434 # DEPENDENCYPART_ARC
(2,11),-2.13062 # DEPENDENCYPART_ARC
(2,12),-2.54568 # DEPENDENCYPART_ARC
(2,13),-2.33706 # DEPENDENCYPART_ARC
(2,14),-0.209619 # DEPENDENCYPART_ARC
(2,15),-3.05723 # DEPENDENCYPART_ARC
(2,16),-0.268472 # DEPENDENCYPART_ARC
(2,17),-3.17113 # DEPENDENCYPART_ARC
(2,18),0.228561 # DEPENDENCYPART_ARC
(2,19),-4.55931 # DEPENDENCYPART_ARC
(2,20),-2.59592 # DEPENDENCYPART_ARC
(2,21),-7.92386 # DEPENDENCYPART_ARC
(2,22),-3.94216 # DEPENDENCYPART_ARC
(2,23),-5.54659 # DEPENDENCYPART_ARC
(2,24),-4.10337 # DEPENDENCYPART_ARC
(2,25),-3.61756 # DEPENDENCYPART_ARC
(2,26),-2.67592 # DEPENDENCYPART_ARC
(2,27),-3.47091 # DEPENDENCYPART_ARC
(2,28),-2.11107 # DEPENDENCYPART_ARC
(2,29),-1.7468 # DEPENDENCYPART_ARC
(2,30),-4.95799 # DEPENDENCYPART_ARC
(2,31),-3.1947 # DEPENDENCYPART_ARC
(2,32),-4.42988 # DEPENDENCYPART_ARC
(2,33),-2.34706 # DEPENDENCYPART_ARC
