# _root_ Nagyon kedves neki az a rózsafüzér is , amelyikkel Angelo_Acerbi pápai nuncius ajándékozta meg , amikor meglátta a gyöngyösi Mária-szobor melletti olvasókat .
#goldHeads=2,7,7,6,6,7,0,7,13,12,12,13,7,13,13,17,13,20,20,21,22,17,7,
#predictedHeads=2,3,13,6,6,13,13,13,13,13,12,13,0,13,13,17,13,20,20,21,22,17,13,
(0,1),-1.60846 # DEPENDENCYPART_ARC
(0,2),-1.8593 # DEPENDENCYPART_ARC
(0,3),-1.92391 # DEPENDENCYPART_ARC
(0,4),-2.58191 # DEPENDENCYPART_ARC
(0,6),-3.59688 # DEPENDENCYPART_ARC
(0,7),-2.37418 # DEPENDENCYPART_ARC
(0,11),-2.69664 # DEPENDENCYPART_ARC
(0,13),-1.22194 # DEPENDENCYPART_ARC
(0,14),-3.112 # DEPENDENCYPART_ARC
(0,16),-2.87409 # DEPENDENCYPART_ARC
(0,17),-1.52107 # DEPENDENCYPART_ARC
(1,2),-0.440649 # DEPENDENCYPART_ARC
(1,3),-0.744562 # DEPENDENCYPART_ARC
(1,6),-1.34536 # DEPENDENCYPART_ARC
(1,7),-0.882917 # DEPENDENCYPART_ARC
(1,8),-0.525735 # DEPENDENCYPART_ARC
(1,10),-1.82032 # DEPENDENCYPART_ARC
(1,12),-1.91627 # DEPENDENCYPART_ARC
(1,13),-0.90425 # DEPENDENCYPART_ARC
(1,16),-0.822295 # DEPENDENCYPART_ARC
(1,17),-1.29426 # DEPENDENCYPART_ARC
(1,22),-2.24828 # DEPENDENCYPART_ARC
(1,23),-0.27578 # DEPENDENCYPART_ARC
(2,1),1.25659 # DEPENDENCYPART_ARC
(2,6),-1.35178 # DEPENDENCYPART_ARC
(2,7),-1.63817 # DEPENDENCYPART_ARC
(2,8),-0.54636 # DEPENDENCYPART_ARC
(2,13),-1.10954 # DEPENDENCYPART_ARC
(2,17),-1.32216 # DEPENDENCYPART_ARC
(2,23),0.0466512 # DEPENDENCYPART_ARC
(3,1),0.814279 # DEPENDENCYPART_ARC
(3,2),0.828984 # DEPENDENCYPART_ARC
(3,6),-0.248408 # DEPENDENCYPART_ARC
(3,8),0.144706 # DEPENDENCYPART_ARC
(3,11),-0.164515 # DEPENDENCYPART_ARC
(3,12),-0.868698 # DEPENDENCYPART_ARC
(3,13),0.0800421 # DEPENDENCYPART_ARC
(3,15),-0.26405 # DEPENDENCYPART_ARC
(3,17),-0.490584 # DEPENDENCYPART_ARC
(3,20),-1.50202 # DEPENDENCYPART_ARC
(3,22),-1.44403 # DEPENDENCYPART_ARC
(3,23),0.816916 # DEPENDENCYPART_ARC
(4,1),0.395023 # DEPENDENCYPART_ARC
(4,2),-0.808798 # DEPENDENCYPART_ARC
(4,3),0.441813 # DEPENDENCYPART_ARC
(4,6),0.000407649 # DEPENDENCYPART_ARC
(4,7),-0.602163 # DEPENDENCYPART_ARC
(4,8),-0.0993974 # DEPENDENCYPART_ARC
(4,9),-1.23289 # DEPENDENCYPART_ARC
(4,10),-0.361294 # DEPENDENCYPART_ARC
(4,11),-0.331813 # DEPENDENCYPART_ARC
(4,12),-0.500606 # DEPENDENCYPART_ARC
(4,13),1.27732 # DEPENDENCYPART_ARC
(4,14),-0.417581 # DEPENDENCYPART_ARC
(4,15),0.123021 # DEPENDENCYPART_ARC
(4,16),-0.248326 # DEPENDENCYPART_ARC
(4,17),1.4121 # DEPENDENCYPART_ARC
(4,19),-0.661631 # DEPENDENCYPART_ARC
(4,20),-0.578177 # DEPENDENCYPART_ARC
(4,21),-0.595114 # DEPENDENCYPART_ARC
(4,22),-1.09769 # DEPENDENCYPART_ARC
(4,23),1.03015 # DEPENDENCYPART_ARC
(6,1),-1.11789 # DEPENDENCYPART_ARC
(6,2),-1.22519 # DEPENDENCYPART_ARC
(6,3),-0.74353 # DEPENDENCYPART_ARC
(6,4),1.20636 # DEPENDENCYPART_ARC
(6,5),2.91041 # DEPENDENCYPART_ARC
(6,10),-1.75359 # DEPENDENCYPART_ARC
(7,1),0.139718 # DEPENDENCYPART_ARC
(7,2),-0.205897 # DEPENDENCYPART_ARC
(7,4),-0.217936 # DEPENDENCYPART_ARC
(7,5),-0.53528 # DEPENDENCYPART_ARC
(7,6),0.383467 # DEPENDENCYPART_ARC
(7,8),0.490811 # DEPENDENCYPART_ARC
(7,10),-0.403915 # DEPENDENCYPART_ARC
(7,12),-0.568358 # DEPENDENCYPART_ARC
(7,13),0.0660085 # DEPENDENCYPART_ARC
(7,15),0.103606 # DEPENDENCYPART_ARC
(7,16),-0.937817 # DEPENDENCYPART_ARC
(7,17),-0.406823 # DEPENDENCYPART_ARC
(7,20),-0.934323 # DEPENDENCYPART_ARC
(7,22),-1.0659 # DEPENDENCYPART_ARC
(7,23),0.331524 # DEPENDENCYPART_ARC
(9,11),-0.707005 # DEPENDENCYPART_ARC
(9,12),-0.551017 # DEPENDENCYPART_ARC
(9,20),-0.675139 # DEPENDENCYPART_ARC
(9,22),-1.30371 # DEPENDENCYPART_ARC
(10,4),-2.30143 # DEPENDENCYPART_ARC
(10,5),-0.399774 # DEPENDENCYPART_ARC
(10,9),-0.651095 # DEPENDENCYPART_ARC
(10,11),-0.353233 # DEPENDENCYPART_ARC
(10,12),0.133886 # DEPENDENCYPART_ARC
(10,17),-0.778213 # DEPENDENCYPART_ARC
(11,1),-0.171295 # DEPENDENCYPART_ARC
(11,2),-1.2034 # DEPENDENCYPART_ARC
(11,3),-0.154013 # DEPENDENCYPART_ARC
(11,4),-1.28239 # DEPENDENCYPART_ARC
(11,5),-0.600126 # DEPENDENCYPART_ARC
(11,6),-0.256242 # DEPENDENCYPART_ARC
(11,7),0.429864 # DEPENDENCYPART_ARC
(11,8),-0.042352 # DEPENDENCYPART_ARC
(11,9),0.114289 # DEPENDENCYPART_ARC
(11,10),1.46413 # DEPENDENCYPART_ARC
(12,1),-0.43063 # DEPENDENCYPART_ARC
(12,2),-0.263381 # DEPENDENCYPART_ARC
(12,4),-0.00288402 # DEPENDENCYPART_ARC
(12,5),0.934707 # DEPENDENCYPART_ARC
(12,6),-0.302341 # DEPENDENCYPART_ARC
(12,7),-0.20947 # DEPENDENCYPART_ARC
(12,8),0.259069 # DEPENDENCYPART_ARC
(12,9),-0.780726 # DEPENDENCYPART_ARC
(12,10),2.03802 # DEPENDENCYPART_ARC
(12,11),3.61045 # DEPENDENCYPART_ARC
(12,17),-1.07025 # DEPENDENCYPART_ARC
(13,1),-0.627085 # DEPENDENCYPART_ARC
(13,2),-0.767539 # DEPENDENCYPART_ARC
(13,3),0.509306 # DEPENDENCYPART_ARC
(13,4),-0.382004 # DEPENDENCYPART_ARC
(13,5),-1.06926 # DEPENDENCYPART_ARC
(13,6),1.25069 # DEPENDENCYPART_ARC
(13,7),1.20032 # DEPENDENCYPART_ARC
(13,8),0.719119 # DEPENDENCYPART_ARC
(13,9),1.79567 # DEPENDENCYPART_ARC
