# _root_ Akkor a két állam között automatikusan adódna katonai szövetség , a vasútvonal használatát egymástól nem lehetne megtagadni , ( ... )
#goldHeads=7,4,4,5,7,7,0,9,7,7,12,13,17,17,16,7,16,7,7,7,7,
#predictedHeads=7,4,4,5,7,7,0,9,7,7,12,13,17,17,16,7,16,16,16,16,7,
(0,1),-1.80014 # DEPENDENCYPART_ARC
(0,3),-2.18976 # DEPENDENCYPART_ARC
(0,4),-3.05021 # DEPENDENCYPART_ARC
(0,5),-3.19704 # DEPENDENCYPART_ARC
(0,6),-2.51345 # DEPENDENCYPART_ARC
(0,7),-1.26037 # DEPENDENCYPART_ARC
(0,8),-2.67521 # DEPENDENCYPART_ARC
(0,9),-3.69294 # DEPENDENCYPART_ARC
(0,15),-2.88718 # DEPENDENCYPART_ARC
(0,16),-1.32637 # DEPENDENCYPART_ARC
(0,17),-2.75072 # DEPENDENCYPART_ARC
(1,4),0.0883725 # DEPENDENCYPART_ARC
(1,5),0.379255 # DEPENDENCYPART_ARC
(1,7),-0.0258445 # DEPENDENCYPART_ARC
(1,9),-0.468673 # DEPENDENCYPART_ARC
(1,10),0.204276 # DEPENDENCYPART_ARC
(1,12),-1.21635 # DEPENDENCYPART_ARC
(1,13),-1.22678 # DEPENDENCYPART_ARC
(1,16),-0.567591 # DEPENDENCYPART_ARC
(1,21),1.12567 # DEPENDENCYPART_ARC
(2,6),0.25072 # DEPENDENCYPART_ARC
(2,8),0.121856 # DEPENDENCYPART_ARC
(3,2),-0.494196 # DEPENDENCYPART_ARC
(3,17),-2.25256 # DEPENDENCYPART_ARC
(3,18),-1.19644 # DEPENDENCYPART_ARC
(3,19),-1.11796 # DEPENDENCYPART_ARC
(3,20),-1.28449 # DEPENDENCYPART_ARC
(3,21),-0.815501 # DEPENDENCYPART_ARC
(4,1),-0.270639 # DEPENDENCYPART_ARC
(4,2),2.13992 # DEPENDENCYPART_ARC
(4,3),3.30166 # DEPENDENCYPART_ARC
(4,5),-0.35869 # DEPENDENCYPART_ARC
(4,6),-1.2492 # DEPENDENCYPART_ARC
(4,16),-1.25673 # DEPENDENCYPART_ARC
(4,17),-0.961565 # DEPENDENCYPART_ARC
(4,18),-0.594202 # DEPENDENCYPART_ARC
(4,19),-0.889763 # DEPENDENCYPART_ARC
(4,20),-0.739942 # DEPENDENCYPART_ARC
(5,2),-0.136344 # DEPENDENCYPART_ARC
(5,3),1.03616 # DEPENDENCYPART_ARC
(5,4),3.75752 # DEPENDENCYPART_ARC
(5,6),-0.114944 # DEPENDENCYPART_ARC
(5,7),-0.233655 # DEPENDENCYPART_ARC
(5,8),-0.381464 # DEPENDENCYPART_ARC
(5,9),-0.466255 # DEPENDENCYPART_ARC
(5,10),-0.180929 # DEPENDENCYPART_ARC
(5,12),-0.671735 # DEPENDENCYPART_ARC
(5,13),-0.610524 # DEPENDENCYPART_ARC
(5,16),-0.593622 # DEPENDENCYPART_ARC
(5,17),-0.581243 # DEPENDENCYPART_ARC
(5,18),-0.164192 # DEPENDENCYPART_ARC
(5,19),-0.336745 # DEPENDENCYPART_ARC
(5,20),-0.281591 # DEPENDENCYPART_ARC
(5,21),-0.0460129 # DEPENDENCYPART_ARC
(6,1),-0.568951 # DEPENDENCYPART_ARC
(6,2),-0.242544 # DEPENDENCYPART_ARC
(6,3),-0.440066 # DEPENDENCYPART_ARC
(6,4),-1.10994 # DEPENDENCYPART_ARC
(6,5),0.773883 # DEPENDENCYPART_ARC
(6,7),0.270318 # DEPENDENCYPART_ARC
(6,8),-0.0664539 # DEPENDENCYPART_ARC
(6,9),-0.110647 # DEPENDENCYPART_ARC
(6,10),0.00979209 # DEPENDENCYPART_ARC
(6,12),-0.860518 # DEPENDENCYPART_ARC
(6,13),-1.59306 # DEPENDENCYPART_ARC
(6,15),-0.427796 # DEPENDENCYPART_ARC
(6,16),-0.496082 # DEPENDENCYPART_ARC
(6,17),-0.861083 # DEPENDENCYPART_ARC
(6,18),0.111495 # DEPENDENCYPART_ARC
(6,19),-0.271761 # DEPENDENCYPART_ARC
(6,20),-0.237363 # DEPENDENCYPART_ARC
(6,21),0.599517 # DEPENDENCYPART_ARC
(7,1),1.49058 # DEPENDENCYPART_ARC
(7,2),-0.586006 # DEPENDENCYPART_ARC
(7,3),-0.121995 # DEPENDENCYPART_ARC
(7,4),1.22961 # DEPENDENCYPART_ARC
(7,5),1.92504 # DEPENDENCYPART_ARC
(7,6),2.8919 # DEPENDENCYPART_ARC
(7,8),1.42228 # DEPENDENCYPART_ARC
(7,9),2.1959 # DEPENDENCYPART_ARC
(7,10),1.1218 # DEPENDENCYPART_ARC
(7,11),-0.842662 # DEPENDENCYPART_ARC
(7,12),-0.0493228 # DEPENDENCYPART_ARC
(7,13),-0.0802307 # DEPENDENCYPART_ARC
(7,15),0.338222 # DEPENDENCYPART_ARC
(7,16),1.06275 # DEPENDENCYPART_ARC
(7,17),1.68839 # DEPENDENCYPART_ARC
(7,18),0.729735 # DEPENDENCYPART_ARC
(7,19),0.342855 # DEPENDENCYPART_ARC
(7,20),0.550484 # DEPENDENCYPART_ARC
(7,21),1.71881 # DEPENDENCYPART_ARC
(8,1),-1.76208 # DEPENDENCYPART_ARC
(8,2),-1.66324 # DEPENDENCYPART_ARC
(8,3),-1.47224 # DEPENDENCYPART_ARC
(8,4),-2.14722 # DEPENDENCYPART_ARC
(8,5),-0.371711 # DEPENDENCYPART_ARC
(8,6),-0.151941 # DEPENDENCYPART_ARC
(8,7),-0.282813 # DEPENDENCYPART_ARC
(8,13),-2.3621 # DEPENDENCYPART_ARC
(8,16),-0.877187 # DEPENDENCYPART_ARC
(9,1),-0.924114 # DEPENDENCYPART_ARC
(9,2),0.776663 # DEPENDENCYPART_ARC
(9,3),0.710054 # DEPENDENCYPART_ARC
(9,4),-1.53776 # DEPENDENCYPART_ARC
(9,5),-0.0837044 # DEPENDENCYPART_ARC
(9,6),-1.43858 # DEPENDENCYPART_ARC
(9,7),0.132213 # DEPENDENCYPART_ARC
(9,8),3.43235 # DEPENDENCYPART_ARC
(9,10),0.297196 # DEPENDENCYPART_ARC
(9,12),-0.662898 # DEPENDENCYPART_ARC
(9,13),-1.20551 # DEPENDENCYPART_ARC
(9,16),-0.569496 # DEPENDENCYPART_ARC
(9,17),-0.403316 # DEPENDENCYPART_ARC
(9,18),-0.0494125 # DEPENDENCYPART_ARC
(9,19),-0.284345 # DEPENDENCYPART_ARC
(9,20),-0.405521 # DEPENDENCYPART_ARC
(9,21),0.548608 # DEPENDENCYPART_ARC
(12,2),-1.52917 # DEPENDENCYPART_ARC
(12,7),-2.33176 # DEPENDENCYPART_ARC
(12,8),-0.737741 # DEPENDENCYPART_ARC
(12,10),-0.822994 # DEPENDENCYPART_ARC
(12,11),2.74445 # DEPENDENCYPART_ARC
(13,2),-1.9224 # DEPENDENCYPART_ARC
(13,3),-0.80858 # DEPENDENCYPART_ARC
(13,4),-1.01778 # DEPENDENCYPART_ARC
(13,5),-0.733967 # DEPENDENCYPART_ARC
(13,6),-4.17476 # DEPENDENCYPART_ARC
(13,7),-3.21505 # DEPENDENCYPART_ARC
(13,8),-0.470079 # DEPENDENCYPART_ARC
(13,9),0.292865 # DEPENDENCYPART_ARC
(13,10),0.263376 # DEPENDENCYPART_ARC
(13,11),1.17286 # DEPENDENCYPART_ARC
(13,12),3.8795 # DEPENDENCYPART_ARC
