# _root_ Az ÁPTF április 30-ig meghosszabbította a CB_Bróker_Értékpapír-forgalmazó_Rt.-nek , a LaSalle_Értékpapír-forgalmazó_Rt.-nek , a Pannonbróker_Értékpapír-forgalmazó_Rt.-nek és a Pest-Buda_Értékház_Értékpapír-kereskedő_és_Befektetési_Tanácsadó_Rt.-nek a Központi_Elszámolóház_és_Értéktár_(KELER)_Rt.-nél vezetett valamennyi számlája feletti rendelkezési joga felfüggesztését .
#goldHeads=2,5,4,5,0,7,14,14,10,14,14,13,14,5,16,14,18,19,21,21,22,23,24,25,5,5,
#predictedHeads=2,3,4,5,0,7,5,5,10,5,5,13,14,22,16,14,18,19,21,21,22,24,24,25,5,5,
(0,2),-1.82587 # DEPENDENCYPART_ARC
(0,3),-2.42809 # DEPENDENCYPART_ARC
(0,4),-3.00589 # DEPENDENCYPART_ARC
(0,5),-0.42606 # DEPENDENCYPART_ARC
(0,14),-2.03767 # DEPENDENCYPART_ARC
(1,2),-0.139124 # DEPENDENCYPART_ARC
(1,3),-0.555608 # DEPENDENCYPART_ARC
(1,4),-1.1894 # DEPENDENCYPART_ARC
(2,1),2.17024 # DEPENDENCYPART_ARC
(2,3),-0.240868 # DEPENDENCYPART_ARC
(2,4),-1.08753 # DEPENDENCYPART_ARC
(2,5),-0.718478 # DEPENDENCYPART_ARC
(2,25),-2.81914 # DEPENDENCYPART_ARC
(2,26),-0.215641 # DEPENDENCYPART_ARC
(3,1),0.641856 # DEPENDENCYPART_ARC
(3,2),2.45394 # DEPENDENCYPART_ARC
(3,4),-1.21287 # DEPENDENCYPART_ARC
(3,5),-0.830828 # DEPENDENCYPART_ARC
(3,7),-1.92351 # DEPENDENCYPART_ARC
(3,26),-0.144249 # DEPENDENCYPART_ARC
(4,1),-0.609958 # DEPENDENCYPART_ARC
(4,2),2.07973 # DEPENDENCYPART_ARC
(4,3),3.36637 # DEPENDENCYPART_ARC
(4,5),-1.08666 # DEPENDENCYPART_ARC
(4,7),-1.23116 # DEPENDENCYPART_ARC
(4,8),-0.393871 # DEPENDENCYPART_ARC
(4,10),-1.59779 # DEPENDENCYPART_ARC
(4,26),0.169565 # DEPENDENCYPART_ARC
(5,1),-0.728448 # DEPENDENCYPART_ARC
(5,2),2.13689 # DEPENDENCYPART_ARC
(5,3),1.97339 # DEPENDENCYPART_ARC
(5,4),3.55365 # DEPENDENCYPART_ARC
(5,6),-0.174215 # DEPENDENCYPART_ARC
(5,7),3.34416 # DEPENDENCYPART_ARC
(5,8),1.81787 # DEPENDENCYPART_ARC
(5,9),-0.298409 # DEPENDENCYPART_ARC
(5,10),2.11471 # DEPENDENCYPART_ARC
(5,11),1.36517 # DEPENDENCYPART_ARC
(5,12),-0.378162 # DEPENDENCYPART_ARC
(5,13),0.19781 # DEPENDENCYPART_ARC
(5,14),0.757884 # DEPENDENCYPART_ARC
(5,16),0.0724979 # DEPENDENCYPART_ARC
(5,18),-2.50948 # DEPENDENCYPART_ARC
(5,19),-1.22555 # DEPENDENCYPART_ARC
(5,21),-1.44823 # DEPENDENCYPART_ARC
(5,22),-1.5066 # DEPENDENCYPART_ARC
(5,24),-0.453962 # DEPENDENCYPART_ARC
(5,25),1.65414 # DEPENDENCYPART_ARC
(5,26),3.85894 # DEPENDENCYPART_ARC
(6,8),-0.247035 # DEPENDENCYPART_ARC
(7,1),-1.67035 # DEPENDENCYPART_ARC
(7,3),-2.51578 # DEPENDENCYPART_ARC
(7,6),2.27904 # DEPENDENCYPART_ARC
(7,8),0.000415769 # DEPENDENCYPART_ARC
(7,10),-0.745276 # DEPENDENCYPART_ARC
(7,11),-0.139444 # DEPENDENCYPART_ARC
(7,24),-1.45878 # DEPENDENCYPART_ARC
(7,25),-1.98805 # DEPENDENCYPART_ARC
(7,26),0.0493852 # DEPENDENCYPART_ARC
(9,8),-0.559425 # DEPENDENCYPART_ARC
(9,11),-0.200307 # DEPENDENCYPART_ARC
(10,6),-0.374042 # DEPENDENCYPART_ARC
(10,7),-1.15172 # DEPENDENCYPART_ARC
(10,9),2.27853 # DEPENDENCYPART_ARC
(10,11),0.0722949 # DEPENDENCYPART_ARC
(10,13),-0.913962 # DEPENDENCYPART_ARC
(10,16),-1.46854 # DEPENDENCYPART_ARC
(10,18),-1.90297 # DEPENDENCYPART_ARC
(10,24),-1.41934 # DEPENDENCYPART_ARC
(10,25),-1.81904 # DEPENDENCYPART_ARC
(10,26),-0.0205638 # DEPENDENCYPART_ARC
(12,11),-0.550224 # DEPENDENCYPART_ARC
(12,19),-1.0439 # DEPENDENCYPART_ARC
(13,6),-1.56386 # DEPENDENCYPART_ARC
(13,9),-0.426956 # DEPENDENCYPART_ARC
(13,10),-1.39639 # DEPENDENCYPART_ARC
(13,12),2.27863 # DEPENDENCYPART_ARC
(13,25),-2.80437 # DEPENDENCYPART_ARC
(14,2),-0.819396 # DEPENDENCYPART_ARC
(14,3),-1.06389 # DEPENDENCYPART_ARC
(14,4),-1.12084 # DEPENDENCYPART_ARC
(14,5),-0.422294 # DEPENDENCYPART_ARC
(14,7),-0.0612675 # DEPENDENCYPART_ARC
(14,8),0.262544 # DEPENDENCYPART_ARC
(14,9),-1.10134 # DEPENDENCYPART_ARC
(14,10),0.0970519 # DEPENDENCYPART_ARC
(14,11),0.64086 # DEPENDENCYPART_ARC
(14,12),-0.549421 # DEPENDENCYPART_ARC
(14,13),0.670827 # DEPENDENCYPART_ARC
(14,15),-0.441838 # DEPENDENCYPART_ARC
(14,16),0.912714 # DEPENDENCYPART_ARC
(14,18),-0.248224 # DEPENDENCYPART_ARC
(14,19),-0.634824 # DEPENDENCYPART_ARC
(14,21),-0.469444 # DEPENDENCYPART_ARC
(14,22),-0.866228 # DEPENDENCYPART_ARC
