# _root_ Sokan őt okolták ugyanis a vereségért , hiszen a nevéhez fűződött például az 1993-as , nagy port kavart MDF-Fidesz-székházügy .
#goldHeads=3,3,8,3,6,3,8,0,10,11,8,11,19,19,19,17,18,19,11,8,
#predictedHeads=3,3,8,3,6,3,8,0,10,11,8,11,17,19,19,17,18,19,11,8,
(0,1),-1.98609 # DEPENDENCYPART_ARC
(0,2),-3.47538 # DEPENDENCYPART_ARC
(0,3),-0.760837 # DEPENDENCYPART_ARC
(0,4),-0.99142 # DEPENDENCYPART_ARC
(0,8),0.334454 # DEPENDENCYPART_ARC
(0,11),-1.45043 # DEPENDENCYPART_ARC
(1,3),-0.312725 # DEPENDENCYPART_ARC
(1,4),-0.490373 # DEPENDENCYPART_ARC
(1,6),-1.34174 # DEPENDENCYPART_ARC
(1,7),-0.760988 # DEPENDENCYPART_ARC
(1,8),-0.541201 # DEPENDENCYPART_ARC
(1,11),-1.07215 # DEPENDENCYPART_ARC
(1,19),-2.34921 # DEPENDENCYPART_ARC
(1,20),-0.200792 # DEPENDENCYPART_ARC
(2,3),0.308736 # DEPENDENCYPART_ARC
(2,6),-0.445648 # DEPENDENCYPART_ARC
(2,7),-0.134116 # DEPENDENCYPART_ARC
(2,10),-1.37411 # DEPENDENCYPART_ARC
(2,11),1.57439 # DEPENDENCYPART_ARC
(2,17),-1.12222 # DEPENDENCYPART_ARC
(2,19),-0.656169 # DEPENDENCYPART_ARC
(2,20),0.158256 # DEPENDENCYPART_ARC
(3,1),1.92614 # DEPENDENCYPART_ARC
(3,2),1.95813 # DEPENDENCYPART_ARC
(3,4),2.36411 # DEPENDENCYPART_ARC
(3,5),-0.221827 # DEPENDENCYPART_ARC
(3,6),2.10601 # DEPENDENCYPART_ARC
(3,7),1.74542 # DEPENDENCYPART_ARC
(3,8),1.2923 # DEPENDENCYPART_ARC
(3,9),-0.584965 # DEPENDENCYPART_ARC
(3,10),-0.205533 # DEPENDENCYPART_ARC
(3,11),0.647503 # DEPENDENCYPART_ARC
(3,12),0.567658 # DEPENDENCYPART_ARC
(3,14),-1.52642 # DEPENDENCYPART_ARC
(3,15),0.112271 # DEPENDENCYPART_ARC
(3,16),-2.02774 # DEPENDENCYPART_ARC
(3,17),-1.52891 # DEPENDENCYPART_ARC
(3,19),-1.5306 # DEPENDENCYPART_ARC
(3,20),2.44906 # DEPENDENCYPART_ARC
(4,1),-0.307802 # DEPENDENCYPART_ARC
(4,2),-1.67267 # DEPENDENCYPART_ARC
(4,3),1.09429 # DEPENDENCYPART_ARC
(4,5),-0.383359 # DEPENDENCYPART_ARC
(4,6),0.358077 # DEPENDENCYPART_ARC
(4,7),0.163759 # DEPENDENCYPART_ARC
(4,8),0.0825022 # DEPENDENCYPART_ARC
(4,10),-0.803368 # DEPENDENCYPART_ARC
(4,11),0.45018 # DEPENDENCYPART_ARC
(4,12),-0.429909 # DEPENDENCYPART_ARC
(4,14),-0.326336 # DEPENDENCYPART_ARC
(4,15),0.382735 # DEPENDENCYPART_ARC
(4,16),-0.467389 # DEPENDENCYPART_ARC
(4,19),-0.704553 # DEPENDENCYPART_ARC
(4,20),1.58901 # DEPENDENCYPART_ARC
(5,4),-0.608232 # DEPENDENCYPART_ARC
(5,7),-0.178164 # DEPENDENCYPART_ARC
(6,1),-1.82702 # DEPENDENCYPART_ARC
(6,2),-2.08922 # DEPENDENCYPART_ARC
(6,3),-1.33306 # DEPENDENCYPART_ARC
(6,4),-0.770171 # DEPENDENCYPART_ARC
(6,5),2.79719 # DEPENDENCYPART_ARC
(6,7),-0.393236 # DEPENDENCYPART_ARC
(6,11),-0.716424 # DEPENDENCYPART_ARC
(8,1),0.630615 # DEPENDENCYPART_ARC
(8,2),-0.930595 # DEPENDENCYPART_ARC
(8,3),1.45898 # DEPENDENCYPART_ARC
(8,4),1.00486 # DEPENDENCYPART_ARC
(8,5),0.0379111 # DEPENDENCYPART_ARC
(8,6),-0.0311161 # DEPENDENCYPART_ARC
(8,7),2.13511 # DEPENDENCYPART_ARC
(8,9),-0.164454 # DEPENDENCYPART_ARC
(8,10),-0.00290093 # DEPENDENCYPART_ARC
(8,11),2.15519 # DEPENDENCYPART_ARC
(8,12),0.0545626 # DEPENDENCYPART_ARC
(8,14),-0.181294 # DEPENDENCYPART_ARC
(8,15),0.861514 # DEPENDENCYPART_ARC
(8,16),-0.361581 # DEPENDENCYPART_ARC
(8,17),-0.556018 # DEPENDENCYPART_ARC
(8,18),-0.362677 # DEPENDENCYPART_ARC
(8,19),-0.602509 # DEPENDENCYPART_ARC
(8,20),3.38383 # DEPENDENCYPART_ARC
(9,8),-0.527407 # DEPENDENCYPART_ARC
(10,2),-3.41022 # DEPENDENCYPART_ARC
(10,5),-0.910238 # DEPENDENCYPART_ARC
(10,6),-1.28859 # DEPENDENCYPART_ARC
(10,7),-0.156511 # DEPENDENCYPART_ARC
(10,8),-0.0664312 # DEPENDENCYPART_ARC
(10,9),2.11442 # DEPENDENCYPART_ARC
(10,12),-1.42493 # DEPENDENCYPART_ARC
(10,19),-2.1833 # DEPENDENCYPART_ARC
(11,1),0.267462 # DEPENDENCYPART_ARC
(11,2),-1.8326 # DEPENDENCYPART_ARC
(11,3),-0.82819 # DEPENDENCYPART_ARC
