# _root_ 1994-ben Márkus_Gyulával közösen alapítója volt a privatizációk lebonyolítására szakosodott Márkus_Pénzügyi_Gazdasági_Tanácsadó_Kft.-nek , amely utóbb fiktív cégnek bizonyult ( HVG , 1998. február 28. ) .
#goldHeads=5,3,5,5,0,7,8,9,10,5,5,16,16,15,16,5,18,5,18,22,22,18,18,5,
#predictedHeads=5,3,5,5,0,7,8,9,10,5,5,16,16,15,16,5,18,16,18,21,22,18,18,5,
(0,1),-1.54521 # DEPENDENCYPART_ARC
(0,2),-2.2037 # DEPENDENCYPART_ARC
(0,3),-2.41797 # DEPENDENCYPART_ARC
(0,4),-3.17019 # DEPENDENCYPART_ARC
(0,5),-1.47826 # DEPENDENCYPART_ARC
(0,9),-2.84258 # DEPENDENCYPART_ARC
(0,13),-3.02817 # DEPENDENCYPART_ARC
(0,16),-1.9772 # DEPENDENCYPART_ARC
(1,2),-0.2615 # DEPENDENCYPART_ARC
(1,3),-0.384385 # DEPENDENCYPART_ARC
(1,4),-0.27643 # DEPENDENCYPART_ARC
(1,5),0.039319 # DEPENDENCYPART_ARC
(1,7),-1.18616 # DEPENDENCYPART_ARC
(1,8),-1.14722 # DEPENDENCYPART_ARC
(1,9),-0.882657 # DEPENDENCYPART_ARC
(1,10),-1.21594 # DEPENDENCYPART_ARC
(1,11),0.0318271 # DEPENDENCYPART_ARC
(1,16),-0.825033 # DEPENDENCYPART_ARC
(1,17),0.12856 # DEPENDENCYPART_ARC
(1,19),0.0107007 # DEPENDENCYPART_ARC
(1,23),0.0102777 # DEPENDENCYPART_ARC
(1,24),1.59306 # DEPENDENCYPART_ARC
(2,1),0.467742 # DEPENDENCYPART_ARC
(2,3),-0.57409 # DEPENDENCYPART_ARC
(2,4),-0.352719 # DEPENDENCYPART_ARC
(2,5),-0.73895 # DEPENDENCYPART_ARC
(2,7),-1.44101 # DEPENDENCYPART_ARC
(2,10),-1.09415 # DEPENDENCYPART_ARC
(2,11),0.0114281 # DEPENDENCYPART_ARC
(2,16),-1.11032 # DEPENDENCYPART_ARC
(2,22),-1.82638 # DEPENDENCYPART_ARC
(2,23),0.0032209 # DEPENDENCYPART_ARC
(2,24),0.657214 # DEPENDENCYPART_ARC
(3,1),0.472566 # DEPENDENCYPART_ARC
(3,2),2.36009 # DEPENDENCYPART_ARC
(4,1),-1.34273 # DEPENDENCYPART_ARC
(4,2),0.540716 # DEPENDENCYPART_ARC
(4,3),0.20447 # DEPENDENCYPART_ARC
(4,8),-1.78582 # DEPENDENCYPART_ARC
(4,10),-1.29091 # DEPENDENCYPART_ARC
(4,13),-1.26052 # DEPENDENCYPART_ARC
(4,24),0.127878 # DEPENDENCYPART_ARC
(5,1),2.06701 # DEPENDENCYPART_ARC
(5,2),1.03289 # DEPENDENCYPART_ARC
(5,3),2.68565 # DEPENDENCYPART_ARC
(5,4),3.91575 # DEPENDENCYPART_ARC
(5,6),-0.333335 # DEPENDENCYPART_ARC
(5,7),1.08693 # DEPENDENCYPART_ARC
(5,8),0.811594 # DEPENDENCYPART_ARC
(5,9),-0.0232271 # DEPENDENCYPART_ARC
(5,10),2.96181 # DEPENDENCYPART_ARC
(5,11),1.69859 # DEPENDENCYPART_ARC
(5,12),-0.424742 # DEPENDENCYPART_ARC
(5,13),0.198377 # DEPENDENCYPART_ARC
(5,14),-0.590662 # DEPENDENCYPART_ARC
(5,15),-0.0568547 # DEPENDENCYPART_ARC
(5,16),0.815834 # DEPENDENCYPART_ARC
(5,17),0.0683513 # DEPENDENCYPART_ARC
(5,18),1.01102 # DEPENDENCYPART_ARC
(5,19),0.512261 # DEPENDENCYPART_ARC
(5,21),-2.13869 # DEPENDENCYPART_ARC
(5,22),-0.263036 # DEPENDENCYPART_ARC
(5,23),-0.0345494 # DEPENDENCYPART_ARC
(5,24),2.35541 # DEPENDENCYPART_ARC
(7,5),-1.28149 # DEPENDENCYPART_ARC
(7,6),2.61755 # DEPENDENCYPART_ARC
(8,1),-3.62633 # DEPENDENCYPART_ARC
(8,2),-3.79357 # DEPENDENCYPART_ARC
(8,3),-3.60004 # DEPENDENCYPART_ARC
(8,4),-2.19924 # DEPENDENCYPART_ARC
(8,5),-2.71751 # DEPENDENCYPART_ARC
(8,6),0.94951 # DEPENDENCYPART_ARC
(8,7),4.12923 # DEPENDENCYPART_ARC
(8,10),-0.0348906 # DEPENDENCYPART_ARC
(8,11),-0.0424123 # DEPENDENCYPART_ARC
(8,13),-1.08268 # DEPENDENCYPART_ARC
(8,16),-1.14381 # DEPENDENCYPART_ARC
(8,18),-1.59835 # DEPENDENCYPART_ARC
(8,22),-2.33393 # DEPENDENCYPART_ARC
(9,1),-0.0218294 # DEPENDENCYPART_ARC
(9,2),0.433187 # DEPENDENCYPART_ARC
(9,4),-1.35192 # DEPENDENCYPART_ARC
(9,5),-0.953351 # DEPENDENCYPART_ARC
(9,6),0.206944 # DEPENDENCYPART_ARC
(9,7),0.719619 # DEPENDENCYPART_ARC
(9,8),2.89679 # DEPENDENCYPART_ARC
(9,11),-0.177451 # DEPENDENCYPART_ARC
(9,16),-0.733479 # DEPENDENCYPART_ARC
(10,2),-2.58893 # DEPENDENCYPART_ARC
(10,3),-1.61259 # DEPENDENCYPART_ARC
(10,4),-2.44135 # DEPENDENCYPART_ARC
(10,6),1.34069 # DEPENDENCYPART_ARC
(10,7),0.00442242 # DEPENDENCYPART_ARC
(10,8),0.476876 # DEPENDENCYPART_ARC
(10,9),2.99457 # DEPENDENCYPART_ARC
(10,11),0.189996 # DEPENDENCYPART_ARC
(10,14),-0.396706 # DEPENDENCYPART_ARC
(10,15),-0.723023 # DEPENDENCYPART_ARC
(10,16),-0.80489 # DEPENDENCYPART_ARC
(10,17),-0.236515 # DEPENDENCYPART_ARC
(10,18),-1.39069 # DEPENDENCYPART_ARC
(10,19),-0.091115 # DEPENDENCYPART_ARC
(10,22),-1.31433 # DEPENDENCYPART_ARC
(10,23),-0.277873 # DEPENDENCYPART_ARC
(10,24),0.664595 # DEPENDENCYPART_ARC
(12,14),-0.734034 # DEPENDENCYPART_ARC
(12,15),-0.476021 # DEPENDENCYPART_ARC
(12,21),-0.952334 # DEPENDENCYPART_ARC
(12,22),-0.987791 # DEPENDENCYPART_ARC
(13,5),-1.24933 # DEPENDENCYPART_ARC
(13,8),-1.36387 # DEPENDENCYPART_ARC
(13,10),-1.27253 # DEPENDENCYPART_ARC
(13,12),-0.418339 # DEPENDENCYPART_ARC
(13,14),-0.170968 # DEPENDENCYPART_ARC
(13,15),-0.0752434 # DEPENDENCYPART_ARC
(13,17),-0.311959 # DEPENDENCYPART_ARC
(13,18),-0.879521 # DEPENDENCYPART_ARC
(13,19),-0.357052 # DEPENDENCYPART_ARC
(13,21),-1.43855 # DEPENDENCYPART_ARC
(13,22),-1.28257 # DEPENDENCYPART_ARC
(13,23),-0.12356 # DEPENDENCYPART_ARC
(13,24),0.092556 # DEPENDENCYPART_ARC
(14,1),-0.739236 # DEPENDENCYPART_ARC
(14,4),-2.26647 # DEPENDENCYPART_ARC
(14,5),-1.47887 # DEPENDENCYPART_ARC
(14,7),-1.1416 # DEPENDENCYPART_ARC
(14,8),-0.110199 # DEPENDENCYPART_ARC
(14,9),-1.23151 # DEPENDENCYPART_ARC
(14,10),-2.31848 # DEPENDENCYPART_ARC
(14,11),-0.186612 # DEPENDENCYPART_ARC
(14,12),-0.412326 # DEPENDENCYPART_ARC
(14,13),1.09263 # DEPENDENCYPART_ARC
(14,18),-1.2458 # DEPENDENCYPART_ARC
(14,22),-1.65743 # DEPENDENCYPART_ARC
(15,1),-2.47028 # DEPENDENCYPART_ARC
(15,3),-1.86854 # DEPENDENCYPART_ARC
(15,5),-1.27257 # DEPENDENCYPART_ARC
(15,6),0.692248 # DEPENDENCYPART_ARC
(15,7),-1.03865 # DEPENDENCYPART_ARC
(15,8),-1.8952 # DEPENDENCYPART_ARC
(15,9),1.51037 # DEPENDENCYPART_ARC
(15,10),-0.624624 # DEPENDENCYPART_ARC
(15,11),0.10502 # DEPENDENCYPART_ARC
(15,12),-0.68198 # DEPENDENCYPART_ARC
(15,13),0.948664 # DEPENDENCYPART_ARC
(15,14),3.40445 # DEPENDENCYPART_ARC
(15,17),-0.840406 # DEPENDENCYPART_ARC
(15,18),-1.48146 # DEPENDENCYPART_ARC
(15,19),-0.627749 # DEPENDENCYPART_ARC
(15,22),-2.10435 # DEPENDENCYPART_ARC
(15,23),-0.623697 # DEPENDENCYPART_ARC
(16,1),0.174994 # DEPENDENCYPART_ARC
(16,2),-1.29745 # DEPENDENCYPART_ARC
(16,3),0.214295 # DEPENDENCYPART_ARC
(16,4),0.781299 # DEPENDENCYPART_ARC
(16,5),-0.279937 # DEPENDENCYPART_ARC
(16,6),-1.28923 # DEPENDENCYPART_ARC
(16,7),0.0308743 # DEPENDENCYPART_ARC
(16,8),0.280176 # DEPENDENCYPART_ARC
(16,9),-0.560784 # DEPENDENCYPART_ARC
(16,10),0.505775 # DEPENDENCYPART_ARC
(16,11),0.287 # DEPENDENCYPART_ARC
(16,12),2.42813 # DEPENDENCYPART_ARC
(16,13),1.63778 # DEPENDENCYPART_ARC
(16,14),0.608342 # DEPENDENCYPART_ARC
(16,15),3.82139 # DEPENDENCYPART_ARC
(16,17),0.69783 # DEPENDENCYPART_ARC
(16,18),1.1565 # DEPENDENCYPART_ARC
(16,19),0.736857 # DEPENDENCYPART_ARC
(16,21),-1.09526 # DEPENDENCYPART_ARC
(16,22),-0.443716 # DEPENDENCYPART_ARC
(16,23),0.187448 # DEPENDENCYPART_ARC
(16,24),1.19453 # DEPENDENCYPART_ARC
(18,13),-0.811534 # DEPENDENCYPART_ARC
(18,14),-0.974032 # DEPENDENCYPART_ARC
(18,15),-2.46061 # DEPENDENCYPART_ARC
(18,16),0.304847 # DEPENDENCYPART_ARC
(18,17),0.92097 # DEPENDENCYPART_ARC
(18,19),1.15505 # DEPENDENCYPART_ARC
(18,20),-0.286218 # DEPENDENCYPART_ARC
(18,21),0.242726 # DEPENDENCYPART_ARC
(18,22),0.553502 # DEPENDENCYPART_ARC
(18,23),1.05884 # DEPENDENCYPART_ARC
(18,24),0.578953 # DEPENDENCYPART_ARC
(20,17),-0.145908 # DEPENDENCYPART_ARC
(20,18),-0.425651 # DEPENDENCYPART_ARC
(20,19),-0.0173205 # DEPENDENCYPART_ARC
(20,21),-0.232026 # DEPENDENCYPART_ARC
(20,24),-1.11076 # DEPENDENCYPART_ARC
(21,9),-0.548025 # DEPENDENCYPART_ARC
(21,13),-1.10228 # DEPENDENCYPART_ARC
(21,14),-0.615822 # DEPENDENCYPART_ARC
(21,15),-3.13569 # DEPENDENCYPART_ARC
(21,16),-1.05787 # DEPENDENCYPART_ARC
(21,17),-0.297788 # DEPENDENCYPART_ARC
(21,18),-0.217498 # DEPENDENCYPART_ARC
(21,19),-0.0629766 # DEPENDENCYPART_ARC
(21,20),1.92838 # DEPENDENCYPART_ARC
(21,23),-0.272406 # DEPENDENCYPART_ARC
(22,2),-4.3395 # DEPENDENCYPART_ARC
(22,4),-3.0551 # DEPENDENCYPART_ARC
(22,7),0.21204 # DEPENDENCYPART_ARC
(22,8),-3.65432 # DEPENDENCYPART_ARC
(22,9),-0.319739 # DEPENDENCYPART_ARC
(22,10),-2.39042 # DEPENDENCYPART_ARC
(22,11),-0.670272 # DEPENDENCYPART_ARC
(22,13),-0.638603 # DEPENDENCYPART_ARC
(22,14),-0.590436 # DEPENDENCYPART_ARC
(22,15),-2.03414 # DEPENDENCYPART_ARC
(22,16),-1.70982 # DEPENDENCYPART_ARC
(22,17),0.470789 # DEPENDENCYPART_ARC
(22,18),1.01299 # DEPENDENCYPART_ARC
(22,19),0.708486 # DEPENDENCYPART_ARC
