# _root_ Az ezredfordulón nemcsak a közlekedés és a hírközlés , de a háztartás , a munka és a szórakozás tempója is a sokszorosa a száz évvel ezelőttinek .
#goldHeads=2,20,20,5,6,20,8,6,20,20,12,19,19,15,19,19,18,19,20,0,22,20,26,25,26,20,20,
#predictedHeads=2,3,10,5,6,10,8,6,10,0,12,10,16,15,19,19,18,19,20,26,22,20,25,25,26,10,10,
(0,2),-2.70585 # DEPENDENCYPART_ARC
(0,3),-2.72474 # DEPENDENCYPART_ARC
(0,6),-2.85348 # DEPENDENCYPART_ARC
(0,10),-1.78518 # DEPENDENCYPART_ARC
(0,16),-3.85848 # DEPENDENCYPART_ARC
(0,26),-3.11599 # DEPENDENCYPART_ARC
(1,3),-0.629642 # DEPENDENCYPART_ARC
(1,5),-1.23566 # DEPENDENCYPART_ARC
(2,1),2.53146 # DEPENDENCYPART_ARC
(2,5),-1.3649 # DEPENDENCYPART_ARC
(2,10),-0.891204 # DEPENDENCYPART_ARC
(2,27),-0.567778 # DEPENDENCYPART_ARC
(3,1),-0.758181 # DEPENDENCYPART_ARC
(3,2),-0.0684237 # DEPENDENCYPART_ARC
(3,4),-1.09072 # DEPENDENCYPART_ARC
(3,5),-0.294519 # DEPENDENCYPART_ARC
(3,6),-0.694005 # DEPENDENCYPART_ARC
(3,8),-0.621318 # DEPENDENCYPART_ARC
(3,9),-0.951165 # DEPENDENCYPART_ARC
(3,10),-0.832651 # DEPENDENCYPART_ARC
(3,12),-1.19802 # DEPENDENCYPART_ARC
(3,13),-1.09381 # DEPENDENCYPART_ARC
(3,16),-1.24057 # DEPENDENCYPART_ARC
(3,19),-2.44194 # DEPENDENCYPART_ARC
(3,20),-1.70187 # DEPENDENCYPART_ARC
(3,24),-1.33781 # DEPENDENCYPART_ARC
(3,25),-2.55578 # DEPENDENCYPART_ARC
(3,26),-1.75325 # DEPENDENCYPART_ARC
(3,27),-0.56995 # DEPENDENCYPART_ARC
(4,3),-0.586837 # DEPENDENCYPART_ARC
(4,6),-0.593049 # DEPENDENCYPART_ARC
(4,8),-1.34598 # DEPENDENCYPART_ARC
(5,1),-0.36637 # DEPENDENCYPART_ARC
(5,2),-2.34257 # DEPENDENCYPART_ARC
(5,3),-1.00345 # DEPENDENCYPART_ARC
(5,4),2.70634 # DEPENDENCYPART_ARC
(5,8),-1.56309 # DEPENDENCYPART_ARC
(6,1),-0.909323 # DEPENDENCYPART_ARC
(6,2),-0.502242 # DEPENDENCYPART_ARC
(6,3),0.10052 # DEPENDENCYPART_ARC
(6,4),-0.654365 # DEPENDENCYPART_ARC
(6,5),0.411525 # DEPENDENCYPART_ARC
(6,7),-0.41037 # DEPENDENCYPART_ARC
(6,8),0.872834 # DEPENDENCYPART_ARC
(6,9),-0.373734 # DEPENDENCYPART_ARC
(6,10),-0.380205 # DEPENDENCYPART_ARC
(6,12),-0.33525 # DEPENDENCYPART_ARC
(6,13),-0.582703 # DEPENDENCYPART_ARC
(6,15),-1.26544 # DEPENDENCYPART_ARC
(6,16),-0.975203 # DEPENDENCYPART_ARC
(6,18),-1.53325 # DEPENDENCYPART_ARC
(6,19),-2.2645 # DEPENDENCYPART_ARC
(6,20),-1.55666 # DEPENDENCYPART_ARC
(6,22),-2.19076 # DEPENDENCYPART_ARC
(6,24),-1.1175 # DEPENDENCYPART_ARC
(6,25),-2.73545 # DEPENDENCYPART_ARC
(6,26),-2.38311 # DEPENDENCYPART_ARC
(6,27),-0.308992 # DEPENDENCYPART_ARC
(7,6),-0.530273 # DEPENDENCYPART_ARC
(7,9),-0.555074 # DEPENDENCYPART_ARC
(7,12),-1.42329 # DEPENDENCYPART_ARC
(8,1),-1.47194 # DEPENDENCYPART_ARC
(8,2),-3.08425 # DEPENDENCYPART_ARC
(8,4),-0.0830583 # DEPENDENCYPART_ARC
(8,5),-1.0055 # DEPENDENCYPART_ARC
(8,6),-0.315387 # DEPENDENCYPART_ARC
(8,7),2.86163 # DEPENDENCYPART_ARC
(8,9),-0.322469 # DEPENDENCYPART_ARC
(8,12),-1.1379 # DEPENDENCYPART_ARC
(8,13),-0.407917 # DEPENDENCYPART_ARC
(8,26),-2.70234 # DEPENDENCYPART_ARC
(8,27),-0.431884 # DEPENDENCYPART_ARC
(10,2),-0.469924 # DEPENDENCYPART_ARC
