# _root_ A Realbank kárvallott , körülbelül 2600 részvényesének soraiban még nem tört ki a pereskedési láz , de várható .
#goldHeads=2,7,7,7,7,7,8,11,11,11,17,11,15,15,11,17,0,17,17,
#predictedHeads=2,7,7,7,7,7,11,11,11,11,17,11,15,15,11,11,0,11,11,
(0,2),-1.53585 # DEPENDENCYPART_ARC
(0,3),-2.11855 # DEPENDENCYPART_ARC
(0,5),-2.26308 # DEPENDENCYPART_ARC
(0,9),-2.87437 # DEPENDENCYPART_ARC
(0,10),-2.21029 # DEPENDENCYPART_ARC
(0,11),-0.806877 # DEPENDENCYPART_ARC
(0,12),-2.7007 # DEPENDENCYPART_ARC
(0,17),0.178674 # DEPENDENCYPART_ARC
(0,18),-2.89382 # DEPENDENCYPART_ARC
(1,3),-0.591572 # DEPENDENCYPART_ARC
(2,1),2.15774 # DEPENDENCYPART_ARC
(2,4),0.030589 # DEPENDENCYPART_ARC
(2,6),-0.478216 # DEPENDENCYPART_ARC
(2,7),-1.00258 # DEPENDENCYPART_ARC
(2,11),-0.713901 # DEPENDENCYPART_ARC
(2,18),-1.58136 # DEPENDENCYPART_ARC
(3,1),0.191589 # DEPENDENCYPART_ARC
(3,2),1.50317 # DEPENDENCYPART_ARC
(3,4),0.293624 # DEPENDENCYPART_ARC
(3,5),-0.27653 # DEPENDENCYPART_ARC
(3,6),-0.363585 # DEPENDENCYPART_ARC
(3,7),-0.931982 # DEPENDENCYPART_ARC
(3,8),-1.15875 # DEPENDENCYPART_ARC
(3,10),-0.439608 # DEPENDENCYPART_ARC
(3,11),-0.465184 # DEPENDENCYPART_ARC
(3,15),-1.27496 # DEPENDENCYPART_ARC
(3,16),-0.372663 # DEPENDENCYPART_ARC
(3,17),-0.28268 # DEPENDENCYPART_ARC
(3,18),-1.58463 # DEPENDENCYPART_ARC
(3,19),0.50099 # DEPENDENCYPART_ARC
(5,2),-0.415435 # DEPENDENCYPART_ARC
(5,3),-0.665386 # DEPENDENCYPART_ARC
(5,4),-0.134604 # DEPENDENCYPART_ARC
(5,6),-0.114394 # DEPENDENCYPART_ARC
(5,7),-0.0307258 # DEPENDENCYPART_ARC
(5,8),-0.335428 # DEPENDENCYPART_ARC
(5,9),-0.36831 # DEPENDENCYPART_ARC
(5,11),-0.176314 # DEPENDENCYPART_ARC
(5,15),-1.16735 # DEPENDENCYPART_ARC
(5,16),-0.269722 # DEPENDENCYPART_ARC
(5,17),-0.788605 # DEPENDENCYPART_ARC
(5,19),-0.382262 # DEPENDENCYPART_ARC
(6,2),-0.831951 # DEPENDENCYPART_ARC
(6,4),-0.677591 # DEPENDENCYPART_ARC
(6,5),0.466049 # DEPENDENCYPART_ARC
(6,8),-1.21833 # DEPENDENCYPART_ARC
(6,11),-1.26031 # DEPENDENCYPART_ARC
(6,15),-1.48892 # DEPENDENCYPART_ARC
(6,18),-1.56375 # DEPENDENCYPART_ARC
(6,19),-0.423914 # DEPENDENCYPART_ARC
(7,1),-0.14306 # DEPENDENCYPART_ARC
(7,2),1.68986 # DEPENDENCYPART_ARC
(7,3),0.158283 # DEPENDENCYPART_ARC
(7,4),1.0066 # DEPENDENCYPART_ARC
(7,5),1.46799 # DEPENDENCYPART_ARC
(7,6),2.8763 # DEPENDENCYPART_ARC
(7,8),-1.07035 # DEPENDENCYPART_ARC
(8,1),-0.524848 # DEPENDENCYPART_ARC
(8,2),-0.232354 # DEPENDENCYPART_ARC
(8,3),-0.061614 # DEPENDENCYPART_ARC
(8,4),0.228155 # DEPENDENCYPART_ARC
(8,5),0.165599 # DEPENDENCYPART_ARC
(8,6),0.0507687 # DEPENDENCYPART_ARC
(8,7),0.308674 # DEPENDENCYPART_ARC
(8,9),-0.873764 # DEPENDENCYPART_ARC
(8,15),-2.26309 # DEPENDENCYPART_ARC
(8,17),-1.03452 # DEPENDENCYPART_ARC
(8,18),-1.83814 # DEPENDENCYPART_ARC
(9,2),-1.21928 # DEPENDENCYPART_ARC
(9,3),-1.04171 # DEPENDENCYPART_ARC
(9,5),-0.547684 # DEPENDENCYPART_ARC
(9,6),-0.746567 # DEPENDENCYPART_ARC
(9,7),-0.681398 # DEPENDENCYPART_ARC
(9,8),-0.413452 # DEPENDENCYPART_ARC
(9,11),-0.569482 # DEPENDENCYPART_ARC
(9,15),-1.55371 # DEPENDENCYPART_ARC
(9,16),-0.829192 # DEPENDENCYPART_ARC
(9,17),-1.17696 # DEPENDENCYPART_ARC
(9,19),-1.22699 # DEPENDENCYPART_ARC
(10,4),-0.802235 # DEPENDENCYPART_ARC
(10,7),-0.500599 # DEPENDENCYPART_ARC
(10,8),-0.526899 # DEPENDENCYPART_ARC
(10,9),0.454305 # DEPENDENCYPART_ARC
(10,15),-1.15676 # DEPENDENCYPART_ARC
(10,16),-0.70287 # DEPENDENCYPART_ARC
(10,17),-0.79854 # DEPENDENCYPART_ARC
(10,19),-0.399606 # DEPENDENCYPART_ARC
(11,1),-1.35639 # DEPENDENCYPART_ARC
(11,2),0.627263 # DEPENDENCYPART_ARC
(11,3),-0.784485 # DEPENDENCYPART_ARC
(11,4),0.38777 # DEPENDENCYPART_ARC
(11,5),0.528323 # DEPENDENCYPART_ARC
(11,6),-0.248776 # DEPENDENCYPART_ARC
(11,7),1.66034 # DEPENDENCYPART_ARC
(11,8),2.15143 # DEPENDENCYPART_ARC
(11,9),2.18249 # DEPENDENCYPART_ARC
(11,10),2.51001 # DEPENDENCYPART_ARC
(11,12),3.19009 # DEPENDENCYPART_ARC
(11,13),0.00116129 # DEPENDENCYPART_ARC
(11,14),0.123019 # DEPENDENCYPART_ARC
(11,15),2.71083 # DEPENDENCYPART_ARC
(11,16),2.18755 # DEPENDENCYPART_ARC
(11,17),1.1048 # DEPENDENCYPART_ARC
(11,18),0.145802 # DEPENDENCYPART_ARC
(11,19),2.29899 # DEPENDENCYPART_ARC
(12,3),-0.580186 # DEPENDENCYPART_ARC
(12,7),-0.477398 # DEPENDENCYPART_ARC
(12,8),-0.406023 # DEPENDENCYPART_ARC
(12,9),0.343396 # DEPENDENCYPART_ARC
(12,10),0.127548 # DEPENDENCYPART_ARC
(12,11),0.105052 # DEPENDENCYPART_ARC
(12,15),-0.160882 # DEPENDENCYPART_ARC
(12,16),-0.437367 # DEPENDENCYPART_ARC
(12,17),-0.508543 # DEPENDENCYPART_ARC
(12,19),-0.308142 # DEPENDENCYPART_ARC
(13,14),0.190177 # DEPENDENCYPART_ARC
(13,16),-0.28792 # DEPENDENCYPART_ARC
(13,18),-0.869607 # DEPENDENCYPART_ARC
(14,9),-1.17561 # DEPENDENCYPART_ARC
(14,12),-0.644085 # DEPENDENCYPART_ARC
(14,13),0.434068 # DEPENDENCYPART_ARC
(14,18),-1.85993 # DEPENDENCYPART_ARC
(15,1),-1.30442 # DEPENDENCYPART_ARC
(15,3),-0.269302 # DEPENDENCYPART_ARC
(15,4),0.0371833 # DEPENDENCYPART_ARC
(15,5),-0.127671 # DEPENDENCYPART_ARC
(15,6),-0.934139 # DEPENDENCYPART_ARC
(15,9),-0.850242 # DEPENDENCYPART_ARC
(15,10),-0.521089 # DEPENDENCYPART_ARC
(15,11),-0.412756 # DEPENDENCYPART_ARC
(15,13),2.59909 # DEPENDENCYPART_ARC
(15,14),3.53232 # DEPENDENCYPART_ARC
(15,16),-0.168643 # DEPENDENCYPART_ARC
(15,17),-0.958194 # DEPENDENCYPART_ARC
(15,18),-1.16036 # DEPENDENCYPART_ARC
(15,19),-0.421144 # DEPENDENCYPART_ARC
(17,2),-0.392444 # DEPENDENCYPART_ARC
(17,3),-0.61437 # DEPENDENCYPART_ARC
(17,4),0.528537 # DEPENDENCYPART_ARC
(17,5),-0.861197 # DEPENDENCYPART_ARC
(17,6),-0.585786 # DEPENDENCYPART_ARC
(17,7),-0.642323 # DEPENDENCYPART_ARC
(17,8),-0.518975 # DEPENDENCYPART_ARC
(17,9),-0.515712 # DEPENDENCYPART_ARC
(17,10),-0.524328 # DEPENDENCYPART_ARC
(17,11),0.945093 # DEPENDENCYPART_ARC
(17,13),-0.882596 # DEPENDENCYPART_ARC
(17,14),-0.211471 # DEPENDENCYPART_ARC
(17,15),-0.583968 # DEPENDENCYPART_ARC
(17,16),1.76039 # DEPENDENCYPART_ARC
(17,18),-0.251545 # DEPENDENCYPART_ARC
(17,19),1.76988 # DEPENDENCYPART_ARC
(18,2),-1.32082 # DEPENDENCYPART_ARC
(18,5),-0.475874 # DEPENDENCYPART_ARC
(18,6),-0.857918 # DEPENDENCYPART_ARC
(18,7),-2.48588 # DEPENDENCYPART_ARC
(18,8),-0.784641 # DEPENDENCYPART_ARC
(18,9),-0.289282 # DEPENDENCYPART_ARC
(18,10),-0.436658 # DEPENDENCYPART_ARC
(18,11),-0.841963 # DEPENDENCYPART_ARC
(18,13),-0.323594 # DEPENDENCYPART_ARC
(18,14),-0.0143158 # DEPENDENCYPART_ARC
(18,15),-0.319172 # DEPENDENCYPART_ARC
(18,16),0.850336 # DEPENDENCYPART_ARC
(18,17),1.114 # DEPENDENCYPART_ARC
(18,19),1.19473 # DEPENDENCYPART_ARC
