# _root_ A Dohány_utca_44. elé a következő rontásűző szöveget javaslom : " Hungária_fürdő , étterem , színház .
#goldHeads=2,3,8,7,7,7,8,0,8,8,8,8,8,8,8,8,
#predictedHeads=2,3,8,7,7,7,8,0,8,11,13,13,15,15,3,8,
(0,2),-2.12836 # DEPENDENCYPART_ARC
(0,3),-2.49511 # DEPENDENCYPART_ARC
(0,5),-2.31333 # DEPENDENCYPART_ARC
(0,8),-0.79345 # DEPENDENCYPART_ARC
(0,11),-3.21247 # DEPENDENCYPART_ARC
(0,13),-3.81273 # DEPENDENCYPART_ARC
(0,15),-4.27421 # DEPENDENCYPART_ARC
(1,5),-0.705113 # DEPENDENCYPART_ARC
(2,1),1.76133 # DEPENDENCYPART_ARC
(2,7),-1.01856 # DEPENDENCYPART_ARC
(2,8),-0.733776 # DEPENDENCYPART_ARC
(2,9),-0.329483 # DEPENDENCYPART_ARC
(2,10),-0.434648 # DEPENDENCYPART_ARC
(2,12),-0.638546 # DEPENDENCYPART_ARC
(2,13),-1.32965 # DEPENDENCYPART_ARC
(2,15),-1.55223 # DEPENDENCYPART_ARC
(3,1),0.525857 # DEPENDENCYPART_ARC
(3,2),1.70811 # DEPENDENCYPART_ARC
(3,5),-0.0698179 # DEPENDENCYPART_ARC
(3,6),-0.161987 # DEPENDENCYPART_ARC
(3,7),-0.347972 # DEPENDENCYPART_ARC
(3,8),-0.222152 # DEPENDENCYPART_ARC
(3,9),0.147313 # DEPENDENCYPART_ARC
(3,10),0.146853 # DEPENDENCYPART_ARC
(3,11),-0.788827 # DEPENDENCYPART_ARC
(3,12),0.265393 # DEPENDENCYPART_ARC
(3,13),-0.797632 # DEPENDENCYPART_ARC
(3,14),0.266521 # DEPENDENCYPART_ARC
(3,15),-1.0994 # DEPENDENCYPART_ARC
(3,16),0.56569 # DEPENDENCYPART_ARC
(4,5),0.154839 # DEPENDENCYPART_ARC
(4,6),-0.0839408 # DEPENDENCYPART_ARC
(5,1),-1.54623 # DEPENDENCYPART_ARC
(5,2),-0.910164 # DEPENDENCYPART_ARC
(5,3),-0.600052 # DEPENDENCYPART_ARC
(5,4),0.114762 # DEPENDENCYPART_ARC
(5,8),-1.02249 # DEPENDENCYPART_ARC
(5,9),-0.686148 # DEPENDENCYPART_ARC
(5,10),-0.756109 # DEPENDENCYPART_ARC
(5,11),-1.6926 # DEPENDENCYPART_ARC
(5,12),-0.773407 # DEPENDENCYPART_ARC
(5,13),-1.76066 # DEPENDENCYPART_ARC
(5,14),-0.838221 # DEPENDENCYPART_ARC
(5,15),-2.14552 # DEPENDENCYPART_ARC
(5,16),-0.7541 # DEPENDENCYPART_ARC
(6,1),-0.949464 # DEPENDENCYPART_ARC
(6,2),-0.194743 # DEPENDENCYPART_ARC
(6,3),0.155955 # DEPENDENCYPART_ARC
(6,4),0.0528837 # DEPENDENCYPART_ARC
(6,5),1.70106 # DEPENDENCYPART_ARC
(6,9),-0.731538 # DEPENDENCYPART_ARC
(6,10),-0.7768 # DEPENDENCYPART_ARC
(6,11),-1.71679 # DEPENDENCYPART_ARC
(6,12),-0.834549 # DEPENDENCYPART_ARC
(6,13),-1.89451 # DEPENDENCYPART_ARC
(6,14),-0.919964 # DEPENDENCYPART_ARC
(6,15),-2.37456 # DEPENDENCYPART_ARC
(6,16),-0.949928 # DEPENDENCYPART_ARC
(7,1),0.477796 # DEPENDENCYPART_ARC
(7,2),0.548482 # DEPENDENCYPART_ARC
(7,3),0.175424 # DEPENDENCYPART_ARC
(7,4),1.7042 # DEPENDENCYPART_ARC
(7,5),2.63775 # DEPENDENCYPART_ARC
(7,6),3.55321 # DEPENDENCYPART_ARC
(7,9),-0.81724 # DEPENDENCYPART_ARC
(7,10),0.0660486 # DEPENDENCYPART_ARC
(7,11),-1.60002 # DEPENDENCYPART_ARC
(7,12),-0.624995 # DEPENDENCYPART_ARC
(7,13),-2.04655 # DEPENDENCYPART_ARC
(7,14),-0.596939 # DEPENDENCYPART_ARC
(7,15),-2.41951 # DEPENDENCYPART_ARC
(7,16),-0.333357 # DEPENDENCYPART_ARC
(8,1),-0.626164 # DEPENDENCYPART_ARC
(8,2),0.93315 # DEPENDENCYPART_ARC
(8,3),2.25681 # DEPENDENCYPART_ARC
(8,4),-0.567341 # DEPENDENCYPART_ARC
(8,5),-0.191195 # DEPENDENCYPART_ARC
(8,6),0.274642 # DEPENDENCYPART_ARC
(8,7),4.04884 # DEPENDENCYPART_ARC
(8,9),1.93733 # DEPENDENCYPART_ARC
(8,10),1.23085 # DEPENDENCYPART_ARC
(8,11),-0.62135 # DEPENDENCYPART_ARC
(8,12),0.601097 # DEPENDENCYPART_ARC
(8,13),-0.577494 # DEPENDENCYPART_ARC
(8,14),0.256451 # DEPENDENCYPART_ARC
(8,15),-1.55776 # DEPENDENCYPART_ARC
(8,16),1.73876 # DEPENDENCYPART_ARC
(11,1),-1.13021 # DEPENDENCYPART_ARC
(11,3),-0.547128 # DEPENDENCYPART_ARC
(11,4),-0.247577 # DEPENDENCYPART_ARC
(11,5),-0.65534 # DEPENDENCYPART_ARC
(11,6),-0.620286 # DEPENDENCYPART_ARC
(11,7),-3.0303 # DEPENDENCYPART_ARC
(11,8),-0.0960588 # DEPENDENCYPART_ARC
(11,9),0.0395354 # DEPENDENCYPART_ARC
(11,10),1.23471 # DEPENDENCYPART_ARC
(11,12),0.235578 # DEPENDENCYPART_ARC
(11,13),-0.350967 # DEPENDENCYPART_ARC
(11,14),-0.0584036 # DEPENDENCYPART_ARC
(11,15),-0.943204 # DEPENDENCYPART_ARC
(11,16),-0.302819 # DEPENDENCYPART_ARC
(13,1),-1.03003 # DEPENDENCYPART_ARC
(13,2),-0.642739 # DEPENDENCYPART_ARC
(13,3),-0.763262 # DEPENDENCYPART_ARC
(13,4),-0.215807 # DEPENDENCYPART_ARC
(13,5),-0.199985 # DEPENDENCYPART_ARC
(13,6),-0.297439 # DEPENDENCYPART_ARC
(13,7),-3.42647 # DEPENDENCYPART_ARC
(13,8),-1.08568 # DEPENDENCYPART_ARC
(13,9),-0.293149 # DEPENDENCYPART_ARC
(13,10),0.41028 # DEPENDENCYPART_ARC
(13,11),1.79365 # DEPENDENCYPART_ARC
(13,12),0.744159 # DEPENDENCYPART_ARC
(13,14),0.316057 # DEPENDENCYPART_ARC
(13,15),-0.849404 # DEPENDENCYPART_ARC
(13,16),-0.130023 # DEPENDENCYPART_ARC
(15,1),-0.958167 # DEPENDENCYPART_ARC
(15,2),-0.369631 # DEPENDENCYPART_ARC
(15,3),-0.658181 # DEPENDENCYPART_ARC
(15,4),-0.390524 # DEPENDENCYPART_ARC
(15,5),-0.0744807 # DEPENDENCYPART_ARC
(15,6),-0.317221 # DEPENDENCYPART_ARC
(15,7),-3.29312 # DEPENDENCYPART_ARC
(15,8),-1.14684 # DEPENDENCYPART_ARC
(15,9),-0.19237 # DEPENDENCYPART_ARC
(15,10),-0.0655632 # DEPENDENCYPART_ARC
(15,11),1.27872 # DEPENDENCYPART_ARC
(15,12),0.578943 # DEPENDENCYPART_ARC
(15,13),1.16526 # DEPENDENCYPART_ARC
(15,14),0.737653 # DEPENDENCYPART_ARC
(15,16),-0.0603988 # DEPENDENCYPART_ARC
