# _root_ Nem vitás , ez a helyi fórum nem tartozott a térségi lapok élgárdájába , sőt !
#goldHeads=2,0,2,7,7,7,9,9,2,12,12,13,9,9,9,2,
#predictedHeads=2,7,2,9,7,7,9,9,0,12,12,13,9,9,9,9,
(0,1),-1.72666 # DEPENDENCYPART_ARC
(0,2),-1.89617 # DEPENDENCYPART_ARC
(0,4),-2.95082 # DEPENDENCYPART_ARC
(0,7),-3.86261 # DEPENDENCYPART_ARC
(0,8),-2.70325 # DEPENDENCYPART_ARC
(0,9),-1.16973 # DEPENDENCYPART_ARC
(0,15),-2.65175 # DEPENDENCYPART_ARC
(1,2),-0.130841 # DEPENDENCYPART_ARC
(1,3),-0.285869 # DEPENDENCYPART_ARC
(1,7),-1.21832 # DEPENDENCYPART_ARC
(1,9),-0.787853 # DEPENDENCYPART_ARC
(1,16),0.158947 # DEPENDENCYPART_ARC
(2,1),0.95559 # DEPENDENCYPART_ARC
(2,3),0.778678 # DEPENDENCYPART_ARC
(2,6),-0.665593 # DEPENDENCYPART_ARC
(2,7),-0.548628 # DEPENDENCYPART_ARC
(2,8),-0.267913 # DEPENDENCYPART_ARC
(2,9),0.207642 # DEPENDENCYPART_ARC
(2,12),-1.20985 # DEPENDENCYPART_ARC
(2,13),-1.26495 # DEPENDENCYPART_ARC
(2,14),0.226905 # DEPENDENCYPART_ARC
(2,16),0.672544 # DEPENDENCYPART_ARC
(4,2),-0.567134 # DEPENDENCYPART_ARC
(4,3),0.351075 # DEPENDENCYPART_ARC
(4,6),-0.347899 # DEPENDENCYPART_ARC
(4,7),0.0250699 # DEPENDENCYPART_ARC
(4,8),-0.139689 # DEPENDENCYPART_ARC
(4,9),0.533657 # DEPENDENCYPART_ARC
(4,11),-0.476225 # DEPENDENCYPART_ARC
(4,12),-0.142053 # DEPENDENCYPART_ARC
(4,13),-0.550945 # DEPENDENCYPART_ARC
(4,14),0.587413 # DEPENDENCYPART_ARC
(4,16),0.639455 # DEPENDENCYPART_ARC
(5,2),-1.633 # DEPENDENCYPART_ARC
(5,3),-1.19773 # DEPENDENCYPART_ARC
(5,6),0.176756 # DEPENDENCYPART_ARC
(6,1),-1.69604 # DEPENDENCYPART_ARC
(6,2),-2.0844 # DEPENDENCYPART_ARC
(6,3),-1.44445 # DEPENDENCYPART_ARC
(6,4),-1.7837 # DEPENDENCYPART_ARC
(6,5),-0.012757 # DEPENDENCYPART_ARC
(6,9),-0.985513 # DEPENDENCYPART_ARC
(6,14),-0.844127 # DEPENDENCYPART_ARC
