# _root_ Szőke leányka megkérdezi az óriást , óriás a copfos fiút , aki többnyire tudja a választ .
#goldHeads=2,3,0,5,3,3,3,10,10,7,7,14,14,7,16,14,3,
#predictedHeads=2,3,0,5,3,3,3,10,10,3,3,14,14,3,16,14,3,
(0,1),-1.96034 # DEPENDENCYPART_ARC
(0,2),-2.52128 # DEPENDENCYPART_ARC
(0,3),-0.911256 # DEPENDENCYPART_ARC
(0,5),-3.65454 # DEPENDENCYPART_ARC
(0,7),-3.51289 # DEPENDENCYPART_ARC
(0,10),-4.47396 # DEPENDENCYPART_ARC
(0,14),-2.80021 # DEPENDENCYPART_ARC
(1,3),-0.745906 # DEPENDENCYPART_ARC
(1,5),-1.78096 # DEPENDENCYPART_ARC
(1,6),-0.618916 # DEPENDENCYPART_ARC
(1,7),-1.78791 # DEPENDENCYPART_ARC
(1,10),-2.1057 # DEPENDENCYPART_ARC
(1,11),-0.547622 # DEPENDENCYPART_ARC
(1,14),-1.38155 # DEPENDENCYPART_ARC
(1,17),-0.188191 # DEPENDENCYPART_ARC
(2,1),3.32027 # DEPENDENCYPART_ARC
(2,3),-0.463566 # DEPENDENCYPART_ARC
(2,5),-1.58332 # DEPENDENCYPART_ARC
(2,6),-0.290966 # DEPENDENCYPART_ARC
(2,7),-1.24583 # DEPENDENCYPART_ARC
(2,10),-1.69338 # DEPENDENCYPART_ARC
(2,11),-0.331369 # DEPENDENCYPART_ARC
(2,14),-0.967301 # DEPENDENCYPART_ARC
(2,17),0.461225 # DEPENDENCYPART_ARC
(3,1),0.597061 # DEPENDENCYPART_ARC
(3,2),3.48399 # DEPENDENCYPART_ARC
(3,4),-0.568924 # DEPENDENCYPART_ARC
(3,5),3.18146 # DEPENDENCYPART_ARC
(3,6),1.54258 # DEPENDENCYPART_ARC
(3,7),1.19606 # DEPENDENCYPART_ARC
(3,8),-0.974162 # DEPENDENCYPART_ARC
(3,9),-1.15886 # DEPENDENCYPART_ARC
(3,10),1.88249 # DEPENDENCYPART_ARC
(3,11),1.71429 # DEPENDENCYPART_ARC
(3,12),-1.14787 # DEPENDENCYPART_ARC
(3,13),0.0301415 # DEPENDENCYPART_ARC
(3,14),0.853719 # DEPENDENCYPART_ARC
(3,16),-0.249717 # DEPENDENCYPART_ARC
(3,17),2.38991 # DEPENDENCYPART_ARC
(4,6),-0.162108 # DEPENDENCYPART_ARC
(4,7),-0.860276 # DEPENDENCYPART_ARC
(5,3),-1.20689 # DEPENDENCYPART_ARC
(5,4),2.60618 # DEPENDENCYPART_ARC
(5,6),-0.337398 # DEPENDENCYPART_ARC
(5,7),-1.46781 # DEPENDENCYPART_ARC
(5,10),-0.990347 # DEPENDENCYPART_ARC
(5,11),-0.455425 # DEPENDENCYPART_ARC
(5,14),-0.951685 # DEPENDENCYPART_ARC
(5,17),-0.157429 # DEPENDENCYPART_ARC
(7,1),-0.777856 # DEPENDENCYPART_ARC
(7,2),-2.28712 # DEPENDENCYPART_ARC
(7,3),-0.678146 # DEPENDENCYPART_ARC
(7,4),1.45034 # DEPENDENCYPART_ARC
(7,5),-1.26929 # DEPENDENCYPART_ARC
(7,6),0.715932 # DEPENDENCYPART_ARC
(7,8),-0.72117 # DEPENDENCYPART_ARC
(7,9),-0.414408 # DEPENDENCYPART_ARC
(7,10),-0.29447 # DEPENDENCYPART_ARC
(7,11),0.577188 # DEPENDENCYPART_ARC
(7,13),-0.350982 # DEPENDENCYPART_ARC
(7,14),0.00451822 # DEPENDENCYPART_ARC
(7,16),-1.74922 # DEPENDENCYPART_ARC
(7,17),0.772531 # DEPENDENCYPART_ARC
(8,9),0.231787 # DEPENDENCYPART_ARC
(8,11),-0.262717 # DEPENDENCYPART_ARC
(9,5),-1.43067 # DEPENDENCYPART_ARC
(9,6),-0.872113 # DEPENDENCYPART_ARC
(9,7),-1.99263 # DEPENDENCYPART_ARC
(9,8),0.213697 # DEPENDENCYPART_ARC
(9,11),-0.706376 # DEPENDENCYPART_ARC
(9,14),-1.25884 # DEPENDENCYPART_ARC
(9,17),-0.977779 # DEPENDENCYPART_ARC
(10,1),-1.16013 # DEPENDENCYPART_ARC
(10,2),-2.8841 # DEPENDENCYPART_ARC
(10,3),-1.58399 # DEPENDENCYPART_ARC
(10,4),0.44936 # DEPENDENCYPART_ARC
(10,5),-2.31 # DEPENDENCYPART_ARC
(10,6),-0.0757189 # DEPENDENCYPART_ARC
(10,7),-0.920679 # DEPENDENCYPART_ARC
(10,8),2.60004 # DEPENDENCYPART_ARC
(10,9),3.60038 # DEPENDENCYPART_ARC
(10,11),0.146948 # DEPENDENCYPART_ARC
(10,12),-1.33252 # DEPENDENCYPART_ARC
(10,13),-0.53839 # DEPENDENCYPART_ARC
(10,14),-0.270531 # DEPENDENCYPART_ARC
(10,16),-1.98194 # DEPENDENCYPART_ARC
(10,17),0.508253 # DEPENDENCYPART_ARC
(12,16),-0.769647 # DEPENDENCYPART_ARC
(13,3),-1.47119 # DEPENDENCYPART_ARC
(13,5),-2.1494 # DEPENDENCYPART_ARC
(13,6),-1.65756 # DEPENDENCYPART_ARC
(13,7),-1.67986 # DEPENDENCYPART_ARC
(13,10),-1.6722 # DEPENDENCYPART_ARC
(13,11),-1.43936 # DEPENDENCYPART_ARC
(13,12),-0.589072 # DEPENDENCYPART_ARC
(13,14),-0.279861 # DEPENDENCYPART_ARC
(13,16),-1.05108 # DEPENDENCYPART_ARC
(13,17),-0.405694 # DEPENDENCYPART_ARC
(14,1),-1.8529 # DEPENDENCYPART_ARC
(14,2),-0.582441 # DEPENDENCYPART_ARC
(14,3),-0.156877 # DEPENDENCYPART_ARC
(14,4),-1.81656 # DEPENDENCYPART_ARC
(14,5),-0.776908 # DEPENDENCYPART_ARC
(14,6),-0.0953152 # DEPENDENCYPART_ARC
(14,7),0.0623634 # DEPENDENCYPART_ARC
(14,8),-1.85543 # DEPENDENCYPART_ARC
(14,9),-0.943556 # DEPENDENCYPART_ARC
(14,10),-0.214317 # DEPENDENCYPART_ARC
(14,11),0.516776 # DEPENDENCYPART_ARC
(14,12),2.1282 # DEPENDENCYPART_ARC
(14,13),2.44796 # DEPENDENCYPART_ARC
(14,15),-0.558834 # DEPENDENCYPART_ARC
(14,16),3.15279 # DEPENDENCYPART_ARC
(14,17),1.91372 # DEPENDENCYPART_ARC
(16,8),-1.80799 # DEPENDENCYPART_ARC
(16,10),-4.5942 # DEPENDENCYPART_ARC
(16,12),-2.18997 # DEPENDENCYPART_ARC
(16,13),-1.19818 # DEPENDENCYPART_ARC
(16,14),-1.13384 # DEPENDENCYPART_ARC
(16,15),2.68908 # DEPENDENCYPART_ARC
(16,17),-0.840034 # DEPENDENCYPART_ARC
