# _root_ Nem véletlen , hogy a menedzserképzőn " szürke eminenciásnak " minősítettek , ami — megvallom — nem is áll messze tőlem .
#goldHeads=4,4,4,0,6,11,11,9,11,11,4,11,19,15,19,15,19,19,11,19,19,4,
#predictedHeads=4,4,9,15,6,11,11,9,11,11,0,11,15,15,11,15,19,19,15,19,19,11,
(0,1),-1.72666 # DEPENDENCYPART_ARC
(0,2),-1.8407 # DEPENDENCYPART_ARC
(0,4),-0.479347 # DEPENDENCYPART_ARC
(0,6),-3.7048 # DEPENDENCYPART_ARC
(0,9),-4.07402 # DEPENDENCYPART_ARC
(0,11),-1.20399 # DEPENDENCYPART_ARC
(0,15),-1.60459 # DEPENDENCYPART_ARC
(0,17),-2.68764 # DEPENDENCYPART_ARC
(0,19),-1.52137 # DEPENDENCYPART_ARC
(0,20),-2.85942 # DEPENDENCYPART_ARC
(0,21),-2.60552 # DEPENDENCYPART_ARC
(1,2),-0.139605 # DEPENDENCYPART_ARC
(1,3),-0.575767 # DEPENDENCYPART_ARC
(1,4),-0.443794 # DEPENDENCYPART_ARC
(1,6),-1.15429 # DEPENDENCYPART_ARC
(1,7),-0.290063 # DEPENDENCYPART_ARC
(1,9),-1.40446 # DEPENDENCYPART_ARC
(1,10),-0.348804 # DEPENDENCYPART_ARC
(1,11),-0.84527 # DEPENDENCYPART_ARC
(1,12),-0.771743 # DEPENDENCYPART_ARC
(1,15),-1.30425 # DEPENDENCYPART_ARC
(1,19),-1.77393 # DEPENDENCYPART_ARC
(1,22),0.407439 # DEPENDENCYPART_ARC
(2,1),0.747185 # DEPENDENCYPART_ARC
(2,3),0.00880664 # DEPENDENCYPART_ARC
(2,4),-0.472817 # DEPENDENCYPART_ARC
(2,6),-0.633782 # DEPENDENCYPART_ARC
(2,7),-0.173724 # DEPENDENCYPART_ARC
(2,8),-1.30493 # DEPENDENCYPART_ARC
(2,9),-1.15654 # DEPENDENCYPART_ARC
(2,10),-0.180135 # DEPENDENCYPART_ARC
(2,11),-0.462131 # DEPENDENCYPART_ARC
(2,12),-0.279897 # DEPENDENCYPART_ARC
(2,14),-0.338805 # DEPENDENCYPART_ARC
(2,15),-0.709528 # DEPENDENCYPART_ARC
(2,16),-0.536458 # DEPENDENCYPART_ARC
(2,19),-0.378204 # DEPENDENCYPART_ARC
(2,22),1.46861 # DEPENDENCYPART_ARC
(4,1),1.95036 # DEPENDENCYPART_ARC
(4,2),1.17517 # DEPENDENCYPART_ARC
(4,3),1.06667 # DEPENDENCYPART_ARC
(4,6),-0.814058 # DEPENDENCYPART_ARC
(4,7),-0.441273 # DEPENDENCYPART_ARC
(4,8),-0.470796 # DEPENDENCYPART_ARC
(4,9),-1.34534 # DEPENDENCYPART_ARC
(4,10),-0.385171 # DEPENDENCYPART_ARC
(4,11),0.309018 # DEPENDENCYPART_ARC
(4,12),0.124065 # DEPENDENCYPART_ARC
(4,14),-0.0991679 # DEPENDENCYPART_ARC
(4,15),-0.348961 # DEPENDENCYPART_ARC
(4,16),-0.438411 # DEPENDENCYPART_ARC
(4,18),-0.829109 # DEPENDENCYPART_ARC
(4,19),-0.609114 # DEPENDENCYPART_ARC
(4,20),-0.502565 # DEPENDENCYPART_ARC
(4,22),1.35089 # DEPENDENCYPART_ARC
