# _root_ Egy hétre 14 1/4 százalékon hangzottak el ajánlatok , hosszabb távra viszont drágábban , 14 1/2-3/8 százalékon lehetett pénzhez jutni .
#goldHeads=2,6,5,5,6,0,6,6,6,11,20,18,20,18,17,17,20,6,20,18,6,
#predictedHeads=2,6,5,5,6,0,6,6,6,11,20,18,20,17,17,17,20,6,20,18,6,
(0,1),-1.27809 # DEPENDENCYPART_ARC
(0,2),-2.29985 # DEPENDENCYPART_ARC
(0,3),-1.85915 # DEPENDENCYPART_ARC
(0,4),-2.11384 # DEPENDENCYPART_ARC
(0,5),-3.39085 # DEPENDENCYPART_ARC
(0,6),-1.4898 # DEPENDENCYPART_ARC
(0,7),-2.50672 # DEPENDENCYPART_ARC
(0,12),-1.79215 # DEPENDENCYPART_ARC
(0,18),-2.62006 # DEPENDENCYPART_ARC
(0,20),-3.06382 # DEPENDENCYPART_ARC
(1,3),-0.828541 # DEPENDENCYPART_ARC
(1,5),-1.49895 # DEPENDENCYPART_ARC
(1,6),-0.535361 # DEPENDENCYPART_ARC
(1,18),-0.823388 # DEPENDENCYPART_ARC
(1,20),-0.749368 # DEPENDENCYPART_ARC
(1,21),1.09906 # DEPENDENCYPART_ARC
(2,1),2.81644 # DEPENDENCYPART_ARC
(2,3),-0.689922 # DEPENDENCYPART_ARC
(2,4),-0.837754 # DEPENDENCYPART_ARC
(2,5),-0.866266 # DEPENDENCYPART_ARC
(2,6),-0.69071 # DEPENDENCYPART_ARC
(2,20),-0.946245 # DEPENDENCYPART_ARC
(2,21),0.410017 # DEPENDENCYPART_ARC
(3,1),-0.0966585 # DEPENDENCYPART_ARC
(3,2),0.234622 # DEPENDENCYPART_ARC
(3,6),-0.00164789 # DEPENDENCYPART_ARC
(3,8),-0.830193 # DEPENDENCYPART_ARC
(3,10),-0.600554 # DEPENDENCYPART_ARC
(3,13),-0.869953 # DEPENDENCYPART_ARC
(3,15),-0.816856 # DEPENDENCYPART_ARC
(3,18),-0.541504 # DEPENDENCYPART_ARC
(3,20),-0.394118 # DEPENDENCYPART_ARC
(3,21),1.03203 # DEPENDENCYPART_ARC
(4,2),-0.696476 # DEPENDENCYPART_ARC
(4,3),0.433322 # DEPENDENCYPART_ARC
(5,1),1.80654 # DEPENDENCYPART_ARC
(5,2),-0.401016 # DEPENDENCYPART_ARC
(5,3),2.58014 # DEPENDENCYPART_ARC
(5,4),3.72313 # DEPENDENCYPART_ARC
(6,1),-0.486358 # DEPENDENCYPART_ARC
(6,2),1.26734 # DEPENDENCYPART_ARC
(6,3),-0.0854066 # DEPENDENCYPART_ARC
(6,4),0.241862 # DEPENDENCYPART_ARC
(6,5),3.47962 # DEPENDENCYPART_ARC
(6,7),2.91327 # DEPENDENCYPART_ARC
(6,8),2.76131 # DEPENDENCYPART_ARC
(6,9),1.51677 # DEPENDENCYPART_ARC
(6,10),-0.30272 # DEPENDENCYPART_ARC
(6,11),1.00924 # DEPENDENCYPART_ARC
(6,12),0.666246 # DEPENDENCYPART_ARC
(6,13),0.825665 # DEPENDENCYPART_ARC
(6,14),0.558672 # DEPENDENCYPART_ARC
(6,15),-0.920559 # DEPENDENCYPART_ARC
(6,17),-0.662575 # DEPENDENCYPART_ARC
(6,18),0.883725 # DEPENDENCYPART_ARC
(6,19),-0.902822 # DEPENDENCYPART_ARC
(6,20),1.0225 # DEPENDENCYPART_ARC
(6,21),2.26376 # DEPENDENCYPART_ARC
(7,2),-0.774036 # DEPENDENCYPART_ARC
(7,5),-0.342827 # DEPENDENCYPART_ARC
(7,8),-0.86097 # DEPENDENCYPART_ARC
(7,11),-1.37972 # DEPENDENCYPART_ARC
(8,1),-1.41557 # DEPENDENCYPART_ARC
(8,3),-1.26704 # DEPENDENCYPART_ARC
(8,5),-2.09218 # DEPENDENCYPART_ARC
(8,7),0.724771 # DEPENDENCYPART_ARC
(8,9),0.275768 # DEPENDENCYPART_ARC
(8,10),-0.176633 # DEPENDENCYPART_ARC
(8,11),-1.11075 # DEPENDENCYPART_ARC
(8,12),-0.754945 # DEPENDENCYPART_ARC
(8,13),-0.42018 # DEPENDENCYPART_ARC
(8,14),-0.119137 # DEPENDENCYPART_ARC
(8,15),-1.07618 # DEPENDENCYPART_ARC
(8,16),-1.08339 # DEPENDENCYPART_ARC
(8,17),-2.01249 # DEPENDENCYPART_ARC
(8,18),-0.864987 # DEPENDENCYPART_ARC
(8,20),-0.894767 # DEPENDENCYPART_ARC
(8,21),0.420212 # DEPENDENCYPART_ARC
(10,5),-1.31135 # DEPENDENCYPART_ARC
(10,6),-1.59449 # DEPENDENCYPART_ARC
(10,8),-1.2966 # DEPENDENCYPART_ARC
(10,9),0.201264 # DEPENDENCYPART_ARC
(10,12),-1.13338 # DEPENDENCYPART_ARC
(10,17),-1.3173 # DEPENDENCYPART_ARC
(11,1),-0.757326 # DEPENDENCYPART_ARC
(11,2),-2.70174 # DEPENDENCYPART_ARC
(11,3),-0.959138 # DEPENDENCYPART_ARC
(11,6),-1.50149 # DEPENDENCYPART_ARC
(11,8),-1.57902 # DEPENDENCYPART_ARC
(11,9),0.250579 # DEPENDENCYPART_ARC
(11,10),2.97887 # DEPENDENCYPART_ARC
(11,12),-0.86924 # DEPENDENCYPART_ARC
(11,13),-0.379746 # DEPENDENCYPART_ARC
(11,16),-1.39109 # DEPENDENCYPART_ARC
(11,17),-1.94668 # DEPENDENCYPART_ARC
(12,6),0.0231545 # DEPENDENCYPART_ARC
(12,8),-0.72301 # DEPENDENCYPART_ARC
(12,9),0.0137228 # DEPENDENCYPART_ARC
(12,10),-0.264573 # DEPENDENCYPART_ARC
(12,11),-0.21161 # DEPENDENCYPART_ARC
(12,13),-0.890016 # DEPENDENCYPART_ARC
(12,14),-0.440122 # DEPENDENCYPART_ARC
(12,15),-0.915384 # DEPENDENCYPART_ARC
(12,16),-0.940196 # DEPENDENCYPART_ARC
(12,17),-0.959724 # DEPENDENCYPART_ARC
(12,18),-0.380353 # DEPENDENCYPART_ARC
(12,19),-1.20812 # DEPENDENCYPART_ARC
(12,20),-1.27782 # DEPENDENCYPART_ARC
(12,21),0.380095 # DEPENDENCYPART_ARC
(13,2),-2.33433 # DEPENDENCYPART_ARC
(13,5),-1.93586 # DEPENDENCYPART_ARC
(13,6),-1.75737 # DEPENDENCYPART_ARC
(13,8),-2.12812 # DEPENDENCYPART_ARC
(13,9),0.340866 # DEPENDENCYPART_ARC
(13,10),-0.184637 # DEPENDENCYPART_ARC
(13,11),-0.667888 # DEPENDENCYPART_ARC
(13,12),0.853232 # DEPENDENCYPART_ARC
(13,14),0.313768 # DEPENDENCYPART_ARC
(13,15),-0.301583 # DEPENDENCYPART_ARC
(13,16),-0.444564 # DEPENDENCYPART_ARC
(13,17),-0.603413 # DEPENDENCYPART_ARC
(13,18),-0.834994 # DEPENDENCYPART_ARC
(13,19),-1.28831 # DEPENDENCYPART_ARC
(13,20),-0.926434 # DEPENDENCYPART_ARC
(13,21),0.602979 # DEPENDENCYPART_ARC
(15,9),-0.533179 # DEPENDENCYPART_ARC
(15,11),-1.07067 # DEPENDENCYPART_ARC
(15,13),-0.835406 # DEPENDENCYPART_ARC
(15,14),0.153897 # DEPENDENCYPART_ARC
(15,17),-0.402545 # DEPENDENCYPART_ARC
(15,18),-0.0263758 # DEPENDENCYPART_ARC
(15,19),-0.753367 # DEPENDENCYPART_ARC
(15,20),-0.416895 # DEPENDENCYPART_ARC
(15,21),0.534772 # DEPENDENCYPART_ARC
(16,11),-1.42062 # DEPENDENCYPART_ARC
(16,14),-0.421374 # DEPENDENCYPART_ARC
(16,15),0.460847 # DEPENDENCYPART_ARC
(16,19),-1.65652 # DEPENDENCYPART_ARC
(17,1),0.323677 # DEPENDENCYPART_ARC
(17,8),-1.91362 # DEPENDENCYPART_ARC
