# _root_ Nagy rongyrázás nincs , de már érezni , hogy az emberek egyre jobban élnek .
#goldHeads=2,3,5,5,0,7,5,7,7,11,14,13,14,7,5,
#predictedHeads=2,3,5,5,0,7,3,7,7,11,14,14,14,5,5,
(0,1),-1.85306 # DEPENDENCYPART_ARC
(0,3),-0.910445 # DEPENDENCYPART_ARC
(0,5),0.504609 # DEPENDENCYPART_ARC
(0,7),-2.59978 # DEPENDENCYPART_ARC
(0,9),-1.57973 # DEPENDENCYPART_ARC
(0,12),-2.71773 # DEPENDENCYPART_ARC
(0,14),-2.40922 # DEPENDENCYPART_ARC
(1,3),-0.636663 # DEPENDENCYPART_ARC
(1,4),-0.584449 # DEPENDENCYPART_ARC
(1,5),-1.08289 # DEPENDENCYPART_ARC
(1,7),-1.33434 # DEPENDENCYPART_ARC
(1,8),-0.73492 # DEPENDENCYPART_ARC
(1,9),-0.725881 # DEPENDENCYPART_ARC
(1,11),-2.38985 # DEPENDENCYPART_ARC
(1,14),-1.62892 # DEPENDENCYPART_ARC
(1,15),-0.061147 # DEPENDENCYPART_ARC
(2,1),3.11862 # DEPENDENCYPART_ARC
(2,3),-0.714441 # DEPENDENCYPART_ARC
(2,4),-0.816247 # DEPENDENCYPART_ARC
(2,5),-1.00596 # DEPENDENCYPART_ARC
(2,7),-1.17655 # DEPENDENCYPART_ARC
(2,12),-1.21096 # DEPENDENCYPART_ARC
(2,14),-1.59219 # DEPENDENCYPART_ARC
(2,15),-0.315628 # DEPENDENCYPART_ARC
(3,1),0.882816 # DEPENDENCYPART_ARC
(3,2),3.74884 # DEPENDENCYPART_ARC
(3,4),1.57105 # DEPENDENCYPART_ARC
(3,5),0.50746 # DEPENDENCYPART_ARC
(3,6),0.0699688 # DEPENDENCYPART_ARC
(3,7),2.02631 # DEPENDENCYPART_ARC
(3,8),0.704495 # DEPENDENCYPART_ARC
(3,9),1.10416 # DEPENDENCYPART_ARC
(3,10),-1.19568 # DEPENDENCYPART_ARC
(3,11),-3.00371 # DEPENDENCYPART_ARC
(3,12),-0.703318 # DEPENDENCYPART_ARC
(3,13),-0.713356 # DEPENDENCYPART_ARC
(3,14),-0.174783 # DEPENDENCYPART_ARC
(3,15),1.57853 # DEPENDENCYPART_ARC
(5,1),-0.228253 # DEPENDENCYPART_ARC
(5,2),-0.556963 # DEPENDENCYPART_ARC
(5,3),1.81862 # DEPENDENCYPART_ARC
(5,4),2.33454 # DEPENDENCYPART_ARC
(5,6),-0.0658681 # DEPENDENCYPART_ARC
(5,7),1.47947 # DEPENDENCYPART_ARC
(5,8),0.544653 # DEPENDENCYPART_ARC
(5,9),0.717419 # DEPENDENCYPART_ARC
(5,11),-1.44399 # DEPENDENCYPART_ARC
(5,12),-0.342714 # DEPENDENCYPART_ARC
(5,13),-0.160027 # DEPENDENCYPART_ARC
(5,14),0.80212 # DEPENDENCYPART_ARC
(5,15),3.07096 # DEPENDENCYPART_ARC
(6,3),-0.389439 # DEPENDENCYPART_ARC
(6,4),-0.287008 # DEPENDENCYPART_ARC
(6,5),-0.162563 # DEPENDENCYPART_ARC
(6,8),-0.586072 # DEPENDENCYPART_ARC
(6,9),-0.275247 # DEPENDENCYPART_ARC
(6,11),-1.30539 # DEPENDENCYPART_ARC
(6,12),-0.779256 # DEPENDENCYPART_ARC
(6,13),-0.795813 # DEPENDENCYPART_ARC
(6,14),-0.81774 # DEPENDENCYPART_ARC
(6,15),-0.524097 # DEPENDENCYPART_ARC
(7,1),-0.187058 # DEPENDENCYPART_ARC
(7,2),0.528784 # DEPENDENCYPART_ARC
(7,3),-1.02287 # DEPENDENCYPART_ARC
(7,4),0.896946 # DEPENDENCYPART_ARC
(7,5),0.439675 # DEPENDENCYPART_ARC
(7,6),3.0553 # DEPENDENCYPART_ARC
(7,8),1.64419 # DEPENDENCYPART_ARC
(7,9),1.85602 # DEPENDENCYPART_ARC
(7,10),-0.114877 # DEPENDENCYPART_ARC
(7,11),-1.31605 # DEPENDENCYPART_ARC
(7,12),-0.212951 # DEPENDENCYPART_ARC
(7,13),-0.507684 # DEPENDENCYPART_ARC
(7,14),0.781331 # DEPENDENCYPART_ARC
