# _root_ Japán ízek , kevés fűszer , sok nyers hal .
#goldHeads=2,0,2,5,2,2,9,9,2,2,
#predictedHeads=2,0,2,5,2,9,9,9,5,2,
(0,1),-1.96034 # DEPENDENCYPART_ARC
(0,2),-2.67591 # DEPENDENCYPART_ARC
(0,4),-2.91168 # DEPENDENCYPART_ARC
(0,5),-3.35971 # DEPENDENCYPART_ARC
(0,7),-3.55264 # DEPENDENCYPART_ARC
(0,8),-3.36905 # DEPENDENCYPART_ARC
(0,9),-4.28158 # DEPENDENCYPART_ARC
(1,2),-0.750843 # DEPENDENCYPART_ARC
(1,3),-0.601064 # DEPENDENCYPART_ARC
(1,4),-1.01761 # DEPENDENCYPART_ARC
(1,5),-1.24345 # DEPENDENCYPART_ARC
(1,6),-0.785422 # DEPENDENCYPART_ARC
(1,7),-1.08083 # DEPENDENCYPART_ARC
(1,9),-1.80883 # DEPENDENCYPART_ARC
(1,10),-1.06228 # DEPENDENCYPART_ARC
(2,1),3.40992 # DEPENDENCYPART_ARC
(2,3),0.460943 # DEPENDENCYPART_ARC
(2,4),-0.695567 # DEPENDENCYPART_ARC
(2,5),-0.343291 # DEPENDENCYPART_ARC
(2,6),0.352883 # DEPENDENCYPART_ARC
(2,7),-0.793641 # DEPENDENCYPART_ARC
(2,8),-0.608019 # DEPENDENCYPART_ARC
(2,9),-0.878436 # DEPENDENCYPART_ARC
(2,10),0.38095 # DEPENDENCYPART_ARC
(4,2),-0.59342 # DEPENDENCYPART_ARC
(4,3),0.134926 # DEPENDENCYPART_ARC
(4,5),-0.04931 # DEPENDENCYPART_ARC
(4,6),-0.386649 # DEPENDENCYPART_ARC
(4,7),-1.17939 # DEPENDENCYPART_ARC
(4,8),-1.0728 # DEPENDENCYPART_ARC
(4,9),-1.08421 # DEPENDENCYPART_ARC
(4,10),-0.763414 # DEPENDENCYPART_ARC
(5,1),0.887883 # DEPENDENCYPART_ARC
(5,2),-1.08071 # DEPENDENCYPART_ARC
(5,3),0.286913 # DEPENDENCYPART_ARC
(5,4),2.76553 # DEPENDENCYPART_ARC
(5,6),0.266227 # DEPENDENCYPART_ARC
(5,7),-0.848349 # DEPENDENCYPART_ARC
(5,8),-0.701483 # DEPENDENCYPART_ARC
(5,9),-0.452908 # DEPENDENCYPART_ARC
(5,10),-0.110756 # DEPENDENCYPART_ARC
(7,2),-1.00437 # DEPENDENCYPART_ARC
(7,3),-0.202148 # DEPENDENCYPART_ARC
(7,4),-0.34789 # DEPENDENCYPART_ARC
(7,5),-0.447383 # DEPENDENCYPART_ARC
(7,6),0.401037 # DEPENDENCYPART_ARC
(7,8),-0.334399 # DEPENDENCYPART_ARC
(7,9),-0.23741 # DEPENDENCYPART_ARC
(7,10),-0.960907 # DEPENDENCYPART_ARC
(8,1),-1.34501 # DEPENDENCYPART_ARC
(8,2),-2.3416 # DEPENDENCYPART_ARC
(8,3),-0.589006 # DEPENDENCYPART_ARC
(8,4),-0.107097 # DEPENDENCYPART_ARC
(8,5),-1.36216 # DEPENDENCYPART_ARC
(8,6),-0.194113 # DEPENDENCYPART_ARC
(8,7),1.74348 # DEPENDENCYPART_ARC
(8,9),-0.858052 # DEPENDENCYPART_ARC
(8,10),-1.36054 # DEPENDENCYPART_ARC
(9,1),1.152 # DEPENDENCYPART_ARC
(9,2),-1.32183 # DEPENDENCYPART_ARC
(9,3),0.180645 # DEPENDENCYPART_ARC
(9,4),0.551938 # DEPENDENCYPART_ARC
(9,5),-0.095934 # DEPENDENCYPART_ARC
(9,6),0.493731 # DEPENDENCYPART_ARC
(9,7),1.91635 # DEPENDENCYPART_ARC
(9,8),3.51704 # DEPENDENCYPART_ARC
(9,10),-0.288308 # DEPENDENCYPART_ARC
