# _root_ Bár sok évvel ezelőtt , és csupán néhány éjszakát töltöttünk ott , azóta minden nagyünnepen érkeznek Mönichkirchenből az üdvözlőlapok .
#goldHeads=16,3,4,16,16,16,10,9,10,16,10,16,16,15,16,0,16,19,16,16,
#predictedHeads=16,3,4,10,6,16,10,9,10,6,10,16,16,15,16,0,16,19,16,6,
(0,1),-1.92841 # DEPENDENCYPART_ARC
(0,2),-2.06484 # DEPENDENCYPART_ARC
(0,3),-3.35782 # DEPENDENCYPART_ARC
(0,4),-3.31377 # DEPENDENCYPART_ARC
(0,6),-2.12076 # DEPENDENCYPART_ARC
(0,7),-2.75951 # DEPENDENCYPART_ARC
(0,8),-3.55438 # DEPENDENCYPART_ARC
(0,9),-3.70324 # DEPENDENCYPART_ARC
(0,10),-1.98436 # DEPENDENCYPART_ARC
(0,11),-2.90526 # DEPENDENCYPART_ARC
(0,13),-2.78877 # DEPENDENCYPART_ARC
(0,15),-2.90068 # DEPENDENCYPART_ARC
(0,16),-1.73511 # DEPENDENCYPART_ARC
(1,2),-0.213493 # DEPENDENCYPART_ARC
(1,3),-0.361825 # DEPENDENCYPART_ARC
(1,5),-0.152547 # DEPENDENCYPART_ARC
(1,6),-0.22697 # DEPENDENCYPART_ARC
(1,7),-0.702887 # DEPENDENCYPART_ARC
(1,10),-0.595117 # DEPENDENCYPART_ARC
(1,12),0.349242 # DEPENDENCYPART_ARC
(1,16),-0.905826 # DEPENDENCYPART_ARC
(1,19),-1.77902 # DEPENDENCYPART_ARC
(1,20),0.570121 # DEPENDENCYPART_ARC
(2,1),-0.103772 # DEPENDENCYPART_ARC
(2,5),-0.502086 # DEPENDENCYPART_ARC
(2,6),-0.768386 # DEPENDENCYPART_ARC
(2,20),-0.607179 # DEPENDENCYPART_ARC
(3,1),-0.0912176 # DEPENDENCYPART_ARC
(3,2),2.64311 # DEPENDENCYPART_ARC
(3,4),-0.426805 # DEPENDENCYPART_ARC
(3,5),-0.789153 # DEPENDENCYPART_ARC
(3,6),-0.931617 # DEPENDENCYPART_ARC
(3,7),-1.17334 # DEPENDENCYPART_ARC
(3,15),-1.38515 # DEPENDENCYPART_ARC
(4,2),0.739415 # DEPENDENCYPART_ARC
(4,3),3.51001 # DEPENDENCYPART_ARC
(4,5),-0.232152 # DEPENDENCYPART_ARC
(4,6),-0.700641 # DEPENDENCYPART_ARC
(4,7),-0.682541 # DEPENDENCYPART_ARC
(4,9),-1.17627 # DEPENDENCYPART_ARC
(4,10),-0.394247 # DEPENDENCYPART_ARC
(4,16),-0.626525 # DEPENDENCYPART_ARC
(6,1),0.360573 # DEPENDENCYPART_ARC
(6,2),-0.194439 # DEPENDENCYPART_ARC
(6,3),-0.231894 # DEPENDENCYPART_ARC
(6,4),-0.234746 # DEPENDENCYPART_ARC
(6,5),1.85435 # DEPENDENCYPART_ARC
(6,7),-0.162545 # DEPENDENCYPART_ARC
(6,9),-0.620129 # DEPENDENCYPART_ARC
(6,10),1.71821 # DEPENDENCYPART_ARC
(6,12),0.740422 # DEPENDENCYPART_ARC
(6,16),0.733662 # DEPENDENCYPART_ARC
(6,17),-1.6971 # DEPENDENCYPART_ARC
(6,19),-2.19812 # DEPENDENCYPART_ARC
(6,20),3.86262 # DEPENDENCYPART_ARC
(7,1),-0.319734 # DEPENDENCYPART_ARC
(7,3),-0.471012 # DEPENDENCYPART_ARC
(7,4),-0.200844 # DEPENDENCYPART_ARC
(7,5),-0.147424 # DEPENDENCYPART_ARC
(7,6),0.0614949 # DEPENDENCYPART_ARC
(7,9),-0.250962 # DEPENDENCYPART_ARC
(7,10),-0.12838 # DEPENDENCYPART_ARC
(7,12),-0.291979 # DEPENDENCYPART_ARC
(7,16),-0.719884 # DEPENDENCYPART_ARC
(7,17),-1.54871 # DEPENDENCYPART_ARC
(7,19),-1.98824 # DEPENDENCYPART_ARC
(7,20),0.166808 # DEPENDENCYPART_ARC
(8,6),0.0255689 # DEPENDENCYPART_ARC
(8,7),0.235631 # DEPENDENCYPART_ARC
(8,9),-0.69923 # DEPENDENCYPART_ARC
(8,10),-0.344109 # DEPENDENCYPART_ARC
(8,12),-0.118663 # DEPENDENCYPART_ARC
(8,16),0.225805 # DEPENDENCYPART_ARC
(8,17),-1.18298 # DEPENDENCYPART_ARC
(8,19),-0.885061 # DEPENDENCYPART_ARC
(9,1),-0.400691 # DEPENDENCYPART_ARC
(9,2),0.500431 # DEPENDENCYPART_ARC
(9,3),-2.09915 # DEPENDENCYPART_ARC
(9,4),-0.599259 # DEPENDENCYPART_ARC
(9,5),-0.105823 # DEPENDENCYPART_ARC
(9,6),0.45391 # DEPENDENCYPART_ARC
(9,7),0.51775 # DEPENDENCYPART_ARC
(9,8),3.0127 # DEPENDENCYPART_ARC
(9,11),-0.991295 # DEPENDENCYPART_ARC
(9,13),-1.02516 # DEPENDENCYPART_ARC
(9,15),-1.0668 # DEPENDENCYPART_ARC
(9,17),-2.74065 # DEPENDENCYPART_ARC
(10,1),0.673681 # DEPENDENCYPART_ARC
(10,2),-1.36623 # DEPENDENCYPART_ARC
(10,3),-1.27058 # DEPENDENCYPART_ARC
(10,4),0.83284 # DEPENDENCYPART_ARC
(10,5),0.59694 # DEPENDENCYPART_ARC
(10,6),0.290947 # DEPENDENCYPART_ARC
(10,7),1.74456 # DEPENDENCYPART_ARC
(10,8),-0.167953 # DEPENDENCYPART_ARC
(10,9),3.07234 # DEPENDENCYPART_ARC
(10,11),2.7593 # DEPENDENCYPART_ARC
(10,12),1.30871 # DEPENDENCYPART_ARC
(10,13),0.217095 # DEPENDENCYPART_ARC
(10,14),-1.13573 # DEPENDENCYPART_ARC
(10,15),0.0942771 # DEPENDENCYPART_ARC
(10,16),0.685375 # DEPENDENCYPART_ARC
(10,17),-1.03817 # DEPENDENCYPART_ARC
(10,18),-0.700876 # DEPENDENCYPART_ARC
(10,19),-0.530661 # DEPENDENCYPART_ARC
(10,20),1.59164 # DEPENDENCYPART_ARC
(11,1),-0.236883 # DEPENDENCYPART_ARC
(11,9),-0.15673 # DEPENDENCYPART_ARC
(11,10),0.0471378 # DEPENDENCYPART_ARC
(11,12),-0.228706 # DEPENDENCYPART_ARC
(11,16),-0.266743 # DEPENDENCYPART_ARC
(11,17),-1.50009 # DEPENDENCYPART_ARC
(11,19),-1.65585 # DEPENDENCYPART_ARC
(11,20),-0.0717802 # DEPENDENCYPART_ARC
(13,9),-0.640657 # DEPENDENCYPART_ARC
(13,10),0.239333 # DEPENDENCYPART_ARC
(13,11),-0.0120204 # DEPENDENCYPART_ARC
(13,12),0.114849 # DEPENDENCYPART_ARC
(13,16),0.419642 # DEPENDENCYPART_ARC
(13,17),-0.373199 # DEPENDENCYPART_ARC
(13,19),-0.822808 # DEPENDENCYPART_ARC
(13,20),0.347632 # DEPENDENCYPART_ARC
(14,12),0.0763972 # DEPENDENCYPART_ARC
(14,13),0.513392 # DEPENDENCYPART_ARC
(15,4),-0.344829 # DEPENDENCYPART_ARC
(15,5),0.189718 # DEPENDENCYPART_ARC
(15,9),-0.328799 # DEPENDENCYPART_ARC
(15,10),-0.0741824 # DEPENDENCYPART_ARC
(15,12),0.673115 # DEPENDENCYPART_ARC
(15,14),1.63245 # DEPENDENCYPART_ARC
(15,16),0.113176 # DEPENDENCYPART_ARC
(15,17),-0.0738796 # DEPENDENCYPART_ARC
(15,19),-0.493906 # DEPENDENCYPART_ARC
(15,20),-0.0664032 # DEPENDENCYPART_ARC
(16,1),0.676618 # DEPENDENCYPART_ARC
(16,2),-1.7498 # DEPENDENCYPART_ARC
(16,3),-1.91758 # DEPENDENCYPART_ARC
(16,4),0.23657 # DEPENDENCYPART_ARC
(16,5),0.810768 # DEPENDENCYPART_ARC
(16,6),0.374323 # DEPENDENCYPART_ARC
(16,7),0.791348 # DEPENDENCYPART_ARC
(16,8),-1.36019 # DEPENDENCYPART_ARC
(16,9),0.497072 # DEPENDENCYPART_ARC
(16,10),0.227075 # DEPENDENCYPART_ARC
(16,11),1.38757 # DEPENDENCYPART_ARC
(16,12),1.57499 # DEPENDENCYPART_ARC
(16,13),2.40192 # DEPENDENCYPART_ARC
(16,14),0.842049 # DEPENDENCYPART_ARC
(16,15),2.30463 # DEPENDENCYPART_ARC
(16,17),2.54331 # DEPENDENCYPART_ARC
(16,18),-0.032407 # DEPENDENCYPART_ARC
(16,19),2.21078 # DEPENDENCYPART_ARC
(16,20),2.11194 # DEPENDENCYPART_ARC
(17,15),-0.185517 # DEPENDENCYPART_ARC
(17,19),-1.18238 # DEPENDENCYPART_ARC
(17,20),-0.0359557 # DEPENDENCYPART_ARC
(19,1),-1.7871 # DEPENDENCYPART_ARC
(19,7),-1.61441 # DEPENDENCYPART_ARC
(19,8),-1.95862 # DEPENDENCYPART_ARC
(19,13),-1.4154 # DEPENDENCYPART_ARC
(19,14),-1.03742 # DEPENDENCYPART_ARC
(19,15),-0.618859 # DEPENDENCYPART_ARC
(19,17),-0.545317 # DEPENDENCYPART_ARC
(19,18),2.83948 # DEPENDENCYPART_ARC
