# _root_ A francia hadseregben ma már mindenütt szolgálnak nők , még a haditengerészetnél és a légierőnél is , csak az idegenlégióban nem .
#goldHeads=3,3,7,7,7,7,0,7,7,16,12,13,16,15,13,7,7,21,20,21,7,7,
#predictedHeads=3,3,7,7,7,7,0,7,7,7,12,13,7,15,16,7,7,21,20,21,7,7,
(0,3),-2.57716 # DEPENDENCYPART_ARC
(0,4),-2.30194 # DEPENDENCYPART_ARC
(0,5),-1.79693 # DEPENDENCYPART_ARC
(0,7),-1.24035 # DEPENDENCYPART_ARC
(0,8),-2.78497 # DEPENDENCYPART_ARC
(0,10),-2.30529 # DEPENDENCYPART_ARC
(0,13),-1.93081 # DEPENDENCYPART_ARC
(0,16),-2.79691 # DEPENDENCYPART_ARC
(0,18),-2.3705 # DEPENDENCYPART_ARC
(0,21),-2.25077 # DEPENDENCYPART_ARC
(1,2),-0.131026 # DEPENDENCYPART_ARC
(2,1),0.236705 # DEPENDENCYPART_ARC
(2,4),-1.20232 # DEPENDENCYPART_ARC
(3,1),2.5049 # DEPENDENCYPART_ARC
(3,2),3.5054 # DEPENDENCYPART_ARC
(3,4),-0.652595 # DEPENDENCYPART_ARC
(3,5),-0.774701 # DEPENDENCYPART_ARC
(3,7),-1.10207 # DEPENDENCYPART_ARC
(3,18),-0.877301 # DEPENDENCYPART_ARC
(3,22),-0.448415 # DEPENDENCYPART_ARC
(4,2),-0.705792 # DEPENDENCYPART_ARC
(4,3),-0.368922 # DEPENDENCYPART_ARC
(4,5),-0.45486 # DEPENDENCYPART_ARC
(4,7),-0.46979 # DEPENDENCYPART_ARC
(4,8),-1.06772 # DEPENDENCYPART_ARC
(4,9),-0.501674 # DEPENDENCYPART_ARC
(4,10),-0.784512 # DEPENDENCYPART_ARC
(4,13),-0.90809 # DEPENDENCYPART_ARC
(4,16),-1.69581 # DEPENDENCYPART_ARC
(4,17),-1.22586 # DEPENDENCYPART_ARC
(4,20),-2.75703 # DEPENDENCYPART_ARC
(4,22),-0.862582 # DEPENDENCYPART_ARC
(5,2),-0.809085 # DEPENDENCYPART_ARC
