# _root_ Wrighték repülésének évében Henry_Ford autógyárat alapított , ahol 1924-ig 10_millió , 1927-ig 15_millió darab készült a legendás T-modellből .
#goldHeads=2,6,6,6,6,0,6,6,6,6,6,15,14,15,6,18,18,15,6,
#predictedHeads=2,6,6,6,6,0,6,15,10,14,14,15,14,15,6,18,18,15,6,
(0,1),-2.13387 # DEPENDENCYPART_ARC
(0,2),-2.70075 # DEPENDENCYPART_ARC
(0,3),-2.84813 # DEPENDENCYPART_ARC
(0,5),-3.41284 # DEPENDENCYPART_ARC
(0,6),-0.893318 # DEPENDENCYPART_ARC
(0,8),-2.81131 # DEPENDENCYPART_ARC
(0,9),-3.66314 # DEPENDENCYPART_ARC
(0,10),-3.12377 # DEPENDENCYPART_ARC
(0,12),-3.99303 # DEPENDENCYPART_ARC
(0,15),-2.65532 # DEPENDENCYPART_ARC
(1,2),-1.3026 # DEPENDENCYPART_ARC
(1,3),-1.64379 # DEPENDENCYPART_ARC
(1,4),-1.43041 # DEPENDENCYPART_ARC
(1,5),-1.5931 # DEPENDENCYPART_ARC
(1,6),-1.17274 # DEPENDENCYPART_ARC
(1,15),-1.42473 # DEPENDENCYPART_ARC
(1,19),-0.131778 # DEPENDENCYPART_ARC
(2,1),3.97211 # DEPENDENCYPART_ARC
(2,3),-1.33302 # DEPENDENCYPART_ARC
(2,4),-0.728312 # DEPENDENCYPART_ARC
(2,6),-1.22065 # DEPENDENCYPART_ARC
(3,1),2.75929 # DEPENDENCYPART_ARC
(3,2),1.09156 # DEPENDENCYPART_ARC
(3,4),0.0145591 # DEPENDENCYPART_ARC
(3,5),-0.80472 # DEPENDENCYPART_ARC
(3,6),-0.73873 # DEPENDENCYPART_ARC
(3,7),-0.0726104 # DEPENDENCYPART_ARC
(3,10),-1.0197 # DEPENDENCYPART_ARC
(3,15),-1.19878 # DEPENDENCYPART_ARC
(3,18),-2.85177 # DEPENDENCYPART_ARC
(4,1),-0.774451 # DEPENDENCYPART_ARC
(4,2),-0.273791 # DEPENDENCYPART_ARC
(4,3),-0.229609 # DEPENDENCYPART_ARC
(4,5),-0.863943 # DEPENDENCYPART_ARC
(4,6),-0.918924 # DEPENDENCYPART_ARC
(4,15),-1.31882 # DEPENDENCYPART_ARC
(5,1),-0.492726 # DEPENDENCYPART_ARC
(5,2),-1.40528 # DEPENDENCYPART_ARC
(5,3),-1.08288 # DEPENDENCYPART_ARC
(5,4),2.49983 # DEPENDENCYPART_ARC
(5,7),-0.36197 # DEPENDENCYPART_ARC
(5,9),-1.28746 # DEPENDENCYPART_ARC
(5,10),-1.32755 # DEPENDENCYPART_ARC
(5,11),-0.241854 # DEPENDENCYPART_ARC
(5,12),-1.38511 # DEPENDENCYPART_ARC
(5,13),-1.39188 # DEPENDENCYPART_ARC
(5,14),-2.12203 # DEPENDENCYPART_ARC
(5,15),-0.93446 # DEPENDENCYPART_ARC
(5,18),-2.87072 # DEPENDENCYPART_ARC
(5,19),0.259762 # DEPENDENCYPART_ARC
(6,1),1.68861 # DEPENDENCYPART_ARC
(6,2),2.7264 # DEPENDENCYPART_ARC
(6,3),2.68092 # DEPENDENCYPART_ARC
(6,4),2.51547 # DEPENDENCYPART_ARC
(6,5),3.2984 # DEPENDENCYPART_ARC
(6,7),1.48765 # DEPENDENCYPART_ARC
(6,8),0.374903 # DEPENDENCYPART_ARC
(6,9),0.484224 # DEPENDENCYPART_ARC
(6,10),-0.517427 # DEPENDENCYPART_ARC
(6,11),0.632334 # DEPENDENCYPART_ARC
(6,12),-0.190388 # DEPENDENCYPART_ARC
(6,13),-1.36539 # DEPENDENCYPART_ARC
(6,14),-2.25225 # DEPENDENCYPART_ARC
(6,15),0.702769 # DEPENDENCYPART_ARC
(6,17),-1.79185 # DEPENDENCYPART_ARC
(6,18),-1.68696 # DEPENDENCYPART_ARC
(6,19),2.24955 # DEPENDENCYPART_ARC
(8,2),-0.91694 # DEPENDENCYPART_ARC
(8,3),-0.851506 # DEPENDENCYPART_ARC
(8,5),-0.63756 # DEPENDENCYPART_ARC
(8,7),0.102442 # DEPENDENCYPART_ARC
(8,11),0.323829 # DEPENDENCYPART_ARC
(8,14),-0.705368 # DEPENDENCYPART_ARC
(8,15),-0.331918 # DEPENDENCYPART_ARC
(8,18),-1.0385 # DEPENDENCYPART_ARC
(8,19),0.340777 # DEPENDENCYPART_ARC
(9,3),-1.52258 # DEPENDENCYPART_ARC
(9,4),-1.01494 # DEPENDENCYPART_ARC
(9,5),-1.49618 # DEPENDENCYPART_ARC
(9,6),-1.0408 # DEPENDENCYPART_ARC
(9,7),-0.925695 # DEPENDENCYPART_ARC
(9,8),0.0819237 # DEPENDENCYPART_ARC
(9,10),-0.805527 # DEPENDENCYPART_ARC
(9,11),-0.0898528 # DEPENDENCYPART_ARC
(9,12),-1.11143 # DEPENDENCYPART_ARC
(9,13),-1.15741 # DEPENDENCYPART_ARC
(9,14),-1.02735 # DEPENDENCYPART_ARC
(9,15),-0.116607 # DEPENDENCYPART_ARC
(9,18),-1.40826 # DEPENDENCYPART_ARC
(9,19),0.386171 # DEPENDENCYPART_ARC
(10,1),-0.0633535 # DEPENDENCYPART_ARC
(10,4),-0.00137154 # DEPENDENCYPART_ARC
(10,5),-0.987801 # DEPENDENCYPART_ARC
(10,6),0.175882 # DEPENDENCYPART_ARC
(10,7),0.561457 # DEPENDENCYPART_ARC
(10,8),0.644405 # DEPENDENCYPART_ARC
(10,9),0.99473 # DEPENDENCYPART_ARC
(10,11),0.359447 # DEPENDENCYPART_ARC
(10,12),-0.631591 # DEPENDENCYPART_ARC
(10,13),-0.644422 # DEPENDENCYPART_ARC
(10,14),-0.567599 # DEPENDENCYPART_ARC
(10,15),0.30446 # DEPENDENCYPART_ARC
(10,17),-0.74887 # DEPENDENCYPART_ARC
(10,18),-1.11388 # DEPENDENCYPART_ARC
(10,19),1.27267 # DEPENDENCYPART_ARC
(12,1),-0.78545 # DEPENDENCYPART_ARC
(12,4),-0.587297 # DEPENDENCYPART_ARC
(12,7),-0.198674 # DEPENDENCYPART_ARC
(12,8),-0.211233 # DEPENDENCYPART_ARC
(12,9),-0.295426 # DEPENDENCYPART_ARC
(12,10),0.264396 # DEPENDENCYPART_ARC
(12,11),0.326234 # DEPENDENCYPART_ARC
(12,13),-0.39841 # DEPENDENCYPART_ARC
(12,14),0.056176 # DEPENDENCYPART_ARC
(12,15),0.179135 # DEPENDENCYPART_ARC
(12,17),-0.636655 # DEPENDENCYPART_ARC
(12,18),-0.888278 # DEPENDENCYPART_ARC
(12,19),0.412153 # DEPENDENCYPART_ARC
(13,7),-0.137478 # DEPENDENCYPART_ARC
(13,8),-0.491191 # DEPENDENCYPART_ARC
(13,9),-0.980673 # DEPENDENCYPART_ARC
(13,10),-0.543954 # DEPENDENCYPART_ARC
(13,11),-0.541891 # DEPENDENCYPART_ARC
(13,12),-0.0846705 # DEPENDENCYPART_ARC
(13,18),-1.70331 # DEPENDENCYPART_ARC
(13,19),-0.452064 # DEPENDENCYPART_ARC
(14,1),-2.13695 # DEPENDENCYPART_ARC
(14,2),-3.20197 # DEPENDENCYPART_ARC
(14,3),-4.1163 # DEPENDENCYPART_ARC
(14,4),-1.1599 # DEPENDENCYPART_ARC
(14,6),-0.744882 # DEPENDENCYPART_ARC
(14,7),-0.475081 # DEPENDENCYPART_ARC
(14,8),0.0801976 # DEPENDENCYPART_ARC
(14,9),-0.444513 # DEPENDENCYPART_ARC
(14,10),0.764858 # DEPENDENCYPART_ARC
(14,11),0.672714 # DEPENDENCYPART_ARC
(14,12),0.492915 # DEPENDENCYPART_ARC
(14,13),3.13247 # DEPENDENCYPART_ARC
(14,18),-1.95686 # DEPENDENCYPART_ARC
(15,1),-0.372337 # DEPENDENCYPART_ARC
(15,2),0.335089 # DEPENDENCYPART_ARC
(15,3),-0.00904713 # DEPENDENCYPART_ARC
(15,4),-0.200317 # DEPENDENCYPART_ARC
(15,5),-0.0284948 # DEPENDENCYPART_ARC
(15,6),-0.536372 # DEPENDENCYPART_ARC
(15,7),0.338109 # DEPENDENCYPART_ARC
(15,8),1.31024 # DEPENDENCYPART_ARC
(15,9),0.889921 # DEPENDENCYPART_ARC
(15,10),-0.46153 # DEPENDENCYPART_ARC
(15,11),0.555818 # DEPENDENCYPART_ARC
(15,12),1.73277 # DEPENDENCYPART_ARC
(15,13),0.481215 # DEPENDENCYPART_ARC
(15,14),3.12602 # DEPENDENCYPART_ARC
(15,16),-0.669751 # DEPENDENCYPART_ARC
(15,17),-0.103682 # DEPENDENCYPART_ARC
(15,18),1.95121 # DEPENDENCYPART_ARC
(15,19),1.26167 # DEPENDENCYPART_ARC
(16,17),0.167486 # DEPENDENCYPART_ARC
(17,9),-1.8154 # DEPENDENCYPART_ARC
(17,12),-1.58409 # DEPENDENCYPART_ARC
