# _root_ Ugyanakkor mindkét szakember csak akkor tulajdonítana jelentőséget az eltérésnek , ha hónapokon át , tendenciaszerűen jelentkezne .
#goldHeads=6,3,6,6,6,0,6,9,6,6,6,13,16,16,16,6,6,
#predictedHeads=6,3,6,6,6,0,6,9,6,6,6,13,16,16,16,6,6,
(0,1),-1.83785 # DEPENDENCYPART_ARC
(0,2),-1.97994 # DEPENDENCYPART_ARC
(0,3),-2.93538 # DEPENDENCYPART_ARC
(0,4),-2.22426 # DEPENDENCYPART_ARC
(0,5),-2.10284 # DEPENDENCYPART_ARC
(0,6),-1.38518 # DEPENDENCYPART_ARC
(0,7),-3.19723 # DEPENDENCYPART_ARC
(0,11),-1.3086 # DEPENDENCYPART_ARC
(0,15),-3.0152 # DEPENDENCYPART_ARC
(0,16),-1.88954 # DEPENDENCYPART_ARC
(1,3),0.105025 # DEPENDENCYPART_ARC
(1,6),-0.251428 # DEPENDENCYPART_ARC
(1,7),-0.882038 # DEPENDENCYPART_ARC
(1,9),-0.874177 # DEPENDENCYPART_ARC
(1,10),-0.119437 # DEPENDENCYPART_ARC
(1,16),-1.01455 # DEPENDENCYPART_ARC
(1,17),0.0979599 # DEPENDENCYPART_ARC
(2,1),0.0851109 # DEPENDENCYPART_ARC
(2,6),-0.909845 # DEPENDENCYPART_ARC
(2,15),-1.5759 # DEPENDENCYPART_ARC
(2,16),-1.71768 # DEPENDENCYPART_ARC
(2,17),-0.358534 # DEPENDENCYPART_ARC
(3,1),0.897757 # DEPENDENCYPART_ARC
(3,2),2.94045 # DEPENDENCYPART_ARC
(3,4),-0.583922 # DEPENDENCYPART_ARC
(3,5),-0.703791 # DEPENDENCYPART_ARC
(3,6),-0.529204 # DEPENDENCYPART_ARC
(3,13),-0.747951 # DEPENDENCYPART_ARC
(4,1),-0.037317 # DEPENDENCYPART_ARC
(4,2),-0.468659 # DEPENDENCYPART_ARC
(4,3),0.156763 # DEPENDENCYPART_ARC
(4,6),0.057357 # DEPENDENCYPART_ARC
(4,7),-0.448195 # DEPENDENCYPART_ARC
(4,9),-0.524445 # DEPENDENCYPART_ARC
(4,11),-0.731325 # DEPENDENCYPART_ARC
(4,13),-0.364555 # DEPENDENCYPART_ARC
(4,14),-0.468959 # DEPENDENCYPART_ARC
(4,16),-0.796318 # DEPENDENCYPART_ARC
(4,17),0.0298979 # DEPENDENCYPART_ARC
(5,3),-0.322248 # DEPENDENCYPART_ARC
(5,4),0.743738 # DEPENDENCYPART_ARC
(5,6),0.390141 # DEPENDENCYPART_ARC
(5,7),-0.258293 # DEPENDENCYPART_ARC
(5,9),-0.604788 # DEPENDENCYPART_ARC
(5,10),-0.0748089 # DEPENDENCYPART_ARC
(5,13),-0.311314 # DEPENDENCYPART_ARC
(5,14),-0.165287 # DEPENDENCYPART_ARC
(5,16),-0.715148 # DEPENDENCYPART_ARC
(5,17),0.556536 # DEPENDENCYPART_ARC
(6,1),1.40624 # DEPENDENCYPART_ARC
(6,2),-0.0668948 # DEPENDENCYPART_ARC
(6,3),1.78979 # DEPENDENCYPART_ARC
(6,4),2.10299 # DEPENDENCYPART_ARC
(6,5),2.6863 # DEPENDENCYPART_ARC
(6,7),2.93187 # DEPENDENCYPART_ARC
(6,8),-0.202988 # DEPENDENCYPART_ARC
(6,9),2.09037 # DEPENDENCYPART_ARC
(6,10),1.90587 # DEPENDENCYPART_ARC
(6,11),2.57527 # DEPENDENCYPART_ARC
(6,12),-0.561508 # DEPENDENCYPART_ARC
(6,13),1.29757 # DEPENDENCYPART_ARC
(6,14),1.05587 # DEPENDENCYPART_ARC
(6,15),0.457025 # DEPENDENCYPART_ARC
(6,16),1.66477 # DEPENDENCYPART_ARC
(6,17),2.34781 # DEPENDENCYPART_ARC
(7,1),-1.08598 # DEPENDENCYPART_ARC
(7,2),-0.780988 # DEPENDENCYPART_ARC
(7,3),-2.62406 # DEPENDENCYPART_ARC
(7,4),-0.890665 # DEPENDENCYPART_ARC
(7,5),-0.40273 # DEPENDENCYPART_ARC
(7,6),-0.889177 # DEPENDENCYPART_ARC
(7,8),-0.819378 # DEPENDENCYPART_ARC
(7,9),-0.928089 # DEPENDENCYPART_ARC
(7,10),-0.0299518 # DEPENDENCYPART_ARC
(7,12),-1.5562 # DEPENDENCYPART_ARC
(7,13),-0.380016 # DEPENDENCYPART_ARC
(7,14),-0.184684 # DEPENDENCYPART_ARC
(7,15),-1.01376 # DEPENDENCYPART_ARC
(7,16),-0.835466 # DEPENDENCYPART_ARC
