# _root_ Ígéretei a lakásépítés , az egészségügy , az energetika és az infrastruktúra átalakítására és belendítésére eddig nem váltak be .
#goldHeads=18,3,13,13,6,13,13,9,13,13,12,13,15,15,18,18,18,0,18,18,
#predictedHeads=18,3,18,18,6,18,18,9,13,18,12,13,18,18,18,18,18,0,18,18,
(0,1),-2.96267 # DEPENDENCYPART_ARC
(0,3),-3.52535 # DEPENDENCYPART_ARC
(0,10),-3.13446 # DEPENDENCYPART_ARC
(0,14),-3.49882 # DEPENDENCYPART_ARC
(0,16),-3.60987 # DEPENDENCYPART_ARC
(0,17),-2.7029 # DEPENDENCYPART_ARC
(0,18),-2.75492 # DEPENDENCYPART_ARC
(0,19),-3.66908 # DEPENDENCYPART_ARC
(1,2),-1.16429 # DEPENDENCYPART_ARC
(1,3),-0.39983 # DEPENDENCYPART_ARC
(1,4),0.0875688 # DEPENDENCYPART_ARC
(1,6),-0.776683 # DEPENDENCYPART_ARC
(1,7),-0.0632381 # DEPENDENCYPART_ARC
(1,9),-1.21257 # DEPENDENCYPART_ARC
(1,10),-0.461145 # DEPENDENCYPART_ARC
(1,12),-1.68986 # DEPENDENCYPART_ARC
(1,13),-2.41537 # DEPENDENCYPART_ARC
(1,14),-0.591449 # DEPENDENCYPART_ARC
(1,15),-2.6842 # DEPENDENCYPART_ARC
(1,18),-1.14621 # DEPENDENCYPART_ARC
(1,20),0.00837766 # DEPENDENCYPART_ARC
(3,1),-2.31212 # DEPENDENCYPART_ARC
(3,2),2.79097 # DEPENDENCYPART_ARC
(3,4),0.154265 # DEPENDENCYPART_ARC
(3,6),-0.541199 # DEPENDENCYPART_ARC
(3,7),0.0144051 # DEPENDENCYPART_ARC
(3,14),-0.735253 # DEPENDENCYPART_ARC
(3,18),-1.37395 # DEPENDENCYPART_ARC
(3,20),-0.300604 # DEPENDENCYPART_ARC
(5,4),-0.587864 # DEPENDENCYPART_ARC
(6,1),-3.72964 # DEPENDENCYPART_ARC
(6,2),0.192022 # DEPENDENCYPART_ARC
(6,3),-1.37626 # DEPENDENCYPART_ARC
(6,4),-0.731098 # DEPENDENCYPART_ARC
(6,5),2.72994 # DEPENDENCYPART_ARC
(6,7),0.132417 # DEPENDENCYPART_ARC
(6,9),-0.803612 # DEPENDENCYPART_ARC
(6,13),-1.79016 # DEPENDENCYPART_ARC
(6,18),-1.4275 # DEPENDENCYPART_ARC
(6,20),-0.537138 # DEPENDENCYPART_ARC
(8,7),-0.578663 # DEPENDENCYPART_ARC
(8,10),-0.362025 # DEPENDENCYPART_ARC
(8,12),-1.00519 # DEPENDENCYPART_ARC
(8,13),-1.39163 # DEPENDENCYPART_ARC
(9,1),-4.58806 # DEPENDENCYPART_ARC
(9,2),-0.936981 # DEPENDENCYPART_ARC
(9,3),-2.52111 # DEPENDENCYPART_ARC
(9,5),0.19983 # DEPENDENCYPART_ARC
(9,6),-1.58657 # DEPENDENCYPART_ARC
(9,8),2.74263 # DEPENDENCYPART_ARC
(10,1),-0.545328 # DEPENDENCYPART_ARC
(10,3),-0.323554 # DEPENDENCYPART_ARC
(10,4),0.236946 # DEPENDENCYPART_ARC
(10,5),-0.874318 # DEPENDENCYPART_ARC
(10,6),-0.165235 # DEPENDENCYPART_ARC
(10,7),0.615262 # DEPENDENCYPART_ARC
(10,8),-0.353063 # DEPENDENCYPART_ARC
(10,9),0.40854 # DEPENDENCYPART_ARC
(10,11),-0.442546 # DEPENDENCYPART_ARC
(10,12),0.787745 # DEPENDENCYPART_ARC
(10,13),-0.568336 # DEPENDENCYPART_ARC
(10,14),-0.40276 # DEPENDENCYPART_ARC
(10,15),-1.28823 # DEPENDENCYPART_ARC
(10,17),-0.407272 # DEPENDENCYPART_ARC
(10,18),0.157119 # DEPENDENCYPART_ARC
(10,20),1.18616 # DEPENDENCYPART_ARC
(11,10),-0.357677 # DEPENDENCYPART_ARC
(11,15),-1.41962 # DEPENDENCYPART_ARC
(12,5),-1.04718 # DEPENDENCYPART_ARC
(12,8),-0.156243 # DEPENDENCYPART_ARC
(12,9),-1.15667 # DEPENDENCYPART_ARC
(12,10),-0.247692 # DEPENDENCYPART_ARC
(12,11),2.74022 # DEPENDENCYPART_ARC
(12,15),-1.9451 # DEPENDENCYPART_ARC
(13,1),-3.11154 # DEPENDENCYPART_ARC
(13,3),-1.06079 # DEPENDENCYPART_ARC
(13,4),-0.586873 # DEPENDENCYPART_ARC
(13,6),-0.576249 # DEPENDENCYPART_ARC
(13,7),-0.201799 # DEPENDENCYPART_ARC
