# _root_ Olyanok is egyszerűen együtt élnek csak , akiknek semmi kifogásuk sincs sem az egyházi , sem a világi esküvő ellen — írja Trost .
#goldHeads=5,5,5,5,22,5,5,11,10,11,1,11,11,13,11,11,19,19,20,11,22,0,22,22,
#predictedHeads=5,5,5,5,22,5,5,11,10,11,22,11,19,13,22,22,19,19,20,22,22,0,22,22,
(0,1),-2.79324 # DEPENDENCYPART_ARC
(0,2),-2.06825 # DEPENDENCYPART_ARC
(0,3),-1.99833 # DEPENDENCYPART_ARC
(0,4),-2.17893 # DEPENDENCYPART_ARC
(0,5),-0.98605 # DEPENDENCYPART_ARC
(0,6),-2.11884 # DEPENDENCYPART_ARC
(0,11),-2.10896 # DEPENDENCYPART_ARC
(0,12),-1.75526 # DEPENDENCYPART_ARC
(0,16),-1.57677 # DEPENDENCYPART_ARC
(0,22),-0.334727 # DEPENDENCYPART_ARC
(1,2),-0.823827 # DEPENDENCYPART_ARC
(1,3),-0.703005 # DEPENDENCYPART_ARC
(1,4),-0.363154 # DEPENDENCYPART_ARC
(1,5),0.317061 # DEPENDENCYPART_ARC
(1,6),-0.459081 # DEPENDENCYPART_ARC
(1,7),0.160815 # DEPENDENCYPART_ARC
(1,8),-0.670001 # DEPENDENCYPART_ARC
(1,9),-0.800306 # DEPENDENCYPART_ARC
(1,10),-0.784263 # DEPENDENCYPART_ARC
(1,11),1.09293 # DEPENDENCYPART_ARC
(1,12),-0.03604 # DEPENDENCYPART_ARC
(1,14),-0.746402 # DEPENDENCYPART_ARC
(1,15),0.2047 # DEPENDENCYPART_ARC
(1,16),0.0254586 # DEPENDENCYPART_ARC
(1,18),-0.636694 # DEPENDENCYPART_ARC
(1,19),-0.546945 # DEPENDENCYPART_ARC
(1,20),-0.327707 # DEPENDENCYPART_ARC
(1,21),-0.287224 # DEPENDENCYPART_ARC
(1,22),-0.442463 # DEPENDENCYPART_ARC
(1,23),-1.23456 # DEPENDENCYPART_ARC
(1,24),0.268175 # DEPENDENCYPART_ARC
(2,1),-0.15889 # DEPENDENCYPART_ARC
(2,3),-0.582954 # DEPENDENCYPART_ARC
(2,4),-0.565893 # DEPENDENCYPART_ARC
(2,5),0.111253 # DEPENDENCYPART_ARC
(2,6),-0.63363 # DEPENDENCYPART_ARC
(2,7),0.516842 # DEPENDENCYPART_ARC
(2,11),-0.330478 # DEPENDENCYPART_ARC
(2,16),-0.50546 # DEPENDENCYPART_ARC
(2,20),-1.15123 # DEPENDENCYPART_ARC
(2,21),-0.443983 # DEPENDENCYPART_ARC
(2,22),-1.36633 # DEPENDENCYPART_ARC
(2,24),0.733648 # DEPENDENCYPART_ARC
(3,1),-0.764524 # DEPENDENCYPART_ARC
(3,2),0.697482 # DEPENDENCYPART_ARC
(3,4),-0.082648 # DEPENDENCYPART_ARC
(3,5),-0.532495 # DEPENDENCYPART_ARC
(3,9),-0.900125 # DEPENDENCYPART_ARC
(3,10),-0.9911 # DEPENDENCYPART_ARC
(3,11),-1.02676 # DEPENDENCYPART_ARC
(3,22),-1.23788 # DEPENDENCYPART_ARC
(3,24),1.35003 # DEPENDENCYPART_ARC
(4,2),-0.700395 # DEPENDENCYPART_ARC
(4,3),0.165245 # DEPENDENCYPART_ARC
(4,6),-0.547244 # DEPENDENCYPART_ARC
(4,22),-0.897212 # DEPENDENCYPART_ARC
(4,24),0.527525 # DEPENDENCYPART_ARC
(5,1),1.59945 # DEPENDENCYPART_ARC
(5,2),2.53234 # DEPENDENCYPART_ARC
(5,3),2.38072 # DEPENDENCYPART_ARC
(5,4),3.02551 # DEPENDENCYPART_ARC
(5,6),2.85799 # DEPENDENCYPART_ARC
(5,7),1.80075 # DEPENDENCYPART_ARC
(5,8),-0.129991 # DEPENDENCYPART_ARC
(5,9),-0.555253 # DEPENDENCYPART_ARC
(5,10),-0.825427 # DEPENDENCYPART_ARC
(5,11),0.834866 # DEPENDENCYPART_ARC
(5,12),0.650986 # DEPENDENCYPART_ARC
(5,13),-1.05599 # DEPENDENCYPART_ARC
(5,14),-0.94716 # DEPENDENCYPART_ARC
(5,15),0.606281 # DEPENDENCYPART_ARC
(5,16),0.0156025 # DEPENDENCYPART_ARC
(5,18),-1.89894 # DEPENDENCYPART_ARC
(5,20),-0.0549057 # DEPENDENCYPART_ARC
(5,21),-0.303292 # DEPENDENCYPART_ARC
(5,22),-0.331558 # DEPENDENCYPART_ARC
(5,23),-2.51196 # DEPENDENCYPART_ARC
(5,24),2.44923 # DEPENDENCYPART_ARC
(6,3),-0.649857 # DEPENDENCYPART_ARC
(6,4),-0.210453 # DEPENDENCYPART_ARC
(6,5),-0.223677 # DEPENDENCYPART_ARC
(6,7),-0.554579 # DEPENDENCYPART_ARC
(6,10),-1.25198 # DEPENDENCYPART_ARC
(6,11),-0.363458 # DEPENDENCYPART_ARC
(6,20),-1.01912 # DEPENDENCYPART_ARC
(6,22),-1.02415 # DEPENDENCYPART_ARC
(6,24),0.028307 # DEPENDENCYPART_ARC
(8,10),-0.698547 # DEPENDENCYPART_ARC
(8,12),-0.292561 # DEPENDENCYPART_ARC
(8,14),-0.32683 # DEPENDENCYPART_ARC
(8,19),-0.740854 # DEPENDENCYPART_ARC
(10,1),-2.66789 # DEPENDENCYPART_ARC
(10,5),-2.54954 # DEPENDENCYPART_ARC
(10,6),-0.775402 # DEPENDENCYPART_ARC
(10,7),-0.64655 # DEPENDENCYPART_ARC
(10,8),-1.99129 # DEPENDENCYPART_ARC
(10,9),2.74198 # DEPENDENCYPART_ARC
(10,20),-0.925798 # DEPENDENCYPART_ARC
(11,1),-1.3373 # DEPENDENCYPART_ARC
(11,2),-0.004139 # DEPENDENCYPART_ARC
(11,3),0.110943 # DEPENDENCYPART_ARC
(11,4),-0.11767 # DEPENDENCYPART_ARC
(11,5),-0.738965 # DEPENDENCYPART_ARC
(11,6),0.273056 # DEPENDENCYPART_ARC
(11,7),0.412743 # DEPENDENCYPART_ARC
(11,8),2.03206 # DEPENDENCYPART_ARC
(11,9),0.958226 # DEPENDENCYPART_ARC
(11,10),2.853 # DEPENDENCYPART_ARC
(11,12),2.58222 # DEPENDENCYPART_ARC
(11,13),-0.236659 # DEPENDENCYPART_ARC
(11,14),0.137662 # DEPENDENCYPART_ARC
(11,15),1.22339 # DEPENDENCYPART_ARC
(11,16),1.06004 # DEPENDENCYPART_ARC
(11,17),-0.602831 # DEPENDENCYPART_ARC
(11,18),-0.90347 # DEPENDENCYPART_ARC
(11,19),-0.377412 # DEPENDENCYPART_ARC
(11,20),1.38079 # DEPENDENCYPART_ARC
(11,21),0.0937018 # DEPENDENCYPART_ARC
(11,22),0.027523 # DEPENDENCYPART_ARC
(11,23),-0.866023 # DEPENDENCYPART_ARC
(11,24),1.53527 # DEPENDENCYPART_ARC
(12,1),-2.2518 # DEPENDENCYPART_ARC
(12,2),-0.88453 # DEPENDENCYPART_ARC
(12,3),-1.47414 # DEPENDENCYPART_ARC
(12,4),-1.572 # DEPENDENCYPART_ARC
(12,5),-0.905207 # DEPENDENCYPART_ARC
(12,6),-1.14952 # DEPENDENCYPART_ARC
(12,7),-0.847097 # DEPENDENCYPART_ARC
(12,8),-1.91561 # DEPENDENCYPART_ARC
(12,9),-1.75746 # DEPENDENCYPART_ARC
(12,10),-1.79936 # DEPENDENCYPART_ARC
(12,11),0.682099 # DEPENDENCYPART_ARC
(12,13),-0.615425 # DEPENDENCYPART_ARC
(12,14),-0.0776382 # DEPENDENCYPART_ARC
(12,15),0.0902551 # DEPENDENCYPART_ARC
(12,16),-0.0203739 # DEPENDENCYPART_ARC
(12,18),-0.633507 # DEPENDENCYPART_ARC
(12,19),-0.496478 # DEPENDENCYPART_ARC
(12,20),-0.53208 # DEPENDENCYPART_ARC
(12,21),0.162598 # DEPENDENCYPART_ARC
(12,22),-0.0635607 # DEPENDENCYPART_ARC
(12,23),-0.972532 # DEPENDENCYPART_ARC
(12,24),1.31899 # DEPENDENCYPART_ARC
(13,12),-0.0437708 # DEPENDENCYPART_ARC
(13,14),0.589386 # DEPENDENCYPART_ARC
(13,15),0.236641 # DEPENDENCYPART_ARC
(13,18),-0.109491 # DEPENDENCYPART_ARC
(14,1),-3.32216 # DEPENDENCYPART_ARC
(14,8),-3.03501 # DEPENDENCYPART_ARC
(14,11),-1.71665 # DEPENDENCYPART_ARC
(14,12),-0.705926 # DEPENDENCYPART_ARC
(14,13),0.134344 # DEPENDENCYPART_ARC
(14,15),-0.388894 # DEPENDENCYPART_ARC
(16,1),-1.49774 # DEPENDENCYPART_ARC
(16,2),-0.185941 # DEPENDENCYPART_ARC
(16,3),-0.787714 # DEPENDENCYPART_ARC
(16,4),-0.698687 # DEPENDENCYPART_ARC
(16,5),0.00898127 # DEPENDENCYPART_ARC
(16,6),-0.252432 # DEPENDENCYPART_ARC
(16,7),-0.147589 # DEPENDENCYPART_ARC
(16,10),-1.47587 # DEPENDENCYPART_ARC
(16,11),0.649887 # DEPENDENCYPART_ARC
(16,12),0.0812748 # DEPENDENCYPART_ARC
(16,13),-0.534805 # DEPENDENCYPART_ARC
(16,14),-0.453339 # DEPENDENCYPART_ARC
(16,15),1.06311 # DEPENDENCYPART_ARC
(16,17),-0.615746 # DEPENDENCYPART_ARC
(16,18),-0.0208016 # DEPENDENCYPART_ARC
(16,19),-0.19953 # DEPENDENCYPART_ARC
(16,20),0.00082517 # DEPENDENCYPART_ARC
(16,21),0.534297 # DEPENDENCYPART_ARC
(16,22),0.963375 # DEPENDENCYPART_ARC
(16,23),-0.744079 # DEPENDENCYPART_ARC
(16,24),2.28052 # DEPENDENCYPART_ARC
(17,16),-0.0821195 # DEPENDENCYPART_ARC
(17,18),0.352905 # DEPENDENCYPART_ARC
(18,8),-3.3184 # DEPENDENCYPART_ARC
(18,13),-1.19235 # DEPENDENCYPART_ARC
(18,17),0.633157 # DEPENDENCYPART_ARC
(19,9),-1.14076 # DEPENDENCYPART_ARC
(19,13),0.30676 # DEPENDENCYPART_ARC
(19,14),0.514342 # DEPENDENCYPART_ARC
(19,15),0.675228 # DEPENDENCYPART_ARC
(19,16),-0.182642 # DEPENDENCYPART_ARC
(19,17),2.57932 # DEPENDENCYPART_ARC
(19,18),3.51631 # DEPENDENCYPART_ARC
(19,21),-0.609228 # DEPENDENCYPART_ARC
(20,2),-1.77281 # DEPENDENCYPART_ARC
(20,7),-0.650687 # DEPENDENCYPART_ARC
(20,10),-0.337106 # DEPENDENCYPART_ARC
(20,12),0.442334 # DEPENDENCYPART_ARC
(20,14),0.000900984 # DEPENDENCYPART_ARC
(20,15),0.40906 # DEPENDENCYPART_ARC
(20,16),1.00341 # DEPENDENCYPART_ARC
(20,17),0.245997 # DEPENDENCYPART_ARC
(20,18),0.814997 # DEPENDENCYPART_ARC
(20,19),3.99663 # DEPENDENCYPART_ARC
(20,21),-0.102156 # DEPENDENCYPART_ARC
(20,23),-1.14632 # DEPENDENCYPART_ARC
(22,1),-1.92737 # DEPENDENCYPART_ARC
(22,2),-1.50059 # DEPENDENCYPART_ARC
