# _root_ Az egynapos betétekre a múlt hét elején az üzletek zömét 13 7/8 százalékon kötötték , a hét vége felé viszont már a jegybank egynapos betéti kamatának szintjén , 12 3/4 százalékon .
#goldHeads=3,3,14,6,6,7,14,9,10,14,13,13,14,0,14,17,18,19,21,21,14,23,26,26,26,27,21,27,31,31,27,14,
#predictedHeads=3,3,14,6,6,7,14,9,10,14,13,13,14,0,14,17,18,19,14,26,24,23,26,26,26,27,14,14,31,31,21,14,
(0,3),-2.76638 # DEPENDENCYPART_ARC
(0,7),-3.75272 # DEPENDENCYPART_ARC
(0,11),-3.42482 # DEPENDENCYPART_ARC
(0,12),-4.0109 # DEPENDENCYPART_ARC
(0,14),-0.990517 # DEPENDENCYPART_ARC
(0,20),-2.39339 # DEPENDENCYPART_ARC
(0,21),-2.71127 # DEPENDENCYPART_ARC
(0,24),-3.2141 # DEPENDENCYPART_ARC
(1,2),-0.0419752 # DEPENDENCYPART_ARC
(1,5),-0.653786 # DEPENDENCYPART_ARC
(1,6),-1.16264 # DEPENDENCYPART_ARC
(2,1),0.470645 # DEPENDENCYPART_ARC
(3,1),2.32013 # DEPENDENCYPART_ARC
(3,2),3.45937 # DEPENDENCYPART_ARC
(3,4),-1.08405 # DEPENDENCYPART_ARC
(3,5),-0.306929 # DEPENDENCYPART_ARC
(3,6),-0.807726 # DEPENDENCYPART_ARC
(3,7),-1.66482 # DEPENDENCYPART_ARC
(3,9),-0.933312 # DEPENDENCYPART_ARC
(3,10),-1.58263 # DEPENDENCYPART_ARC
(3,13),-1.47425 # DEPENDENCYPART_ARC
(3,14),-1.31231 # DEPENDENCYPART_ARC
(3,19),-0.838632 # DEPENDENCYPART_ARC
(3,28),-0.187838 # DEPENDENCYPART_ARC
(3,32),0.134731 # DEPENDENCYPART_ARC
(4,5),0.205149 # DEPENDENCYPART_ARC
(5,1),-1.34507 # DEPENDENCYPART_ARC
(5,3),-1.565 # DEPENDENCYPART_ARC
(5,4),0.0341508 # DEPENDENCYPART_ARC
(6,1),0.16798 # DEPENDENCYPART_ARC
(6,2),0.779696 # DEPENDENCYPART_ARC
(6,3),-2.68583 # DEPENDENCYPART_ARC
(6,4),2.09665 # DEPENDENCYPART_ARC
(6,5),3.31652 # DEPENDENCYPART_ARC
(7,1),-0.973637 # DEPENDENCYPART_ARC
(7,2),-0.497242 # DEPENDENCYPART_ARC
(7,3),-2.0522 # DEPENDENCYPART_ARC
(7,4),0.393397 # DEPENDENCYPART_ARC
(7,5),1.18618 # DEPENDENCYPART_ARC
(7,6),3.24076 # DEPENDENCYPART_ARC
(7,8),-1.39177 # DEPENDENCYPART_ARC
(7,9),-0.319058 # DEPENDENCYPART_ARC
(7,10),-1.18406 # DEPENDENCYPART_ARC
(7,11),-0.914463 # DEPENDENCYPART_ARC
(7,12),-0.930957 # DEPENDENCYPART_ARC
(7,13),-1.56841 # DEPENDENCYPART_ARC
(7,15),-0.0597791 # DEPENDENCYPART_ARC
(7,19),-0.979097 # DEPENDENCYPART_ARC
(7,26),-2.18532 # DEPENDENCYPART_ARC
(7,28),-0.253283 # DEPENDENCYPART_ARC
(7,32),0.0260076 # DEPENDENCYPART_ARC
(9,1),-1.30428 # DEPENDENCYPART_ARC
(9,4),-0.482859 # DEPENDENCYPART_ARC
(9,5),-0.540781 # DEPENDENCYPART_ARC
(9,6),-1.09099 # DEPENDENCYPART_ARC
(9,7),-2.51715 # DEPENDENCYPART_ARC
(9,8),2.59849 # DEPENDENCYPART_ARC
(10,1),-1.65589 # DEPENDENCYPART_ARC
