# _root_ A szaktudás mellett a jövőben fontos lesz az önvédelmi oktatás is , mert a szórólapterjesztőket egyre kevésbé szeretik Budapesten , a kutyák például kimondottan eszik a szerencsétleneket .
#goldHeads=2,3,7,5,7,7,0,10,10,7,7,7,7,15,18,17,18,7,18,7,22,25,25,25,7,27,25,7,
#predictedHeads=2,3,7,5,7,7,0,10,10,7,7,7,7,15,18,18,18,13,18,18,22,25,25,25,18,27,25,7,
(0,2),-2.23811 # DEPENDENCYPART_ARC
(0,3),-2.84055 # DEPENDENCYPART_ARC
(0,6),-2.4273 # DEPENDENCYPART_ARC
(0,7),-1.16534 # DEPENDENCYPART_ARC
(0,11),-2.4386 # DEPENDENCYPART_ARC
(0,13),-1.7382 # DEPENDENCYPART_ARC
(0,17),-2.87164 # DEPENDENCYPART_ARC
(0,18),-1.86932 # DEPENDENCYPART_ARC
(0,23),-2.65904 # DEPENDENCYPART_ARC
(0,24),-2.60424 # DEPENDENCYPART_ARC
(0,25),-2.13532 # DEPENDENCYPART_ARC
(2,1),2.75752 # DEPENDENCYPART_ARC
(2,5),-1.22584 # DEPENDENCYPART_ARC
(3,1),0.46704 # DEPENDENCYPART_ARC
(3,2),3.70836 # DEPENDENCYPART_ARC
(3,5),-0.034622 # DEPENDENCYPART_ARC
(3,6),-0.176273 # DEPENDENCYPART_ARC
(3,7),-0.236574 # DEPENDENCYPART_ARC
(3,9),-0.321601 # DEPENDENCYPART_ARC
(3,10),-0.663558 # DEPENDENCYPART_ARC
(3,12),0.13669 # DEPENDENCYPART_ARC
(3,15),-0.841113 # DEPENDENCYPART_ARC
(3,18),-0.561714 # DEPENDENCYPART_ARC
(3,25),-0.707983 # DEPENDENCYPART_ARC
(3,28),0.0879191 # DEPENDENCYPART_ARC
(4,6),-0.463409 # DEPENDENCYPART_ARC
(5,1),-0.0357714 # DEPENDENCYPART_ARC
(5,2),-2.13812 # DEPENDENCYPART_ARC
(5,3),-0.868342 # DEPENDENCYPART_ARC
(5,4),2.81717 # DEPENDENCYPART_ARC
(5,6),-0.549236 # DEPENDENCYPART_ARC
(6,1),-1.02799 # DEPENDENCYPART_ARC
(6,2),-1.11775 # DEPENDENCYPART_ARC
(6,3),-0.13618 # DEPENDENCYPART_ARC
(6,4),-0.0345914 # DEPENDENCYPART_ARC
(6,5),1.27751 # DEPENDENCYPART_ARC
(6,10),-1.13907 # DEPENDENCYPART_ARC
(6,11),-1.51114 # DEPENDENCYPART_ARC
(6,12),-0.681152 # DEPENDENCYPART_ARC
(6,18),-1.34707 # DEPENDENCYPART_ARC
(6,25),-1.5067 # DEPENDENCYPART_ARC
(6,28),0.731083 # DEPENDENCYPART_ARC
(7,1),-0.794895 # DEPENDENCYPART_ARC
(7,2),0.91804 # DEPENDENCYPART_ARC
(7,3),2.29289 # DEPENDENCYPART_ARC
(7,4),-0.597308 # DEPENDENCYPART_ARC
(7,5),2.45687 # DEPENDENCYPART_ARC
(7,6),2.32929 # DEPENDENCYPART_ARC
(7,8),-0.435274 # DEPENDENCYPART_ARC
(7,9),0.332437 # DEPENDENCYPART_ARC
(7,10),1.83718 # DEPENDENCYPART_ARC
(7,11),2.12992 # DEPENDENCYPART_ARC
(7,12),1.47223 # DEPENDENCYPART_ARC
(7,13),1.82106 # DEPENDENCYPART_ARC
(7,14),-0.75338 # DEPENDENCYPART_ARC
(7,15),-1.06531 # DEPENDENCYPART_ARC
(7,16),0.064971 # DEPENDENCYPART_ARC
(7,17),-0.103529 # DEPENDENCYPART_ARC
(7,18),0.164299 # DEPENDENCYPART_ARC
(7,19),-0.21934 # DEPENDENCYPART_ARC
(7,20),-0.104922 # DEPENDENCYPART_ARC
(7,22),-2.21419 # DEPENDENCYPART_ARC
(7,23),-0.258765 # DEPENDENCYPART_ARC
(7,24),-0.604525 # DEPENDENCYPART_ARC
(7,25),-0.925725 # DEPENDENCYPART_ARC
(7,27),-1.50403 # DEPENDENCYPART_ARC
(7,28),2.44215 # DEPENDENCYPART_ARC
(8,9),0.176303 # DEPENDENCYPART_ARC
(9,3),-1.5014 # DEPENDENCYPART_ARC
(9,5),-1.06873 # DEPENDENCYPART_ARC
(9,8),0.390229 # DEPENDENCYPART_ARC
(10,1),-1.51885 # DEPENDENCYPART_ARC
(10,3),-0.977593 # DEPENDENCYPART_ARC
(10,4),-0.739372 # DEPENDENCYPART_ARC
(10,5),-3.06699 # DEPENDENCYPART_ARC
(10,6),-0.331953 # DEPENDENCYPART_ARC
(10,7),-1.2344 # DEPENDENCYPART_ARC
(10,8),2.25009 # DEPENDENCYPART_ARC
(10,9),3.48759 # DEPENDENCYPART_ARC
(10,11),-1.11315 # DEPENDENCYPART_ARC
(11,3),-0.217276 # DEPENDENCYPART_ARC
(11,5),-0.777329 # DEPENDENCYPART_ARC
(11,6),-0.802114 # DEPENDENCYPART_ARC
(11,7),-0.265473 # DEPENDENCYPART_ARC
(11,8),-0.583162 # DEPENDENCYPART_ARC
(11,9),-0.238509 # DEPENDENCYPART_ARC
(11,10),0.0407386 # DEPENDENCYPART_ARC
(11,12),-0.194814 # DEPENDENCYPART_ARC
(11,13),-0.574614 # DEPENDENCYPART_ARC
(11,15),-1.08172 # DEPENDENCYPART_ARC
(11,16),-1.16131 # DEPENDENCYPART_ARC
(11,17),-0.931673 # DEPENDENCYPART_ARC
(11,18),-0.843733 # DEPENDENCYPART_ARC
(11,19),-1.61204 # DEPENDENCYPART_ARC
(11,20),-0.278428 # DEPENDENCYPART_ARC
(11,23),-1.33704 # DEPENDENCYPART_ARC
(11,25),-1.38517 # DEPENDENCYPART_ARC
(11,28),0.283301 # DEPENDENCYPART_ARC
(13,2),-0.164188 # DEPENDENCYPART_ARC
(13,3),0.225483 # DEPENDENCYPART_ARC
(13,5),0.221404 # DEPENDENCYPART_ARC
(13,6),0.233307 # DEPENDENCYPART_ARC
(13,7),-0.108997 # DEPENDENCYPART_ARC
(13,9),0.743742 # DEPENDENCYPART_ARC
(13,10),0.901408 # DEPENDENCYPART_ARC
(13,11),1.01651 # DEPENDENCYPART_ARC
(13,12),1.37543 # DEPENDENCYPART_ARC
(13,15),-0.769937 # DEPENDENCYPART_ARC
(13,16),-0.316628 # DEPENDENCYPART_ARC
(13,17),-0.178787 # DEPENDENCYPART_ARC
(13,18),0.806824 # DEPENDENCYPART_ARC
(13,19),-0.810656 # DEPENDENCYPART_ARC
(13,20),0.417797 # DEPENDENCYPART_ARC
(13,22),-1.48624 # DEPENDENCYPART_ARC
(13,23),-0.449532 # DEPENDENCYPART_ARC
(13,24),-0.570986 # DEPENDENCYPART_ARC
(13,25),0.776241 # DEPENDENCYPART_ARC
(13,27),-1.71793 # DEPENDENCYPART_ARC
(13,28),2.03301 # DEPENDENCYPART_ARC
(15,8),-1.13386 # DEPENDENCYPART_ARC
(15,9),-0.997722 # DEPENDENCYPART_ARC
(15,10),-1.42915 # DEPENDENCYPART_ARC
(15,11),-1.60126 # DEPENDENCYPART_ARC
(15,12),-0.893974 # DEPENDENCYPART_ARC
(15,13),-1.23069 # DEPENDENCYPART_ARC
(15,14),2.79561 # DEPENDENCYPART_ARC
(15,16),-0.705397 # DEPENDENCYPART_ARC
(16,7),-0.643965 # DEPENDENCYPART_ARC
(16,10),-1.2899 # DEPENDENCYPART_ARC
(16,11),-0.870014 # DEPENDENCYPART_ARC
(16,12),-0.62079 # DEPENDENCYPART_ARC
(16,13),-0.612056 # DEPENDENCYPART_ARC
(16,15),-0.0980248 # DEPENDENCYPART_ARC
(16,17),-0.206226 # DEPENDENCYPART_ARC
(16,18),-0.170922 # DEPENDENCYPART_ARC
(16,19),-0.642467 # DEPENDENCYPART_ARC
(16,20),-0.287294 # DEPENDENCYPART_ARC
(16,22),-1.36732 # DEPENDENCYPART_ARC
(16,23),-0.412371 # DEPENDENCYPART_ARC
(16,25),-0.928079 # DEPENDENCYPART_ARC
(16,27),-1.61792 # DEPENDENCYPART_ARC
(16,28),-0.349856 # DEPENDENCYPART_ARC
(17,7),0.445488 # DEPENDENCYPART_ARC
(17,10),-0.14455 # DEPENDENCYPART_ARC
(17,11),0.48368 # DEPENDENCYPART_ARC
(17,12),0.352864 # DEPENDENCYPART_ARC
(17,13),0.474646 # DEPENDENCYPART_ARC
(17,15),0.591439 # DEPENDENCYPART_ARC
(17,16),1.73736 # DEPENDENCYPART_ARC
(17,19),-0.770022 # DEPENDENCYPART_ARC
(17,20),-0.539649 # DEPENDENCYPART_ARC
(17,22),-1.49379 # DEPENDENCYPART_ARC
(17,23),-0.91096 # DEPENDENCYPART_ARC
(17,25),-1.3072 # DEPENDENCYPART_ARC
(17,27),-1.76655 # DEPENDENCYPART_ARC
(17,28),-0.355952 # DEPENDENCYPART_ARC
(18,2),-1.19139 # DEPENDENCYPART_ARC
(18,3),0.639044 # DEPENDENCYPART_ARC
(18,5),0.0543568 # DEPENDENCYPART_ARC
(18,6),-0.802587 # DEPENDENCYPART_ARC
(18,7),0.067569 # DEPENDENCYPART_ARC
(18,8),-0.682158 # DEPENDENCYPART_ARC
(18,9),-0.867612 # DEPENDENCYPART_ARC
(18,10),0.102642 # DEPENDENCYPART_ARC
(18,11),0.841556 # DEPENDENCYPART_ARC
(18,12),0.904941 # DEPENDENCYPART_ARC
(18,13),0.0794993 # DEPENDENCYPART_ARC
(18,14),-0.820931 # DEPENDENCYPART_ARC
(18,15),3.07835 # DEPENDENCYPART_ARC
(18,16),1.74972 # DEPENDENCYPART_ARC
(18,17),2.7324 # DEPENDENCYPART_ARC
(18,19),3.22201 # DEPENDENCYPART_ARC
(18,20),1.82667 # DEPENDENCYPART_ARC
(18,21),-0.414617 # DEPENDENCYPART_ARC
(18,22),0.44335 # DEPENDENCYPART_ARC
(18,23),1.01164 # DEPENDENCYPART_ARC
(18,24),0.617971 # DEPENDENCYPART_ARC
(18,25),1.0101 # DEPENDENCYPART_ARC
(18,26),-0.772185 # DEPENDENCYPART_ARC
(18,27),1.25134 # DEPENDENCYPART_ARC
(18,28),2.36699 # DEPENDENCYPART_ARC
(19,14),-1.05254 # DEPENDENCYPART_ARC
(19,16),-0.971983 # DEPENDENCYPART_ARC
(19,17),-0.667172 # DEPENDENCYPART_ARC
(19,20),0.0743853 # DEPENDENCYPART_ARC
(19,22),-0.875956 # DEPENDENCYPART_ARC
(19,24),-1.33219 # DEPENDENCYPART_ARC
(19,25),-0.913342 # DEPENDENCYPART_ARC
(19,27),-2.08281 # DEPENDENCYPART_ARC
(21,24),-0.691627 # DEPENDENCYPART_ARC
(22,14),-1.58638 # DEPENDENCYPART_ARC
(22,19),-1.65879 # DEPENDENCYPART_ARC
(22,21),2.59153 # DEPENDENCYPART_ARC
(22,23),-0.603961 # DEPENDENCYPART_ARC
(22,24),-0.714216 # DEPENDENCYPART_ARC
(22,27),-2.05418 # DEPENDENCYPART_ARC
(23,7),-0.204282 # DEPENDENCYPART_ARC
(23,13),-0.628157 # DEPENDENCYPART_ARC
(23,15),-1.28669 # DEPENDENCYPART_ARC
(23,16),-0.463388 # DEPENDENCYPART_ARC
(23,17),-0.543206 # DEPENDENCYPART_ARC
(23,18),-0.578481 # DEPENDENCYPART_ARC
(23,19),-1.02589 # DEPENDENCYPART_ARC
(23,20),-0.233896 # DEPENDENCYPART_ARC
(23,22),0.0400681 # DEPENDENCYPART_ARC
(23,24),-0.0191594 # DEPENDENCYPART_ARC
(23,27),-0.29781 # DEPENDENCYPART_ARC
(24,13),-1.40992 # DEPENDENCYPART_ARC
(24,15),-2.07775 # DEPENDENCYPART_ARC
(24,16),-0.935325 # DEPENDENCYPART_ARC
(24,17),-1.00571 # DEPENDENCYPART_ARC
(24,18),-1.05387 # DEPENDENCYPART_ARC
(24,19),-1.86251 # DEPENDENCYPART_ARC
(24,20),-0.566201 # DEPENDENCYPART_ARC
(24,21),-0.50517 # DEPENDENCYPART_ARC
(24,22),-1.09602 # DEPENDENCYPART_ARC
(24,23),1.11027 # DEPENDENCYPART_ARC
(24,27),-1.58394 # DEPENDENCYPART_ARC
(24,28),-0.083667 # DEPENDENCYPART_ARC
(25,2),-1.79111 # DEPENDENCYPART_ARC
(25,3),0.431251 # DEPENDENCYPART_ARC
(25,5),-0.229531 # DEPENDENCYPART_ARC
(25,6),-1.12688 # DEPENDENCYPART_ARC
(25,7),0.293279 # DEPENDENCYPART_ARC
(25,8),-1.13387 # DEPENDENCYPART_ARC
(25,9),-1.65658 # DEPENDENCYPART_ARC
(25,10),-0.57631 # DEPENDENCYPART_ARC
(25,11),-0.0945697 # DEPENDENCYPART_ARC
(25,12),0.177839 # DEPENDENCYPART_ARC
(25,13),-0.539998 # DEPENDENCYPART_ARC
(25,15),1.57221 # DEPENDENCYPART_ARC
(25,16),-0.300948 # DEPENDENCYPART_ARC
(25,17),0.145336 # DEPENDENCYPART_ARC
(25,18),0.20122 # DEPENDENCYPART_ARC
(25,19),0.444938 # DEPENDENCYPART_ARC
(25,20),1.01163 # DEPENDENCYPART_ARC
(25,21),-0.781342 # DEPENDENCYPART_ARC
(25,22),2.19692 # DEPENDENCYPART_ARC
(25,23),2.01162 # DEPENDENCYPART_ARC
(25,24),3.09527 # DEPENDENCYPART_ARC
(25,26),-0.598802 # DEPENDENCYPART_ARC
(25,27),3.32599 # DEPENDENCYPART_ARC
(25,28),1.75556 # DEPENDENCYPART_ARC
(27,21),-1.16427 # DEPENDENCYPART_ARC
(27,22),-3.37431 # DEPENDENCYPART_ARC
(27,24),-3.618 # DEPENDENCYPART_ARC
(27,26),2.76769 # DEPENDENCYPART_ARC
