# _root_ Akkor voltak 350-en , most 250 körüli a létszáma a 310_millió forint jegyzett tőkéjű vállalkozásnak , amely ma tipikus középvállalkozásnak mondható — mondja Erdész_András elnök-vezérigazgató .
#goldHeads=2,23,2,23,23,7,5,9,5,15,12,15,14,15,5,5,21,21,20,21,5,23,0,25,23,23,
#predictedHeads=2,23,2,2,7,7,2,9,2,15,12,13,15,15,2,23,23,23,20,21,23,23,0,25,23,23,
(0,1),-1.65662 # DEPENDENCYPART_ARC
(0,2),-0.447051 # DEPENDENCYPART_ARC
(0,3),-1.8513 # DEPENDENCYPART_ARC
(0,18),-3.16238 # DEPENDENCYPART_ARC
(0,23),-0.31212 # DEPENDENCYPART_ARC
(1,4),0.00695012 # DEPENDENCYPART_ARC
(1,26),0.767526 # DEPENDENCYPART_ARC
(2,1),3.21299 # DEPENDENCYPART_ARC
(2,3),2.35259 # DEPENDENCYPART_ARC
(2,4),1.87774 # DEPENDENCYPART_ARC
(2,5),0.851583 # DEPENDENCYPART_ARC
(2,6),-0.16537 # DEPENDENCYPART_ARC
(2,7),0.212504 # DEPENDENCYPART_ARC
(2,8),-0.0806362 # DEPENDENCYPART_ARC
(2,9),0.674048 # DEPENDENCYPART_ARC
(2,10),-0.101103 # DEPENDENCYPART_ARC
(2,11),-0.616425 # DEPENDENCYPART_ARC
(2,12),-0.987966 # DEPENDENCYPART_ARC
(2,13),-0.731121 # DEPENDENCYPART_ARC
(2,14),-0.853333 # DEPENDENCYPART_ARC
(2,15),2.15976 # DEPENDENCYPART_ARC
(2,16),1.28188 # DEPENDENCYPART_ARC
(2,17),-0.314091 # DEPENDENCYPART_ARC
(2,18),0.12476 # DEPENDENCYPART_ARC
(2,19),-0.717867 # DEPENDENCYPART_ARC
(2,20),-0.615472 # DEPENDENCYPART_ARC
(2,21),-0.288767 # DEPENDENCYPART_ARC
(2,22),0.326556 # DEPENDENCYPART_ARC
(2,23),-0.0126642 # DEPENDENCYPART_ARC
(2,24),-1.59551 # DEPENDENCYPART_ARC
(2,25),-1.08808 # DEPENDENCYPART_ARC
(2,26),3.41176 # DEPENDENCYPART_ARC
(3,2),0.226682 # DEPENDENCYPART_ARC
(3,4),0.343636 # DEPENDENCYPART_ARC
(3,7),-0.591545 # DEPENDENCYPART_ARC
