# _root_ Kouchnerhez hasonlóan a tanács többi tagja sem tudja még , miképpen lehetne szavatolni a szerb kisebbség biztonságát , s így a kérdés valószínűleg még többször napirendre kerül a testület ülésein .
#goldHeads=2,8,4,6,6,8,8,19,8,8,13,8,12,16,16,17,13,19,0,27,22,27,27,27,27,27,19,29,30,27,19,
#predictedHeads=2,8,4,6,6,8,8,19,8,8,12,8,12,16,16,17,13,19,0,27,22,27,27,26,26,27,19,29,30,27,12,
(0,2),-2.14167 # DEPENDENCYPART_ARC
(0,7),-2.8789 # DEPENDENCYPART_ARC
(0,8),-1.66697 # DEPENDENCYPART_ARC
(0,9),-3.06959 # DEPENDENCYPART_ARC
(0,12),-1.28601 # DEPENDENCYPART_ARC
(0,13),-2.5155 # DEPENDENCYPART_ARC
(0,19),0.477153 # DEPENDENCYPART_ARC
(0,20),-1.65253 # DEPENDENCYPART_ARC
(0,27),-3.31098 # DEPENDENCYPART_ARC
(1,4),-0.820687 # DEPENDENCYPART_ARC
(1,6),-0.696259 # DEPENDENCYPART_ARC
(1,8),-1.43359 # DEPENDENCYPART_ARC
(1,12),-1.6702 # DEPENDENCYPART_ARC
(1,31),0.0524486 # DEPENDENCYPART_ARC
(2,1),1.18065 # DEPENDENCYPART_ARC
(2,4),0.21224 # DEPENDENCYPART_ARC
(2,5),-0.032872 # DEPENDENCYPART_ARC
(2,6),-0.334877 # DEPENDENCYPART_ARC
(2,7),-0.464064 # DEPENDENCYPART_ARC
(2,8),-0.602584 # DEPENDENCYPART_ARC
(2,10),0.0856375 # DEPENDENCYPART_ARC
(2,12),-0.342782 # DEPENDENCYPART_ARC
(2,13),-0.606182 # DEPENDENCYPART_ARC
(2,17),-1.25536 # DEPENDENCYPART_ARC
(2,19),-0.0500219 # DEPENDENCYPART_ARC
(2,27),-1.42729 # DEPENDENCYPART_ARC
(2,31),1.54589 # DEPENDENCYPART_ARC
(3,2),-0.936955 # DEPENDENCYPART_ARC
(4,1),-1.44841 # DEPENDENCYPART_ARC
(4,2),-2.84994 # DEPENDENCYPART_ARC
(4,3),2.51763 # DEPENDENCYPART_ARC
(4,6),-0.311362 # DEPENDENCYPART_ARC
(5,1),0.408108 # DEPENDENCYPART_ARC
(5,2),-0.316781 # DEPENDENCYPART_ARC
(5,3),0.471637 # DEPENDENCYPART_ARC
(5,4),1.68144 # DEPENDENCYPART_ARC
(5,7),-1.12061 # DEPENDENCYPART_ARC
(6,1),-1.2934 # DEPENDENCYPART_ARC
(6,2),-3.01619 # DEPENDENCYPART_ARC
(6,3),0.441304 # DEPENDENCYPART_ARC
(6,4),2.62502 # DEPENDENCYPART_ARC
(6,5),2.96088 # DEPENDENCYPART_ARC
(7,4),-0.255983 # DEPENDENCYPART_ARC
(7,5),-0.443917 # DEPENDENCYPART_ARC
(7,6),0.0375795 # DEPENDENCYPART_ARC
