# _root_ Orbán egyetlen " házon belüli " kritikusa , Tölgyessy_Péter már hónapokkal ezelőtt jelezte , hogy a kormányfő megválasztása után egyfajta elnöki rendszer kiépítésébe fogott .
#goldHeads=7,7,7,5,7,7,13,13,13,13,12,13,0,13,13,17,24,19,24,22,22,23,24,13,13,
#predictedHeads=7,4,4,5,7,7,13,13,13,13,12,13,0,13,13,17,18,19,24,22,22,23,24,13,13,
(0,1),-1.92991 # DEPENDENCYPART_ARC
(0,2),-2.24477 # DEPENDENCYPART_ARC
(0,4),-3.14995 # DEPENDENCYPART_ARC
(0,5),-2.91139 # DEPENDENCYPART_ARC
(0,7),-3.90384 # DEPENDENCYPART_ARC
(0,10),-2.83772 # DEPENDENCYPART_ARC
(0,13),-1.18164 # DEPENDENCYPART_ARC
(0,15),-1.45409 # DEPENDENCYPART_ARC
(0,24),-2.74032 # DEPENDENCYPART_ARC
(1,3),0.545696 # DEPENDENCYPART_ARC
(1,13),-0.625727 # DEPENDENCYPART_ARC
(1,24),-1.2787 # DEPENDENCYPART_ARC
(1,25),0.382135 # DEPENDENCYPART_ARC
(2,1),0.988811 # DEPENDENCYPART_ARC
(2,3),1.24201 # DEPENDENCYPART_ARC
(2,4),0.2305 # DEPENDENCYPART_ARC
(2,5),-0.228566 # DEPENDENCYPART_ARC
(2,6),0.760811 # DEPENDENCYPART_ARC
(2,7),-0.682081 # DEPENDENCYPART_ARC
(2,8),0.477516 # DEPENDENCYPART_ARC
(2,13),-0.288908 # DEPENDENCYPART_ARC
(2,24),-0.901112 # DEPENDENCYPART_ARC
(2,25),0.435529 # DEPENDENCYPART_ARC
(4,1),0.655238 # DEPENDENCYPART_ARC
(4,2),1.53665 # DEPENDENCYPART_ARC
(4,3),1.56303 # DEPENDENCYPART_ARC
(4,6),0.449936 # DEPENDENCYPART_ARC
(4,8),0.165229 # DEPENDENCYPART_ARC
(4,9),-0.824454 # DEPENDENCYPART_ARC
(4,12),-0.426663 # DEPENDENCYPART_ARC
(4,13),-0.367887 # DEPENDENCYPART_ARC
(4,24),-0.812724 # DEPENDENCYPART_ARC
(4,25),0.238113 # DEPENDENCYPART_ARC
(5,1),0.365988 # DEPENDENCYPART_ARC
(5,2),-0.0137155 # DEPENDENCYPART_ARC
(5,3),0.819686 # DEPENDENCYPART_ARC
(5,4),2.87446 # DEPENDENCYPART_ARC
(5,6),1.02978 # DEPENDENCYPART_ARC
(5,7),-0.288259 # DEPENDENCYPART_ARC
(5,8),0.295462 # DEPENDENCYPART_ARC
(5,9),-0.983427 # DEPENDENCYPART_ARC
(5,11),-1.54903 # DEPENDENCYPART_ARC
(5,13),-0.346788 # DEPENDENCYPART_ARC
(5,14),-0.207851 # DEPENDENCYPART_ARC
(5,20),-1.18151 # DEPENDENCYPART_ARC
(5,24),-0.896698 # DEPENDENCYPART_ARC
(5,25),0.744648 # DEPENDENCYPART_ARC
(7,1),1.75958 # DEPENDENCYPART_ARC
(7,2),0.978139 # DEPENDENCYPART_ARC
(7,3),1.53243 # DEPENDENCYPART_ARC
(7,4),0.35705 # DEPENDENCYPART_ARC
(7,5),1.88936 # DEPENDENCYPART_ARC
(7,6),2.45317 # DEPENDENCYPART_ARC
(7,8),0.262895 # DEPENDENCYPART_ARC
(7,9),-0.556192 # DEPENDENCYPART_ARC
(7,10),-0.872338 # DEPENDENCYPART_ARC
(7,11),-1.16169 # DEPENDENCYPART_ARC
(7,12),-0.460869 # DEPENDENCYPART_ARC
(7,19),-1.16412 # DEPENDENCYPART_ARC
(7,24),-1.36392 # DEPENDENCYPART_ARC
(7,25),0.00385059 # DEPENDENCYPART_ARC
(9,2),-0.298142 # DEPENDENCYPART_ARC
(9,3),0.186661 # DEPENDENCYPART_ARC
